element_type,osmid,addr:city,addr:country,addr:postcode,addr:street,geometry,addr:housenumber,entrance,source,fixme,addr:suburb,level,wheelchair,name,wikidata,amenity,wikimedia_commons,architect,heritage,heritage:operator,heritage:ref,image,note,description,wikipedia,roof:colour,opening_hours,building,nodes,building:levels,roof:levels,roof:shape,building:min_level,capacity,layer,operator,building:colour,addr:housename,start_date,height,roof:angle,disused:military,historic,location,old_start_date,roof:height,protect_class,website,area,BLfD:criteria,est_height,ref:BLfD,roof:material,architect:wikidata,building:architecture,roof:orientation,indoor_seating,outdoor_seating,phone,3dr:alpha1,3dr:type,building:levels:underground,noname,building:material,building:flats,smoking,nohousenumber,building:use,denomination,religion,roof:direction,contact:website,building:roof,building:part,source_ref,source:geometry,type,ways
node,2673655071,München,,80686,Mathunistraße,POINT (11.5016429 48.1382628),9,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2674618201,München,DE,80686,Ossietzkystraße,POINT (11.4979077 48.1392999),2a,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2674618210,München,DE,80686,Ossietzkystraße,POINT (11.4979163 48.1394109),2,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2674624497,München,DE,80687,Neuburgerstraße,POINT (11.4973374 48.1409474),10a,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2674624500,München,DE,80687,Neuburgerstraße,POINT (11.4974151 48.1409398),10,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2674624505,München,DE,80687,Neuburgerstraße,POINT (11.4972804 48.1409529),10b,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3507847240,,,80937,Neuherbergstraße,POINT (11.5636995 48.2085959),117,main,Bing,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,10073618,,,,,"POLYGON ((11.5320519 48.1771974, 11.5318667 48.1772004, 11.5318734 48.1773841, 11.5315721 48.177389, 11.5315657 48.1772133, 11.5313872 48.1772162, 11.531394 48.1774016, 11.5313979 48.17751, 11.532063 48.1774993, 11.5320593 48.1773981, 11.5320519 48.1771974))",,,,,,,,Campus A,,,,,,,,,,,,,,residential,"[82784144, 82784135, 82784134, 82784130, 82784136, 82784142, 3054198635, 82784140, 82784138, 3054198640, 82784144]",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,19322691,,DE,,,"POLYGON ((11.5779522 48.1493754, 11.5781361 48.1493219, 11.5781656 48.1493669, 11.5781914 48.1494064, 11.5782256 48.1493965, 11.5782431 48.1493914, 11.5783211 48.1495107, 11.5782602 48.1495284, 11.5781264 48.1495674, 11.5780855 48.1495793, 11.5779522 48.1493754))",,,,,,,,,,,,,,,,,,,,,,residential,"[200773102, 200773103, 6342094021, 200773104, 6342094023, 4518367748, 200748772, 2589265329, 6342094025, 200773108, 200773102]",3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25383931,,,,,"POLYGON ((11.630714 48.0992742, 11.6307068 48.0993208, 11.6305719 48.0993115, 11.6305757 48.0992868, 11.6305944 48.0991661, 11.6306084 48.0991671, 11.6306103 48.0991552, 11.6306133 48.0991356, 11.6307339 48.099144, 11.630714 48.0992742))",,,,,,,,,,,,,,,,,,,,,,residential,"[276669698, 276669699, 276669690, 9505554236, 276669691, 276669692, 9505554235, 276669693, 9505554241, 276669698]",1,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
