element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,cuisine,name,opening_hours,phone,toilets:wheelchair,website,wheelchair,geometry,contact:phone,brewery,contact:email,contact:fax,contact:website,diet:vegetarian,level,name:zh,survey:date,wheelchair:description,indoor_seating,outdoor_seating,biergarten,brewery:Weizen,operator,smoking,check_date,payment:mastercard,payment:visa,capacity,changing_table,check_date:opening_hours,diet:vegan,highchair,fax,source,website:menu,wikidata,wikipedia,brewery:weizen,changing_table:fee,changing_table:location,toilets,email,image,start_date,contact:facebook,contact:instagram,opening_hours:kitchen,brand,brand:wikidata,internet_access,internet_access:fee,internet_access:ssid,delivery,takeaway,access:covid19,takeaway:covid19,diet:halal,diet:kosher,opening_hours:signed,name:de,name:ja,toilets:access,contact:mobile,outdoor_area,payment:electronic_purses,microbrewery,addr:suburb,opening_hours:covid19,note,check_date:diet:vegetarian,wheelchair:description:de,brand:wikipedia,drive_through,diet:pescetarian,old_name,type,bar,diet:meat,cocktails,alt_name,payment:credit_cards,reservation,delivery:covid19,drive_through:covid19,delivery:partner,access,payment:cash,payment:cryptocurrencies,payment:debit_cards,tourism,beer_garden,name:bar,air_conditioning,sport,fixme,operator:type,name:fr,shop,poi,mapillary,smoking:outside,wifi,payment:american_express,payment:girocard,currency:XBT,payment:lightning,payment:cards,layer,addr:state,mobile,description,leisure,was:cuisine,name:en,organic,reusable_packaging:offer,addr:housename,capacity:outdoors,new_name,check_date:currency:XBT,payment:lightning_contactless,payment:onchain,dog,payment:sodexo,surveillance,stars,payment:maestro,payment:visa_debit,diet:raw,contact:housenumber,contact:postcode,contact:street,addr:floor,check_date:website,breakfast,opening_hours:url,gay,lgbtq,alt_website,brewery:pils,currency:BCH,payment:jcb,vegetarian,name:ko,name:ko-Latn,terrace,payment:rea,disused:name,payment:apple_pay,payment:diners_club,payment:discover,payment:google_pay,payment:unionpay,diet:fish,diet:seafood,reservation:website,ref:vatin,brewery:indian,canoe:service,ref,diet:non-vegetarian,loc_name,name:it,contact:whatsapp,postal_code,source:name,contact:phone_1,restaurant,beer_brand,drink:coffee,description:covid19,self_service,kids_area,kids_area:indoor,kids_area:outdoor,seats,note:laxbar,facebook,alcohol,cuisine:sushi,blind:description:de,description:de,comment,note:de,drink:afri-cola,entrance,not:brand:wikidata,payment:contactless,old_cuisine,payment:v_pay,name:-2020,dance:teaching,payment:coins,payment:notes,old_amenity,ice_cream,name:bg,ice_cream:type,food,short_name,owner,internet_access:type,aed:note,aed:note:en,emergency,indoor,drink:wine,changing_table:access,designation,diet:gluten_free,kitchen_hours,brewery:Weizenbier,branch,opening_hours:takeaway,wheelchair:step_height,payment:bitcoin,cuisine:de,delivery_hours,contact:tiktok,name_1,parking,craft,contact:tripadvisor,diet:dairy_free,name:ar,old_name_1,diet:lactose_free,contact:twitter,diet:healthy,payment:konzernausweis,handwashing:creme,handwashing:soap,toilets:disposal,toilets:hands_drying,toilets:handwashing,toilets:paper_supplied,toilets:wheelchair:description,lunch,last_checked,was:name,origin,gambling,old_website,drink:soft_drink,drink:water,diet:organic,language:menu:de,language:menu:en,diet:mediterranean,payment:legic,payment:bancomat,payment:paypal,diet:chicken,disabled,nodes,building,building:levels,building:material,roof:colour,roof:shape,building:colour,height,roof,architect,architect:wikidata,building:architecture,heritage,heritage:operator,heritage:ref,name:ru,wikimedia_commons,note:alt_name,roof:levels,building:part,BLfD:criteria,ref:BLfD,service_times,currency:EUR,currency:others,brewery:urtyp,brewery:weisbier,historic,lit,contact:housename,name:disused,roof:height,roof:angle,roof:material,capacity:biergarten,capacity:pub,roof:orientation,disused:shop,diet:local,room,alternate,dogs
node,34072038,München,DE,45,81827,Friedenspromenade,restaurant,bavarian,Franziskaner Garten,Tu-Su 11:00-24:00,+49894300996,yes,https://franziskanergarten.de/,limited,POINT (11.6707224 48.1093154),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,59933811,,,,,,restaurant,,Bistro Trattoria La Giara,,,,,no,POINT (11.5813153 48.1891617),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,59934326,,,,,,restaurant,italian,L'angolo,Mo-Fr 11:00-24:00; Sa 17:00-24:00; Su closed,,,,limited,POINT (11.5839973 48.1870892),+49 1578 4746674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,59939872,,,,,,restaurant,chinese,Tai China Imbiss,"PH,Mo-Su 11:30-22:00",+49 89 3590657,,http://www.thai-china.de,no,POINT (11.5845779 48.1816244),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,60013073,München,DE,8,80331,Marienplatz,restaurant,,Ratskeller,11:00-23:00,,yes,,yes,POINT (11.5760552 48.1373943),+49 89 2199890,Löwenbräu,info@ratskeller.com,+49 89 21998930,https://www.ratskeller.com/,yes,-1,新市政廳地窖餐廳,2022-09-08,"barrierefreies WC im UG, per Lift erreichbar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,82772298,München,DE,19,80339,Landsberger Straße,restaurant,bavarian,Augustiner Bräustuben,Mo-Su 10:00-24:00,,no,,limited,POINT (11.5456469 48.1392055),+49 89 507047,Augustiner Bräu München,AUGUSTINERBRAUSTUBEN@T-ONLINE.DE,+49 89 5022569,https://www.braeustuben.de/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,82772299,München,DE,50a,80634,Donnersbergerstraße,restaurant,american,Peaches,Mo-Su 19:00-01:00,,,,limited,POINT (11.5349382 48.1469522),+49 89 132020,Hacker,info@peaches-neuhausen.de,,https://www.peaches-neuhausen.de/,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,82772303,München,DE,33,80637,Dantestraße,restaurant,international,Gerners,Mo-Su 09:00-01:00,,,,limited,POINT (11.5265046 48.1685597),+49 89 15925174,Löwenbräu,info@gerners-muenchen.de,+49 89 15925177,http://www.gerners-muenchen.de/,,,,,,,yes,yes,Franziskaner,Büchl Gastronomie GmbH,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,86673907,München,DE,34,81667,Wörthstraße,restaurant,bavarian,Haidhauser Augustiner,Mo-Th 11:00-00:00; Fr-Sa 11:00-01:00; Su 11:00-23:00,,no,,no,POINT (11.6013051 48.1293429),+49 89 44489559,Augustiner Bräu München,,+49 89 62286407,https://haidhauser-augustiner.de/,yes,,,,,yes,yes,,,,no,2022-10-14,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,92666832,München,DE,6,81379,Zielstattstraße,restaurant,bavarian,Augustiner Schützengarten,Mo-Su 11:00-24:00,,,,no,POINT (11.5344051 48.1042541),+49 89 724 680 88,Augustiner Bräu München,info@augustiner-schützengarten.de,+49 89 724 680 89,https://augustiner-schuetzengarten.de/,yes,,,,,,,,,Christian Schretzlmeier,,,,,500,no,2021-08-23,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
