element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,wheelchair,description,image,tourism,wheelchair:description,amenity,name,brand,brand:wikidata,brand:wikipedia,operator,level,source,layer,disused:shop,architect,heritage,heritage:operator,heritage:ref,start_date,building:architecture,note,addr:suburb,ref,indoor,check_date,contact:email,cuisine,opening_hours,opening_hours:covid19,phone,website,height,fixme,operator:type,historic,drive_through,location,nodes,building,building:levels,roof:colour,building:colour,roof:shape,email,fax,roof:levels,shop,contact:phone,toilets,toilets:wheelchair,check_date:opening_hours,internet_access,payment:cash,payment:mastercard,payment:visa,changing_table,wikidata,contact:fax,architect:wikidata,brewery,diet:vegan,diet:vegetarian,indoor_seating,name:bar,name:de,name:en,name:ja,name:ru,name:zh,outdoor_seating,smoking,takeaway,wikimedia_commons,wikipedia,payment:credit_cards,payment:debit_cards,diet:halal,diet:kosher,roof:height,internet_access:fee,self_checkout,loc_name,access:covid19,delivery:covid19,contact:website,short_name,ref:shop:num,compressed_air,est_height,roof:material,old_name,building:material,nohousenumber,noaddress,roof:angle,addr:housename,type,drive_through:covid19,origin,biergarten,source:building:height,source:shape,service,opening_hours:url,url,payment:contactless,not:brand:wikidata,opening_hours:bakery,organic,payment:american_express,payment:coins,payment:sodexo_pass,building:use,roof:orientation,franchise:wikidata,contact:facebook,alt_name,construction,note:building_type,trade,branch,drink:coffee,drink:coffee:portafilter,drink:coffee:togo,payment:girocard,source_ref,payment:diners_club,payment:discover_card,payment:maestro,payment:v_pay,TMC:cid_58:tabcd_1:Class,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:LocationCode,gambling,building:facade:color,ref:BLfD,source:addr,reservation,website:menu,payment:alipay,payment:jcb,payment:sepa,payment:wechat,craft,club,community_centre,dog,payment:visa_debit,payment:visa_electron,beer_garden,delivery,opening_hours:kitchen,roof,roof:direction,survey:date,source:building:levels,golf,opening_hours:signed,source:outline,disused:tourism,highway,levelpart,brand:website,playground,name:signed,ways,castle_type
way,5671555,"POLYGON ((11.5868042 48.1899848, 11.5868155 48.1895755, 11.5870648 48.1895786, 11.5870753 48.1894284, 11.5865537 48.1894245, 11.5865465 48.1895661, 11.58629 48.189563, 11.5862786 48.1899784, 11.5868042 48.1899848))",München,DE,40a,80807,Ingolstädter Straße,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,"[42447586, 42447591, 42447594, 42447599, 2704708769, 42447567, 42447574, 42447580, 42447586]",retail,2,darkgrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,5671556,"POLYGON ((11.5849379 48.1895636, 11.585761 48.1895913, 11.5857973 48.1891098, 11.5856514 48.1891049, 11.5849743 48.1890821, 11.5849619 48.1892471, 11.5849379 48.1895636))",München,DE,40,80807,Ingolstädter Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[42447624, 42447627, 42447632, 2706153337, 42447621, 10265525919, 42447624]",retail,3,grey,lightgrey,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,8010594,"POLYGON ((11.5906342 48.1941525, 11.5916839 48.194167, 11.5917233 48.192903, 11.5906736 48.1928885, 11.5906342 48.1941525))",München,DE,15,80939,Maria-Probst-Straße,limited,,,,,,Lucky Bike,,,,,,Yahoo / YWMS,,,,,,,,,,,,,,,,Mo-Fr 10:00-18:00; Sa 10:00-18:00,,+49 89 31699403,https://www.lucky-bike.de/fahrrad-muenchen/,,,,,,,"[59937278, 59937280, 59937266, 59937269, 59937278]",retail,2,darkgrey,,flat,euro@lucky-bike.de,+49 89 31699441,0,bicycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,8010600,"POLYGON ((11.5947055 48.1934788, 11.5947703 48.193479, 11.5947719 48.1932781, 11.5938715 48.193275, 11.59387 48.1934758, 11.5936089 48.1934749, 11.5936008 48.1945271, 11.5934738 48.1945267, 11.5934714 48.1948348, 11.5946866 48.1948479, 11.594757 48.1948446, 11.5947594 48.1945507, 11.5946977 48.1945486, 11.5947055 48.1934788))",München,DE,19,80939,Maria-Probst-Straße,,,,,,,POCO,POCO,Q1714820,de:Poco (Möbelhaus),,,,,,,,,,,,,,,,,,,Mo-Sa 10:00-20:00,,,,,,,,,,"[584908455, 426777361, 426777368, 426777376, 426777332, 59937309, 59937337, 59937334, 59937310, 557995438, 59937311, 59937330, 59937333, 584908455]",retail,,,,,,,,furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,8010601,"POLYGON ((11.5956776 48.1932372, 11.5956823 48.1930602, 11.5956445 48.1930597, 11.5956484 48.1929155, 11.5951006 48.192909, 11.5950976 48.1930222, 11.5950639 48.1930218, 11.5950599 48.1931702, 11.5950936 48.1931706, 11.5950904 48.1932886, 11.5951071 48.1932888, 11.5951033 48.1934282, 11.5956345 48.1934346, 11.5956398 48.1932368, 11.5956776 48.1932372))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2014964359, 2014964133, 2014964323, 59937321, 59937316, 2014964296, 2014964295, 2014964282, 2014964363, 2014964311, 2014964324, 2014964222, 59937318, 2014964319, 2014964359]",retail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,8010607,"POLYGON ((11.5960208 48.1926454, 11.5960401 48.1918303, 11.5949757 48.1918171, 11.5949983 48.1926289, 11.5960208 48.1926454))",München,DE,18,80939,Maria-Probst-Straße,,,,,,,,,,,,,Yahoo / YWMS,,,,,,,,,,,,,,,,,,,,,,,,,,"[59937351, 59937348, 59937349, 59937350, 59937351]",retail,1,lightgrey,,flat,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,8010608,"POLYGON ((11.5974636 48.1926267, 11.5974821 48.1921808, 11.5968256 48.1921686, 11.596807 48.1926145, 11.5974636 48.1926267))",München,DE,20,80939,Maria-Probst-Straße,,,,,,,,,,,,,Yahoo / YWMS,,,,,,,,,,,,,,,,,,,,,,,,,,"[59937347, 59937344, 59937345, 59937346, 59937347]",retail,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,10299037,"POLYGON ((11.5324035 48.1520718, 11.5320379 48.1520158, 11.5319412 48.1522957, 11.531847 48.1525682, 11.532073 48.1526012, 11.5320488 48.1526119, 11.5320372 48.1526466, 11.5320551 48.1526633, 11.5321114 48.1526712, 11.5321314 48.1526622, 11.532123 48.1526945, 11.532136 48.1527026, 11.5325254 48.1527589, 11.5325377 48.1527194, 11.5325612 48.1527361, 11.5326302 48.1527463, 11.5326467 48.1526953, 11.5326311 48.1526797, 11.5326918 48.1526876, 11.5328003 48.152352, 11.5328068 48.152332, 11.5327418 48.1523208, 11.5327696 48.1523098, 11.5327811 48.1522772, 11.5327667 48.1522565, 11.5327155 48.1522485, 11.5326921 48.1522581, 11.5326863 48.1522573, 11.5327073 48.1522009, 11.5327249 48.1521534, 11.5327364 48.1521214, 11.5326247 48.1521051, 11.5324035 48.1520718))",München,DE,5,80634,Pötschnerstraße,yes,,,,,,Galeria Kaufhof,Galeria Kaufhof,Q322598,en:Galeria Kaufhof,GALERIA Kaufhof GmbH,,,,,,,,,,,,,,,,,,"Mo-Fr 09:30-20:00; Sa 09:00-20:00; Su,PH off",Mo-Fr 09:30-20:00; Sa 09:00-20:00,,https://www.galeria.de/,,,,,,,"[2632307581, 2632307579, 2712989241, 86646103, 86646104, 2632307590, 2632307591, 86646105, 2632307593, 2632307592, 2632307594, 86647001, 86646106, 2632307596, 2632307597, 2632307598, 2632307595, 86646107, 86646108, 4689459120, 86646109, 86646110, 2632307589, 2632307588, 2632307585, 2632307584, 2632307587, 2632307586, 2645697250, 764072901, 2632307583, 746634372, 2632307581]",retail,3,,,flat,,,,department_store,+49 89 130770,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,14189292,"POLYGON ((11.5977414 48.1218889, 11.5978894 48.1216187, 11.5981622 48.1211197, 11.5982479 48.1209617, 11.5982646 48.1209308, 11.5981195 48.1208972, 11.5970788 48.1206612, 11.5970608 48.1206954, 11.5969764 48.120676, 11.5968351 48.1209548, 11.5967638 48.1209376, 11.5966749 48.1211016, 11.596709 48.121153, 11.5967666 48.1211669, 11.5967507 48.1211963, 11.5967953 48.1212071, 11.5971363 48.1217684, 11.5977329 48.1219044, 11.5977414 48.1218889))",München,DE,50,81541,Balanstraße,yes,,,,,,V-MARKT,V-MARKT,Q1504903,de:Georg Jos. Kaes,Georg Jos. Kaes GmbH,,,,,,,,,,,,,,,2022-10-14,,,Mo-Sa 07:00-20:00,,+49 89 4130950,https://www.v-markt.de/,,,,,,,"[135640427, 6629885247, 2671692134, 135647060, 135640436, 2671692127, 135640441, 2671692120, 2671692117, 2671692130, 2671692129, 2671692133, 2671692136, 2671692137, 135640445, 135640449, 135640480, 3754919880, 135640427]",retail,2,darkgrey,,flat,,+49 89 41309523,,supermarket,,,,2023-04-23,wlan,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,17742908,"POLYGON ((11.6897422 48.1323262, 11.6899239 48.1323274, 11.690125 48.1323287, 11.6902266 48.1323294, 11.6906847 48.1323323, 11.6906884 48.1320786, 11.6907504 48.132079, 11.6908454 48.1320797, 11.6908418 48.1323296, 11.6910609 48.132331, 11.6912999 48.1323326, 11.6914403 48.132333, 11.6914493 48.1322795, 11.6914854 48.1320896, 11.6915745 48.1320902, 11.6916944 48.1320909, 11.6916907 48.1323385, 11.6921794 48.1323417, 11.6930752 48.1323476, 11.6935169 48.1323504, 11.6935195 48.1321696, 11.6935275 48.1316234, 11.6930766 48.1316204, 11.6921888 48.1316146, 11.691693 48.1316114, 11.6916908 48.131763, 11.6917093 48.1317632, 11.6917064 48.1319577, 11.6915792 48.1319569, 11.6915026 48.1319564, 11.691469 48.1317675, 11.6913164 48.1317665, 11.6913173 48.1317021, 11.6908504 48.1316991, 11.6908468 48.1319508, 11.690752 48.1319502, 11.6906872 48.1319497, 11.6906921 48.1316096, 11.6897528 48.1316034, 11.6897446 48.1321612, 11.6897422 48.1323262))",,,,,,yes,,,,,,Riem-Arcaden,,,,,,,,,,,,,,,,,,,,,,"Mo-Sa 07:45-20:30; PH,Su off",,,https://www.westfield.com/germany/riemarcaden,,,,,,,"[183887873, 7842638828, 7842638827, 2938586325, 183887879, 183887886, 3130725333, 183887891, 183887897, 2938586322, 183887900, 183887904, 183887912, 183887916, 3130725334, 183887920, 183887926, 2938586327, 2938586324, 183887931, 459019045, 183887938, 3023137884, 3023137881, 183887941, 2938568745, 2938568749, 183887946, 3130725332, 183887955, 2458343003, 2458343002, 183887961, 183887964, 183887971, 3130725331, 183887978, 183887984, 183887990, 3130725336, 183887873]",retail,6,,,flat,,,,mall,,yes,yes,,wlan,,,,yes,Q1389126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
