osmid,y,x,street_count,highway,ref,geometry
128236,48.1798519,11.3953004,3,,,POINT (11.3953004 48.1798519)
128238,48.1792812,11.3988317,3,,,POINT (11.3988317 48.1792812)
128239,48.1790623,11.3989001,3,,,POINT (11.3989001 48.1790623)
128242,48.1784276,11.402504,4,,,POINT (11.402504 48.1784276)
128250,48.1754389,11.4082319,3,,,POINT (11.4082319 48.1754389)
128256,48.1684264,11.4103568,3,,,POINT (11.4103568 48.1684264)
128258,48.166209,11.4119689,3,,,POINT (11.4119689 48.166209)
128263,48.1644922,11.4131474,3,,,POINT (11.4131474 48.1644922)
128267,48.1618262,11.4140815,3,,,POINT (11.4140815 48.1618262)
128268,48.1607803,11.4142393,4,,,POINT (11.4142393 48.1607803)
128269,48.1602126,11.4146432,3,,,POINT (11.4146432 48.1602126)
128270,48.1600136,11.4150056,5,,,POINT (11.4150056 48.1600136)
128276,48.1566922,11.4160329,3,,,POINT (11.4160329 48.1566922)
128277,48.1563485,11.4163171,3,,,POINT (11.4163171 48.1563485)
128280,48.1556002,11.4190656,3,,,POINT (11.4190656 48.1556002)
128282,48.1557697,11.4202127,4,,,POINT (11.4202127 48.1557697)
128285,48.1554045,11.4218217,3,,,POINT (11.4218217 48.1554045)
128914,48.1578983,11.4138839,3,,,POINT (11.4138839 48.1578983)
128916,48.1620126,11.4139281,4,traffic_signals,,POINT (11.4139281 48.1620126)
128917,48.1621959,11.4137969,3,,,POINT (11.4137969 48.1621959)
128918,48.1620496,11.4141693,4,,,POINT (11.4141693 48.1620496)
128940,48.1691572,11.4148501,3,,,POINT (11.4148501 48.1691572)
128946,48.1718562,11.4167999,3,,,POINT (11.4167999 48.1718562)
128952,48.1742962,11.4208336,3,,,POINT (11.4208336 48.1742962)
128953,48.1744431,11.4209686,4,,,POINT (11.4209686 48.1744431)
128957,48.1741697,11.4241487,4,,,POINT (11.4241487 48.1741697)
128958,48.1741502,11.4255218,4,,,POINT (11.4255218 48.1741502)
128959,48.1740797,11.426256,3,,,POINT (11.426256 48.1740797)
128961,48.176236,11.4277479,3,,,POINT (11.4277479 48.176236)
128963,48.1763357,11.427178,3,motorway_junction,7,POINT (11.427178 48.1763357)
128969,48.1830142,11.4343848,3,,,POINT (11.4343848 48.1830142)
128970,48.1839437,11.4347198,3,motorway_junction,8;7,POINT (11.4347198 48.1839437)
128971,48.1863315,11.4364226,3,,,POINT (11.4364226 48.1863315)
129001,48.2044147,11.4462405,3,motorway_junction,9,POINT (11.4462405 48.2044147)
129002,48.2043467,11.4485752,3,,,POINT (11.4485752 48.2043467)
129005,48.204571,11.4514156,3,,,POINT (11.4514156 48.204571)
129071,48.2257697,11.5370494,3,,,POINT (11.5370494 48.2257697)
129816,48.1738747,11.4298274,3,traffic_signals,,POINT (11.4298274 48.1738747)
129826,48.1674763,11.4334937,3,,,POINT (11.4334937 48.1674763)
129837,48.1615176,11.4296434,2,,,POINT (11.4296434 48.1615176)
129842,48.1606598,11.4267024,3,,,POINT (11.4267024 48.1606598)
129845,48.1615309,11.4247798,3,,,POINT (11.4247798 48.1615309)
129848,48.1613663,11.4233624,4,,,POINT (11.4233624 48.1613663)
129854,48.1579073,11.4250711,2,,,POINT (11.4250711 48.1579073)
129856,48.157738,11.4251558,2,,,POINT (11.4251558 48.157738)
129857,48.1571004,11.4254747,3,,,POINT (11.4254747 48.1571004)
129863,48.1553902,11.4232395,1,,,POINT (11.4232395 48.1553902)
129866,48.1560163,11.4224144,1,,,POINT (11.4224144 48.1560163)
129868,48.1556011,11.4226894,3,,,POINT (11.4226894 48.1556011)
129869,48.1556985,11.4230427,3,,,POINT (11.4230427 48.1556985)
129934,48.1826923,11.4302021,3,motorway_junction,81,POINT (11.4302021 48.1826923)
129935,48.1794131,11.4306042,3,,,POINT (11.4306042 48.1794131)
129937,48.1820495,11.4330279,3,,,POINT (11.4330279 48.1820495)
129950,48.1809676,11.4333178,3,,,POINT (11.4333178 48.1809676)
129965,48.1638538,11.4431983,4,,,POINT (11.4431983 48.1638538)
129966,48.1632269,11.4435561,3,,,POINT (11.4435561 48.1632269)
129967,48.1621305,11.444313,4,,,POINT (11.444313 48.1621305)
129968,48.1618767,11.4434194,3,,,POINT (11.4434194 48.1618767)
129969,48.1630805,11.442714,3,,,POINT (11.442714 48.1630805)
129971,48.1615296,11.4425881,3,,,POINT (11.4425881 48.1615296)
129981,48.1614683,11.4370251,3,,,POINT (11.4370251 48.1614683)
129983,48.1628577,11.4373056,3,,,POINT (11.4373056 48.1628577)
129984,48.1634603,11.4373648,3,,,POINT (11.4373648 48.1634603)
129987,48.1636116,11.4408776,3,,,POINT (11.4408776 48.1636116)
129988,48.1635356,11.439786,3,,,POINT (11.439786 48.1635356)
129989,48.163512,11.436293,3,,,POINT (11.436293 48.163512)
129994,48.1636859,11.4353888,3,,,POINT (11.4353888 48.1636859)
129996,48.1641464,11.4358673,3,,,POINT (11.4358673 48.1641464)
129998,48.1645799,11.4362323,3,,,POINT (11.4362323 48.1645799)
130003,48.1576329,11.428749,3,,,POINT (11.428749 48.1576329)
130004,48.1577507,11.4303387,3,,,POINT (11.4303387 48.1577507)
130005,48.1570389,11.4285367,1,,,POINT (11.4285367 48.1570389)
130006,48.1559679,11.4305854,3,,,POINT (11.4305854 48.1559679)
130007,48.1558309,11.4295396,1,,,POINT (11.4295396 48.1558309)
130008,48.1561792,11.4321853,3,,,POINT (11.4321853 48.1561792)
130009,48.1556352,11.4322113,3,,,POINT (11.4322113 48.1556352)
130010,48.1554897,11.4321982,3,,,POINT (11.4321982 48.1554897)
130013,48.1549077,11.4308434,3,,,POINT (11.4308434 48.1549077)
130015,48.1547725,11.4322035,3,,,POINT (11.4322035 48.1547725)
130016,48.1546807,11.4333416,3,,,POINT (11.4333416 48.1546807)
130017,48.1569814,11.4318292,3,,,POINT (11.4318292 48.1569814)
130018,48.1579515,11.4335845,3,,,POINT (11.4335845 48.1579515)
130020,48.1558646,11.4352875,3,,,POINT (11.4352875 48.1558646)
130021,48.1557626,11.433919,3,,,POINT (11.433919 48.1557626)
130022,48.1557296,11.4334773,4,,,POINT (11.4334773 48.1557296)
130024,48.1546529,11.4354734,3,,,POINT (11.4354734 48.1546529)
130025,48.1549151,11.435427,3,,,POINT (11.435427 48.1549151)
130028,48.1547912,11.4369394,3,,,POINT (11.4369394 48.1547912)
130031,48.1570407,11.4331796,3,,,POINT (11.4331796 48.1570407)
130033,48.1571357,11.4224805,3,,,POINT (11.4224805 48.1571357)
130038,48.1582007,11.4218917,4,,,POINT (11.4218917 48.1582007)
130039,48.1587942,11.4245816,4,,,POINT (11.4245816 48.1587942)
130041,48.1581085,11.418508,3,,,POINT (11.418508 48.1581085)
130043,48.1595782,11.4179045,3,,,POINT (11.4179045 48.1595782)
130046,48.1600644,11.4177057,4,crossing,,POINT (11.4177057 48.1600644)
130049,48.1599162,11.4147324,3,,,POINT (11.4147324 48.1599162)
130050,48.1593085,11.4146909,3,,,POINT (11.4146909 48.1593085)
130052,48.1583036,11.415171,3,,,POINT (11.415171 48.1583036)
130053,48.1588504,11.415293,3,,,POINT (11.415293 48.1588504)
130055,48.1604665,11.4127553,3,,,POINT (11.4127553 48.1604665)
130056,48.1592697,11.413081,3,,,POINT (11.413081 48.1592697)
130057,48.1583246,11.4132123,3,,,POINT (11.4132123 48.1583246)
130058,48.1581361,11.4135142,3,,,POINT (11.4135142 48.1581361)
130059,48.1580629,11.4131463,3,,,POINT (11.4131463 48.1580629)
130060,48.1577158,11.4123113,3,,,POINT (11.4123113 48.1577158)
130061,48.1573823,11.4118966,3,,,POINT (11.4118966 48.1573823)
130063,48.1565959,11.4103785,3,,,POINT (11.4103785 48.1565959)
130064,48.156414,11.4119349,3,,,POINT (11.4119349 48.156414)
