element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,name,source,wheelchair,geometry,type,description,operator,toilets:wheelchair,wikidata,barrier,phone,website,email,addr:housename,language,old_name,old_shop,opening_hours,training,name:en,capacity,wikipedia,contact:phone,contact:email,contact:fax,contact:website,school,school:de,fax,internet_access,internet_access:fee,office,official_name,check_date,isced:level,operator:type,postal_code,note,alt_name,payment:credit_cards,payment:debit_cards,religion,level,wikimedia_commons,addr:suburb,grades,short_name,denomination,name:de,name:ru,fee,building:levels,roof:levels,height,mobile,shop,wheelchair:description,nodes,start_date,contact:city,contact:housenumber,contact:postcode,contact:street,building,roof:shape,school:type,designation,roof:colour,building:colour,est_height,roof:height,roof:material,architect,building:architecture,heritage,heritage:operator,heritage:ref,image,int_name,isced,noname,protect_class,sport,leisure,layer,name:etymology:wikidata,loc_name,polling_station,school:language,is_in:city,is_in:country_code,school:DE,ref:AEFE,landuse,website2,subject,min_age,name:ja,disused:name,disused:note,ways,url
node,211255188,München,DE,47,81539,Schlierseestraße,school,Abendgymnasium,survey,yes,POINT (11.5932484 48.113534),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,259775795,,,,,,school,Privatgymnasium Dr. Florian Überreiter,,,POINT (11.5995012 48.1273684),Gymnasium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,261056061,,,19,,Auerfeldstraße,school,Caritas Don Bosco Schulen für Kinderpflege,,yes,POINT (11.5951778 48.1240937),,"Berufliche Schulen Auerfeldstraße
Caritas Don Bosco Fachakademie für Sozialpädagogik
fak-sozpaed@caritasmuenchen.de
Tel: 089 3065848-40

Caritas Don Bosco Berufsfachschule für Kinderpflege
bfskinderpflege@caritasmuenchen.de
Tel: 089 544 79290",Caritas,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266655293,,,,,,school,Giselagymnasium,,limited,POINT (11.5730236 48.1567559),,,,,Q1527255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,274617205,München,DE,2,,Flurstraße,school,Rabennest,,limited,POINT (11.6052394 48.1332929),,,,,,,+49 89 41901484,http://rabennest.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,274617211,München,DE,13,81675,Kirchenstraße,school,Sonderpädagogisches Förderzentrum München-Mitte 2 Filiale Kirchenstr. 13,,,POINT (11.6000672 48.1343476),,,,,,,+49 89 41942321,,sfz-muenchen-mitte2-kirchenstr-13@muenchen.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,281259575,,,,,,school,Maria-Ward Mädchenrealschule,,,POINT (11.6286227 48.1270936),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,287819214,München,DE,20,81249,Köferinger Straße,school,Förderschule und Heilpädagogische Tagesstätte,,,POINT (11.4237356 48.1353946),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,312793352,München,DE,5,80469,Kohlstraße,school,Schulverbund München,,,POINT (11.5815046 48.1322045),,,,,,,+49 89 293333,https://www.schulverbund.de/,kontakt@schulverbund.de,Schulverbund München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,315969648,München,DE,41a,80636,Blutenburgstraße,school,Hablas Español,,limited,POINT (11.5407649 48.149669),,,,,,,,https://www.hablasespanolspanischschule.de,info@hablasespanol.de,,spanish,Cinebank,video,Mo-Th 08:00-20:00; Fr 08:00-18:00; Sa 09:00-13:00,language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,320205167,München,DE,45,80809,Hanselmannstraße,school,Grundschule an der Hanselmannstraße,,yes,POINT (11.5648788 48.1811549),,,,,,,,,,,,,,,,Elementary school on Hanselmannstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,331528250,München,DE,12,,Orleansstraße,school,IHK-Akademie München,,yes,POINT (11.5985394 48.1245666),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,332544444,,,,,,school,Münchner Schmink und Kosmetikschule,,limited,POINT (11.5602074 48.1420984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,338723406,,,,,,school,Waldklassenzimmer,,,POINT (11.4742575 48.2083018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,365937473,München,,6,80993,Gerastraße,school,Gymnasium München/Moosach,,yes,POINT (11.5189911 48.1847813),,,,,Q1558188,,,https://gym-muc-moosach.musin.de/,,,,,,,,,1086,de:Gymnasium München-Moosach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,365937579,München,,6,80993,Gerastraße,school,Städtische Artur-Kutscher-Realschule,,,POINT (11.5185322 48.1852441),,,,,,,,http://www.akr.musin.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,656248222,München,DE,18,81541,Mariahilfplatz,school,Grundschule am Mariahilfplatz,,no,POINT (11.5820112 48.1247064),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,656646642,,,,,,school,"Private Volksschule der Republik Griechenland ""ΣΩΚΡΑΤΗΣ""",,,POINT (11.6301321 48.1375396),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,676956220,,,,,,school,Internationale Montessori-Schule München,,,POINT (11.5439239 48.2021774),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,698066749,,,1,,Maria-Ward-Straße,school,Grundschule Maria-Ward-Straße,,no,POINT (11.5051764 48.1603274),,,,,,,,https://www.gs-maria-ward.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,703266518,,,,,,school,EAM School of International Business,,,POINT (11.5746643 48.1387135),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,835205260,,,,,,school,Stiftung Journalistenakademie Dr. Hooffacker GmbH & Co. KG,,,POINT (11.5291858 48.1471516),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,862997698,,,,,,school,Jan-Amos-Comenius-Schule,,,POINT (11.4586382 48.1499131),,,,,,,,https://www.comenius-muenchen.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,888547815,München,DE,4,80636,Kapschstraße,school,Städtische Franz-Auweck-Abendschule,,yes,POINT (11.544504 48.1539238),,,,,,,,,,,,,,,,,,,+49 89 18975950,sekretariat@fas.musin.de,+49 89 18975957,https://fas.musin.de/,secondary,Abendschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1096318121,München,DE,7a,80539,Stollbergstraße,school,Otto-Falckenberg-Schule,,limited,POINT (11.5827303 48.1368214),,Schauspielschule,,no,,,+49 89 233 37083,https://www.otto-falckenberg-schule.de/,,,,,,,,,,,,,,,,,+49 89 233 37084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1096318127,München,DE,2,80539,Falckenbergstraße,school,Otto-Falckenberg-Schule,,no,POINT (11.5822067 48.1376239),,Schauspielschule,,no,,,+49 89 233 37083,https://www.otto-falckenberg-schule.de/,,,,,,,,,,,,,,,,,+49 89 233 37084,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1142514805,München,DE,24,80331,Herzog-Wilhelm-Straße,school,Evangelisches Bildungszentrum,,limited,POINT (11.566571 48.135375),,,,,Q1381122,,,,,,,,,,,,,,+49 89 549027-0,stadtakademie.muenchen@elkb.de,+49 89 549027-15,https://www.stadtakademie-muenchen.de/,,,,,,ngo,Evangelische Stadtakademie München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
