element_type,osmid,addr:country,addr:housenumber,addr:postcode,addr:street,alt_name,amenity,community_centre,community_centre:for,contact:email,contact:facebook,contact:instagram,contact:phone,contact:website,name,opening_hours,operator,operator:type,operator:wikidata,short_name,toilets,wheelchair,wheelchair:description,wikidata,wikipedia,geometry,contact:youtube,addr:city,check_date:opening_hours,email,fax,internet_access,internet_access:fee,internet_access:ssid,level,official_name,outdoor_seating,phone,website,addr:housename,contact:fax,description,image,name:de,name:en,source,opening_hours:signed,start_date,brand:wikidata,check_date,old_name,addr:door,government,office,contact:mastodon,contact:twitter,drink:club-mate,drink:flora-power,fee,internet_access:operator:wikidata,leisure,nodes,building,sport,building:levels,building:use,building:colour,roof:orientation,roof:shape
node,335857524,DE,6-8,66111,Försterstraße,Förster-Juz,community_centre,youth_centre,juvenile,juz.foersterstrasse@rvsbr.de,https://www.facebook.com/juzfoerster,juzfoerster,+49 681 31180,http://www.rvsbr.de/,Jugendzentrum Försterstraße,"Mo-Fr 15:00-21:00; Sa,Su off",Regionalverband Saarbrücken,public,Q6805,Juz Förster,yes,no,fünf Stufen von ca. 20 cm Höhe,Q15821983,de:Jugendzentrum Försterstraße,POINT (6.9987783 49.2353569),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,768004612,,,,,,community_centre,club_home,,,,,,,Obst- und Gartenbauverein Kelterhaus,,,,,,,,,,,POINT (6.8994741 49.2300176),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,931697666,,,,,,community_centre,,,,,,,,Bürgerhaus Rockershausen,,,,,,,,,Q104430886,,POINT (6.9143191 49.2463738),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1037346649,,,,,,community_centre,,,,,,,,Alevitisches Kultur Zentrum,,,,,,,,,,,POINT (6.925812 49.2376355),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1375695918,,,,,,community_centre,meeting_room,,,https://www.facebook.com/weltraumsb,https://www.instagram.com/weltraumsaarbruecken/,,https://www.weltraum-saarbruecken.de/,welt:raum,"Mo-Fr 13:00-17:00; PH,Sa-Su closed",Bistum Trier,religious,Q708778,,,limited,,,,POINT (6.9970129 49.2332367),https://www.youtube.com/channel/UCZaZ9YdJSravCoya1DzA_yQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1376562978,DE,9,66111,Johannisstraße,,community_centre,youth_centre,juvenile,,,,,,Café Exodus,Mo 13:00-18:00; Tu 13:00-18:00; We 14:00-21:00; Th 13:00-18:00; Fr 13:00-22:00; PH off; 2023 May 12 off; 2023 May 19 off; 2023 Jun 9 off,Bistum Trier,religious,Q708778,,,limited,,,,POINT (6.9975034 49.2359637),,Saarbrücken,2022-09-16,treff@cafe-exodus.de,+49 681 371428,wlan,no,Cafe,0,Café Exodus - Jugend-Kultur-Treff,no,+49 681 371416,https://cafe-exodus.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1860636619,DE,13,66111,Johannisstraße,Deutsch-Ausländischer Jugend-Club,community_centre,youth_centre,juvenile;student;immigrant,info@dajc.de,https://facebook.com/dajcsb,,+49 681 33275,https://neueseite.dajc.de/,DAJC,"Mo-Th 14:30-19:00;Fr-Su,PH off",,,,,,no,,,,POINT (6.9977811 49.2364095),,Saarbrücken,,,,,,,0;1;3,Verein zur Förderung und Integration von Jugendlichen mit Migrationshintergrund und ihren Familien e.V.,,,,Haus der Kulturen,+49 681 376031,"ein offener Jugendtreff zum Reden, Spielen, Musizieren und Kreativsein und individuelle Schülerhilfe bei Hausaufgaben, Bewerbungen und Berufsorientierung","https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_145/https://neueseite.dajc.de/wp-content/uploads/2020/08/dajc.png",,,,,,,,,,,,,,,,,,,,,,,,,,
node,4660872491,,,,,,community_centre,,,,,,,,Pakistani Moschee,,,,,,,,,,,POINT (6.945434 49.2405894),,,,,,,,,,,,,,,,,,Pakistani Moschee,Pakistani Mosque,,,,,,,,,,,,,,,,,,,,,,,,
node,5559659509,,,,,,community_centre,,,,,,,https://www.diakonie-saar.de/BuergerInnenzentrum-Brebach,BürgerInnenzentrum Brebach,,Diakonisches Werk an der Saar,,,,,,,,,POINT (7.0361374 49.2142656),,,,,,,,,,,,+49 681 87764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5585532661,,,,,,community_centre,,,,,,,,Bürgerzentrum Mühlenviertel,,,,,,,,,,,POINT (6.9954265 49.2394877),,,,buergerzentrum@pro-ehrenamt.de,,,,,,,,+49 681 93859744,http://www.pro-ehrenamt.de,,,,,,,http://www.saarbruecken.de/tourismus/kongresse_tagungen_messen/tagen_und_feiern_detailseite/accomodation-5a2e41ba05fb1,,,,,,,,,,,,,,,,,,,,,,,
node,5902704908,,13,66111,Neugäßchen,,community_centre,events_venue,,,,,,,HofHaus,,"Friends* Gesellschaft für Events, Marketing und Kommunikation mbH",,,,,,,,,POINT (7.0001205 49.2321433),,Saarbrücken,,info@hof-haus.de,,,,,,,,+49 681 95085512,https://www.hof-haus.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
