element_type,osmid,amenity,authentication:debit_card,authentication:membership_card,authentication:money_card,capacity,fee,motorcar,opening_hours,operator,ref,geometry,website,amperage,contact:website,manufacturer,socket:schuko,socket:type2,fixme,operator:wikidata,name,authentication:pin,bicycle,charging_station:type,description,maxstay,payment:coins,scooter,truck,check_date:opening_hours,lit,noname,noref,authentication:nfc,socket:type2_combo,authentication:app,voltage,covered,operator:wikipedia,parking:fee,socket:chademo,socket:chademo:output,socket:type2:output,socket:type2_combo:output,charge,authentication:short_message,motor_vehicle,access,note,strapline,supervised,support,man_made,brand,start_date
node,2967597755,charging_station,yes,yes,yes,2,yes,yes,24/7,energis,BC 4309-4;BC-4310-S,POINT (7.0212547 49.2274247),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3481556531,charging_station,yes,yes,yes,2,yes,yes,,energis,,POINT (7.0296819 49.2163814),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3481556532,charging_station,yes,yes,yes,2,yes,yes,24/7,energis,BC-4592-1,POINT (7.001619 49.233468),http://www.e-mobil-saar.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3481556533,charging_station,,,,2,,yes,,Stadtwerke Saarbrücken,F-DB 807,POINT (6.9782217 49.2347862),,16,http://www.e-mobil-saar.de,Bauer,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3481556534,charging_station,,,,,,yes,,Energie SaarLorLux AG,F-DB 9406,POINT (6.9552201 49.2391846),,,https://www.energie-saarlorlux.com/privatkunden/strom/produkte/elektromobilitaet/,,,,stimmt ref noch?,Q26794801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3481556535,charging_station,,,,2,,,,Energie SaarLorLux AG,F-DB 805,POINT (6.9906742 49.2428831),https://www.energie-saarlorlux.com/privatkunden/strom/produkte/elektromobilitaet/,,,,,,,Q26794801,e Ladesäule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3944278440,charging_station,,,,12,yes,no,24/7,Landeshauptstadt Saarbrücken;energie SaarLorLux,,POINT (6.9963016 49.2342036),,,,,12,,,,Fahrradladestation,yes,yes,lockers,"Nutzungsgebühr 0,50 € pro Stunde.",4 hours,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3944278441,charging_station,,,,,,yes,,GIU,,POINT (6.9964619 49.2342244),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4181957867,charging_station,,,,2,,,,energis,,POINT (6.9858213 49.2360421),,,,,,2,,,,,,,,3 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5463203134,charging_station,,,,8,no,no,Mo-Su 06:00-22:00,Regionalverband Saarbrücken,none,POINT (6.9914836 49.2307066),,,,,8,,,,,yes,yes,lockers,Max. Nutzungsdauer 12 Stunden.,12 hours,,no,no,2021-08-15,,,,,,,,,,,,,,,,,,,,,,,,,
node,5734613373,charging_station,,,,,,yes,,energis,,POINT (7.0120159 49.2275719),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6138475640,charging_station,,,,1,,yes,,STEAG,,POINT (6.9780188 49.238493),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6158864772,charging_station,,,,2,,,,Energie SaarLorLux AG,,POINT (6.9906803 49.2429387),https://www.energie-saarlorlux.com/privatkunden/strom/produkte/elektromobilitaet/,,,,,,,Q26794801,e Ladesäule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6434817720,charging_station,,,,6,no,no,07:00-21:00,,,POINT (7.0711688 49.19157),,,,,,,,,,,yes,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6450200979,charging_station,,,,,,,,,,POINT (7.0183604 49.2280773),,,,,,,,,e-Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6501854633,charging_station,,,,,yes,no,,,,POINT (6.9902783 49.2421393),,,,,yes,,,Q86744708,,yes,yes,lockers,,,,no,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,
node,6506763184,charging_station,,,,2,,yes,,Möbel Martin,,POINT (7.0219697 49.224856),,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,
node,6519049061,charging_station,,,,,,,,,,POINT (6.9908341 49.2426705),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6587365979,charging_station,,,,,,,,,,POINT (7.0427808 49.2581871),,,,,2,,resurvey,,,,yes,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
node,6634981522,charging_station,,,,1,,yes,,BMW,,POINT (7.0427379 49.2251117),,50,,,,,,Q26678,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
node,6634981523,charging_station,,,,1,,yes,,BMW,,POINT (7.0426454 49.2251178),,50,,,,,,Q26678,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
node,6740379004,charging_station,,,,8,,no,24/7,Studentenwerk im Saarland e.V.,,POINT (7.0421726 49.2576197),,,,,8,,,,,,yes,lockers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6852586656,charging_station,,,,2,,yes,24/7,innogy,BC-1030-0,POINT (7.0420368 49.254896),,32,,,,,,,,,,,,,,,,,,,,,,yes,400,,,,,,,,,,,,,,,,,,
node,6955638368,charging_station,,,,1,no,,,ALDI Süd,,POINT (7.0311823 49.209336),,,,,,1,,Q41171672,Sonne tanken,,,,,,,,,,,,,,1,,,no,hu:Aldi Süd,no,1,50kW,22kW,50kW,,,,,,,,,,,
node,7159400434,charging_station,,,,2,,,24/7,Energie SaarLorLux,,POINT (7.0056453 49.2299231),,,,,,,,Q26794801,e Ladesäule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7197240042,charging_station,,,,8,yes,,24/7,GIU,,POINT (6.9900631 49.2390699),,,,,yes,,,,E-Bike Ladestation Europa Galerie,yes,yes,lockers,,4 hours,,,,,,,yes,,,,,,,,,,,,"0,50 € pro Stunde, maximal 2 €",,,,,,,,,,
node,7197240043,charging_station,,yes,,2,yes,yes,24/7,Energie SaarLorLux,,POINT (6.9880143 49.2398722),,,,,,,,Q26794801,e Ladesäule,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,7218146045,charging_station,,,,2,yes,yes,24/7,EnergieSarLorLux,,POINT (7.0016072 49.2336376),,,,,,,,,e Ladesäule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7253621591,charging_station,,,,8,yes,,24/7,Landeshauptstadt Saarbrücken,,POINT (6.9937779 49.2359991),,,,,8,,,Q86744708,E-Bike Ladestation Rotenhofstraße,yes,no,lockers,,4 hours,,,,,,,,,,,,,,,,,,,"0,50 € pro Stunde, max. 4 €",,no,,,,,,,,
node,7277841937,charging_station,,,,8,yes,,24/7,Landeshauptstadt Saarbrücken,,POINT (6.9946686 49.2349134),,,,,8,,,Q86744708,E-Bike Ladestation Dudweiler Straße,yes,yes,lockers,,4 hours,,,,,,,,,,,,,,,,,,,"0,50 € pro Stunde, max. 4 €",,no,,,,,,,,
node,7313022125,charging_station,,,,8,yes,,24/7,Landeshauptstadt Saarbrücken,,POINT (6.9932923 49.2369265),,,,,8,,,Q86744708,E-Bike Ladestation,yes,yes,lockers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7530037275,charging_station,,,,,,,,,,POINT (6.9552378 49.239724),,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,
node,7530037285,charging_station,,,,1,,,,,,POINT (6.9635394 49.2370491),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7530037292,charging_station,,,,3,,yes,24/7,,,POINT (6.9628266 49.2408488),,,,efacec,,,"ccs, ac",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
node,7552208313,charging_station,,,,2,,,,,,POINT (7.0137819 49.2242455),,,,Hager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7552208325,charging_station,,,,2,,,,,,POINT (7.0137439 49.2242139),,,,Hager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7742029717,charging_station,,,,,no,,,,,POINT (7.0275917 49.1970255),,,,,2,,,,E-Bike Ladestation,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7747327601,charging_station,,,,,,,,enovos,,POINT (7.0402456 49.2253191),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7781645337,charging_station,,,,2,,yes,,Möbel Martin,,POINT (7.0219468 49.2248871),,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,
node,7792366034,charging_station,,,,3,yes,yes,24/7,STEAG,,POINT (6.9783715 49.2382489),,,,,,,Operator Ladesäule (+ Parkplatz) jetzt Iqony Energies GmbH (trotz Branding „STEAG“ auf der Ladesäule Stand 2023-01-23)?,,,,,,,4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7800992015,charging_station,,,,,,,,,,POINT (7.0360239 49.2509836),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,
node,7898462013,charging_station,,,,,no,,24/7,,,POINT (7.0287196 49.2386093),,,,,7,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7898462014,charging_station,,,,,no,,24/7,,,POINT (7.0312276 49.2772209),,,,,4,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7898462015,charging_station,,,,,no,,24/7,,,POINT (7.0490472 49.2763798),,,,,4,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7921038092,charging_station,,,,8,,,24/7,,,POINT (6.9874885 49.2426921),,,,,,,,,,,yes,,Schließfächer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7931639755,charging_station,,,,,yes,,,EnBW,DE*EBW*E905052*1;DE*EBW*E905052*2;DE*EBW*E905052*3,POINT (6.9664298 49.2094984),,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,50 kW,43 kW,50 kW,,,,,,,,,,,
