element_type,osmid,wheelchair,wheelchair:description,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,surveillance,surveillance:type,surveillance:zone,old_name,contact:website,name,tourism,operator,note,level,fixme,nodes,addr:country,alt_name,brand:wikidata,building,opening_hours,shop,short_name,building:levels,roof:shape,contact:phone,contact:email,contact:fax,office,wikidata,cuisine,outdoor_seating,roof:levels,operator:wikidata,website,disused:shop,roof:orientation,building:colour,building:use,smoking,roof:colour,automated,brand,self_service,opening_hours:signed,building:roof,air_conditioning,internet_access,internet_access:fee,start_date,delivery,takeaway,phone,source,atm,disused,addr:suburb,diet:vegetarian,second_hand,service:vehicle:air_conditioning,service:vehicle:body_repair,service:vehicle:brakes,service:vehicle:car_repair,service:vehicle:diagnostics,service:vehicle:electrical,service:vehicle:glass,service:vehicle:inspection,service:vehicle:new_car_sales,service:vehicle:oil_change,service:vehicle:used_car_sales,lottery,payment:cash,payment:cryptocurrencies,payment:mastercard,payment:paypal,payment:visa,brand:wikipedia,building:material,indoor_seating,ways,type,addr:housename
way,69221473,yes,,"POLYGON ((6.96302 49.240739, 6.9632774 49.240704, 6.963385 49.2406893, 6.963231 49.2402073, 6.9628659 49.240257, 6.96302 49.240739))",Saarbrücken,1,66115,Gasweg,,,,,,,A.T.U,,A.T.U Auto-Teile-Unger GmbH & Co. KG,,,,"[829906954, 10903426202, 829906955, 829906956, 829906957, 829906954]",DE,Auto Teile Unger,Q784721,commercial,"Mo-Fr 07:30-18:30; Sa 08:00-15:00; PH,Su closed",car_repair,ATU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,69549698,,,"POLYGON ((6.9569286 49.2374136, 6.9571874 49.2373923, 6.9577673 49.2373446, 6.9580101 49.2373247, 6.95898 49.237245, 6.9595046 49.2372019, 6.9594772 49.2370542, 6.9594432 49.2369039, 6.9594361 49.2368642, 6.959429 49.2368245, 6.9594218 49.2367848, 6.9592532 49.2359638, 6.9592497 49.2359419, 6.9592451 49.2359193, 6.9591102 49.2352648, 6.9588243 49.2352881, 6.95887 49.2355321, 6.9586263 49.235552, 6.9585805 49.2353074, 6.9582872 49.2353343, 6.9583719 49.2357891, 6.9581112 49.2358104, 6.9581665 49.2360999, 6.9583084 49.2368397, 6.9574034 49.2369169, 6.9573856 49.2368236, 6.9571863 49.2368398, 6.9568247 49.2368692, 6.9569286 49.2374136))",,,,,,,,,,,,,,,,,"[832384016, 9159200415, 9159202552, 9159200408, 9159200398, 832384017, 9159680618, 9170738369, 9170738370, 9170738371, 9170738372, 9341252184, 9159202562, 9341252185, 832384020, 832384021, 832384022, 832384023, 832384024, 832384025, 832384026, 832384440, 880693060, 832384441, 832384442, 880665761, 9159202529, 832384444, 832384016]",,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,79034895,,,"POLYGON ((6.9837447 49.2399351, 6.9840608 49.2400063, 6.9841165 49.2400188, 6.9841986 49.2400373, 6.9842475 49.2399224, 6.9842714 49.2398741, 6.9842537 49.2398129, 6.9843204 49.2397724, 6.9842882 49.2396562, 6.9842507 49.2396622, 6.9840178 49.2396962, 6.9838612 49.2397193, 6.9838547 49.239731, 6.983853 49.2397341, 6.9838027 49.2398275, 6.9837518 49.2399218, 6.9837494 49.2399263, 6.9837447 49.2399351))",,49,,,,,,,Q-Park Hafenstraße,,Premier Inn Saarbrücken City Congresshalle Hotel,hotel,,,,,"[9545669886, 9545669881, 9545669878, 923931577, 2287064304, 2287064306, 9545665270, 2287061443, 923931578, 9545665272, 9545665271, 9545669874, 9549205294, 9545669885, 9545669872, 9545669871, 9549205296, 9545669886]",,,Q2108626,commercial,,,,8,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87261895,yes,,"POLYGON ((6.9653222 49.2333911, 6.965374 49.2333912, 6.9654243 49.2333912, 6.9654235 49.2333763, 6.9654707 49.2333768, 6.9655676 49.2333777, 6.9656254 49.2333777, 6.9656411 49.2333777, 6.9656409 49.2334372, 6.9656405 49.2334974, 6.9658256 49.2334978, 6.9658255 49.2334145, 6.9658233 49.2331217, 6.9653435 49.2331184, 6.9653222 49.2333911))",Saarbrücken,95,66117,Saaruferstraße,,,,,,https://www.reifen-kiefer.de/index.php/unsere-filialen-2/saarbruecken,Reifen Kiefer,,,,,,"[1014657862, 10002324838, 10002324840, 10002324832, 10002324837, 10002324829, 10002324827, 1014657466, 10002324833, 1014657834, 1014657059, 5766706550, 1014657728, 1014656967, 1014657862]",DE,,,commercial,"Mo-Fr 08:00-17:00; Sa 08:00-12:00; PH,Su closed",tyres,,,,+49 681 926570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87288191,,,"POLYGON ((6.9253153 49.2447379, 6.9250413 49.2448011, 6.9252175 49.2451296, 6.9254869 49.2450683, 6.9253153 49.2447379))",,,,,,,,,,http://www.gebr-naim.de/,Gebrüder Naim GbRElektro - & Sekundärrohstoffe,,,,,,"[1275684398, 1014908545, 1014908638, 1275684397, 1275684398]",,,,commercial,,,,,,+49 681 9471861,info@gebr-naim.de,+49 681 9890276,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87290371,,,"POLYGON ((6.9598747 49.2407272, 6.9605662 49.2406772, 6.9605532 49.2405988, 6.9605399 49.2405183, 6.9598484 49.2405683, 6.9598626 49.2406542, 6.9598747 49.2407272))",Saarbrücken,3,66115,Käthe-Kollwitz-Straße,,,,,,,,,,,,,"[1014930533, 1014930631, 10903430940, 1014930566, 1014930531, 10903426201, 1014930533]",DE,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87293292,,,"POLYGON ((6.9782679 49.2358239, 6.9784869 49.2358339, 6.9785636 49.2351206, 6.9783446 49.2351105, 6.9782679 49.2358239))",Saarbrücken,104-106,66117,Hohenzollernstraße,,,,,,,Stadtwerke Saarbrücken,,,,,,"[1014965280, 1014965234, 1014965102, 1014964977, 1014965280]",,,,commercial,,,,,,,,,,Q1718530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87331882,,,"POLYGON ((6.9709294 49.2121204, 6.970909 49.2121048, 6.9706076 49.2122404, 6.9706348 49.2122668, 6.9707096 49.2123395, 6.970995 49.2122175, 6.9710187 49.2122043, 6.9713715 49.2121483, 6.9713948 49.212215, 6.9715863 49.2121863, 6.9714863 49.211908, 6.9712981 49.2119376, 6.9713301 49.212031, 6.9709788 49.2120844, 6.9709861 49.2121085, 6.9709688 49.2121121, 6.9709294 49.2121204))",,,,,,,,,,,,,,,,,"[2023039000, 1015502805, 1015502765, 1382829034, 1015502718, 1015502669, 2023039018, 1015502752, 1015502687, 1015502597, 1015502647, 1015502847, 1015502855, 2023038995, 2023038999, 9780084125, 2023039000]",,,,commercial,,,,3,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87489101,limited,,"POLYGON ((6.9186653 49.2229609, 6.9187091 49.2229687, 6.918819 49.2229884, 6.9188651 49.2228795, 6.9187529 49.2228593, 6.9187114 49.2228519, 6.9186653 49.2229609))",,7 a,66128,Am Sprinkshaus,restaurant,,,,,,Pizzaservice Tano,,,,,,"[1017633793, 9981563278, 1017633791, 1017633940, 9981563311, 1017633695, 1017633793]",,,,commercial,"Mo-Sa 17:30-21:30; PH,Su closed",,,,,,,,,,italian,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88525193,,,"POLYGON ((7.0398737 49.2063794, 7.0405881 49.2065293, 7.0405775 49.2065507, 7.0407445 49.2065864, 7.0407908 49.2065012, 7.0408149 49.2064569, 7.0407871 49.206451, 7.0408625 49.2062988, 7.0408062 49.206287, 7.0407898 49.2062835, 7.0400031 49.2061182, 7.0398737 49.2063794))",Saarbrücken,32,66130,Kurt-Schumacher-Straße,,,,,,,,,,,,,"[1028159818, 4421851901, 4421851899, 4421851902, 9701564840, 4421851900, 1028159949, 1028160105, 9718603464, 9718603483, 1028159793, 1028159818]",,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
