element_type,osmid,wheelchair,geometry,nodes,addr:city,addr:housenumber,addr:postcode,addr:street,building,building:levels,roof:shape,building:use,wikimedia_commons,architect,start_date,ways,addr:country,addr:housename,name,type
way,92005243,,"POLYGON ((7.0169127 49.2286033, 7.0168015 49.2284324, 7.0169278 49.228399, 7.0169361 49.228409, 7.0173117 49.228306, 7.0173034 49.2282947, 7.0173836 49.2282731, 7.0174258 49.2282617, 7.0175357 49.2284288, 7.0174253 49.2284593, 7.0173886 49.2284027, 7.0170041 49.2285089, 7.0170421 49.2285675, 7.0169127 49.2286033))","[1068844877, 1068844862, 8495020169, 8495020205, 8495020209, 8495020186, 8928675495, 1068844867, 1068844914, 1068844929, 1068844892, 1068844879, 1068844927, 1068844877]",Saarbrücken,136,66121,Mainzer Straße,government,,,,,,,,,,,
way,92197547,,"POLYGON ((7.0160992 49.2290564, 7.016547 49.2289664, 7.017042 49.228867, 7.0171284 49.2288501, 7.0171735 49.2288412, 7.0172152 49.2288329, 7.0171784 49.2287455, 7.017169 49.2287226, 7.0160477 49.2289449, 7.0158136 49.2289913, 7.0158244 49.2290106, 7.015865 49.2291017, 7.0158978 49.2290955, 7.0159616 49.2290834, 7.0160992 49.2290564))","[2462710841, 9929361583, 2198046550, 7605761093, 2198046843, 1070385515, 2198046604, 1070385372, 2462710848, 1070385674, 1070385668, 2198046777, 7605761098, 7605761097, 2462710841]",,,,,government,5,flat,,,,,,,,,
way,92197548,,"POLYGON ((7.0177307 49.2285023, 7.0175337 49.2285569, 7.0175941 49.2286588, 7.017644 49.2286471, 7.017851 49.2289785, 7.0180207 49.2292321, 7.0181822 49.2294963, 7.0183477 49.2297441, 7.0184128 49.2297235, 7.0184944 49.2296976, 7.0177307 49.2285023))","[1070385658, 1070385683, 2198046587, 2198046841, 7605616081, 7605761127, 9925671941, 1070385399, 10297373793, 1070385522, 1070385658]",Saarbrücken,118,66121,Halbergstraße,government,,hipped,,,,,,,,,
way,92197549,,"POLYGON ((7.0179593 49.2297915, 7.0180165 49.2297811, 7.0181863 49.2297496, 7.0181454 49.2296535, 7.0179185 49.2296954, 7.0179593 49.2297915))","[1070385382, 7667665102, 1070385678, 1070385545, 1070385424, 1070385382]",Saarbrücken,116,66121,Halbergstraße,government,,hipped,residential,,,,,,,,
way,92197555,,"POLYGON ((7.01726 49.229326, 7.0176683 49.2292468, 7.017683 49.2292439, 7.0176382 49.2291457, 7.0175786 49.229015, 7.0171557 49.2290972, 7.01726 49.229326))","[1070385704, 1147904061, 1070385579, 7605761139, 1070385447, 1070385318, 1070385704]",,,,,government,,flat,,,,,,,,,
way,92197565,,"POLYGON ((7.0153078 49.2289894, 7.0152691 49.2288996, 7.0152297 49.2288081, 7.0153547 49.2287842, 7.0153577 49.2287912, 7.0156759 49.2287289, 7.0156728 49.2287218, 7.0158059 49.228697, 7.0158645 49.2288187, 7.0158918 49.2288732, 7.015764 49.2288974, 7.0157364 49.2288352, 7.0154165 49.2288957, 7.0154456 49.2289614, 7.0153078 49.2289894))","[1070385585, 7605761101, 1070385459, 9488578735, 9488578736, 9488578737, 9488578738, 1070385622, 7891052905, 1070385358, 1070385526, 1070385649, 1070385385, 1070385553, 1070385585]",Saarbrücken,134,66121,Mainzer Straße,government,,hipped,,,,,,,,,
way,92197572,,"POLYGON ((7.0128708 49.2298659, 7.0133037 49.2297821, 7.0132359 49.2296296, 7.0128031 49.2297134, 7.0128243 49.2297612, 7.0128708 49.2298659))","[1070385498, 1070385353, 1070385648, 1070385517, 9408277840, 1070385498]",Saarbrücken,6,66121,Hellwigstraße,government,,,office,,,,,,,,
way,92879065,,"POLYGON ((7.0187717 49.2295787, 7.0186517 49.2293946, 7.0184847 49.2294403, 7.0186221 49.2296568, 7.0187498 49.2295902, 7.0187717 49.2295787))","[1076976113, 1076973674, 1076976510, 1076974129, 10297373764, 1076976113]",,,,,government,,flat,,,,,,,,,
way,92879118,,"POLYGON ((7.0133366 49.2302469, 7.01327 49.23011, 7.0133427 49.2300927, 7.0132948 49.2300067, 7.0132275 49.2300227, 7.0132268 49.2300212, 7.0130569 49.2300565, 7.0130985 49.2301418, 7.0131309 49.2301351, 7.0131402 49.2301542, 7.0131893 49.2302551, 7.0131993 49.2302756, 7.0131658 49.2302826, 7.0132063 49.2303653, 7.0134339 49.2303177, 7.0133934 49.230235, 7.0133366 49.2302469))","[1076976722, 1076976230, 1076975229, 1076976639, 1076976373, 1076973678, 1076976122, 1751550302, 1751550298, 6970071716, 6970071715, 1076974442, 1076974000, 1076975923, 1076976278, 1076973808, 1076976722]",,,,,government,,,office,,,,,,,,
way,93336742,,"POLYGON ((7.0042463 49.2364755, 7.004725 49.236585, 7.0047638 49.2365119, 7.0042851 49.2364024, 7.0042463 49.2364755))","[1082195012, 1082195048, 1082194930, 1082194977, 1082195012]",,,,,government,2,,,,,,,,,,
way,209612374,,"POLYGON ((7.0184323 49.2290474, 7.0189747 49.2293415, 7.0189837 49.2293345, 7.0191502 49.2292044, 7.0191555 49.2292003, 7.0191496 49.2291971, 7.0186271 49.2289139, 7.0186131 49.2289062, 7.0186014 49.2289153, 7.0184323 49.2290474))","[2198046771, 2198046585, 10297373782, 10297373788, 2198046565, 10297373805, 10297373786, 1068844920, 10297373796, 2198046771]",,,,,government,,flat,,,,,,,,,
way,209612380,,"POLYGON ((7.015733 49.2295774, 7.0157145 49.229537, 7.0156794 49.2295439, 7.0156712 49.229526, 7.0155307 49.2295534, 7.0155178 49.229556, 7.0155201 49.2295795, 7.0155124 49.2295952, 7.0154956 49.2296097, 7.0154709 49.22962, 7.0154723 49.2296284, 7.015733 49.2295774))","[2198046764, 2198046785, 2198046812, 2198046850, 7605761121, 2198046559, 2198046573, 2198046593, 2198046824, 2198046679, 2198046794, 2198046764]",,,,,government,,flat,,,,,,,,,
way,209612381,,"POLYGON ((7.0154437 49.2296237, 7.0154709 49.22962, 7.0154956 49.2296097, 7.0155124 49.2295952, 7.0155201 49.2295795, 7.0155178 49.229556, 7.0155147 49.2295509, 7.0154995 49.2295357, 7.0154877 49.229529, 7.0154626 49.2295211, 7.015441 49.2295191, 7.0154019 49.2295258, 7.0153747 49.2295421, 7.0153633 49.2295586, 7.0153621 49.2295806, 7.0153716 49.2295976, 7.015392 49.2296129, 7.0154167 49.2296213, 7.0154437 49.2296237))","[2198046690, 2198046679, 2198046824, 2198046593, 2198046573, 2198046559, 2198046670, 2198046702, 2198046798, 2198046752, 2198046698, 2198046835, 2198046822, 2198046760, 2198046706, 2198046796, 2198046677, 2198046648, 2198046690]",,,,,government,,flat,,,,,,,,,
way,209612389,,"POLYGON ((7.0174829 49.2286885, 7.0171784 49.2287455, 7.0172152 49.2288329, 7.0171735 49.2288412, 7.0171827 49.2288611, 7.0175311 49.2287925, 7.0174829 49.2286885))","[2198046666, 2198046604, 1070385515, 2198046843, 2198046658, 2198046665, 2198046666]",,,,,government,1,flat,,,,,,,,,
way,209612392,,"POLYGON ((7.0176204 49.2287749, 7.0175311 49.2287925, 7.0171827 49.2288611, 7.0171735 49.2288412, 7.0171284 49.2288501, 7.0171376 49.22887, 7.0170512 49.228887, 7.0171004 49.2289935, 7.0177502 49.2288656, 7.0177136 49.2287864, 7.017633 49.2288023, 7.0176204 49.2287749))","[2198046688, 2198046665, 2198046658, 2198046843, 7605761093, 7605761094, 7605761092, 2198046654, 2198046814, 2198046563, 2198046620, 2198046688]",,,,,government,4,flat,,,,,,,,,
way,209612396,,"POLYGON ((7.0158244 49.2290106, 7.0154869 49.2290747, 7.015451 49.2289941, 7.0152933 49.229024, 7.015426 49.2293218, 7.0160773 49.2291982, 7.0160331 49.229099, 7.0159735 49.2291102, 7.0159616 49.2290834, 7.0158978 49.2290955, 7.015865 49.2291017, 7.0158244 49.2290106))","[1070385668, 1070385461, 1070385691, 1070385663, 1070385527, 1070385396, 7605761095, 7605761096, 7605761097, 7605761098, 2198046777, 1070385668]",,,,,government,,flat,,,,,,,,,
