element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,contact:email,contact:phone,contact:website,level,name,opening_hours,polling_station,polling_station:ref,ref:isil,wheelchair,wikidata,wikipedia,short_name,note:ref:isil,toilets:wheelchair,operator,check_date:opening_hours,nodes,building,building:levels,building:levels:underground,department,description:en,faculty,height,roof:shape,building:part,building:roof,contact:fax,description:payment,opening_hours:covid19,payment:account_cards,capacity:covid19,description:covid19,description:en:covid19,internet_access,internet_access:authentication,internet_access:captive_portal,internet_access:fee,internet_access:ssid,toilets:access,toilets:authentication:membership_card,toilets:centralkey,website
node,3718335100,POINT (7.0075307 49.2308757),Saarbrücken,DE,111,66121,Großherzog-Friedrich-Straße,library,info@frauengenderbibliothek-saar.de,+49 681 9388023,http://www.frauengenderbibliothek-saar.de/,0,FrauenGenderBibliothek Saar,"Tu 10:00-17:00; We,Fr 10:00-14:00; Th 14:00-19:00",2019,1341,DE-Sa24,yes,Q15810378,de:Frauengenderbibliothek Saar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4230856864,POINT (7.0398452 49.2528178),Saarbrücken,,B4 1,66123,Campus,library,,,http://bildungswissenschaften.uni-saarland.de/ib_web/,1,Bereichsbibliothek Empirische Humanwissenschaften,Mo-Fr 09:00-17:00,,,DE-291-314,,Q104184142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5979651648,POINT (7.0388903 49.253063),Saarbrücken,,B1 1,66123,Campus,library,romanib@mx.uni-saarland.de,,https://www.uni-saarland.de/fachrichtung/romanistik/ueber-uns/bibliothek.html,0,Romanistik-Bibliothek,,,,DE-291-307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5986564966,POINT (7.0398528 49.2527584),Saarbrücken,,B4 1,66123,Campus,library,,,https://www.uni-saarland.de/fakultaet-hw/wiwisb.html,1,Wirtschaftswissenschaftliche Seminarbibliothek,Mo-Fr 08:00-22:00; Sa 09:00-18:00,,,DE-291-109;DE-291-114,,Q104184115,,WIWISB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6242935587,POINT (7.0411527 49.2529719),,,,,,library,,,https://www.uni-saarland.de/fakultaet-p/bibliothek.html,0,Bereichsbibliothek 1 der Philosophischen Fakultät,Mo-Fr 08:15-19:15; Sa 10:00-15:00; PH off,,,none,,,,,"Zusammenschluss mehrerer Bibliotheken, daher auch kein ISIL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6737237928,POINT (6.9723138 49.2353486),,,,,,library,,,https://www.htwsaar.de/service/bibliothek/bib_goe,1;2,"Hochschulbibliothek Campus Alt-Saarbrücken, Bereich Goebenstraße","Mo-Fr 09:00-18:00 open ""Vorlesungszeit""; Sa09:00-14:00 open ""Vorlesungszeit""; Mo-Fr 09:00-18:00 open",,,DE-Sa16,yes,Q28737782,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9306434778,POINT (7.0406619 49.2528551),,,,,,library,,,https://www.dej.uni-saarland.de/,1,Deutsch-Europäisches Juridicum,"Mo-Fr 8:00-22:00, Sa 9:00-20:00, Su 13:00-19:00",,,DE-291-102,,,,DEJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9909507721,POINT (7.0442109 49.2549466),,,,,,library,info@ntnm-bib.de,,https://www.ntnm-bib.de/,0;1;2,Bibliothek für Naturwissenschaft und Technik der Naturwissenschaftlich-Technischen Fakultät (NT) der Universität des Saarlandes und des INM – Leibniz-Institut für Neue Materialien,Mo-Fr 09:00-20:00; Sa 10:00-16:00,,,DE-291-415;DE-291-417,,Q55520282,,NTNM,,,,2022-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9909507722,POINT (7.0443288 49.2549559),,,,,,library,,,https://www.uni-saarland.de/fachrichtung/musikwissenschaft/institut/bibliothek.html,3,Institutsbibliothek der Musikwissenschaft,Mo-Fr 09:00-20:00; Sa 10:00-16:00,,,DE-291-318,yes,,,IB Musikwissenschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9916897268,POINT (7.0412949 49.2542053),,,,,,library,,,https://www.uni-saarland.de/fachrichtung/kath-theologie/bibliothek.html,2,Bibliothek der Katholischen Theologie,Mo 10:30-18:00; Tu 9:30-14:00; We 10:30-17:00; Th 11:45-16:15,,,DE-291-348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9916897269,POINT (7.0412855 49.2542578),,,,,,library,,,https://www.uni-saarland.de/fachrichtung/ev-theologie/bibliothek.html,2,Bibliothek der Evangelischen Theologie,Mo 10:30-18:00; Tu 9:30-14:00; We 10:30-17:00; Th 11:45-16:15,,,DE-291-349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10024277657,POINT (7.0385402 49.2558575),,,,,,library,,,https://www.uni-saarland.de/page/biblex.html,0,Existenzgründungs-Bibliothek,Mo-Fr 08:00-17:00,,,DE-291-820,yes,,,BiblEx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10651505701,POINT (7.0396587 49.2537361),,,,,,library,,,https://europainstitut.de/lehre-forschung/bibliothek-edz/die-bibliothek,,Europäisches Dokumentationszentrum,"Mo-Fr 9:00-20:00, Sa 11:00-17:00",,,DE-291-503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,42838840,"POLYGON ((7.0461425 49.2566578, 7.0461487 49.2566247, 7.0462018 49.2563383, 7.0463259 49.2563482, 7.0463951 49.2563537, 7.0465781 49.2563682, 7.0465189 49.2566877, 7.0463766 49.2566764, 7.0462653 49.2566676, 7.0461425 49.2566578))",Saarbrücken,,E2 3,66123,Campus,library,library@infomath-bib.de,,https://www.infomath-bib.de/,,Campus-Bibliothek für Informatik und Mathematik,Mo-Fr 09:00-18:00,,,,,Q28720055,,,,,Max-Planck-Institut für Informatik;Max-Planck-Institut für Softwaresysteme;Deutsches Forschungszentrum für Künstliche Intelligenz GmbH;Universität des Saarlandes,,"[535987900, 1422926224, 535987899, 10003009915, 6996913205, 535987902, 535987901, 6407656771, 6407656770, 535987900]",university,2,1,computer_science;mathematics,Library,computer_science;mathematics,4 m,flat,,,,,,,,,,,,,,,,,,
way,125722294,"POLYGON ((6.9975135 49.2301118, 6.9974682 49.2300238, 6.9974806 49.2300211, 6.9977995 49.2299515, 6.9978423 49.2300389, 6.9975135 49.2301118))",Saarbrücken,DE,1,66111,Bismarckstraße,library,bibliothek@hfm.saarland.de,+49 681 9673119,,,Öffentliche Musikbücherei des Saarlandes,"Mo-Th 10:00-12:00,14:00-15:00; Fr 10:00-12:00",,,DE-Sa17,,Q28734736,,,,,Staatskanzlei des Saarlandes (Kulturabteilung),,"[1224182222, 1395763979, 5218501925, 1395763962, 1224182220, 1224182222]",,,,,,,,,yes,flat,+49 681 9673130,,,,,,,,,,,,,,,
way,540049078,"POLYGON ((7.0387506 49.2526415, 7.0392765 49.2526831, 7.0393395 49.2527233, 7.0392953 49.2529308, 7.0391316 49.2536565, 7.0390579 49.2536836, 7.0384343 49.2536372, 7.0382398 49.2536175, 7.0382247 49.2536115, 7.0381413 49.2535781, 7.0381131 49.2535444, 7.038091 49.2535129, 7.0381237 49.2532904, 7.0381165 49.2532595, 7.0380749 49.2532262, 7.0380092 49.2532083, 7.0378751 49.2531965, 7.0381053 49.2529064, 7.0381094 49.2529011, 7.0381137 49.2528955, 7.0381696 49.2528231, 7.0381743 49.252817, 7.0381797 49.2528101, 7.0381969 49.2527896, 7.0382431 49.2527344, 7.0383491 49.2526078, 7.0383994 49.252603, 7.0387506 49.2526415))",,,,,,library,,+49 681 302 3088,http://www.sulb.uni-saarland.de/,,Saarländische Universitäts- und Landesbibliothek,Mo-Fr 09:00-21:00;Sa 10:00-15:00,,,DE-291,yes,Q1518713,,SULB,,,,,"[9431067592, 9431067591, 9431067593, 10621197870, 9431067594, 9431067595, 10621197868, 10621197869, 6049419813, 10621197867, 10621197866, 10621197865, 10621197878, 10621197864, 10621197879, 10621197880, 10621197881, 9920037867, 10649831874, 10649857561, 10649857559, 10649831873, 9920037868, 9920037874, 9920037871, 10621197875, 10621197876, 9431067592]",,,,,,,,,,,,Mensa-Karte,restricted,yes,,,,,,,,,,,,
