element_type,osmid,barrier,wheelchair,geometry,access,name,noname,tourism,wikimedia_commons,note,contact:website,description,start_date,operator,leisure,lit,historic,nodes,name:etymology:wikidata,image,wikidata,alt_name,opening_hours,landcover,landuse,name:fr,architect,surface,old_name,wikipedia,fee,dog,abandoned:landuse,contact:phone,operator:wikidata,zoo,website,disused:landuse,landuse:1851-1917,source,ways,type
way,15033190,,,"POLYGON ((7.0151491 49.2421835, 7.0157757 49.2416666, 7.0157954 49.2416515, 7.0158146 49.2416415, 7.0158417 49.2416352, 7.0158714 49.2416354, 7.0159063 49.2416385, 7.0159317 49.2416467, 7.0159568 49.2416589, 7.0159762 49.2416734, 7.0159881 49.2416928, 7.0159922 49.2417121, 7.0159936 49.2417327, 7.0159808 49.2417525, 7.015966 49.2417657, 7.0159447 49.2417847, 7.0159178 49.2417855, 7.0153537 49.242259, 7.0153601 49.2422753, 7.0153278 49.2423009, 7.0153018 49.2423121, 7.0152718 49.2423213, 7.0152301 49.2423239, 7.0151999 49.2423195, 7.0151705 49.2423076, 7.015135 49.242284, 7.0151169 49.2422613, 7.0151124 49.2422328, 7.0151184 49.2422195, 7.0151243 49.2422066, 7.0151491 49.2421835))",,Ilseplatz,,,,,,,,,park,,,"[148332317, 148332321, 1509628009, 1509628005, 1509628003, 1509628000, 1509628002, 1509628007, 1509628011, 1509628012, 536524150, 536524148, 148332323, 1509628013, 9826598252, 1509628014, 1509628015, 1509628019, 1509628021, 148332324, 1509628024, 1509628026, 1509628027, 1509628025, 1509628023, 1509628022, 1509628020, 1509628018, 9826589454, 1509628017, 148332317]",,,,,,,,,,,,,,,,,,,,,,,,
way,24906766,,,"POLYGON ((6.9857766 49.233712, 6.9858254 49.2337153, 6.9859131 49.2337079, 6.9865551 49.2336535, 6.9871654 49.2335893, 6.9881473 49.2334635, 6.988132 49.2334238, 6.9882231 49.2334073, 6.987985 49.232786, 6.9879277 49.2327916, 6.9879379 49.2328197, 6.9878693 49.2328257, 6.987627 49.2328413, 6.9875465 49.2328465, 6.9875198 49.2328482, 6.9875404 49.2329617, 6.9875583 49.2329647, 6.9875635 49.2330005, 6.9875683 49.2330318, 6.9875705 49.2330439, 6.9875714 49.2330492, 6.987587 49.2331307, 6.987252 49.2331546, 6.9871988 49.2331585, 6.9871907 49.2331138, 6.9869443 49.2331316, 6.9870153 49.2335316, 6.9868911 49.2335414, 6.9868871 49.2335196, 6.9868559 49.2335231, 6.9868247 49.2335266, 6.9868249 49.2335297, 6.9868252 49.2335359, 6.9865295 49.2335595, 6.9865254 49.233548, 6.986473 49.2335521, 6.9864772 49.2335747, 6.9863544 49.2335843, 6.9862794 49.2331754, 6.9860161 49.2331931, 6.985804 49.2332074, 6.9857778 49.2330333, 6.9857711 49.2329894, 6.9856039 49.2330026, 6.9857015 49.233601, 6.9857156 49.2336817, 6.9857378 49.2337008, 6.9857766 49.233712))",,,,,,,,,,,park,,,"[270610167, 9520867773, 7471560734, 9520867769, 814691384, 9030047375, 270610170, 9030047374, 1373667640, 6986280416, 6986280417, 270610168, 6983178129, 6983178128, 1039754779, 1039755308, 10699987930, 10699987925, 8829923122, 10699987932, 8829921299, 318919801, 2242091397, 6985850596, 6986137414, 318919802, 814689233, 6984009103, 6984009101, 7762587437, 7762587438, 6985871500, 7762587440, 7762587439, 7762587443, 6984009102, 6984009104, 814689232, 814691381, 8829921314, 814691378, 6986137404, 814691377, 814691376, 7471560766, 9520867772, 9520867771, 270610167]",,,,,,,,,,,,,,,,,,,,,,,,
way,24942699,,,"POLYGON ((6.9898639 49.2384745, 6.9897748 49.2385094, 6.9896681 49.2385521, 6.9899948 49.2389107, 6.99007 49.2388804, 6.990111 49.2388627, 6.9901365 49.2388385, 6.9901498 49.2387984, 6.9901337 49.2387539, 6.9898639 49.2384745))",,Wolfgang-Staudte-Platz,,,,,,,,,park,,,"[5566009878, 923937903, 5573445197, 5573445196, 5237875907, 5573445198, 10543774673, 5566009871, 5566009877, 5566009878]",Q69159,,,,,,,,,,,,,,,,,,,,,,,
way,25328311,,,"POLYGON ((7.0175464 49.2228955, 7.0175648 49.2229204, 7.0191887 49.2232045, 7.0190186 49.2230362, 7.0188581 49.2228351, 7.0186452 49.2225861, 7.0182373 49.2221593, 7.0180897 49.2220925, 7.0180435 49.2220588, 7.0180396 49.2220337, 7.0180621 49.2220039, 7.0179843 49.2219664, 7.0179104 49.2219704, 7.0177507 49.222004, 7.0174225 49.2222208, 7.0175464 49.2228955))",,,,,,,,,,,park,,,"[10267961706, 2140385743, 146789035, 5472113452, 8627195498, 8627195495, 275944297, 9231273195, 4084899552, 4084899550, 4084899549, 9231326540, 9231326539, 4084899547, 10267961705, 10267961706]",,,,,,,,,,,,,,,,,,,,,,,,
way,25397079,,,"POLYGON ((7.0242273 49.2242617, 7.0241864 49.2242428, 7.0241303 49.2242154, 7.0240781 49.2242114, 7.0237469 49.2240281, 7.023698 49.2240114, 7.0235188 49.2239525, 7.0243674 49.2233783, 7.0244825 49.2234246, 7.024672 49.2235133, 7.0247134 49.2235602, 7.024704 49.2236152, 7.0243716 49.2240254, 7.0242273 49.2242617))",,Römerkastell,,,,,,,,,park,,archaeological_site,"[276791728, 7945904387, 9251063164, 9251063200, 9251063153, 7945911327, 276791729, 276791730, 9356985619, 276791731, 1903050301, 276791732, 276791733, 276791728]",,File:20130401Roemerkastell_Saarbruecken4.jpg,Q66282597,,,,,,,,,,,,,,,,,,,,,
way,27206347,,,"POLYGON ((7.0126513 49.2244183, 7.0126696 49.2243797, 7.0126549 49.2243418, 7.0126134 49.2243195, 7.0125578 49.2243202, 7.0124741 49.2243345, 7.0122859 49.2243832, 7.0119442 49.2244832, 7.0118524 49.2245133, 7.0117825 49.2245446, 7.0117267 49.2245796, 7.0114193 49.2248386, 7.011316 49.2249083, 7.0112272 49.2249573, 7.0111398 49.2249957, 7.0110218 49.2250373, 7.0109133 49.2250652, 7.0107898 49.2250901, 7.0106259 49.2251068, 7.0104817 49.225119, 7.0103641 49.2251218, 7.010243 49.2251241, 7.0101061 49.2251206, 7.0097032 49.2251034, 7.009401 49.2250938, 7.0091774 49.2250874, 7.0089391 49.2250874, 7.0088888 49.2250917, 7.0088261 49.2251058, 7.0086677 49.225153, 7.0085816 49.2251741, 7.0085049 49.2251874, 7.0084428 49.2251924, 7.0083902 49.2251841, 7.0083497 49.225169, 7.0083277 49.2251431, 7.0083267 49.225109, 7.008348 49.2250849, 7.0084266 49.2250403, 7.0089127 49.2248841, 7.0090193 49.2248558, 7.0099594 49.2246063, 7.010151 49.2245662, 7.0108371 49.2244226, 7.0114701 49.2242725, 7.0122131 49.2240728, 7.0127746 49.2239059, 7.0128097 49.2238955, 7.0131328 49.2237995, 7.0134441 49.2240877, 7.0135232 49.2241538, 7.0138571 49.2244331, 7.0138122 49.2244606, 7.0137738 49.2244813, 7.0133883 49.2242231, 7.0131629 49.2240991, 7.0127064 49.2245615, 7.012698 49.2245699, 7.0125282 49.2247389, 7.0125855 49.2247902, 7.0123368 49.2250383, 7.0120017 49.2252187, 7.0118321 49.225309, 7.0118114 49.225318, 7.0117696 49.2253396, 7.0117531 49.2253479, 7.0117401 49.2253544, 7.01186 49.2254501, 7.0111992 49.2258041, 7.0111385 49.225689, 7.0109434 49.2257375, 7.0108684 49.225727, 7.0107676 49.225767, 7.0107636 49.2257599, 7.0107053 49.2257624, 7.010706 49.2257702, 7.0104622 49.2257825, 7.0104423 49.2257835, 7.0102382 49.2257947, 7.0099033 49.2258186, 7.0096975 49.2258284, 7.0092851 49.2258527, 7.0089099 49.2258774, 7.0088549 49.2258797, 7.0087936 49.225883, 7.0087674 49.2258845, 7.0087447 49.2258867, 7.0071624 49.2259589, 7.0067031 49.2260192, 7.006593 49.2260494, 7.0065385 49.2260644, 7.0063773 49.2261067, 7.0063461 49.2260644, 7.006224 49.2260986, 7.0061926 49.2261071, 7.0061619 49.2261155, 7.0061061 49.2261308, 7.0059054 49.2262171, 7.0055471 49.2264322, 7.0054241 49.2265023, 7.0053851 49.2265469, 7.0053847 49.2265474, 7.0053836 49.2265486, 7.0054754 49.2266237, 7.0054562 49.2266348, 7.005383 49.2266828, 7.0052867 49.226748, 7.0052234 49.2268053, 7.0051503 49.2268739, 7.004909 49.2271666, 7.0046669 49.2274873, 7.0045012 49.2277322, 7.0044673 49.2277823, 7.0043397 49.2279707, 7.0037912 49.2287633, 7.0037348 49.2288244, 7.0037718 49.2288551, 7.0036881 49.2289742, 7.0035176 49.2290306, 7.0035053 49.2290139, 7.0029114 49.2292124, 7.0029193 49.2292286, 7.0025586 49.2293338, 7.0020724 49.2294665, 7.0019748 49.2292561, 7.0021159 49.2292206, 7.0022702 49.2291756, 7.0027487 49.2290277, 7.0030954 49.2289062, 7.0031711 49.2288728, 7.0032344 49.228831, 7.0032804 49.2287835, 7.0033263 49.2287216, 7.0033848 49.22864, 7.0034876 49.2284624, 7.0035779 49.2282427, 7.0037626 49.2277285, 7.0038247 49.2275592, 7.0038835 49.2274138, 7.0039381 49.2272982, 7.0039889 49.2272038, 7.0042087 49.2268304, 7.0042876 49.2267308, 7.0043903 49.2266101, 7.0044999 49.226512, 7.0046345 49.2263946, 7.0047687 49.2262961, 7.0049061 49.2261989, 7.0050778 49.226085, 7.0052647 49.225962, 7.0055417 49.2257949, 7.005766 49.2256735, 7.0059779 49.2255896, 7.0062207 49.2255189, 7.0064786 49.2254596, 7.00666 49.225436, 7.0067963 49.2254231, 7.0069463 49.225418, 7.0072333 49.2254103, 7.0077571 49.2253999, 7.0081671 49.2254098, 7.0089206 49.2254241, 7.009665 49.2254425, 7.0102905 49.2254565, 7.0105343 49.2254496, 7.010745 49.2254361, 7.0109722 49.2254119, 7.011196 49.2253647, 7.011317 49.2253343, 7.0114722 49.2252864, 7.0115514 49.2252562, 7.0116257 49.225229, 7.0117809 49.2251393, 7.0120852 49.2249007, 7.0124018 49.2246371, 7.0125702 49.2245006, 7.0126513 49.2244183))",,Staden,,,,,,,,,park,,,"[4048762320, 269849251, 4048751483, 2162473153, 4048762307, 269849252, 1327149194, 269849253, 1327149193, 4048751487, 269849254, 269849255, 1268913985, 4049982548, 269849256, 4048751478, 269849257, 4048762317, 1268913999, 4049982542, 4048762316, 269849258, 4048762292, 269849259, 4049982541, 269849260, 4048762304, 2162473158, 4048762319, 269849261, 4048762289, 4049982547, 4048751485, 269849262, 4049982546, 2162473154, 269849263, 2162473157, 269849264, 269849265, 2162473150, 269849266, 1268913986, 269849138, 1268913983, 2162473159, 9178403331, 7864519056, 298545668, 298545669, 293871514, 402851321, 4049982545, 4049979922, 9178483482, 345707110, 10249265434, 10249265445, 1021093017, 4049979919, 1021093095, 1021092948, 8551253463, 1327144318, 1403511911, 8507856695, 1327145046, 1327145050, 1327145045, 1327145048, 298545680, 8551253420, 8551253483, 8551130104, 8551253476, 8551253450, 1327169616, 7636499150, 7636499169, 7636499147, 7636499165, 1404792269, 8507856697, 8507856700, 8541978532, 1404792693, 8541978565, 1327169631, 1327169623, 8815481242, 5509385349, 5509385350, 10979468808, 1403511937, 8180578908, 8180578912, 8180578904, 1327169603, 7921075572, 1404792686, 10979468827, 10979468819, 7921075573, 1404792690, 8168281958, 2203820136, 1327169627, 2182951937, 2203820139, 9203354472, 1404792694, 7636499142, 7636499143, 1404792691, 1404792692, 10884462468, 1327175560, 1327175554, 9981839096, 1327175551, 1327175542, 9415792664, 9415792667, 1327175557, 5728936346, 4048762296, 267040067, 269849434, 269849435, 4048762310, 4048762298, 4048762302, 1327175556, 1340044005, 269849437, 269849438, 269849439, 4048751479, 4048751476, 269849440, 4048762308, 269849441, 4048751481, 269849442, 4048762309, 269849443, 4048762299, 269849444, 4048762311, 269849445, 2140344184, 269849446, 2140344129, 269849447, 269849268, 4048762290, 2140344146, 269849269, 269849270, 2140344150, 4048762315, 269849243, 269849244, 269849245, 1268913994, 2140344155, 269849246, 1268913982, 4048762322, 269849247, 4048751488, 2140344159, 269849248, 269849249, 269849250, 1327149196, 4048762320]",,,Q15848783,,,,,,,,,,,,,,,,,,,,,
way,28128527,,,"POLYGON ((6.9974472 49.230278, 6.997333 49.2300533, 6.9974682 49.2300238, 6.9974806 49.2300211, 6.9977995 49.2299515, 6.9979159 49.2299261, 6.9980464 49.230187, 6.9981491 49.2301649, 6.9982335 49.2303367, 6.9983333 49.2303158, 6.9979316 49.2295169, 6.9974953 49.2295409, 6.9972819 49.2295527, 6.997077 49.2295824, 6.9970605 49.2295848, 6.9969472 49.2296013, 6.9968367 49.2296259, 6.9965228 49.2297049, 6.996353 49.2297509, 6.9959181 49.2298913, 6.9953993 49.2300849, 6.995318 49.2301206, 6.9947862 49.2303728, 6.994454 49.2305765, 6.9943096 49.2307033, 6.9942506 49.2307623, 6.9942098 49.2308145, 6.9940491 49.2310167, 6.9939649 49.2311371, 6.9938639 49.2313016, 6.9937215 49.2315787, 6.993943 49.2316329, 6.9943579 49.2317344, 6.9943583 49.2317338, 6.9943818 49.2316973, 6.9944092 49.2316552, 6.994458 49.23158, 6.9944793 49.2315454, 6.9944684 49.231539, 6.9944704 49.2315272, 6.9945884 49.2314022, 6.9947128 49.2312719, 6.9949039 49.2311068, 6.9950067 49.2310211, 6.9951797 49.23089, 6.9952002 49.2308013, 6.9954795 49.2306489, 6.9958757 49.2304863, 6.9960915 49.2304087, 6.9962377 49.2303605, 6.9968888 49.2301315, 6.9968725 49.2301113, 6.9969838 49.2300732, 6.9970134 49.2300644, 6.9971284 49.2300256, 6.9971672 49.2300521, 6.9973044 49.2303083, 6.9974472 49.230278))",,,,,Category:Anlage am Staatstheater Saarbrücken,,,,,,park,,,"[9309579295, 609761040, 1395763979, 5218501925, 1395763962, 609761038, 1268626308, 1268626334, 5401773948, 5401773956, 267040062, 8653825078, 267040061, 966217028, 8653825082, 267040060, 8026370339, 267040059, 267039951, 267039950, 267039958, 8638651427, 267039949, 267039948, 1268668540, 1268668617, 1268668569, 267039947, 1268668610, 267039946, 262879273, 1141945001, 308942806, 9543408007, 5492614849, 1270279271, 1268599570, 5494506056, 5492614852, 5492614851, 5492614850, 1268386270, 1268599565, 1268386263, 308942809, 9223909407, 609764145, 1268599580, 1428397904, 1268599584, 5492614845, 1268602846, 8026437379, 5509479150, 308942810, 1268628676, 5404316604, 9309579295]",,,,,,,,,,,,,,,,,,,,,,,,
way,28244040,,,"POLYGON ((6.898213 49.230185, 6.8979842 49.2301144, 6.8976561 49.2300021, 6.8975252 49.2299532, 6.8976137 49.2297875, 6.897681 49.2296459, 6.8978985 49.2291964, 6.8979075 49.2291781, 6.8979917 49.2291921, 6.89805 49.2292034, 6.8980303 49.2292416, 6.898248 49.229286, 6.8982648 49.2292497, 6.8983548 49.2292686, 6.8981152 49.2297221, 6.8985646 49.2298337, 6.8985054 49.22993, 6.8983833 49.2298992, 6.8982248 49.2301664, 6.898213 49.230185))",,,,,,,,,,,park,,,"[310204473, 310204475, 310204165, 310204177, 440069078, 767399904, 255103058, 255135926, 9998413544, 9998413541, 9998413540, 9998413539, 9998413542, 310204478, 310204487, 310204489, 254570882, 254570881, 10927831246, 310204473]",,,,,,,,,,,,,,,,,,,,,,,,
way,28670106,,,"POLYGON ((6.9160313 49.2452546, 6.9150843 49.2454927, 6.9145588 49.2456093, 6.9141058 49.2457033, 6.9132925 49.2458651, 6.9124268 49.2460102, 6.9115465 49.2461376, 6.9111506 49.2462181, 6.9108397 49.2462685, 6.9104888 49.2462637, 6.9100037 49.2462456, 6.9098626 49.2462566, 6.909544 49.2463518, 6.9090796 49.2464822, 6.9082866 49.2467043, 6.9070314 49.2469719, 6.9064738 49.2469386, 6.9063796 49.2469379, 6.9055034 49.2469456, 6.9049712 49.2469397, 6.9047959 49.2469529, 6.9046391 49.2469532, 6.903716 49.2469945, 6.9034913 49.2470261, 6.9032774 49.2470323, 6.9032443 49.2468606, 6.9032813 49.2468568, 6.904152 49.2467562, 6.9042791 49.2467402, 6.9043733 49.2467487, 6.9045269 49.2468234, 6.9046928 49.2468216, 6.904877 49.2467916, 6.9050667 49.2468098, 6.9058713 49.2467946, 6.906484 49.2467594, 6.9069598 49.2467035, 6.9074891 49.246567, 6.9076943 49.2465101, 6.9079325 49.2464295, 6.9079586 49.2463748, 6.9078855 49.2463573, 6.9076363 49.2464206, 6.9073749 49.2464949, 6.9072292 49.2465345, 6.9070613 49.2465705, 6.9069138 49.2466059, 6.9068221 49.2465754, 6.906592 49.2465618, 6.9057607 49.2466567, 6.9053478 49.2466918, 6.9050351 49.246702, 6.9047331 49.2467305, 6.9045369 49.2467583, 6.9045022 49.2467507, 6.9045045 49.2467274, 6.9045218 49.2467156, 6.9045584 49.2467085, 6.9046432 49.2467082, 6.9057552 49.2466164, 6.9071306 49.2464412, 6.9079717 49.2463188, 6.9095933 49.2460598, 6.9118057 49.245672, 6.9144606 49.2451782, 6.9145207 49.245167, 6.9150012 49.2450357, 6.9151407 49.2450932, 6.9153446 49.2450727, 6.916564 49.2447622, 6.9170943 49.2445553, 6.9171381 49.2444841, 6.9171143 49.2444359, 6.9169925 49.2444719, 6.9165385 49.244629, 6.9151579 49.2450166, 6.9151251 49.2450024, 6.9165804 49.2445836, 6.9171652 49.2443693, 6.9174413 49.2448601, 6.9167472 49.2450655, 6.9160313 49.2452546))",,,,,,,,,,,park,,,"[315072667, 315072671, 315072675, 315072680, 315072685, 315072690, 315072695, 315072699, 315072700, 315072701, 315072702, 9712848954, 315072703, 315072704, 315072705, 315072706, 315072707, 315072708, 315072709, 3284362656, 3284362657, 315072710, 9760751419, 9760751491, 1154740205, 9761503584, 8846814433, 2493878119, 272856785, 2493878121, 272856786, 2493878125, 2493878123, 272856787, 272856788, 272856789, 272856791, 616788405, 1082773480, 616788409, 616788411, 616788410, 616788407, 616788406, 272856793, 1082773490, 272856794, 616788404, 616788403, 272856795, 2493878116, 272856797, 2493868925, 272856798, 2493868932, 2493868923, 272856799, 2493868921, 2493868917, 261649629, 616788402, 616788408, 255598079, 255585502, 8846799761, 261649597, 261649741, 261649740, 261649739, 261649738, 261649737, 616798171, 261649736, 616798169, 261649742, 261649743, 261649744, 255585500, 261649603, 315072713, 9712848960, 315072667]",,,,,,,,,,,,,,,,,,,,,,,,
way,30965591,,,"POLYGON ((7.0378807 49.2547221, 7.038094 49.2547094, 7.0385396 49.2547337, 7.0386131 49.2543515, 7.0386406 49.2542085, 7.038652 49.2541492, 7.0382232 49.2541119, 7.0382998 49.2537291, 7.0377664 49.253681, 7.037848 49.2532405, 7.0378056 49.2532287, 7.0377664 49.2532177, 7.0375981 49.253196, 7.0375545 49.2532124, 7.0374247 49.2531977, 7.0373121 49.2531858, 7.0372477 49.253179, 7.0360294 49.2530499, 7.0358914 49.2530149, 7.0357475 49.2529688, 7.0354482 49.2530759, 7.0370379 49.2546099, 7.037093 49.2546458, 7.0371654 49.254667, 7.0378807 49.2547221))",,Ehemaliger Botanischer Garten,,,,,,,,,park,,,"[344338568, 1035553011, 1035553071, 5908839580, 5908839581, 344338569, 1034367183, 1034367173, 1034367177, 1034367184, 5225988541, 10621457467, 10621457466, 9837439312, 5225988540, 6049420394, 9837439313, 1034367187, 9584214054, 1034367175, 1034367180, 344338571, 9584205961, 9584205962, 344338568]",,,Q824180,,,,,,,,,,,,,,,,,,,,,
