element_type,osmid,amenity,taxi,geometry,access,barrier,traffic_sign,parking,wheelchair,highway,lit,hgv,description,fee,access:conditional,foot,foot:conditional,note,note:access,surveillance,name,bicycle,motorcar,capacity,surface,emergency,maxheight,start_date,website,motor_vehicle,motorcycle,trailer,vehicle,wheelchair:description,opening_hours,level,layer,operator,maxwidth,private,park_ride,supervised,ref,bus,addr:city,addr:housenumber,addr:postcode,addr:street,contact:website,indoor,fixme,addr:country,brand,covered,kiss_ride,maxstay,operator:type,operator:wikidata,capacity:disabled,disabled,markings,nodes,paving_stones:material,orientation,building,brand:wikidata,name:fr,maxweight,smoothness,max_level,min_level,maxstay:conditional,parking:authentication:disc:conditional,access:note,zone,maxstay:monitoring,parking:authentication:disc,source,parking_disc,wikimedia_commons,fee:conditional,building:levels,roof:levels,roof:shape,capacity:parent,capacity:women,parking:orientation,alt_name,contact:phone,charge,old_name,building:use,authentication:disc,denomination,religion,ruins,charge:conditional,location,building:colour,payment:cash,area,building:part,landuse,service,park,parking:restriction:conditional,parking:zone,toilets:wheelchair,phone,restriction:conditional,capacity:tourist_bus,tourist_bus,authentication:disc:conditional,charge:note,building:min_level,wikidata,parking:condition,parking:condition:residents,restriction,skateboard,restriction:taxi,parking:condition:conditional,motorhome,disabled:conditional,capacity:charging,car_sharing,parking:restriction,ways,type
node,269209042,parking,,POINT (6.9308471 49.2750349),,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,272678203,parking,,POINT (7.0583893 49.2449682),,,,street_side,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,278011412,parking,,POINT (6.8304847 49.2170097),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,289896229,parking,,POINT (7.0753004 49.220544),,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,290512326,parking,,POINT (7.0856173 49.1883808),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,292134477,parking,,POINT (7.0273891 49.2482644),private,,,surface,,,,,"Der Parkplatz ist für Dozenten, Studierende und Besucher des Gästehauses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,297736084,parking,,POINT (6.9616461 49.2044329),,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,303970067,parking,,POINT (7.0383792 49.2785314),yes,,,surface,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,324406492,parking,,POINT (7.0576011 49.2708585),yes,,,surface,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,363995526,parking,,POINT (7.1108352 49.2103231),,,,surface,,,,,,,,,,,,,Firmenparkplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,384631386,parking,,POINT (7.0550482 49.2462975),,,,surface,,,,,,,,,,,,,Kirchengemeinde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
