element_type,osmid,access,amenity,covered,fee,parking,geometry,nodes,area,capacity,parking_space
node,6536932591,no,parking_space,no,no,surface,POINT (7.029866 49.2160156),,,,
way,476056010,,parking_space,,,,"POLYGON ((6.935809 49.2457247, 6.9358378 49.2457253, 6.9358403 49.2456777, 6.9358116 49.2456771, 6.935809 49.2457247))","[4697119295, 4697119297, 4697119298, 4697119296, 4697119295]",yes,,
way,476056011,,parking_space,,,,"POLYGON ((6.9358378 49.2457253, 6.9358743 49.2457262, 6.9358769 49.2456785, 6.9358403 49.2456777, 6.9358378 49.2457253))","[4697119297, 4697119299, 4697119300, 4697119298, 4697119297]",yes,,
way,476056012,,parking_space,,,,"POLYGON ((6.9358743 49.2457262, 6.935912 49.2457272, 6.9359146 49.2456793, 6.9358769 49.2456785, 6.9358743 49.2457262))","[4697119299, 4697119301, 4697119302, 4697119300, 4697119299]",yes,,
way,476056013,,parking_space,,,,"POLYGON ((6.935912 49.2457272, 6.935948 49.2457281, 6.9359505 49.24568, 6.9359146 49.2456793, 6.935912 49.2457272))","[4697119301, 4697119303, 4697119304, 4697119302, 4697119301]",yes,,
way,476056014,,parking_space,,,,"POLYGON ((6.935948 49.2457281, 6.9359828 49.2457289, 6.9359853 49.2456808, 6.9359505 49.24568, 6.935948 49.2457281))","[4697119303, 4697119305, 4697119306, 4697119304, 4697119303]",yes,,
way,476056015,,parking_space,,,,"POLYGON ((6.9359828 49.2457289, 6.9360193 49.2457298, 6.936022 49.2456815, 6.9359853 49.2456808, 6.9359828 49.2457289))","[4697119305, 4697119307, 4697119308, 4697119306, 4697119305]",yes,,
way,476056016,,parking_space,,,,"POLYGON ((6.9360193 49.2457298, 6.9360582 49.2457308, 6.9360604 49.2456824, 6.936022 49.2456815, 6.9360193 49.2457298))","[4697119307, 4697119309, 4697119310, 4697119308, 4697119307]",yes,,
way,476056017,,parking_space,,,,"POLYGON ((6.9360582 49.2457308, 6.9360946 49.2457315, 6.936097 49.2456831, 6.9360604 49.2456824, 6.9360582 49.2457308))","[4697119309, 4697119311, 4697119312, 4697119310, 4697119309]",yes,,
way,476056018,,parking_space,,,,"POLYGON ((6.9360946 49.2457315, 6.9361301 49.2457324, 6.9361324 49.2456837, 6.936097 49.2456831, 6.9360946 49.2457315))","[4697119311, 4697119313, 4697119314, 4697119312, 4697119311]",yes,,
way,476056019,,parking_space,,,,"POLYGON ((6.9361301 49.2457324, 6.9361629 49.2457333, 6.9361648 49.2456841, 6.9361324 49.2456837, 6.9361301 49.2457324))","[4697119313, 4697119315, 4697119316, 4697119314, 4697119313]",yes,,
way,476056020,,parking_space,,,,"POLYGON ((6.9361629 49.2457333, 6.9361951 49.2457339, 6.936197 49.2456846, 6.9361648 49.2456841, 6.9361629 49.2457333))","[4697119315, 4697119317, 4697119318, 4697119316, 4697119315]",yes,,
way,476056021,,parking_space,,,,"POLYGON ((6.9361951 49.2457339, 6.9362272 49.2457345, 6.9362292 49.2456851, 6.936197 49.2456846, 6.9361951 49.2457339))","[4697119317, 4697119319, 4697119320, 4697119318, 4697119317]",yes,,
way,476056022,,parking_space,,,,"POLYGON ((6.9362272 49.2457345, 6.9362623 49.2457352, 6.9362644 49.2456856, 6.9362292 49.2456851, 6.9362272 49.2457345))","[4697119319, 4697119292, 4697119321, 4697119320, 4697119319]",yes,,
