element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,name,religion,wheelchair,wikidata,wikimedia_commons,wikipedia,geometry,denomination,wheelchair:description,fixme,addr:suburb,service_times,brand:wikidata,addr:country,contact:website,man_made,old_name,contact:facebook,contact:phone,opening_hours,barrier,image,tourism,level,description,historic,material,operator,name:en,room:ref,short_name,colour,nodes,bicycle,bollard,building,foot,name:fr,website,architect,architect:wikidata,building:architecture,diocese,heritage,architect:wikipedia,deanery,parish,start_date,building:use,alt_name,building:colour,building:levels,building:material,height,roof:material,roof:shape,operator:wikidata,amenity:community_centre,amenity:place_of_worship,name:signed,source,year_of_construction,contact:email,contact:fax,network,roof:levels,roof:orientation,source:name,building:part,addr:neighbourhood,capacity,name:de,landuse,contact:instagram,contact:twitter,contact:youtube,ways,type
node,275917220,Saarbrücken,15,66133,Kirchweg,place_of_worship,St. Ursula,christian,no,Q15848717,Category:St. Ursula (Scheidt),de:St. Ursula (Saarbrücken),POINT (7.0553054 49.2460225),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1024646350,,,,,place_of_worship,Evangelische Kirche Scheidt,christian,,Q1380896,Category:Evangelische Kirche Scheidt (Saarbrücken),de:Evangelische Kirche Scheidt,POINT (7.0601774 49.2455843),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1058856502,,,,,place_of_worship,Edith-Stein-Kirche,christian,limited,,,,POINT (7.0402282 49.2557325),roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3192161724,Saarbrücken,14-16,66121,Arndtstraße,place_of_worship,Bosnisches Islamisches Kulturzentrum Saarbrücken,muslim,,,,,POINT (7.0082297 49.230236),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4037815533,,,,,place_of_worship,Krankenhauskapelle,christian,,,,,POINT (7.0121191 49.2004865),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5087463322,Saarbrücken,2,66117,Gutenbergstraße,place_of_worship,Evangelisch-methodistische Kirche,christian,no,,,,POINT (6.9901116 49.2349186),methodist,3 Stufen,,Alt-Saarbrücken,Su 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5173721726,,120,,Hohenzollernstraße,place_of_worship,DITIB Merkez Camii Saarbrücken,muslim,limited,,,,POINT (6.9761989 49.2349369),,,Ist das noch hier? Von außen nichts zu erkennen 2022-11-02.,,,Q881198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5173736904,Saarbrücken,66,,Lebacher Straße,place_of_worship,Mesxhidul El-Iman,muslim,,,,,POINT (6.970327 49.2449896),,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6120439824,,,,,place_of_worship,Jehovas Zeugen Versammlung Saarbrücken West e.V.,christian,,,,,POINT (6.9776501 49.2399343),jehovahs_witness,,,,,,,https://www.jehovaszeugen.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6553065309,,,,,place_of_worship,Assembleia de Deus Missão Pioneira,christian,,,,,POINT (6.9986718 49.2389714),,,,,,,,,,B&B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
