element_type,osmid,geometry,amenity,addr:city,addr:housenumber,addr:postcode,addr:street,operator,nodes,addr:country,addr:suburb,building,building:levels,name,contact:website,roof:levels,roof:shape,height,building:colour,roof:colour,note,alt_name,building:material,opening_hours,phone,roof:orientation,short_name,source,website,building:use,office,old_name,disused:amenity,ruins
way,87906349,"POLYGON ((6.8979038 49.2317675, 6.8979338 49.2318111, 6.8981318 49.2317584, 6.898106 49.2317156, 6.8979038 49.2317675))",,Saarbrücken,12a,66127,Feldstraße,,"[3202718831, 1021987962, 1021988001, 3202718830, 3202718831]",DE,Klarenthal,residential,1,,,,,,,,,,,,,,,,,,,,,
way,87906358,"POLYGON ((6.8985879 49.2302792, 6.8987422 49.2300456, 6.8986317 49.2300143, 6.8985517 49.2301449, 6.8985095 49.2301344, 6.8984412 49.2302402, 6.8985879 49.2302792))",,Saarbrücken,10,66127,Lerchenweg,,"[1021987946, 10927831174, 10927831250, 10927831023, 1021987721, 1021987991, 1021987946]",DE,Klarenthal,residential,1,Leichenhalle,,,,,,,,,,,,,,,,,,,,
way,88580719,"POLYGON ((7.0317302 49.2721272, 7.0318816 49.2721507, 7.031944 49.271981, 7.0317933 49.2719572, 7.0317302 49.2721272))",,Saarbrücken,21,66125,Albertstraße,,"[1028710349, 1028709893, 1028710092, 1028710251, 1028710349]",,Dudweiler,residential,,,,,,,,,,,,,,,,,,,,,,
way,88580735,"POLYGON ((7.0312929 49.2719699, 7.031442 49.2719985, 7.0316551 49.2720392, 7.0317003 49.2719387, 7.0315192 49.2719046, 7.0313381 49.2718693, 7.0312929 49.2719699))",,Saarbrücken,23,66125,Albertstraße,,"[1028710046, 1028709853, 1028710171, 1028710324, 4720862261, 1028710427, 1028710046]",DE,Dudweiler,residential,,,,,,,,,,,,,,,,,,,,,,
way,88580737,"POLYGON ((7.0312622 49.2721459, 7.0314135 49.2721585, 7.031442 49.2719985, 7.0312929 49.2719699, 7.0312888 49.2719936, 7.0312622 49.2721459))",,Saarbrücken,25,66125,Albertstraße,,"[1028710482, 1028710406, 1028709853, 1028710046, 4720862260, 1028710482]",,Dudweiler,residential,,,,,,,,,,,,,,,,,,,,,,
way,89008468,"POLYGON ((6.9998428 49.2397779, 6.9997053 49.2398552, 6.9997673 49.2398972, 6.9998521 49.2399544, 7.0000299 49.2400752, 7.0001974 49.2401803, 7.0002694 49.2401517, 7.0003612 49.2401153, 7.0003971 49.2401018, 7.0005037 49.2400616, 7.0002 49.2396587, 7.0000506 49.2397081, 6.9998833 49.2398029, 6.9998428 49.2397779))",,Saarbrücken,93,66111,Dudweilerstraße,SBT Immobilien Gruppe,"[6578467373, 1032946718, 5618111262, 6566165637, 1032946820, 1032946897, 6578467367, 1990650146, 8957992119, 1032946815, 1032946847, 1032946744, 1032946795, 6578467373]",,St. Johann,residential,4,,https://studentenwohnungen-saarbruecken.de/wohnangebote/wohnangebot-dudweilerstrasse/,1,flat,,,,,,,,,,,,,,,,,
way,89058325,"POLYGON ((6.9550211 49.2529185, 6.955141 49.2528886, 6.9550936 49.2528077, 6.9549738 49.2528376, 6.9550211 49.2529185))",,Saarbrücken,36,66113,Moselstraße,,"[1033361547, 1033362029, 1033361738, 1033361576, 1033361547]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,89058338,"POLYGON ((6.9545647 49.2530076, 6.9546682 49.2529803, 6.9546209 49.2529039, 6.9545176 49.2529309, 6.9545647 49.2530076))",,Saarbrücken,40,66113,Moselstraße,,"[1033362148, 1033361835, 1033361699, 1033361555, 1033362148]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,89058339,"POLYGON ((6.9574411 49.2523574, 6.9574184 49.2522533, 6.9573438 49.25226, 6.9573422 49.2522522, 6.9572789 49.2522579, 6.9572945 49.2523322, 6.9573587 49.2523264, 6.9573659 49.2523642, 6.9574411 49.2523574))",,Saarbrücken,1,66113,Neumagener Weg,,"[1033361518, 1033361936, 5341175392, 5341175393, 1033361687, 5341175391, 5341175390, 1033361546, 1033361518]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,89058345,"POLYGON ((6.9568083 49.2524633, 6.9569347 49.2524334, 6.9568939 49.2523598, 6.9567675 49.2523897, 6.9568083 49.2524633))",,Saarbrücken,20,66113,Moselstraße,,"[1033361602, 1033362161, 1033361861, 1033361640, 1033361602]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,89058351,"POLYGON ((6.9562787 49.2525173, 6.9563275 49.2525919, 6.9564909 49.2525464, 6.9564422 49.2524718, 6.9562787 49.2525173))",,Saarbrücken,24,66113,Moselstraße,,"[1033362133, 1033361506, 1033361621, 1033361814, 1033362133]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,89058367,"POLYGON ((6.9554549 49.2528047, 6.9555943 49.2527734, 6.955553 49.252695, 6.9554135 49.2527263, 6.9554549 49.2528047))",,Saarbrücken,32,66113,Moselstraße,,"[1033361903, 1033361663, 1033361533, 1033361988, 1033361903]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,89058393,"POLYGON ((6.9552347 49.252873, 6.9553786 49.2528389, 6.9553345 49.2527597, 6.9551906 49.2527938, 6.9552347 49.252873))",,Saarbrücken,34,66113,Moselstraße,,"[1033361563, 1033361634, 1033361522, 1033361942, 1033361563]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,89058404,"POLYGON ((6.9547923 49.2529697, 6.9549274 49.252937, 6.9548866 49.2528652, 6.9547514 49.2528979, 6.9547923 49.2529697))",,Saarbrücken,38,66113,Moselstraße,,"[1033361722, 1033361568, 1033362079, 1033361785, 1033361722]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,89058414,"POLYGON ((6.9559104 49.2526881, 6.956052 49.2526553, 6.9560116 49.2525807, 6.9558699 49.2526134, 6.9559104 49.2526881))",,Saarbrücken,28,66113,Moselstraße,,"[1033361964, 1033361560, 1033362053, 1033361767, 1033361964]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,89058417,"POLYGON ((6.9565708 49.2525216, 6.9567015 49.252486, 6.9566561 49.2524148, 6.9565253 49.2524504, 6.9565708 49.2525216))",,Saarbrücken,22,66113,Moselstraße,,"[1033361701, 1033361558, 1033362045, 1033361764, 1033361701]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,89058422,"POLYGON ((6.9561436 49.2526383, 6.9562787 49.2526112, 6.956244 49.2525373, 6.9561089 49.2525644, 6.9561436 49.2526383))",,Saarbrücken,26,66113,Moselstraße,,"[1033361612, 1033362174, 1033361882, 1033361649, 1033361612]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,89058434,"POLYGON ((6.9556946 49.2527492, 6.9558188 49.2527194, 6.9557772 49.2526456, 6.955653 49.2526755, 6.9556946 49.2527492))",,Saarbrücken,30,66113,Moselstraße,,"[1033361626, 1033361509, 1033361913, 1033361617, 1033361626]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,89220042,"POLYGON ((7.0378427 49.2527582, 7.0378206 49.2528595, 7.0379708 49.2528734, 7.0379786 49.2528374, 7.0379929 49.2527721, 7.0378427 49.2527582))",,Saarbrücken,B6 4,66123,Campus,,"[10649824073, 1035553016, 1035552837, 6049420399, 10649824072, 10649824073]",,,residential,,,,,,10 m,,,,,,,,,,,,,,,,
way,89838901,"POLYGON ((7.009088 49.2226054, 7.0089077 49.2226902, 7.0086181 49.2228264, 7.008283 49.222984, 7.0081566 49.2230434, 7.0077358 49.2226759, 7.0078484 49.2226126, 7.008163 49.2228846, 7.0089807 49.2225077, 7.009088 49.2226054))",,,,,,,"[1041391759, 7526629229, 7526629213, 7526629215, 1041391656, 1041391709, 1041391776, 1041391827, 1041391626, 1041391759]",,,residential,,,,,,,,,,,,,,,,,,,,,,
way,90638890,"POLYGON ((7.0031288 49.2331335, 7.0030411 49.2331502, 7.0029429 49.2329378, 7.002967 49.2329312, 7.0031565 49.2328873, 7.0031805 49.2328818, 7.003222 49.2329715, 7.003238 49.2329683, 7.003245 49.2329834, 7.0032613 49.2330187, 7.0032451 49.2330219, 7.0032817 49.233101, 7.0032015 49.2331171, 7.0032182 49.2331532, 7.0031446 49.2331677, 7.0031288 49.2331335))",,Saarbrücken,4,66111,Kleine Rosenstraße,,"[1051969244, 1051969279, 1051969246, 2027894501, 2027894467, 1051969260, 8680626230, 8680626229, 8680626226, 8680626228, 8680626227, 1051969267, 1051969274, 1051969242, 1051969258, 1051969244]",,,residential,,,,,,,,,,,,,,,,,,,,,,
way,91392896,"POLYGON ((6.9726371 49.2312951, 6.9727775 49.2312609, 6.9727214 49.2311606, 6.972581 49.2311949, 6.9726371 49.2312951))",,Saarbrücken,3,66117,Pfählerstraße,,"[1061696291, 1061696418, 2988949553, 2988949554, 1061696291]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,92017494,"POLYGON ((7.0068021 49.223824, 7.0067213 49.2238752, 7.0067661 49.2239053, 7.0068143 49.2239377, 7.0068948 49.2238884, 7.0068021 49.223824))",,Saarbrücken,7,66119,Koßmannstraße,,"[2206933393, 1068943627, 7580935130, 1068943236, 2206933394, 2206933393]",,,residential,2,,,1,,,white,black,,,,,,,,,,,,,,
way,92017512,"POLYGON ((7.0053775 49.224111, 7.0054639 49.2241894, 7.0056467 49.2241034, 7.0055603 49.2240251, 7.005471 49.224067, 7.0053775 49.224111))",,Saarbrücken,18,66119,Puccinistraße,,"[1068943186, 1068943383, 1068943660, 1068943731, 7580937193, 1068943186]",,St. Arnual,residential,2,,,1,,,white,red,,,,,,,,,,,,,,
