element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,contact:phone,cuisine,level,name,old_name,opening_hours,operator,outdoor_seating,smoking,strapline,toilets,geometry,contact:email,contact:fax,contact:website,diet:vegetarian,indoor_seating,stars,tenant,wheelchair,wikidata,opening_hours:kitchen,wheelchair:description,alt_name,brewery,brand,brand:wikidata,brand:wikipedia,lastcheck,phone,website,diet:vegan,email,delivery,payment:cash,payment:credit_cards,payment:debit_cards,start_date,takeaway,toilets:wheelchair,website:menu,contact:facebook,contact:instagram,diet:halal,organic,short_name,description,fixme,microbrewery,name:etymology:wikidata,opening_hours:covid19,brewery:wikidata,brewery:schwarzbier,brewery:weizen,payment:girocard,payment:mastercard,payment:visa,reservation,check_date:opening_hours,addr:floor,contact:tripadvisor,internet_access,surveillance,opening_hours:signed,capacity,source,culture,addr:suburb,highchair,payment:maestro,payment:v_pay,air_conditioning,payment:edenred_ticket,payment:vpay,note,name:fr,vacant,diet:lacto_vegetarian,surveillance:type,payment:girocard_contactless,payment:mastercard_contactless,payment:visa_electron,addr:neighbourhood,payment:sodexo,terrace,dispensing,name:ja,opening_hours:note,pub,check_date,delivery:partner,ref:vatin,contact:whatsapp,mobile_phone:repair,disused:amenity,disused:opening_hours:signed,disused:outdoor_seating,disused:wheelchair,building,internet_access:fee,bar,contact:takeaway,delivery:description,payment:ep_geldkarte,description:covid19,toilets:access,description:delivery,fax,wheelchair:step_height,description:payment,operator:wikidata,payment:account_cards,reusable_packaging:accept,reusable_packaging:network,reusable_packaging:offer,safety:hand_sanitizer:covid19,safety:mask:covid19,takeaway:covid19,university,drink:cola,drink:soft_drink,url,contact:mobile,note:de,ice_cream,barrier,height,leaf_cycle,leaf_type,tourism,payment:mensa_card,internet_access:captive_portal,internet_access:password,internet_access:ssid,drink:beer,drink:coffee,drink:lemonade,drink:liquor,drink:milk,drink:soda,drink:tea,drink:wine,indoor,nodes,building:part,roof:orientation,roof:shape,building:colour,building:levels,historic,roof:levels,wikimedia_commons,wikipedia,payment:jcb,image,payment:alipay,payment:american_express,payment:apple_pay,payment:diners_club,payment:discover_card,payment:google_pay,payment:unionpay,payment:visa_contactless,atm,addr:housename,location
node,252139043,Saarbrücken,DE,1,66127,Hauptstraße,restaurant,+49 6898 4960368,greek,0,Corfu,Hellas,"Tu-Sa 11:30-14:30,17:00-22:00; PH,Su 11:30-22:00; Mo closed",Filippos Karalis,yes,outside,Greek Cuisine,yes,POINT (6.8920193 49.2327476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266756274,Saarbrücken,,95,66121,Mainzer Straße,restaurant,+49 681 9582682,fine_dining,,GästeHaus Klaus Erfort,,"Tu-Fr 12:00-14:00+,19:00-22:00+, Sa 19:00-22:00+",,no,,,,POINT (7.0075957 49.2294923),kontakt@gaestehaus-erfort.de,+49 681 9582684,https://www.gaestehaus-erfort.de/,no,yes,3,Klaus Erfort,yes,Q84438452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,273533246,,,,,,restaurant,+49 681 703164,,0,Auberge de la Grenz,Valuta,"Mo-Fr 17:00-23:00; PH,Sa-Su closed",,,,Bar & Restaurant,,POINT (6.9185573 49.2225583),,,https://www.auberge-gersweiler.de,,,,,no,,"Mo-Fr 18:00-23:00; PH,Sa-Su closed",6 Stufen am Eingang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,274425515,,,,,,restaurant,,,,Wölflinger,,,,,,,,POINT (7.0292354 49.1986865),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,274425516,Saarbrücken,DE,18,66130,Kanalstraße,restaurant,,,,Zum Fläschje,,,,,,,,POINT (7.0295135 49.1978524),,,,,,,,,,,,Zum Fläschchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,274425518,,,,,,restaurant,,,,La Paella,,,,,,,,POINT (7.0298324 49.19804),,,,,,,,,,,,,Bitburger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,274425520,,,,,,restaurant,,,,Alt Güdingen,,,,yes,,,,POINT (7.0278315 49.1999861),,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,278999215,Saarbrücken,DE,82,66111,Bahnhofstraße,restaurant,,pizza,,Pizza Hut,,Mo-Th 11:00-22:00; Fr-Sa 11:00-24:00; Su 12:00-22:00,,no,,,,POINT (6.9922882 49.2373306),,,,yes,yes,,,limited,,,,,,Pizza Hut,Q191615,en:Pizza Hut,2016-01-19,+49 681 373111,https://pizzahut.de/restaurants/pizza-hut-saarbrucken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,288191787,Saarbrücken,,146,66119,Julius-Kiefer-Straße,restaurant,,german;regional;salad,,Tabaksmühle,,"Mo closed; Tu-Fr 11:45-14:30,18:00-22:00; Sa 17:30-22:30; Su 11:45-22:00",Stiefel Gastronomie GmbH,garden,,,yes,POINT (7.0054929 49.2152719),,,,yes,yes,,,limited,,"Mo closed; Tu-Fr 12:00-14:00,18:00-21:00; Sa 18:00-21:00; Su 12:00-21:00",,,,,,,,+49 681 9851930,http://www.tabaksmuehle.de/,yes,info@tabaksmuehle.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,292540872,,,,,,restaurant,,german,0,Seeblick,,Tu-Sa 11:00-24:00; Su 10:15-23:00; Mo off,,,,,,POINT (7.0124513 49.2905898),,,,,,,,,,"Tu-Su 12:00-13:50, 18:00-22:00; Mo off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,353772084,,,,,,restaurant,,italian,,"Pizzeria ""Bel Paese""",,,,yes,,,,POINT (7.102154 49.1909977),,,,,yes,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,389951575,Saarbrücken,,53,66117,Gersweilerstraße,restaurant,+49 681 92556464,,,La Tropea,,"Tu-Fr,Su 11:00-23:00; Sa 16:00-23:00; Mo off",Maurizio Niglia,,,Holzsteinofenpizzeria Zum Schanzenberg,,POINT (6.96221 49.2320903),,,https://www.latropea-sb.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,401866208,,,,,,restaurant,,regional;french,,Restaurant Chez David,,"Mo off; Tu-Sa 17:30-22:30; Su 11:30-14:30,17:30-22:00",,yes,outside,,,POINT (7.0376714 49.1798589),,,,,,,,yes,,,,,,,,,,+4968051324,http://chez-david.de/,,info@chez-david.de,no,yes,yes,yes,04.05.2018,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,401866210,Saarbrücken,DE,28,66129,Saargemünder Straße,restaurant,,,,Angelo,,,Hotel Restaurant Angelo GmbH,,,,,POINT (7.0386788 49.1886787),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,416089395,Saarbrücken,DE,30,66115,Im Weyerbachtal,restaurant,,,,Fischerhütte,,,,,,,,POINT (6.942887 49.2553595),,,,,,,,limited,,,,,,,,,,+49 681 77421,http://www.fischerhuette-burbach.de/,,Jutta.Lion@fischerhuette-burbach.de,,,,,,,yes,http://www.fischerhuette-burbach.de/speisenkarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,416366944,,,,,,restaurant,,italian,,Pizzeria Avanthy,,,,,,,,POINT (7.0342357 49.2779108),,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,416366958,Saarbrücken,,299,66125,Saarbrücker Straße,restaurant,+49 6897 8413221,sushi;asian;chinese;thai,0,Ruby Asien Restaurant,,,,,,,,POINT (7.0378534 49.2788661),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://facebook.com/people/Ruby-Asien-Restaurant/100063706353521/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,441634459,,,,,,restaurant,+49 681 3023045,,,Ausländer-Café,,Tu-Th 11:30-14:30,Andrea Lang,pedestrian_zone,,,,POINT (7.0407734 49.255646),ac-bistro@email.de,,https://www.ac-sb.de/,yes,yes,,,yes,,,,AC,,,,,,,,,,,,,,,,,,https://www.facebook.com/acsaarbruecken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
