element_type,osmid,surveillance,surveillance:type,geometry,wheelchair,surveillance:zone,level,wheelchair:description,layer,barrier,amenity,operator,colour,material,addr:housenumber,addr:street,name,wikimedia_commons,nodes,addr:city,addr:postcode,addr:suburb,brand,brand:wikidata,brand:wikipedia,building,building:levels,check_date:opening_hours,opening_hours,roof:levels,shop,website,height,contact:facebook,contact:instagram,contact:phone,contact:website,internet_access,internet_access:captive_portal,internet_access:fee,internet_access:ssid,name:fr,toilets:wheelchair,wikidata,wikipedia,branch,addr:country,payment:cash,payment:credit_cards,payment:mastercard,payment:visa,phone,building:levels:underground,roof:shape,payment:girocard,strapline,stroller,architect,building:use,start_date,contact:email,wholesale,changing_table,old_name,toilets,tenant,smoking,diet:gluten_free,diet:lactose_free,diet:vegan,diet:vegetarian,organic,building:roof,post_office,post_office:brand,post_office:brand:wikidata,building:colour,office,operator:wikidata,noaddress,fair_trade,tobacco,opening_hours:signed,fence_type
way,25213116,,,"POLYGON ((7.0414516 49.2843155, 7.041088 49.2844265, 7.0414138 49.2848807, 7.0417774 49.2847697, 7.0414516 49.2843155))",yes,,,,,,,ALDI GmbH & Co. KG,,,157,Sulzbachtalstraße,Aldi Süd,,"[416860391, 416860390, 1453613752, 416860396, 416860391]",Saarbrücken,66125,Dudweiler,Aldi Süd,Q41171672,en:Aldi,retail,1,2021-10-12,"Mo-Sa 08:00-20:00; Su,PH off",0,supermarket,https://www.aldi-sued.de/filialen/de-de/Search?SingleSlotGeo=Sulzbachtalstra%C3%9Fe%20157%2066125%20Saarbr%C3%BCcken&Mode=None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30409131,,,"POLYGON ((7.0409601 49.2558278, 7.0410061 49.2555697, 7.0406004 49.255539, 7.040573 49.255693, 7.0405654 49.2557356, 7.0405115 49.2557315, 7.0405006 49.255793, 7.0409601 49.2558278))",,,,,,,,,,,A3 2,Campus,,,"[335600580, 335600579, 335600578, 8222022526, 1033294378, 1033294397, 1033294337, 335600580]",Saarbrücken,66123,,,,,retail,1,,,,,,4 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31682223,indoor,,"POLYGON ((6.9895055 49.2394542, 6.9894625 49.2394012, 6.9895698 49.2393606, 6.9895761 49.2393694, 6.9896753 49.239332, 6.9898398 49.2392693, 6.9898329 49.2392612, 6.9900433 49.2391817, 6.9900498 49.2391893, 6.9902272 49.2391217, 6.9903031 49.2390927, 6.9902981 49.2390865, 6.9902924 49.2390796, 6.9904015 49.239039, 6.990418 49.2390444, 6.9904304 49.2390487, 6.9904931 49.2390707, 6.9905426 49.2390881, 6.990569 49.2390974, 6.9905815 49.2391813, 6.9905683 49.2391821, 6.9905954 49.2393789, 6.9906035 49.2393789, 6.9906155 49.2394636, 6.9905345 49.2394687, 6.9905153 49.2394703, 6.9905196 49.2394942, 6.9905243 49.2395166, 6.9905305 49.2395459, 6.9905661 49.2395424, 6.9905851 49.2395999, 6.9905922 49.2396281, 6.9906041 49.2396786, 6.9906272 49.2397671, 6.9906457 49.2398428, 6.9906746 49.2399615, 6.9906392 49.2399654, 6.989473 49.2400992, 6.9891427 49.2401371, 6.9891463 49.2401578, 6.9887767 49.2401996, 6.9886345 49.2402161, 6.988241 49.2402596, 6.9881459 49.2402708, 6.9881028 49.2402253, 6.9880151 49.2401264, 6.9879716 49.2400816, 6.9878955 49.2399975, 6.987866 49.239966, 6.9879375 49.2399393, 6.9884811 49.2397458, 6.9884889 49.239743, 6.9884956 49.2397406, 6.9885287 49.2397288, 6.9885506 49.239721, 6.9885586 49.2397181, 6.9885646 49.2397159, 6.9886236 49.2396945, 6.9888484 49.2396128, 6.9888651 49.2396339, 6.9889525 49.2396026, 6.9892877 49.2394826, 6.9893164 49.2395166, 6.9894193 49.2394825, 6.9895055 49.2394542))",yes,,,,,,,Sierra Germany GmbH,,,1,Trierer Straße,Europa-Galerie,,"[3453732933, 3453732931, 6579186483, 6579186531, 6579186518, 6579186530, 6579186529, 6579186504, 6579186527, 6579186506, 6579186526, 6579186125, 5238154424, 9508654250, 4398025657, 6579186414, 1270137065, 6579186413, 6579186126, 7598238207, 6549390628, 6579186128, 6579186129, 4398025655, 9520524231, 6579186131, 5614446496, 5648473295, 1032928821, 1032928780, 1270127230, 6579186305, 6579186229, 6579186226, 6579186225, 354617557, 6579186227, 8507759173, 3453732918, 3453732919, 6579186291, 6579186458, 6579186457, 354617563, 6579186452, 5557107437, 6579186476, 10080532811, 354617566, 6579186124, 6579186153, 6519049010, 6579186451, 5500197736, 6579186123, 6579186450, 6519040971, 6579186284, 6579186522, 6579186521, 6579186253, 3453732927, 3453732929, 1270137061, 3453732933]",Saarbrücken,66111,,,,,retail,,,,,mall,,,europagalerie.saarbruecken,europa.galerie,+49 681 7559550,https://www.europagalerie.de/,wlan,yes,no,-free Europa-Galerie,Europagalerie,yes,Q1375135,de:Europa-Galerie Saarbrücken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34853979,,,"POLYGON ((6.9782461 49.2251612, 6.978226 49.2251298, 6.9781396 49.224984, 6.9782176 49.2249644, 6.9780633 49.2247022, 6.9782504 49.2246579, 6.978239 49.2246371, 6.9782285 49.2246196, 6.9783022 49.2246012, 6.9783455 49.2246742, 6.9785844 49.2250763, 6.9782992 49.2251479, 6.9782461 49.2251612))",yes,,,,,,,Netto Marken-Discount,,,16,Lerchesflurweg,Netto Marken-Discount,,"[408469569, 7552264190, 408469567, 408469565, 1382689816, 1382689823, 6106541801, 1382689814, 408469561, 6106541799, 8450569096, 8450569098, 408469569]",Saarbrücken,66119,,Netto Marken-Discount,Q879858,de:Netto Marken-Discount,retail,,,Mo-Sa 07:00-20:00,,supermarket,https://www.netto-online.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35573669,,,"POLYGON ((7.0253826 49.2897506, 7.0268455 49.2905071, 7.0270788 49.2903152, 7.0274492 49.2900105, 7.0271764 49.2898694, 7.027192 49.2898566, 7.0272615 49.2897993, 7.0270666 49.2896986, 7.0267414 49.2895304, 7.0266489 49.2896065, 7.0264013 49.2894785, 7.0259789 49.28926, 7.0253826 49.2897506))",yes,,,,,,,,,,121,Fischbachstraße,Globus,,"[416860454, 416860456, 10133485706, 416860444, 416860448, 10133485713, 416860452, 10133485714, 416860450, 416860447, 1586891828, 416860445, 416860454]",Saarbrücken,66125,,Globus,Q457503,en:Globus (hypermarket),retail,2,,Mo-Sa 08:00-20:00,,supermarket,,,,,,https://www.globus.de/dudweiler/,wlan,yes,no,Globus_Gast,,,,,Dudweiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,47934938,,,"POLYGON ((6.9027256 49.2357439, 6.902803 49.2356009, 6.9030734 49.2356677, 6.903049 49.2357117, 6.9037491 49.2358754, 6.9036488 49.2360665, 6.9034031 49.2360079, 6.9034306 49.2359465, 6.902969 49.235841, 6.9029877 49.2358071, 6.9027256 49.2357439))",yes,,,,,,,Netto Marken-Discount Stiftung & Co. KG,,,253,Hauptstraße,Netto Marken-Discount,,"[609684192, 609684203, 609684205, 609684207, 273421728, 555057316, 273421725, 273421723, 609684209, 609684212, 609684192]",,66128,,Netto Marken-Discount,Q879858,de:Netto Marken-Discount,retail,1,,Mo-Sa 07:00-20:00,0,supermarket,https://www.netto-online.de,,,,,,,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48627852,,,"POLYGON ((7.0285987 49.2090903, 7.0286723 49.2092207, 7.029395 49.2090548, 7.0293271 49.2089218, 7.0287706 49.2090505, 7.0286889 49.2090693, 7.0285987 49.2090903))",yes,,,,,,,,,,26a,Saargemünder Straße,Globus Getränkecenter,,"[617550288, 3680816986, 3680816980, 3680816975, 9701019845, 9701019835, 617550288]",Saarbrücken,66130,,,,,retail,,,"Mo-Sa 08:00-20:00; PH,Su closed",,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,51016398,,,"POLYGON ((6.9156631 49.2403217, 6.9160711 49.2402697, 6.916055 49.2402132, 6.9159068 49.2397446, 6.9158205 49.2397556, 6.9157637 49.2397626, 6.9157679 49.2397758, 6.9156948 49.2397858, 6.9156974 49.2397939, 6.9155023 49.2398206, 6.9156631 49.2403217))",yes,,0,,,,,,,,196,Hauptstraße,Wasgau,,"[650535179, 650535191, 4816012399, 650535189, 4816012402, 10073463155, 10073463156, 10073463157, 10073463158, 650535173, 650535179]",Saarbrücken,66128,,Wasgau,Q2536857,,retail,1,2022-08-12,"Mo-Sa 08:00-20:00; PH,Su closed",0,supermarket,,,,,,,,,,,,,,,,DE,yes,yes,yes,yes,+49 681 99191860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,67922087,,,"POLYGON ((7.0423598 49.2547852, 7.0423161 49.2547815, 7.042318 49.2547712, 7.0422516 49.254766, 7.0420093 49.254747, 7.042045 49.2545531, 7.0421047 49.2545578, 7.0423381 49.2545761, 7.0424749 49.2545867, 7.0425663 49.2545937, 7.0425533 49.2546684, 7.0425484 49.2546969, 7.0425117 49.2546947, 7.0425033 49.2547391, 7.042499 49.2547626, 7.0424844 49.2547614, 7.0424782 49.2547953, 7.0424536 49.2547932, 7.042431 49.2547913, 7.0423969 49.2547884, 7.0423598 49.2547852))",,,,,,,,,,,C5 5,Campus,,,"[9324282418, 9324282419, 9324282420, 9265084163, 819759373, 819759379, 9227625507, 6553065312, 9431024959, 819759386, 10003009871, 9324282417, 1030669049, 9265084164, 1030669100, 819759366, 9324217516, 9324217511, 9349471200, 10651896382, 9324282418]",Saarbrücken,66123,,,,,retail,1,,,,,,4 m,,,,,,,,,,,,,,,,,,,,1,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,69223310,,,"POLYGON ((6.9518319 49.2425176, 6.9516108 49.2425763, 6.951182 49.242696, 6.9512708 49.2428388, 6.9513176 49.2429123, 6.95197 49.2427242, 6.9518319 49.2425176))",yes,,0,,,,,Netto Marken-Discount Stiftung & Co. KG,,,17b,Margarethenstraße,Netto Marken-Discount,,"[829922378, 3453552281, 829922379, 3453554000, 829922380, 829922381, 829922378]",Saarbrücken,66115,,Netto Marken-Discount,Q879858,de:Netto Marken-Discount,retail,,,"Mo-Sa 07:00-20:00; PH,Su closed",,supermarket,https://www.netto-online.de,,,,,,,,,,,,,,,DE,yes,,,,,,,yes,Marken-Discount,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
