osmid,y,x,street_count,ref,highway,geometry
619889,49.2324715,6.9723646,3,,,POINT (6.9723646 49.2324715)
619890,49.232116,6.9626583,3,,,POINT (6.9626583 49.232116)
619893,49.2266731,6.9612923,3,,,POINT (6.9612923 49.2266731)
10119329,49.2183133,6.9537526,3,,,POINT (6.9537526 49.2183133)
10467331,49.2063013,6.9625736,3,,,POINT (6.9625736 49.2063013)
10468052,49.2079895,6.9646824,3,,,POINT (6.9646824 49.2079895)
10468384,49.2075705,6.9637009,3,,,POINT (6.9637009 49.2075705)
10468706,49.2190224,7.0737377,3,,,POINT (7.0737377 49.2190224)
10468786,49.2093855,6.9675991,3,,,POINT (6.9675991 49.2093855)
10469395,49.2112486,6.9754573,3,2,motorway_junction,POINT (6.9754573 49.2112486)
10533436,49.2065951,6.9633789,3,,,POINT (6.9633789 49.2065951)
31108194,49.2750792,6.9621374,3,148,motorway_junction,POINT (6.9621374 49.2750792)
49895587,49.2932669,7.0290817,3,,,POINT (7.0290817 49.2932669)
60013470,49.1773298,7.0404251,1,,,POINT (7.0404251 49.1773298)
83802839,49.24015,7.1277827,3,,,POINT (7.1277827 49.24015)
83803077,49.2220294,7.1175313,3,,,POINT (7.1175313 49.2220294)
83803097,49.221728,7.1154934,3,,,POINT (7.1154934 49.221728)
83803119,49.2210977,7.1117173,3,,,POINT (7.1117173 49.2210977)
83803152,49.2200911,7.1119096,3,,,POINT (7.1119096 49.2200911)
83803169,49.2203368,7.1138618,3,,,POINT (7.1138618 49.2203368)
83803177,49.2203663,7.1149032,3,,,POINT (7.1149032 49.2203663)
83803184,49.2206507,7.1158737,3,,,POINT (7.1158737 49.2206507)
83803191,49.2209301,7.1165892,3,,,POINT (7.1165892 49.2209301)
83803232,49.2110906,7.1007734,3,,,POINT (7.1007734 49.2110906)
83803234,49.2103328,7.0985298,3,,,POINT (7.0985298 49.2103328)
83803305,49.2038826,7.0667533,3,,,POINT (7.0667533 49.2038826)
83803344,49.2060909,7.0548843,3,,,POINT (7.0548843 49.2060909)
83803382,49.2135034,7.0389686,3,,,POINT (7.0389686 49.2135034)
83803392,49.2149036,7.0341384,3,,,POINT (7.0341384 49.2149036)
83803439,49.2095015,7.0283877,3,,,POINT (7.0283877 49.2095015)
83803456,49.2095996,7.0283269,3,,,POINT (7.0283269 49.2095996)
83803459,49.209619,7.0281274,3,,,POINT (7.0281274 49.209619)
83803472,49.2094937,7.0280226,3,,,POINT (7.0280226 49.2094937)
98676974,49.2894715,7.0300987,3,,,POINT (7.0300987 49.2894715)
98677054,49.2841873,7.0363724,3,,,POINT (7.0363724 49.2841873)
98677055,49.2837236,7.0362574,3,,,POINT (7.0362574 49.2837236)
98677059,49.2835015,7.0368367,3,,,POINT (7.0368367 49.2835015)
98677060,49.2828797,7.0372036,3,,,POINT (7.0372036 49.2828797)
98677063,49.282038,7.037682,3,,,POINT (7.037682 49.282038)
98677064,49.2817995,7.0380537,3,,,POINT (7.0380537 49.2817995)
104578978,49.2504151,7.0075724,1,,,POINT (7.0075724 49.2504151)
104579252,49.2521781,7.0059483,3,,,POINT (7.0059483 49.2521781)
104579313,49.2521292,7.0054613,3,,,POINT (7.0054613 49.2521292)
104579407,49.2494118,7.0050675,3,,,POINT (7.0050675 49.2494118)
104579469,49.247945,7.0054959,4,,,POINT (7.0054959 49.247945)
104580432,49.2331432,6.9907817,3,,,POINT (6.9907817 49.2331432)
104580589,49.2289463,6.9968271,3,18,motorway_junction,POINT (6.9968271 49.2289463)
104580839,49.2227293,7.0116519,3,19,motorway_junction,POINT (7.0116519 49.2227293)
104581517,49.1958826,7.0227025,3,,,POINT (7.0227025 49.1958826)
104581631,49.1933399,7.0252901,3,,,POINT (7.0252901 49.1933399)
104581650,49.1934191,7.0254809,3,,,POINT (7.0254809 49.1934191)
104581659,49.1935721,7.0253409,4,,,POINT (7.0253409 49.1935721)
104581679,49.1935073,7.025149,3,,,POINT (7.025149 49.1935073)
104581688,49.1934322,7.0251351,3,,,POINT (7.0251351 49.1934322)
104581692,49.1933628,7.0252026,3,,,POINT (7.0252026 49.1933628)
104581699,49.1934667,7.0254896,3,,,POINT (7.0254896 49.1934667)
104581703,49.193709,7.0257332,3,,,POINT (7.0257332 49.193709)
104581743,49.1943588,7.0263108,3,,,POINT (7.0263108 49.1943588)
104581793,49.195776,7.0269488,3,,,POINT (7.0269488 49.195776)
104581882,49.1978382,7.0297579,3,,,POINT (7.0297579 49.1978382)
104588844,49.2013283,7.0236867,3,,,POINT (7.0236867 49.2013283)
104588931,49.2047833,7.0204692,3,,,POINT (7.0204692 49.2047833)
104589100,49.2089494,7.0230767,3,,,POINT (7.0230767 49.2089494)
104589131,49.2094626,7.0238172,3,,,POINT (7.0238172 49.2094626)
104589165,49.2105202,7.025925,3,,,POINT (7.025925 49.2105202)
104589181,49.2102484,7.0266593,3,,,POINT (7.0266593 49.2102484)
104589241,49.2094083,7.0283018,3,,,POINT (7.0283018 49.2094083)
104590098,49.2222919,7.0432772,3,,,POINT (7.0432772 49.2222919)
104591447,49.2500967,7.0550715,3,,,POINT (7.0550715 49.2500967)
105768070,49.2137181,7.0415544,4,,,POINT (7.0415544 49.2137181)
105825160,49.2564473,7.041101,3,,,POINT (7.041101 49.2564473)
105825525,49.2522962,7.0323189,3,,,POINT (7.0323189 49.2522962)
105825863,49.246048,7.0208282,3,,,POINT (7.0208282 49.246048)
105825943,49.2457377,7.0172272,3,,,POINT (7.0172272 49.2457377)
105826568,49.2418758,7.0015963,4,,,POINT (7.0015963 49.2418758)
105826907,49.248149,7.0055017,3,,,POINT (7.0055017 49.248149)
105827038,49.2505017,7.0055843,3,,,POINT (7.0055843 49.2505017)
108001779,49.1816191,7.035018,3,,,POINT (7.035018 49.1816191)
108001804,49.1816099,7.0352712,3,,,POINT (7.0352712 49.1816099)
108001834,49.1815351,7.0356273,3,,,POINT (7.0356273 49.1815351)
108001857,49.181451,7.0359522,3,,,POINT (7.0359522 49.181451)
108002007,49.1803322,7.0374382,3,,,POINT (7.0374382 49.1803322)
108002026,49.1804958,7.0378429,3,,,POINT (7.0378429 49.1804958)
108002143,49.1801864,7.0402551,4,,,POINT (7.0402551 49.1801864)
108002186,49.1806739,7.0406109,3,,,POINT (7.0406109 49.1806739)
108002289,49.1817936,7.0410331,3,,,POINT (7.0410331 49.1817936)
108002399,49.1817648,7.0404225,3,,,POINT (7.0404225 49.1817648)
108002802,49.1872324,7.0407066,4,,,POINT (7.0407066 49.1872324)
108002881,49.1872077,7.0393868,3,,,POINT (7.0393868 49.1872077)
108002891,49.1983347,7.0309024,4,,,POINT (7.0309024 49.1983347)
108003042,49.1997094,7.030699,3,,,POINT (7.030699 49.1997094)
108003551,49.2013272,7.0323236,3,,,POINT (7.0323236 49.2013272)
108003761,49.1980834,7.030255,3,,,POINT (7.030255 49.1980834)
108003972,49.1992083,7.0284803,4,,,POINT (7.0284803 49.1992083)
108004098,49.2008032,7.0279256,3,,,POINT (7.0279256 49.2008032)
108004202,49.2025145,7.0265252,3,,,POINT (7.0265252 49.2025145)
108004725,49.2098795,7.0286183,4,,,POINT (7.0286183 49.2098795)
108005211,49.2033074,7.0390268,3,,,POINT (7.0390268 49.2033074)
108005302,49.2043243,7.0418219,3,,,POINT (7.0418219 49.2043243)
108005384,49.2054372,7.0452282,3,,,POINT (7.0452282 49.2054372)
108005460,49.2063138,7.0470946,3,,,POINT (7.0470946 49.2063138)
108005976,49.2050628,7.0517021,3,,,POINT (7.0517021 49.2050628)
108006215,49.2051665,7.040546,3,3,motorway_junction,POINT (7.040546 49.2051665)
108006773,49.2149634,7.0210686,3,,,POINT (7.0210686 49.2149634)
