element_type,osmid,amenity,name,operator:wikidata,geometry,wheelchair,operator,addr:city,addr:housenumber,addr:postcode,addr:street,website,description,email,grades,operator:type,phone,contact:website,isced:level,max_age,min_age,short_name,alt_name,contact:instagram,name:etymology:wikidata,old_name,contact:phone,office,nodes,wikidata,wikipedia,building,addr:country,toilets:wheelchair,addr:suburb,contact:fax,contact:email,contact:twitter,name:fr,short_name:fr,wikimedia_commons,denomination,area,source,polling_station,polling_station:ref,historic,image,name:en,institution:pedagogy,contact:facebook,school:de,ways,building:levels,roof:shape,type
node,262213449,school,Katharine-Weißgerber-Schule – Außenstelle Gersweiler,Q6805,POINT (6.9222325 49.2314047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1883604701,school,Landesfeuerwehrschule des Saarlandes,,POINT (6.9569314 49.2455304),,"Ministerium für Inneres, Bauen und Sport",Saarbrücken,17a,66113,Weißenburger Straße,https://www.saarland.de/lfws.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2225222337,school,,,POINT (7.0676633 49.2013723),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8531657717,school,Abendgymnasium Saarbrücken,,POINT (7.000697 49.2344875),,Regionalverband Saarbrücken,Saarbrücken,3,66111,Landwehrplatz,http://www.abendgymnasium-saarbruecken.de/,,info@abendgymnasium-saarbruecken.de,9-13,public,+49 681 3798118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9925671938,school,Ecole Française de Sarrebruck,,POINT (7.0161823 49.2301699),,,,,,,,,,,,,https://ecolefrancaise.de/,0;1,11,3,EFSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9998428023,school,Freiwillige Ganztagsgrundschule Klarenthal,Q1724,POINT (6.8984364 49.2294812),,,,,,,,,,,,,https://www.grundschule-klarenthal.de/,1,,,,Grundschule Saarbrücken-Klarenthal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9998428024,school,Katharine-Weißgerber-Schule,Q6805,POINT (6.8993081 49.2292727),,,,,,,,,,,,,http://www.katharine-weissgerber-schule.de/,2,,,KWS,Gemeinschaftsschule Saarbrücken-Klarenthal,https://www.instagram.com/katharine.weissgerber.schule,Q1736058,Erweiterte Realschule Klarenthal;ERS Klarenthal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10008262672,school,"taylorix, Niederlassung Saarbrücken",,POINT (7.025848 49.2247289),,taylorix institut für berufliche Bildung e.V.,,9,,Brebacher Landstraße,,,,,,,https://www.taylorix-institut.com/,,,,,,,,,+49 681 906080,educational_institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31615407,school,Gymnasium am Rotenbühl,,"POLYGON ((7.014094 49.242829, 7.0146073 49.2426057, 7.0148313 49.2423454, 7.0148382 49.2423346, 7.0148471 49.2423208, 7.0144218 49.2420983, 7.0139569 49.241893, 7.0130161 49.2415321, 7.0128865 49.2418135, 7.011811 49.2415758, 7.0115562 49.2420486, 7.0123301 49.2424148, 7.0129738 49.2425619, 7.014094 49.242829))",,Regionalverband Saarbrücken,Saarbrücken,66-90,66123,Neugrabenweg,,,,,public,,https://www.rotenbuehlgym.de/,2;3,,,GAR,,,,,,,"[2257446544, 2257446503, 2257446476, 10856622042, 353721200, 1737096623, 1737096622, 354406424, 354406417, 1980746827, 1980746823, 2257446510, 2257446535, 2257446544]",Q1558287,de:Gymnasium am Rotenbühl,,,,,,,,,,,,,,,,,,,,,,,,,
way,31619657,school,ehemalige Grundschule,,"POLYGON ((7.0990928 49.1883317, 7.0990954 49.1883688, 7.099144 49.1883674, 7.0992955 49.1883628, 7.0993027 49.1884662, 7.0990941 49.1884724, 7.0990915 49.1884355, 7.0987567 49.1884455, 7.0987494 49.188342, 7.0990928 49.1883317))",,,,,,,,,,,,,,,,,,,,,,,,"[353764956, 353896466, 353765013, 353764963, 353764960, 353764958, 353896458, 353764945, 353764942, 353764956]",,,yes,,,,,,,,,,,,,,,,,,,,,,,,
way,31680564,school,Freiwillige Ganztagsgrundschule Ost,,"POLYGON ((7.0137054 49.2316497, 7.0136522 49.2315418, 7.0136532 49.2314885, 7.0136453 49.231474, 7.0136354 49.2314553, 7.013694 49.2314444, 7.0136656 49.2313839, 7.0136583 49.2313666, 7.0135542 49.2311243, 7.0138824 49.2310322, 7.0138954 49.2310629, 7.0139115 49.2310996, 7.0139709 49.2312312, 7.013996 49.2312869, 7.0142246 49.2312566, 7.0147439 49.2311958, 7.0149092 49.2314403, 7.0153023 49.231682, 7.0153092 49.2316862, 7.0154005 49.2317449, 7.0154112 49.231751, 7.0154407 49.2317678, 7.0152405 49.2319002, 7.0151552 49.2319272, 7.0142863 49.2320994, 7.013975 49.2321475, 7.0139303 49.2320566, 7.0138328 49.2319451, 7.0138807 49.2319329, 7.0137054 49.2316497))",,Landeshauptstadt Saarbrücken,Saarbrücken,5,66121,Halbergstraße,,,,,public,,https://www.saarbruecken.de/bildung/schulen/grundschulen/grundschule_ost,1,,,GS Ost,,,,,+49 681 66497,,"[1077034099, 9753062209, 1077032325, 8861047528, 9747012898, 9753082621, 9747012867, 9747012868, 354613898, 9747012923, 354613899, 1070385422, 9747012873, 354613901, 10311595223, 354613903, 9755541996, 9755541948, 1077034239, 1077033119, 9755541960, 354613904, 9755541942, 1181457998, 7077810880, 9755541930, 9753082631, 7077810879, 9753062210, 1077034099]",,,,DE,,,,,,,,,,,,,,,,,,,,,,,
way,69221859,school,SHG Bildung,Q2209199,"POLYGON ((6.9535113 49.2412606, 6.9536855 49.2412469, 6.953629 49.2409395, 6.9534548 49.2409531, 6.9535113 49.2412606))",yes,SHG,Saarbrücken,3a,66115,Konrad-Zuse-Straße,,,,,,,,,,,,,,,,,,"[829910428, 829910430, 829910433, 829910436, 829910428]",,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,
