element_type,osmid,geometry,name,wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,contact:website,description,amenity,historic,nodes,alt_name,internet_access,internet_access:brand:wikidata,name:en,short_name,wikidata,wikipedia,building,description:de,name:fr,name:etymology:wikidata,toilets:wheelchair,operator:wikidata,operator:type,website,ways,official_name,type
way,30965590,"POLYGON ((7.0365174 49.2550198, 7.0375967 49.2560828, 7.038095 49.2565232, 7.0384547 49.2568577, 7.0389384 49.2571824, 7.0393424 49.2574399, 7.0396401 49.2575634, 7.0401783 49.2577345, 7.0413963 49.2580586, 7.0417784 49.2577521, 7.042235 49.2577827, 7.0422566 49.2576869, 7.0422681 49.2576878, 7.0434099 49.2577783, 7.0433891 49.2579027, 7.0438418 49.2579455, 7.0443799 49.2579537, 7.0454082 49.2580803, 7.0461182 49.2581404, 7.0461555 49.2579583, 7.0464665 49.2579905, 7.0465514 49.2577949, 7.046599 49.2574822, 7.0466191 49.2574011, 7.0463629 49.2572873, 7.0463876 49.2572581, 7.0464193 49.2572233, 7.0466197 49.257293, 7.0466595 49.2572467, 7.0466971 49.2570422, 7.0467977 49.2564802, 7.0467123 49.2561463, 7.0466271 49.2560649, 7.04643 49.2560195, 7.0462615 49.2559771, 7.0460618 49.2558907, 7.0460504 49.2555778, 7.0462342 49.2552824, 7.0466204 49.2552689, 7.0468998 49.2551203, 7.0472145 49.254102, 7.0467025 49.2540369, 7.0438107 49.252945, 7.0414188 49.2515734, 7.039542 49.2506087, 7.0390387 49.251096, 7.0387028 49.2511402, 7.0385582 49.2515298, 7.0384562 49.2520387, 7.0353772 49.253027, 7.0344307 49.2520427, 7.0339605 49.2522394, 7.0336251 49.2523846, 7.0335504 49.2524144, 7.0334763 49.252445, 7.0335406 49.2525185, 7.0336832 49.2526118, 7.0340664 49.2528295, 7.0342512 49.252943, 7.0345546 49.2531896, 7.03537 49.2538831, 7.0354934 49.2539556, 7.0355671 49.2540217, 7.0360574 49.2544686, 7.0362387 49.2546702, 7.0365174 49.2550198))",Universität des Saarlandes,limited,,,,,https://uni-saarland.de/,,university,,"[417401073, 344338562, 8381447935, 1035552986, 9598707021, 9598707022, 9598707023, 344338563, 9688677545, 9688677543, 9688677544, 6943242185, 6927048302, 6943236884, 6943236883, 6943236882, 344338567, 1324607737, 1422926662, 1422926614, 344338544, 1324607650, 6584585933, 9875500054, 10155359789, 417783919, 535987877, 535987878, 1422926354, 1422926292, 344338546, 5979621730, 534951762, 5979621729, 534951761, 417783912, 9837454718, 344446175, 1700058676, 268782298, 10002961377, 10002961378, 268783203, 344338553, 344338554, 344338555, 344338556, 417401186, 9584214053, 1034349879, 1035553106, 9583620014, 9584214114, 9584214116, 9584214107, 9584214090, 9584214106, 9584214105, 9584214104, 9584214091, 9584214050, 9584214052, 9584214049, 9584214048, 9584214047, 417401073]",Universitas Saraviensis;Uni Saar;Uni Saarbrücken;UdS,wlan,Q292155,Saarland University,UdS,Q700758,de:Universität des Saarlandes,,,,,,,,,,,
way,67546450,"POLYGON ((6.9967796 49.2318999, 6.9968348 49.2318822, 6.9971253 49.2317964, 6.9971498 49.2317483, 6.9971001 49.2316704, 6.9970277 49.2316562, 6.996816 49.2317187, 6.9967502 49.2317381, 6.9967034 49.2317517, 6.9966841 49.2317575, 6.9967135 49.2318019, 6.9967296 49.2318257, 6.9967456 49.2318494, 6.9967714 49.2318877, 6.9967796 49.2318999))",Alte Kirche St. Johann,,Saarbrücken,29,66111,Ev.-Kirch-Straße,,,university,yes,"[815528310, 9269860764, 815528314, 815528315, 815528316, 815528317, 7694579586, 10896534311, 815557615, 815528318, 1378474423, 1394774586, 1378474425, 9269860765, 815528310]",Alte Kirche Sankt Johann,,,,,Q21570179,de:Alte evangelische Kirche Saarbrücken,yes,Die ehemalige evangelische Kirche ist seit 2011 Bestandteil der Hochschule für Musik Saar,,,,,,,,,
way,125721900,"POLYGON ((6.9979159 49.2299261, 6.9977995 49.2299515, 6.9974806 49.2300211, 6.9974682 49.2300238, 6.997333 49.2300533, 6.9974472 49.230278, 6.9973044 49.2303083, 6.9973167 49.2303295, 6.9973241 49.2303476, 6.9973484 49.2303945, 6.9973869 49.2304693, 6.9974047 49.230504, 6.9974355 49.2305644, 6.9974715 49.2306044, 6.9974976 49.2306342, 6.997559 49.2307028, 6.9976664 49.2306736, 6.9979013 49.2306211, 6.9979775 49.2306041, 6.9982171 49.2305523, 6.9981754 49.2304669, 6.9982884 49.2304431, 6.9981491 49.2301649, 6.9980464 49.230187, 6.9979159 49.2299261))",Hochschule für Musik Saar,,,1,66111,Bismarckstraße,http://www.hfm.saarland.de/,,university,,"[609761038, 1395763962, 5218501925, 1395763979, 609761040, 9309579295, 5404316604, 9309148117, 1395749002, 9307707474, 9330177189, 9307707473, 9330177182, 9330177181, 9330177199, 1268602849, 609761044, 1395767455, 1395767462, 609761056, 1268626313, 1268628691, 1268626334, 1268626308, 609761038]",,,,University of Music,,Q1487242,de:Hochschule für Musik Saar,,,Conservatoire supérieur de musique,,,,,,,,
way,159246290,"POLYGON ((7.039542 49.2506087, 7.039547 49.2506085, 7.0396886 49.2503654, 7.0382587 49.2498892, 7.0361186 49.2495197, 7.0353107 49.2493778, 7.0339535 49.2494658, 7.0327546 49.2489953, 7.0323148 49.2493803, 7.0311023 49.2488811, 7.0298962 49.2500091, 7.0297776 49.2504918, 7.0305458 49.2506922, 7.0323244 49.2515154, 7.0324982 49.2515958, 7.0319551 49.2520545, 7.0323405 49.2521658, 7.0327871 49.2522866, 7.0330629 49.2523745, 7.0331727 49.2522863, 7.0339605 49.2522394, 7.0344307 49.2520427, 7.0353772 49.253027, 7.0384562 49.2520387, 7.0385582 49.2515298, 7.0387028 49.2511402, 7.0390387 49.251096, 7.039542 49.2506087))",Hermann-Neuberger-Sportschule,limited,,,,,,,university,,"[344338554, 615449006, 295135705, 268783201, 268783204, 1026110118, 376491733, 268783205, 344240710, 1026109951, 615421709, 615449002, 615421706, 3915112584, 344240722, 417401116, 9344551333, 9584214067, 344240699, 9583619990, 9583620014, 1035553106, 1034349879, 9584214053, 417401186, 344338556, 344338555, 344338554]",Landessportschule,,,,,Q1109909,,,,,Q75199,,,,,,,
way,169952835,"POLYGON ((7.0171084 49.2440174, 7.0175421 49.2442909, 7.0175005 49.2443185, 7.0174841 49.2443288, 7.0172897 49.2444538, 7.0166518 49.2444275, 7.0157553 49.2440539, 7.0154749 49.2438438, 7.0152785 49.2437667, 7.0152314 49.2437594, 7.0145817 49.2436481, 7.0140908 49.2435608, 7.0140271 49.2435488, 7.0139748 49.2435373, 7.0142016 49.243168, 7.0143283 49.2431293, 7.0145402 49.2429192, 7.0149479 49.2428421, 7.0153046 49.2429156, 7.0159316 49.2433582, 7.0159731 49.2434664, 7.0163832 49.2437848, 7.0165031 49.2438929, 7.0168196 49.2437696, 7.0171084 49.2440174))",HTW - Campus Rotenbühl,limited,,,,,,,university,,"[1810991800, 331862567, 784627710, 9318676569, 1810991854, 1810991852, 1810991825, 8665003508, 8665128223, 8665003507, 9318682628, 1139168260, 9318676593, 353721195, 2257446521, 2257446472, 2257446525, 2257446556, 1810991785, 1810991788, 1139167324, 1810991796, 7036892790, 1810991804, 1810991800]",,,,,,Q884111,,,,,,yes,,,,,,
way,337146112,"POLYGON ((6.9998006 49.2311224, 6.9998202 49.2311233, 6.9999321 49.2310923, 6.9999907 49.231076, 7.0001095 49.2310431, 7.0001012 49.2310278, 7.0000435 49.2309297, 7.0001162 49.2309127, 7.0000448 49.2307831, 7.0000035 49.2307928, 6.9998952 49.2308182, 6.9998889 49.2308069, 6.9998503 49.2308159, 6.9998104 49.2308253, 6.9998176 49.2308383, 6.9996893 49.2308684, 6.9996689 49.2308732, 6.999642 49.2308789, 6.9997199 49.2310078, 6.9998006 49.2311224))",Hochschule für Musik Saar,,,,,,,,university,,"[3442483524, 1090998246, 1411864523, 1411864533, 1090996952, 1411864521, 3442483527, 1054219169, 1054219222, 10039923641, 1411862545, 1411862541, 10039923652, 1411862547, 1411862542, 10039923651, 10707557575, 1054219142, 1054219158, 3442483524]",,,,University of Music,,Q1487242,de:Hochschule für Musik Saar,,,,,,,,,,,
way,851655984,"POLYGON ((7.0375861 49.2756903, 7.0377271 49.2756686, 7.0377797 49.2756599, 7.0378627 49.275646, 7.0379241 49.2756383, 7.0380617 49.275618, 7.0381221 49.2756016, 7.0382052 49.2755877, 7.0382579 49.2755773, 7.0383954 49.2755566, 7.0384641 49.275546, 7.0385471 49.2755321, 7.0386148 49.2755179, 7.0387512 49.2754944, 7.0389385 49.2754542, 7.0390731 49.2754265, 7.0391755 49.2754072, 7.0392527 49.2753829, 7.039348 49.2753445, 7.0394728 49.2753015, 7.0394242 49.2752415, 7.0393827 49.2751901, 7.0393412 49.2751388, 7.0393019 49.2750902, 7.0391771 49.2751332, 7.038963 49.2751987, 7.0389252 49.2751207, 7.0387907 49.2751484, 7.0386258 49.2751843, 7.0384894 49.2752077, 7.0382845 49.2752441, 7.0381471 49.2752649, 7.0380224 49.2752837, 7.0379532 49.2753052, 7.0378155 49.2753255, 7.0377036 49.275342, 7.0376207 49.2753744, 7.0374797 49.2753961, 7.0375086 49.2754761, 7.0375646 49.2756308, 7.0375861 49.2756903))",Universität des Saarlandes - Campus Dudweiler,,,,,,,,university,,"[1458671435, 1458671427, 1458671422, 1458671419, 1458671413, 1458671410, 1458671384, 1458671381, 1458671377, 1458671368, 1458671364, 1458671356, 1458671355, 1458671345, 1458671328, 1458671313, 1458671312, 1458671300, 1458671282, 1458671262, 1458671243, 1458671223, 1458671215, 1458671195, 1458671214, 1458671226, 1458671211, 1458671218, 1458671222, 1458671235, 1458671244, 1458671256, 7943297197, 1458671264, 1458671272, 7943297200, 1458671298, 1458671305, 1458671340, 1458671411, 1458671435]",,,,,,Q101833846,,,,,,,Q700758,,,,,
way,1155318911,"POLYGON ((6.9771064 49.2317205, 6.9772826 49.2317052, 6.9774444 49.2316918, 6.9775079 49.2316866, 6.9775023 49.2316578, 6.9774933 49.2316134, 6.9774861 49.2315771, 6.9774615 49.2314536, 6.9770592 49.2314897, 6.9770866 49.2316154, 6.9771064 49.2317205))",htw saar Sozialwissenschaften,yes,,,,,,Fakultät Angewandte Hebammenwissenschaft,university,,"[5777713757, 5777713756, 1017839200, 1373697846, 1373697861, 8075590284, 1373697825, 1373697844, 1373697838, 5777714207, 5777713757]",,,,,,,,,,,,,,public,https://www.htwsaar.de/sowi,,,
relation,13777195,"MULTIPOLYGON (((6.9717897 49.2354389, 6.9719385 49.235044, 6.971986 49.2349282, 6.9720255 49.2348144, 6.9720241 49.2347592, 6.9719697 49.2347161, 6.9719053 49.2346995, 6.9717618 49.234693, 6.9716994 49.2346894, 6.9713529 49.2346688, 6.9712242 49.2346633, 6.971135 49.2346602, 6.9705881 49.2346438, 6.97035 49.2346348, 6.9701977 49.2346355, 6.9701284 49.2346485, 6.9700819 49.2346838, 6.9700543 49.2347251, 6.9700471 49.2347721, 6.9700656 49.2348194, 6.9701066 49.2348607, 6.970192 49.2349085, 6.970277 49.2349448, 6.9703917 49.2349881, 6.9712123 49.2352621, 6.9717897 49.2354389)), ((6.9723017 49.2349936, 6.9722923 49.2350163, 6.9722632 49.2350864, 6.9721349 49.2354114, 6.9721081 49.2354558, 6.9721214 49.2354587, 6.9721278 49.2354602, 6.9725058 49.2355582, 6.9727485 49.2356442, 6.9730321 49.2357083, 6.9734564 49.2357986, 6.9740146 49.2358496, 6.9744317 49.2358975, 6.9746421 49.2359019, 6.9770733 49.2359499, 6.9771595 49.2359523, 6.9772431 49.2358578, 6.9772515 49.2357517, 6.9772551 49.2357146, 6.9772759 49.2354965, 6.9772868 49.2353542, 6.9772897 49.2353276, 6.9772926 49.2353019, 6.9768415 49.2352855, 6.9768285 49.235431, 6.9762654 49.2354131, 6.9762709 49.2353043, 6.9756113 49.2352857, 6.9755421 49.2352741, 6.9754818 49.2352725, 6.9750916 49.2352622, 6.9750647 49.2352615, 6.9747179 49.2352524, 6.9746384 49.2352503, 6.9746307 49.2352501, 6.9742847 49.235241, 6.974153 49.2352375, 6.9740947 49.2352352, 6.9740978 49.2351898, 6.9737591 49.2351824, 6.9736169 49.2351772, 6.9735533 49.2351744, 6.9734483 49.2351698, 6.973448 49.2351729, 6.9733698 49.2351714, 6.9733216 49.2351705, 6.9733209 49.2351774, 6.9732813 49.2351765, 6.9732815 49.2351698, 6.973253 49.2351692, 6.9732244 49.2351687, 6.9732245 49.2351752, 6.9731736 49.2351741, 6.9731747 49.2351678, 6.9731456 49.2351672, 6.9731165 49.2351667, 6.9731158 49.2351728, 6.9730652 49.2351717, 6.9730657 49.2351657, 6.9730386 49.2351652, 6.9730114 49.2351647, 6.9730111 49.2351705, 6.9729733 49.2351696, 6.972977 49.2351282, 6.9729523 49.2351282, 6.9729525 49.235091, 6.972953 49.2350774, 6.9729539 49.2350598, 6.9729338 49.2350594, 6.9729085 49.2350589, 6.972857 49.2350579, 6.9728585 49.2350431, 6.9727626 49.2350417, 6.972763 49.2350556, 6.9727355 49.2350552, 6.9726778 49.2350545, 6.9726779 49.2350405, 6.9725949 49.2350259, 6.9725888 49.2350403, 6.9725161 49.2350285, 6.9725233 49.2350135, 6.9724693 49.2350039, 6.9723086 49.2349757, 6.9723017 49.2349936), (6.9737123 49.2352805, 6.9737406 49.2352323, 6.9740538 49.2352597, 6.9740136 49.2353847, 6.9739961 49.2354375, 6.9736995 49.2353894, 6.973484 49.2353544, 6.9735546 49.2352533, 6.9737123 49.2352805)))",htw saar Campus Alt-Saarbrücken,yes,,,,,,,university,,"[[[1014965172, 1014965149, 9910520416, 9910520390, 9910520402, 9910520379, 9910520413, 9910520405, 9910526454, 9910526420, 9910526452, 9910520387, 9910520412, 9910520401, 9910526426, 9910526433, 9910526448, 9910520403, 9910520361, 9910520347, 1393605217, 9910520372, 9910520355, 6733903289, 9910520374, 9910520398, 9910520392, 9910520349, 6733903233, 9910520344, 9910520358, 9910526445, 9910520339, 6733903224, 9910520376, 9910520373, 9910520359, 9910520397, 6733903166, 9910520395, 5766978679, 6733903103, 1888414541, 4100191534, 9910520394, 9910743343, 663190131, 6733903303, 663189120, 7835614833, 7835614835, 6733892478, 7817884635, 663184229, 6733903147, 1888414598, 1888414592, 1888414626, 4419892775, 4419892773, 9683685153, 10167391994, 1888340763, 7835432703, 1888340765, 663201306, 9675691590, 7508313135, 1888344536, 6733892480, 1888414590, 1888431133, 2136506905, 6733892484, 9111780797, 9111780772, 9111780757, 9111780738, 9111780749, 4419892776, 4419892767, 9910520348, 9910520393, 1014965172], [761170140, 1014658020, 4801343567, 6319073084, 761170135, 6319073887, 6319073083, 6319073082, 6319073077, 6319073896, 6319073885, 761170162, 6319073076, 9106396384, 9910520396, 9106396369, 9910526430, 9910520362, 9910526460, 9106396370, 9106396368, 9106396365, 9106396366, 9106396367, 9910743331, 761170140], [9910743344, 1393605342, 8759077976, 6733903266, 6733903317, 2136506886, 7626363256, 9910743345, 9910743344]]]",,wlan,Q292155,,htw saar CAS,Q884111,,,,HTW,,,,,,"[178494643, 1029452148, 1081295521]",HTW Hochschule für Technik und Wirtschaft des Saarlandes Campus Alt-Saarbrücken (CAS),multipolygon
relation,13927976,"MULTIPOLYGON (((6.981782 49.2321689, 6.9816599 49.2325422, 6.9817985 49.2325631, 6.9818858 49.232574, 6.9819508 49.2325678, 6.9819732 49.2324979, 6.981998 49.2324206, 6.9821315 49.2324236, 6.9821361 49.2324237, 6.9821421 49.2322157, 6.9822313 49.2320787, 6.982145 49.2320791, 6.9820168 49.2320796, 6.9818525 49.232144, 6.981782 49.2321689)), ((6.9828995 49.2320053, 6.9828959 49.2320144, 6.9828342 49.2321643, 6.9828146 49.2322067, 6.9829602 49.2322298, 6.9829581 49.2323439, 6.9830363 49.2323432, 6.9830921 49.2323354, 6.9831728 49.232333, 6.9833034 49.2323303, 6.9833269 49.2322422, 6.9833678 49.2321078, 6.9833747 49.2320833, 6.9833808 49.2320623, 6.9834323 49.2318422, 6.9834482 49.2317954, 6.9831008 49.2317327, 6.9830843 49.2317297, 6.9830679 49.2317268, 6.9830197 49.2317181, 6.9829373 49.2319121, 6.9828995 49.2320053)), ((6.9853275 49.2329439, 6.9852857 49.2327101, 6.9852764 49.2326581, 6.9852428 49.2324699, 6.9852364 49.2324294, 6.9852313 49.2323906, 6.9852076 49.2322365, 6.9851986 49.2321774, 6.9851928 49.2321473, 6.9851439 49.2321512, 6.9851267 49.2321522, 6.9849275 49.2321649, 6.9847745 49.2321752, 6.9844958 49.2321958, 6.9843232 49.2322072, 6.9843384 49.2323054, 6.9843415 49.2323153, 6.9843413 49.2323239, 6.984359 49.2324404, 6.9843911 49.2326515, 6.9844559 49.232646, 6.9845175 49.2329968, 6.9850371 49.2329633, 6.9850804 49.2329606, 6.9851272 49.2329584, 6.9853275 49.2329439)))",Hochschule der Bildenden Künste Saar,,,,,,https://www.hbksaar.de,,university,,"[[[310444992, 310444990, 6563513645, 810278540, 810278547, 810278546, 814718446, 10815161700, 814718445, 5520263965, 6573285961, 6564088262, 814721584, 814713179, 9627553854, 9627553853, 814713180, 814707136, 814712084, 6563628990, 814712083, 4043579125, 310444993, 7618667159, 6563626983, 310444992], [7869195869, 6565381671, 1373685605, 7869195865, 8365496082, 6565234291, 6565234333, 6502750684, 6502750683, 6502750787, 814743790, 814762698, 6502750681, 7869195876, 7869195864, 7869195859, 7869195868, 310390925, 7869195875, 1017839179, 1017839229, 7869195869], [1014657028, 9592434342, 1014657877, 6502750804, 310390924, 6575871498, 2276883979, 9592386355, 6575871496, 2276883978, 2276883972, 9592434343, 1014657491, 1014657375, 1014657028]]]",,,,,HBKsaar,Q22691586,,,,,,,,,,"[1040597144, 1040597143, 1040597142]",,multipolygon
