element_type,osmid,source,geometry,entrance,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,name,note,website,wheelchair,wheelchair:description,addr:country,contact:email,contact:fax,contact:phone,opening_hours,operator,addr:suburb,check_date:opening_hours,opening_hours:signed,community_centre,source:addr,club,denomination,community_centre:for,gay:women,name:en,contact:facebook,contact:instagram,contact:twitter,email,gay,lgbtq,phone,access,description,check_date,toilets:wheelchair,wikidata,operator:type,alt_name,contact:website,kids_area,polling_station,brand,nodes,building,building:levels,roof:shape,internet_access,roof:levels,shop,start_date,fax,religion,source:roof:shape,max_age,min_age,short_name,addr:housename,landuse,leisure
node,1932593635,,POINT (9.1221777 48.8057583),,Stuttgart,4,70499,Diepachwiesen,community_centre,Evangelisches Waldheim Lindentäle,Bewirtung an Sonn- und Feiertagen: von 12.00 – 18.30,https://www.waldheim-lindental.de/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1932596744,,POINT (9.1212871 48.804783),,,,,,community_centre,Katholisches Waldheim Lindental,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2321222165,,POINT (9.2017728 48.7918926),,Stuttgart,26,70190,Metzstraße,community_centre,Stadtteil- und Familienzentrum Ost,,,,,DE,Martina.Schuetz@stuttgart.de,+49 711 - 67223006,+49 711 - 67223005,"Tu,We 09:00-12:00, Th 14:00-17:00 || ""oder nach Vereinbarung""",Stadt Stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2466728274,,POINT (9.1086118 48.7309301),main,Stuttgart,3,70563,Schwabenplatz,community_centre,Häussler Bürgerforum,,,yes,,DE,,,,,,Vaihingen,2022-10-08,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2904250371,,POINT (9.2485754 48.8090342),,Stuttgart,176,,Nürnberger Straße,community_centre,Nachbarschaftstreff Badbrunnen,,,,,DE,,,,,Baugenossenschaft Bad Cannstatt,,,,meeting_room,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3679259497,,POINT (9.1580304 48.7624155),,Stuttgart,92,70199,Böblinger Straße,community_centre,Jugendhaus Heslach,,http://www.jugendhaus.net/heslach/internet/,no,,DE,,,,Mo-Fr 15:00-21:00,Stuttgarter Jugendhaus gGmbH,,2023-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3840018252,,POINT (9.1609505 48.8484561),,,,,,community_centre,Evangelisches Gemeindehaus,,,,,,,,,,,,,,,,,protestant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3848009377,,POINT (9.1631746 48.7749012),,,13,,Johannesstraße,community_centre,Das Sarah - Kulturzentrum für Frauen,,https://www.das-sarah.de/,no,,,,,,,Frauenkulturzentrum SARAH  e.V.,,2022-11-01,no,,,,,women,welcome,Women's Community Center 'Das Sarah',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3942169760,,POINT (9.1781913 48.7675303),,Stuttgart,28A,70180,Weißenburgstraße,community_centre,Weissenburg LSBTTIQ Zentrum Stuttgart,,http://www.zentrum-weissenburg.de/,,,,,,,,Weissenburg e.V.,,,,,,,,lgbtq,,LGBTQ Community Centre 'Weissenburg',https://www.facebook.com/weissenburgstuttgart,https://www.instagram.com/weissenburgstuttgart/,https://twitter.com/weissenburgstgt,info@zentrum-weissenburg.de,welcome,primary,+49 711 640 44 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3987027256,,POINT (9.2254399 48.7975232),,Stuttgart,18,70372,Morlockstraße,community_centre,Stadtteiltreff Veielbrunnen,,,,,DE,,,,,Jugendamt Stuttgart,,,,,,,,,,,,,,,,,+49 711 216-91999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4099027547,,POINT (9.1917932 48.7845564),,Stuttgart,29,70190,Landhausstraße,community_centre,Domsingschule,,,,,DE,,,,,Kirchengemeinde St. Eberhard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4203155190,,POINT (9.2097836 48.8195683),,Stuttgart,33,70376,Bottroper Straße,community_centre,Quartierstreff,,,,,,,,,,,,,,meeting_room,,,,,,,,,,,,,,private,nur für Mieter der Wohnanlage,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5158493423,,POINT (9.1567397 48.8128339),,Stuttgart,48,70469,Kärntner Straße,community_centre,Festhalle Feuerbach,,http://www.stuttgart.de/item/show/305802/1/dept/128486?,yes,,,,,,,,,,,,,,,,,,,,,,,,+49 711 216-88292,,,,no,Q18286896,,,,,,,,,,,,,,,,,,,,,,,
node,5864511185,,POINT (9.1893534 48.7754599),,,17,70184,Alexanderstraße,community_centre,Kickers Fanprojekt,,https://www.kickers-fanprojekt.de/,no,,,,,,Tu-Th 12:00-18:00,,,,,,,,,,,,,,,info@kickers-fanprojekt.de,,,+49 711 47986155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6375698572,,POINT (9.1586319 48.77612),,Stuttgart,70,70176,Hasenbergstraße,community_centre,"Olly West, Stadtteil- und Familienzentrum",,https://olly-west.de/,,,DE,,,,,Caritas,,,,,,,,,,,,,,,,,,,,,,,public,,,,,,,,,,,,,,,,,,,,,,
node,6449854236,,POINT (9.2098079 48.8148275),,Stuttgart,69,70376,Am Römerkastell,community_centre,Stadtteil- & Familienzentrum Hallschlag,,,,,DE,,,,,Arbeiterwohlfahrt Kreisverband Stuttgart e.V.,,,,,,,,,,,,,,,,,,,,,,,,Begegnungs- und Servicezentrim Hallschlag,www.awo-stuttgart.de,,,,,,,,,,,,,,,,,,,,
node,6582109064,,POINT (9.2042886 48.8359555),,,,,,community_centre,Gemeindehaus St. Laurentius,,,,,,,,,,,,,,parish_hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6654862038,,POINT (9.1446049 48.7713553),,Stuttgart,96,70197,Rotenwaldstraße,community_centre,Familienzentrum St. Stephan,,,,,,,,,,Kath. Gesamtkirchengemeinde Stuttgart-West/Botnang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6716898737,,POINT (9.1103657 48.7317991),,Stuttgart,5,70563,Ernst-Kachel-Straße,community_centre,MüZe Vaihingen,,,no,,DE,info@Eltern-Kind-Treff.de,,+49 711 7354782,"Mo-Fr 09:00-12:00,15:00-18:00; Sa 09:00-12:00; PH off",Eltern-Kind-Treff MüZe e.V.,,,,family_centre,,,,,,,,,,,,,,,Mütterzentrum Vaihingen,,,,,,https://www.eltern-kind-treff.de/,yes,,,,,,,,,,,,,,,,,,,
node,8504918445,,POINT (9.2201169 48.8209238),,Stuttgart,6,70376,Kinzigstraße,community_centre,Gemeindehaus St. Ottilia,,https://liebfrauen-badcannstatt.drs.de/termine/ansicht/event/l/s/eventLocation/gemeindehaus-st-ottilia-2813.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
