element_type,osmid,amenity,authentication:app,authentication:membership_card,authentication:nfc,brand,capacity,fee,motorcar,network,opening_hours,operator,operator:wikidata,operator:wikipedia,ref:charging_station:num,socket:type2,socket:type2:current,socket:type2:output,socket:type2:voltage,geometry,access,bicycle,website,note,socket:schuko,socket:schuko:current,socket:schuko:output,socket:schuko:voltage,name,not:operator:wikidata,ref,parking:fee,payment:coins,payment:notes,colour,mapillary,fixme,amperage,description,description:de,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,wikimedia_commons,addr:suburb,check_date,start_date,authentication:none,contact:website,socket:chademo,socket:type2_combo,motor_vehicle,level,manufacturer,scooter,truck,voltage,image,phone,socket:type2_combo:current,socket:type2_combo:output,socket:type2_combo:voltage,socket:chademo:current,socket:chademo:output,socket:chademo:voltage,socket:type2_cable,socket:type2_cable:current,socket:type2_cable:output,socket:type2_cable:voltage,authentication:short_message,motorcycle,charging_station:battery_swapping,operator:website,payment:mastercard,payment:paypass,payment:visa,covered,name:en,payment:american_express,payment:app,payment:bitcoin,payment:cards,payment:cash,payment:cheque,payment:contactless,payment:credit_cards,payment:cryptocurrencies,payment:debit_cards,payment:diners_club,payment:discover_card,payment:electronic_purses,payment:ep_easycard,payment:ep_ipass,payment:girocard,payment:jcb,payment:maestro,payment:telephone_cards,payment:visa_debit,payment:visa_electron,layer,wheelchair,bus,hgv,source,nodes
node,1675926719,charging_station,yes,yes,yes,EnBW,2,yes,yes,EnBW,24/7,Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,DE*EBW*E904016,2,32,22 kW,400,POINT (9.2144615 48.7416573),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2032534058,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10023,2,16,11 kW,400,POINT (9.2558577 48.7578198),yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2074783735,charging_station,yes,yes,yes,,2,yes,yes,eze.network,24/7,eze.network GmbH,,,DE*EZE*ETTA000060,2,32,22 kW,400,POINT (9.1283488 48.7790522),,,https://www.eze.network/locations/stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2076029402,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10001,2,16,11 kW,400,POINT (9.1720348 48.8161891),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2080242273,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10025,2,16,11 kW,400,POINT (9.1902595 48.7928874),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2122335209,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10005,2,16,11 kW,400,POINT (9.2436674 48.8083921),,,,wurde Ende August 2021 umgebaut (erneuert?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2146156996,charging_station,yes,yes,yes,,2,yes,yes,EnBW,24/7,EnBW Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,DE*EBW*E904736,2,32,22 kW,400,POINT (9.2082991 48.7968174),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2166912428,charging_station,yes,yes,yes,,2,yes,yes,EnBW,24/7,EnBW,Q644304,de:EnBW Energie Baden-Württemberg,DE*EBW*E904739,2,32,22 kW,400,POINT (9.2338325 48.8058807),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2183913983,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart GmbH,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10018,2,16,11 kW,400,POINT (9.2318362 48.82699),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2190103662,charging_station,yes,yes,yes,,2,yes,yes,EnBW,24/7,EnBW Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,DE*EBW*E904741,2,32,22 kW,400,POINT (9.1762302 48.8291106),,,,,2,16,3.7 kW,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2193027017,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10019,2,16,11 kW,400,POINT (9.1950391 48.779351),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2200305157,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10027,2,16,11 kW,400,POINT (9.2180868 48.8044611),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2242397434,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart GmbH,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10051,2,16,11 kW,400,POINT (9.2378086 48.7584406),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2245315071,charging_station,yes,yes,yes,,2,yes,yes,eze.network,24/7,eze.network GmbH,,,DE*EZE*ETTA000065,2,32,22 kW,400,POINT (9.1122223 48.7183587),,no,https://www.eze.network/locations/stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2245315072,charging_station,yes,yes,yes,,2,yes,yes,EnBW,24/7,Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,DE*EBW*E904766,2,32,22 kW,400,POINT (9.1129064 48.7253148),,,,,2,16,3.7 kW,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2285869046,charging_station,yes,yes,yes,,2,yes,yes,EnBW,24/7,EnBW Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,DE*EBW*E904745,2,32,22 kW,400,POINT (9.1692201 48.832301),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2296769066,charging_station,yes,yes,yes,,2,yes,yes,EnBW,24/7,EnBW,Q644304,de:EnBW Energie Baden-Württemberg,DE*EBW*E3057,2,32,22 kW,400,POINT (9.2532704 48.8090862),,,,,2,16,3.7 kW,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2301545443,charging_station,,,,,4,,,,,ENBW,,,,,,,,POINT (9.1059627 48.7447559),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2301545525,charging_station,,,,,5,,,,,FKFS,,,,,,,,POINT (9.1134802 48.7501472),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2302590924,charging_station,yes,yes,yes,,2,yes,yes,eze.network,24/7,eze.network GmbH,,,DE*EZE*ETTA000056,2,32,22 kW,400,POINT (9.1851563 48.8314817),,,https://www.eze.network/locations/stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2315344858,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10012,2,16,11 kW,400,POINT (9.2289728 48.8026657),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2329921289,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart GmbH,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10002,2,16,11 kW,400,POINT (9.1086637 48.7273893),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2388723941,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart GmbH,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10044,2,32,22 kW,400,POINT (9.1499338 48.7222376),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2388765673,charging_station,yes,yes,yes,,2,yes,yes,eze.network,24/7,eze.network GmbH,,,DE*EZE*ETTA000055,2,32,22 kW,400,POINT (9.1565953 48.8428704),,,https://www.eze.network/locations/stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2388837778,charging_station,yes,yes,yes,,2,yes,yes,eze.network,24/7,eze.network GmbH,,,DE*EZE*ETTA000071,2,32,22 kW,400,POINT (9.1563474 48.7211032),,,https://www.eze.network/locations/stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2450415795,charging_station,yes,yes,yes,EnBW,2,yes,yes,EnBW,24/7,Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,DE*EBW*E904017,2,32,22 kW,400,POINT (9.1748664 48.7492511),,,,,2,16,3.7 kW,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2451000881,charging_station,,yes,,,2,yes,yes,eze.network,,eze.network GmbH,,,,2,,22 kW,,POINT (9.2678923 48.7628198),,no,https://www.eze.network/locations/stuttgart,,,,,,Stuttgart Obertürkheim Bahnhof,Q644304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2451926101,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart GmbH,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10032,2,16,11 kW,400,POINT (9.2644052 48.7681233),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2451941105,charging_station,,,,,2,,yes,,,EnBW,Q644304,de:EnBW Energie Baden-Württemberg,,,,,,POINT (9.2585762 48.7756306),,,,,,,,,,,3152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2590889263,charging_station,,yes,,,2,,yes,,,EnBW Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,,2,,,,POINT (9.2074307 48.8085816),,,,,,,,,,,2074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2599237057,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart GmbH,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10003,2,16,11 kW,400,POINT (9.0927241 48.7384128),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2628807706,charging_station,,yes,,,2,,yes,,,EnBW,Q644304,de:EnBW Energie Baden-Württemberg,,2,,,,POINT (9.1026382 48.7450969),,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2631705899,charging_station,yes,yes,yes,EnBW,2,yes,yes,EnBW,24/7,EnBW Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,DE*EBW*E904833,2,32,22 kW,400,POINT (9.1681438 48.7656994),,,,,2,16,3.7 kW,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2648283300,charging_station,yes,yes,yes,,2,yes,yes,eze.network,24/7,eze.network GmbH,,,DE*EZE*ETTA000022,2,32,22 kW,400,POINT (9.1700192 48.7543029),,,https://www.eze.network/locations/stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
