element_type,osmid,man_made,geometry,amenity,automated,name,self_service,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,check_date,note,old_name,opening_hours,operator,start_date,tourism,wheelchair,access,cuisine,phone,website,email,fax,office,description,layer,source,smoking,brand,brand:wikidata,building,shop,fixme,alt_name,addr:unit,wikidata,wikipedia,nodes,building:levels,outdoor_seating,roof:shape,roof:colour,roof:levels,brand:wikipedia,check_date:opening_hours,loc_name,payment:account_cards,toilets:wheelchair,height,roof:material,craft,building:colour,contact:website,ref,atm,disused:shop,source:geometry,short_name,parking_space,wheelchair:description:de,official_name,building:material,building:name,wheelchair:description,building:levels:underground,owner,phone:mobile,contact:email,contact:fax,contact:phone,leisure,nohousenumber,rental,frequency,location,power,voltage,architect,heritage,url,building:min_level,fuel:diesel,fuel:e10,fuel:octane_95,fuel:octane_98,payment:credit_cards,building:part,construction:start_date,branch,noaddress,name:official,image,ways,type,opening_date,fee,wikimedia_commons,second_hand
node,2520722652,,POINT (9.1556468 48.7915139),,,Galerie Hollenbach,,Stuttgart,DE,28,70192,Ganghoferstraße,,,,,,,,,,,,+49 711 165 40 41,http://galerie-hollenbach.de/,info@galerie-hollenbach.de,+49 711 165 40 55,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4794043956,,POINT (9.0991954 48.7418885),,,Fraunhofer-Informationszentrum Raum und Bau IRB,,Stuttgart,,12,70569,Nobelstraße,,,,,Mo-Fr 08:30-16:30,,,,,,,+49 711 9702500,https://irb.fraunhofer.de,,,,Fraunhofer-Informationszentrum Raum und Bau IRB,,,,,,commercial,,,,Hauptgebäude,Q1451975,de:Fraunhofer-Informationszentrum Raum und Bau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23754722,,"POLYGON ((9.1670306 48.712839, 9.1675048 48.712992, 9.1678654 48.7131082, 9.1678209 48.7131683, 9.1678016 48.7131943, 9.1676856 48.7133509, 9.1668508 48.7130816, 9.1670306 48.712839))",,,EnBW City,,Stuttgart,DE,13,70567,Schelmenwasenstraße,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[257382425, 2879446577, 257382427, 2879446578, 2879446579, 257382428, 257382430, 257382425]",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25747461,,"POLYGON ((9.1826907 48.7643892, 9.1826937 48.7644111, 9.1827071 48.7644312, 9.1827296 48.7644475, 9.1827602 48.7644585, 9.1827947 48.7644623, 9.1828291 48.7644582, 9.1828595 48.7644469, 9.1828825 48.7644295, 9.1828953 48.7644081, 9.1828967 48.7643851, 9.1828863 48.764363, 9.1828654 48.7643446, 9.1828379 48.7643322, 9.1828059 48.7643262, 9.1827726 48.7643272, 9.1827415 48.7643351, 9.1827159 48.7643492, 9.1826983 48.7643678, 9.1826907 48.7643892))",cafe,,Teehaus,,Stuttgart,DE,119,70184,Hohenheimer Straße,,,,,Mar-Oct 11:00-23:00,Teehaus im Weissenburgpark GmbH,,attraction,,,regional;international;german;tea;cake;local;coffee_shop,+49 711 2367360,http://www.teehaus-stuttgart.de/,fest@teehaus-stuttgart.de,+49 711 2367362,,,,,outside,,,commercial,,,,,,,"[4397216515, 4397216516, 4397216517, 280782560, 280782562, 280782565, 280782568, 2491749304, 280782570, 2491749303, 4397216513, 4397216514, 1348268603, 2491749301, 1348268537, 280782573, 2491749302, 280782576, 280782579, 4397216515]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26383802,,"POLYGON ((9.1211831 48.7220335, 9.1212617 48.7221163, 9.1210734 48.7221576, 9.1210902 48.7221936, 9.1211186 48.7222496, 9.1212038 48.7223246, 9.121317 48.7224227, 9.121177 48.7224893, 9.1211665 48.7224797, 9.1211505 48.7224859, 9.1209975 48.7223447, 9.121012 48.7223388, 9.1209179 48.7222499, 9.1209006 48.7222336, 9.1208819 48.7222174, 9.1208185 48.7221623, 9.120802 48.7221473, 9.1211371 48.7219909, 9.1211831 48.7220335))",,,Terranets BW,,Stuttgart,DE,135,70565,Am Wallgraben,,,,,,,,,,,,,https://www.terranets-bw.de,,,yes,,,,,,,commercial,,,,,Q2405189,de:Terranets BW,"[289043442, 289043488, 289043490, 289043522, 3884191154, 3884191182, 289043492, 289043438, 3884191211, 3884191213, 3884191188, 3884191187, 3884191155, 3884191151, 3884191144, 3884191129, 289043440, 3884191088, 289043442]",6,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26737718,,"POLYGON ((9.140939 48.7700628, 9.1413143 48.769895, 9.14128 48.7698619, 9.1411984 48.7697821, 9.1408228 48.7699499, 9.140939 48.7700628))",,,Rolladen Gessmann,,Stuttgart,DE,6,70197,Esperantostraße,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[293264758, 293264759, 293265050, 293264760, 293264762, 293264758]",3,,flat,gray,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27520300,,"POLYGON ((9.2374545 48.7759661, 9.2371496 48.776141, 9.2373236 48.7762733, 9.237289 48.7762978, 9.2375573 48.7765067, 9.2376456 48.7765126, 9.2377199 48.7764705, 9.2377251 48.77645, 9.2378784 48.7763649, 9.2376264 48.7761706, 9.2376796 48.7761363, 9.2374545 48.7759661))",,,ALDI Süd,,Stuttgart,DE,269,70327,Ulmer Straße,,,Für Umbau vom 30.5.2020 - 17.6.2020 komplett geschlossen.,,Mo-Sa 08:00-21:00,ALDI GmbH & Co. KG,,,limited,,,,http://aldi-sued.de/,,,,,,,,ALDI Süd,Q41171672,commercial,supermarket,,,,,,"[302115733, 302115734, 1310596580, 1310596577, 302115735, 2249047523, 2249047522, 2249047521, 302115736, 302115737, 302115738, 302115733]",1,,,,0,en:Aldi,2022-08-06,Aldi,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28058000,,"POLYGON ((9.1614562 48.7755084, 9.1615594 48.7755422, 9.1615679 48.7755309, 9.1617131 48.7755785, 9.1617235 48.7755706, 9.1617299 48.7755617, 9.1614773 48.7754804, 9.1614562 48.7755084))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[8910272510, 8910272509, 8910272511, 308092109, 8910272508, 308092111, 308092114, 8910272510]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28079927,,"POLYGON ((9.1663904 48.7729176, 9.1663931 48.7729262, 9.166442 48.7729406, 9.1664564 48.7729367, 9.1664609 48.7729462, 9.166508 48.7729602, 9.1665239 48.772957, 9.1665288 48.7729661, 9.1665761 48.7729808, 9.1665885 48.772977, 9.166592 48.7729857, 9.1666398 48.7730006, 9.1666535 48.772997, 9.1666583 48.7730063, 9.1667083 48.7730218, 9.166723 48.7730163, 9.1667263 48.7730274, 9.1667766 48.7730431, 9.166791 48.7730372, 9.1667949 48.7730487, 9.1668399 48.7730627, 9.1668542 48.7730576, 9.1668579 48.7730683, 9.1669063 48.7730835, 9.1669224 48.7730798, 9.1669268 48.7730893, 9.1669764 48.7731048, 9.1669922 48.7731012, 9.1669957 48.7731111, 9.1669917 48.7731167, 9.1670062 48.7731212, 9.1670472 48.773134, 9.1670224 48.7731687, 9.1670578 48.7731797, 9.1670547 48.773184, 9.1670611 48.7731935, 9.1670476 48.773194, 9.1670227 48.7732288, 9.1670298 48.7732389, 9.1670141 48.7732408, 9.1669925 48.7732709, 9.1670009 48.7732804, 9.166984 48.7732828, 9.1669614 48.7733145, 9.166968 48.7733241, 9.1669528 48.7733265, 9.1669304 48.7733578, 9.166937 48.7733696, 9.1669203 48.7733719, 9.1669101 48.7733688, 9.1668317 48.7734807, 9.1667139 48.7734432, 9.166726 48.7734252, 9.1667287 48.7734261, 9.1667341 48.7734186, 9.1667145 48.7734125, 9.1668092 48.7732801, 9.1667917 48.7732746, 9.16679 48.773277, 9.1667089 48.7732518, 9.1667292 48.7732233, 9.1667395 48.7732265, 9.1667552 48.7732046, 9.1667546 48.7732044, 9.1667695 48.7731837, 9.1667155 48.7731669, 9.1667043 48.7731826, 9.1665687 48.7731405, 9.1665786 48.7731267, 9.1665587 48.7731205, 9.1665485 48.7731347, 9.1664983 48.7731192, 9.1664801 48.7731447, 9.1664242 48.7731273, 9.1664253 48.7731258, 9.1663857 48.7731135, 9.1663813 48.7731197, 9.166369 48.7731159, 9.1663633 48.7731238, 9.1663535 48.7731208, 9.1663483 48.773128, 9.1663277 48.7731216, 9.1663248 48.7731256, 9.1662434 48.7731003, 9.1662669 48.7730675, 9.1662636 48.7730624, 9.1662723 48.7730599, 9.1663004 48.7730206, 9.1662944 48.7730142, 9.1663063 48.7730123, 9.1663317 48.7729768, 9.1663257 48.7729698, 9.1663378 48.7729683, 9.1663532 48.7729467, 9.1663618 48.7729347, 9.1663551 48.7729263, 9.166362 48.772917, 9.1663761 48.7729129, 9.1663904 48.7729176))",,,Feuersee Carré,,Stuttgart,DE,50,70178,Rotebühlstraße,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[308341622, 8904719419, 8904719391, 8904719359, 8904719390, 8904719389, 8904719358, 8904719388, 8904719387, 8904719357, 8904719386, 8904719385, 8904719356, 8904719384, 8904719383, 8904719355, 8904719382, 8904719381, 8904719354, 8904719380, 8904719379, 8904719353, 8904719378, 8904719377, 8904719352, 8904719376, 8904719375, 8904719351, 8904719421, 8904719420, 7281674116, 2921068135, 2921068136, 308341626, 8904719367, 8904719350, 8904719366, 8904719368, 8904719349, 8904719369, 8904719370, 8904719348, 8904719371, 8904719372, 8904719347, 8904719373, 8904719374, 8904719346, 8904719422, 8904719423, 308341629, 308341831, 2921068145, 8904719411, 8904719410, 308341634, 308341637, 8904719408, 8904719409, 308341640, 8904719406, 8904719407, 8904719405, 8904719404, 2921068137, 308341643, 2921068138, 8904719415, 8904719412, 8904719413, 8904719414, 308341647, 308341650, 8904719416, 8904719417, 1257304669, 8904719398, 8904719399, 8904719400, 8904719401, 8904719402, 8904719403, 1257304679, 308341654, 8904719397, 8904719365, 8904719396, 8904719395, 8904719364, 8904719394, 8904719393, 8904719363, 8904719392, 3743058985, 8904719418, 8904719362, 8904719361, 8904719360, 308341622]",3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28284315,,"POLYGON ((9.2474248 48.766946, 9.248397 48.7672745, 9.2481501 48.7675959, 9.2476706 48.7674307, 9.2476591 48.7674268, 9.2472716 48.7679407, 9.2468308 48.7677887, 9.2467718 48.7677713, 9.2474248 48.766946))",,,OBI,,Stuttgart,DE,54,70327,Hedelfinger Straße,,,,,"Mo-Sa 08:00-20:00, PH off",,,,,,,,,,,,,,,,OBI,,commercial,doityourself,,,,,,"[310606508, 310606514, 310606517, 1199317798, 310606518, 310606521, 310616689, 310606523, 310606508]",,,,,,,,,,,25 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
