element_type,osmid,geometry,amenity,source,wheelchair,check_date,name,addr:city,addr:housenumber,addr:postcode,addr:street,nodes,addr:country,building,building:levels,roof:shape,check_date:opening_hours,opening_hours,addr:suburb,start_date,alt_name,consulate,country,diplomatic,office,website,roof:colour,wikidata,name:et,name:fr,name:lb,name:pl,name:ru,name:uk,opening_hours:signed,phone,wikipedia,source:geometry,ways,type
way,22760745,"POLYGON ((9.1190543 48.7265387, 9.1190142 48.7265544, 9.1189887 48.7265897, 9.1189839 48.726626, 9.1190024 48.7266809, 9.118228 48.7268061, 9.1182517 48.7268747, 9.1179468 48.7269266, 9.1178199 48.7269309, 9.1177197 48.7269158, 9.1176438 48.7268935, 9.1175696 48.7268566, 9.1177168 48.7268326, 9.1176864 48.7267635, 9.1189889 48.7265444, 9.1190543 48.7265387))",,,,,,Stuttgart,7,70565,Schockenriedstraße,"[244306227, 3036599952, 3036599953, 6181853376, 244306213, 244306214, 244306216, 244306217, 244306219, 6181853373, 6181853372, 244306221, 244306222, 244306224, 244306226, 244306227]",DE,government,7,flat,,,,,,,,,,,,,,,,,,,,,,,,
way,24311165,"POLYGON ((9.0921593 48.7382257, 9.0918265 48.738365, 9.0916128 48.738143, 9.0919456 48.7380036, 9.0921593 48.7382257))",,,,,Buergerhaus,Stuttgart,12,70569,Meluner Straße,"[263517420, 263517423, 263517426, 263517422, 263517420]",DE,government,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26083970,"POLYGON ((9.1099313 48.731299, 9.1097413 48.7312765, 9.1097182 48.7313614, 9.1096565 48.7313541, 9.1096061 48.7313481, 9.1095366 48.7313399, 9.1095046 48.7314575, 9.1097269 48.7314838, 9.1098763 48.7315014, 9.1099313 48.731299))",townhall,,yes,,Bezirksrathaus Vaihingen,Stuttgart,1,70563,Rathausplatz,"[285401510, 285401518, 285401534, 4071661749, 7966133752, 285401542, 285401548, 1378334566, 285401513, 285401510]",DE,government,,,2023-05-20,"Tu 14:00-16:00, Th 14:00-18:00, Mo,We,Fr 08:30-13:00, Tu,Th 08:30-12:00",,,,,,,,,,,,,,,,,,,,,,
way,28875843,"POLYGON ((9.1712475 48.7459583, 9.1714357 48.7460039, 9.1713579 48.7461435, 9.1713228 48.746135, 9.1712439 48.7462766, 9.1710908 48.7462395, 9.1712475 48.7459583))",townhall,,,,Bezirksrathaus Degerloch,Stuttgart,2,70597,Große Falterstraße,"[317421410, 317421411, 317421412, 317421413, 317421414, 317421415, 317421410]",,government,,,,"Mo,We 08:30-13:00; Tu 08:30-12:00,14:00-16:00; Th 08:30-12:00,14:00-18:00; Fr 08:30-13:00",,,,,,,,,,,,,,,,,,,,,,
way,45172421,"POLYGON ((9.1135984 48.8140822, 9.1137231 48.8141029, 9.1136596 48.8142423, 9.1137106 48.8142962, 9.1137347 48.8143035, 9.1138535 48.8143234, 9.113919 48.8143356, 9.1139819 48.8141749, 9.113933 48.814118, 9.1139571 48.8140606, 9.1139759 48.8140557, 9.1139672 48.8140433, 9.1140141 48.813929, 9.1138854 48.8139064, 9.1138874 48.8138936, 9.1137667 48.8138698, 9.1136675 48.8139003, 9.1135984 48.8140822))",,,,,,Stuttgart,1,70499,Löwen-Markt,"[573255861, 573255862, 1022297511, 573255863, 1022297499, 1022297493, 573255869, 1022297533, 1022297521, 9464108059, 9464108060, 9464108061, 573255868, 9464108062, 9464108063, 1022297508, 573255860, 573255861]",DE,government,,,,,Weilimdorf,1984-10-06,,,,,,,,,,,,,,,,,,,,
way,54045862,"POLYGON ((9.1536501 48.8539749, 9.1536438 48.8539734, 9.1536295 48.8539993, 9.1536824 48.8540134, 9.1536653 48.8540398, 9.1536488 48.8540427, 9.1536549 48.854058, 9.1536349 48.8540615, 9.1536417 48.8540785, 9.1536243 48.8540814, 9.1536307 48.8540978, 9.1536117 48.854101, 9.1536185 48.8541182, 9.1535985 48.8541216, 9.153605 48.8541382, 9.1535867 48.8541414, 9.1535934 48.8541582, 9.1535744 48.8541615, 9.1535809 48.8541778, 9.1535636 48.8541807, 9.1535702 48.8541975, 9.1535508 48.8542008, 9.1535572 48.8542169, 9.1535383 48.8542201, 9.1535451 48.8542374, 9.1535259 48.8542407, 9.1535327 48.8542579, 9.1535119 48.8542614, 9.153519 48.8542793, 9.1535011 48.8542824, 9.1535073 48.8542981, 9.1534889 48.8543012, 9.1534955 48.8543178, 9.1534754 48.8543213, 9.1534822 48.8543385, 9.1534639 48.8543416, 9.1534704 48.8543578, 9.1534535 48.8543607, 9.1534598 48.8543768, 9.1534392 48.8543803, 9.1534458 48.8543969, 9.1534266 48.8544002, 9.1534335 48.8544177, 9.1534164 48.8544206, 9.1534231 48.8544376, 9.1534042 48.8544408, 9.1534109 48.8544576, 9.153392 48.8544609, 9.1533983 48.8544768, 9.1533771 48.8544804, 9.1533843 48.8544984, 9.1534431 48.8545161, 9.1534445 48.8545141, 9.1535093 48.8545324, 9.1535083 48.8545342, 9.1535641 48.8545492, 9.1535893 48.8545336, 9.1535784 48.8545259, 9.1535998 48.8545126, 9.15359 48.8545058, 9.1536126 48.8544918, 9.153601 48.8544837, 9.1536248 48.8544479, 9.1537096 48.8544722, 9.1537244 48.8544484, 9.1536389 48.8544249, 9.1536629 48.854386, 9.1536851 48.8543744, 9.1536758 48.8543667, 9.1536978 48.8543551, 9.1536882 48.8543472, 9.1537098 48.8543359, 9.1536991 48.8543271, 9.1537216 48.8543153, 9.1537115 48.854307, 9.1537336 48.8542954, 9.1537236 48.8542872, 9.1537448 48.854276, 9.1537349 48.8542679, 9.153758 48.8542557, 9.1537478 48.8542473, 9.1537727 48.8542342, 9.1537626 48.8542258, 9.1537848 48.8542142, 9.1537751 48.8542061, 9.1537961 48.854195, 9.1537851 48.854186, 9.1538097 48.854173, 9.1537993 48.8541644, 9.1538194 48.8541538, 9.1538093 48.8541455, 9.1538322 48.8541334, 9.1538231 48.8541259, 9.1538447 48.8541145, 9.1538335 48.8541053, 9.1538561 48.8540934, 9.1538463 48.8540853, 9.153869 48.8540734, 9.153859 48.8540651, 9.1538798 48.8540542, 9.1538697 48.8540458, 9.1538802 48.8540278, 9.15411 48.8540844, 9.1541218 48.8540655, 9.1538788 48.8540013, 9.1538935 48.853983, 9.1538908 48.8539338, 9.1539049 48.8539334, 9.1539041 48.8539194, 9.1539189 48.8539115, 9.1539034 48.8538993, 9.1539185 48.853891, 9.1539025 48.8538784, 9.1539188 48.8538695, 9.1539013 48.8538556, 9.153916 48.8538476, 9.1539002 48.8538352, 9.1539152 48.853827, 9.1538988 48.853814, 9.1539149 48.8538052, 9.1538982 48.8537919, 9.1539142 48.8537831, 9.1538975 48.8537699, 9.1539139 48.8537609, 9.1538966 48.8537472, 9.15391 48.8537399, 9.153895 48.853728, 9.153893 48.8536803, 9.1539063 48.8536738, 9.153893 48.8536619, 9.1539066 48.8536553, 9.1538913 48.8536416, 9.1539062 48.8536344, 9.1538896 48.8536195, 9.1539056 48.8536118, 9.1538893 48.8535971, 9.1538274 48.8535977, 9.1538271 48.8536001, 9.1537584 48.8536009, 9.1537583 48.8535986, 9.1536955 48.8536006, 9.1536789 48.8536171, 9.1536961 48.8536246, 9.1536821 48.8536386, 9.1536968 48.853645, 9.1536806 48.8536611, 9.1536975 48.8536685, 9.1536827 48.8536832, 9.1536988 48.8536903, 9.1536846 48.8537044, 9.1536992 48.8537107, 9.1536849 48.8537249, 9.1537012 48.853732, 9.153686 48.8537471, 9.153701 48.8537537, 9.1536873 48.8537673, 9.1537036 48.8537744, 9.1536881 48.8537898, 9.1537044 48.8537969, 9.1536907 48.8538106, 9.1537051 48.8538168, 9.1536899 48.8538319, 9.1537038 48.853838, 9.153689 48.8538528, 9.1537079 48.853861, 9.153709 48.8539023, 9.153653 48.853903, 9.1536528 48.853937, 9.1536617 48.8539381, 9.1536501 48.8539749))",,"Maps4BW, LGL, www.lgl-bw.de",,,Bau I,,,,,"[4453576189, 8865393376, 4453576190, 681529049, 8865393375, 8865393289, 8865393290, 8865393288, 8865393291, 8865393287, 8865393292, 8865393286, 8865393293, 8865393285, 8865393294, 8865393284, 8865393295, 8865393283, 8865393296, 8865393282, 8865393297, 8865393281, 8865393298, 8865393280, 8865393299, 8865393279, 8865393300, 8865393278, 8865393301, 8865393277, 8865393302, 8865393276, 8865393303, 8865393275, 8865393304, 8865393274, 8865393305, 8865393273, 8865393306, 8865393272, 8865393307, 8865393271, 8865393308, 8865393270, 8865393309, 8865393269, 8865393310, 8865393268, 8865393374, 8865393267, 681528984, 8865393387, 8865393385, 8865393384, 8865393386, 681528987, 8865393370, 8865393372, 8865393369, 8865393371, 8865393368, 8865393373, 4453576202, 4453576204, 4453576203, 4453576201, 8865393367, 8865393333, 8865393366, 8865393334, 8865393365, 8865393335, 8865393364, 8865393336, 8865393363, 8865393337, 8865393362, 8865393338, 8865393361, 8865393339, 8865393360, 8865393340, 8865393359, 8865393341, 8865393358, 8865393342, 8865393357, 8865393343, 8865393356, 8865393344, 8865393355, 8865393345, 8865393354, 8865393346, 8865393353, 8865393347, 8865393352, 8865393348, 8865393351, 8865393349, 8865393350, 4453576192, 4453576194, 4453576193, 4453576191, 8865393388, 4453575488, 4453575487, 8865393332, 8865393316, 8865393331, 8865393317, 8865393330, 8865393318, 8865393329, 8865393319, 8865393328, 8865393320, 8865393327, 8865393321, 8865393326, 8865393322, 8865393325, 8865393323, 4453575481, 8865393324, 4453575482, 4453575479, 8865393315, 4453575480, 8865393311, 8865393314, 8865393312, 4453575477, 8865393313, 8865393383, 8865393381, 8865393379, 8865393380, 8865393382, 4453575478, 8865393245, 8865393266, 8865393246, 8865393265, 8865393247, 8865393264, 8865393248, 8865393263, 8865393249, 8865393262, 8865393250, 8865393261, 8865393251, 8865393260, 8865393252, 8865393259, 8865393253, 8865393258, 8865393254, 8865393257, 8865393255, 4453575484, 8865393256, 4453575483, 4453575485, 4453575486, 8865393378, 8865393377, 4453576189]",,government,,,,,,1963,Bau 1,,,,,,,,,,,,,,,,,,,
way,54045863,"POLYGON ((9.1540878 48.8547026, 9.1536428 48.8545851, 9.1537096 48.8544722, 9.1537244 48.8544484, 9.1537574 48.8543972, 9.1542024 48.8545148, 9.1540878 48.8547026))",,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,"[681529065, 681529071, 4453576204, 4453576203, 681529083, 681529089, 681529065]",,government,,,,,,,,,,,,,,,,,,,,,,,,,,
way,54045867,"POLYGON ((9.1543531 48.8547797, 9.1542972 48.8547655, 9.1542994 48.8547633, 9.1542335 48.854747, 9.1542322 48.8547491, 9.1541725 48.8547333, 9.1541673 48.8547133, 9.1541854 48.8547116, 9.1541816 48.8546932, 9.1541975 48.8546917, 9.1541938 48.8546737, 9.1542093 48.8546723, 9.1542054 48.8546534, 9.1542217 48.8546519, 9.1542452 48.854614, 9.1542389 48.8545934, 9.1542592 48.8545907, 9.1542541 48.8545739, 9.1542701 48.8545718, 9.1542649 48.8545545, 9.154282 48.8545523, 9.1542766 48.8545347, 9.1542949 48.8545323, 9.1542893 48.8545141, 9.1543071 48.8545118, 9.1543017 48.8544938, 9.1543191 48.8544915, 9.1543137 48.8544734, 9.1543314 48.8544711, 9.1543266 48.8544552, 9.1543426 48.8544531, 9.1543366 48.8544334, 9.1543559 48.8544308, 9.154351 48.8544146, 9.1543671 48.8544124, 9.1544121 48.8543384, 9.1545325 48.8543702, 9.1545357 48.8543649, 9.1545649 48.8543726, 9.1545878 48.8543787, 9.1545395 48.8544534, 9.1545544 48.8544665, 9.1545291 48.854479, 9.1545394 48.8544881, 9.1545182 48.8544986, 9.1545296 48.8545086, 9.154508 48.8545192, 9.1545175 48.8545275, 9.1544963 48.854538, 9.1545061 48.8545466, 9.1544827 48.8545582, 9.1544933 48.8545675, 9.1544704 48.8545788, 9.1544805 48.8545876, 9.1544599 48.8545978, 9.1544709 48.8546074, 9.1544478 48.8546189, 9.1544569 48.8546269, 9.1544369 48.8546368, 9.1544476 48.8546462, 9.1544245 48.8546576, 9.1544347 48.8546666, 9.1544134 48.8546771, 9.1544239 48.8546863, 9.1544016 48.8546973, 9.1544117 48.8547061, 9.1543898 48.8547169, 9.1543995 48.8547254, 9.1543795 48.8547353, 9.1543904 48.8547448, 9.1543663 48.8547568, 9.1543781 48.8547671, 9.1543531 48.8547797))",,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,"[681529183, 8865393243, 8865393241, 8865393242, 8865393244, 681529186, 8865393225, 8865393226, 8865393224, 8865393227, 8865393223, 8865393228, 8865393222, 8865393229, 8865393230, 8865393221, 8865393231, 8865393220, 8865393232, 8865393219, 8865393233, 8865393218, 8865393234, 8865393217, 8865393235, 8865381816, 8865393236, 8865381815, 8865393237, 8865381814, 8865393238, 8865381813, 8865393239, 8865381812, 8865393240, 681529192, 4453576199, 4453576198, 4453576200, 681529197, 8865381796, 8865381795, 8865381797, 8865381794, 8865381798, 8865381793, 8865381799, 8865381792, 8865381800, 8865381791, 8865381801, 8865381790, 8865381802, 8865381789, 8865381803, 8865381788, 8865381804, 8865381787, 8865381805, 8865381786, 8865381806, 8865381785, 8865381807, 8865381784, 8865381808, 8865381783, 8865381809, 8865381782, 8865381810, 8865381781, 8865381811, 8865381780, 681529183]",,government,,,,,,,,,,,,,,,,,,,,,,,,,,
way,54045869,"POLYGON ((9.1550642 48.8549648, 9.1549098 48.8549247, 9.1551521 48.8545209, 9.1553065 48.854561, 9.1550642 48.8549648))",,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,"[681529264, 681529270, 681529279, 681529281, 681529264]",,government,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96263146,"POLYGON ((9.1545983 48.8548093, 9.1547161 48.8546113, 9.1548389 48.8546429, 9.1548018 48.8547052, 9.154832 48.854713, 9.1547513 48.8548487, 9.1545983 48.8548093))",,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,"[1115858578, 1115858350, 5003160377, 1115858923, 1115858625, 1115858644, 1115858578]",,government,,,,,,,,,,,,,,,,,,,,,,,,,,
