element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,entrance,name,opening_hours,phone,ref:isil,wheelchair,geometry,check_date:opening_hours,email,website,building,internet_access,operator,ref,wikidata,wikipedia,level,contact:email,contact:phone,contact:website,fax,url,toilets:wheelchair,source,internet_access:fee,opening_hours:covid19,access,nodes,air_conditioning,building:levels,max_level,min_level,note,roof:shape,ways,type,roof:colour,roof:levels,wheelchair:description
node,128537050,Stuttgart,DE,6,70563,Vaihinger Markt,Vaihingen,library,yes,Stadtbücherei,"Tu,Fr 14:00-19:00; We,Th 10:00-15:00; Sa 10:00-15:00",+49 711 2164851,DE-480,yes,POINT (9.1098744 48.7302435),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,274544278,,,,,,,library,,Mediothek,,,,,POINT (9.1704717 48.7753065),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,573211392,Stuttgart,DE,1,70499,Löwen-Markt,,library,,Stadtteilbibliothek Weilimdorf,Tu 14:00-19:00; We 14:00-18:00; Th 10:00-18:00; Fr 11:00-19:00; Sa 10:00-13:00,+49 711 216-5326,,yes,POINT (9.1136729 48.814066),2021-04-11,stadtteilbibliothek.weilimdorf@stuttgart.de,https://www.stuttgart.de/stadtbibliothek/weilimdorf/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,583504659,Stuttgart,DE,55,70569,Pfaffenwaldring,,library,,"Universitätsbibliothek Stuttgart, Standort Vaihingen",Mo-Fr 08:00-22:00; Sa 10:00-15:00; Su off; PH off,+49 711 685 64044,DE-93,limited,POINT (9.1049396 48.7455695),,infodesk@ub.uni-stuttgart.de,https://www.ub.uni-stuttgart.de/,university,no,Universität Stuttgart,93,Q1616201,de:Universitätsbibliothek Stuttgart,,,,,,,,,,,,,,,,,,,,,,,
node,1049798541,,,,,,,library,,Stadtteilbibliothek West,"Tu,We,Fr 13:00-18:00; Th 10:00-19:00; Sa 10:00-13:00; PH off",,,yes,POINT (9.1552935 48.775484),,,http://www1.stuttgart.de/stadtbibliothek/bvs/actions/profile/view.php?id=271,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
node,1208065578,Stuttgart,DE,32,70435,Burgunderstraße,Zuffenhausen,library,,Stadtteilbücherei Zuffenhausen,,,,yes,POINT (9.1681069 48.8302345),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1387940861,Stuttgart,DE,29,70469,Sankt-Pöltener-Straße,,library,,Stadtteilbibliothek Feuerbach,"Tu 10:00-13:00,14:00-19:00; We 14:00-18:00; Th 10:00-13:00,14:00-18:00; Fr 14:00-19:00; Sa 10:00-13:00",,,yes,POINT (9.160686 48.8104948),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1589836744,,,,,,,library,,Stadtteilbibliothek Stammheim,Tu-Fr 14:00-19:00;Sa 10:00-13:00,,,limited,POINT (9.1569809 48.8487019),,,,,,,,,,,stadtteilbibliothek.stammheim@stuttgart.de,+497112165414,http://www.stuttgart.de/stadtbibliothek/stammheim/,,,,,,,,,,,,,,,,,,,
node,1740729352,,,,,,,library,,Stadtbücherei,Mo-Tu 11:00-18:00; We off; Th-Fr 11:00-18:00; Sa 10:00-13:00,,,limited,POINT (9.2030067 48.8357992),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1937783422,Stuttgart,DE,8,70374,Kneippweg,Bad Cannstatt,library,,Stadtteilbücherei,"Tu 10:00-13:00; We,Fr 14:00-19:00; Th 14:00-17:00; Sa 13:00-16:00",,,yes,POINT (9.2345647 48.8083987),,,,,,Stadt Stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2131355261,Stuttgart,DE,1,70173,Marktplatz,,library,,Rathausbücherei,"Mo 08:00-12:30,13:30-15:30; Tu-Fr 08:00-12:30; Th 08:00-12:30,13:30-17:00",+49 (0) 711 216-91212,DE-Stg91,,POINT (9.1774918 48.7748156),,rathausbuecherei@stuttgart.de,,,,,,Q28733675,,,,,,+49 (0) 711 216–91214,http://www.stuttgart.de/rathausbibliothek,,,,,,,,,,,,,,,,,
node,2923952716,,,,,,,library,,Öffentliche Katholische Bücherei,Th 16:00-18:00; Su 10:00-12:00,,,,POINT (9.2110486 48.7436535),,,https://www.sanktmichael.de/oeffentliche-buecherei.html,,,Kath. Pfarramt St. Michael,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3015792227,,,,,,,library,,Paul-Fischer Haus,,,,,POINT (9.1758779 48.761738),,,https://www.markus-haigst.de/gemeinde-gremien-orte/paul-fischer-haus.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3615564364,Stuttgart,DE,8,70569,Nobelstraße,,library,,Bibliothek der Hochschule der Medien,Mo-Fr 09:00-20:30; Sa 10:00-16:00,,,yes,POINT (9.1020227 48.7411593),,,,,wlan,Hochschule der Medien,,Q28738421,,,bibliothek@hdm-stuttgart.de,+49 711 89232510,https://www.hdm-stuttgart.de/bibliothek/,,,yes,,,,,,,,,,,,,,,,
node,3638698051,,,,,,,library,,Bibliothek,Mo-Fr 07:00-20:00; PH off,,,yes,POINT (9.1732377 48.7799288),,,,,,HFT,,Q28738432,,,,,,,,,,,,,,,,,,,,,,,,
node,3714451994,Stuttgart,DE,25,70376,Moselstraße,,library,,Stadtteilbücherei Münster,,,,,POINT (9.222168 48.8218747),,,https://www.stuttgart.de/stadtbibliothek/muenster/,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
node,3891034858,Stuttgart,,33/1,70567,Balinger Straße,,library,,Archiv Zentralbiliothek der Ev. Landeskirche,Mo-Tu 09:00-17:00,,,,POINT (9.1418509 48.7297745),,,https://www.zentralbibliothek.elk-wue.de/,,,,,Q28734852,,,,,,,,,survey,,,,,,,,,,,,,,,
node,3978329678,Stuttgart,,4A,70182,Gaisburgstraße,,library,,Bibliothek für Zeitgeschichte,Mo-Fr 10:00-17:00,,,,POINT (9.186869 48.7744278),,,,,,Württembergische Landesbibliothek,,Q856554,,,,,,,,,,,,,,,,,,,,,,,,
node,3978341401,Stuttgart,,4A,70182,Gaisburgstraße,,library,,Abteilung Karten und Graphik,,,,,POINT (9.1870549 48.774515),,,https://www.wlb-stuttgart.de/sammlungen/karten-und-graphik/,,,Württembergische Landesbibliothek,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4112179485,,,1,,Neuhauser Straße,,library,,Stadtbücherei,"Mo, Th 12:00-19:00; We, Fr 14:00-19:00",,,,POINT (9.2151293 48.7005857),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4586956329,Stuttgart,,5,70597,Löffelstraße,,library,,Stadtteilbibliothek Degerloch,"Tu,Th,Fr 14:00-19:00, We,Th,Sa 10:00-13:00",+49 711 2169108283,,no,POINT (9.1687102 48.748624),,,https://www.stuttgart.de/stadtbibliothek/degerloch/,,wlan,,,,,,,,,,,,survey,yes,,,,,,,,,,,,,,
node,4887457352,,,,,,,library,,Stadtteilbibliothek Möhringen,"Tu,We, Fr 14:00-19:00;Th 14:00-19:00;Th,Su 10:00-13:00",,,,POINT (9.1462334 48.7274126),,,http://www1.stuttgart.de/stadtbibliothek/bvs/actions/profile/view.php?id=248,,,Stadt Stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8220983622,Stuttgart,,92,70199,Böblinger Straße,,library,,Stadtteilbibliothek Heslach,"Tu 10:00-13:00,14:00-18:00; We-Fr 14:00-18:00; Th 15:00-19:00; Sa 10:00-13:00; PH off",,,,POINT (9.1581141 48.7624763),,,,,,,,,,,stadtteilbibliothek.heslach@stuttgart.de,+49 711 216 25881,http://www.stuttgart.de/stadtbibliothek/heslach/,,,,,,"Tu 10:00-13:00,14:00-18:00; We-Fr 14:00-18:00; Th 15:00-18:00; Sa 10:00-13:00; PH off",,,,,,,,,,,,,
node,8795805563,,,,,,,library,,Ökumenischer Medienladen,,,,,POINT (9.1567106 48.7699871),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8954729156,,,,,,,library,,Stadtteilbibliothek Botnang,We-Fr 14:00-17:00;Sa 10:00-13:00;PH off,,,,POINT (9.12699 48.7787134),,,,,,Stadt Stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,
