element_type,osmid,geometry,barrier,description,level,name,amenity,access,source,leisure,url,nodes,start_date,operator,website,surface,natural,wikidata,historic,loc_name,old_name,landuse,wikipedia,opening_hours,place,architect:wikidata,alt_name,reg_name,name:-2021-10-13,area,fireplace,tourism,private,bbq,dog,model_sport:aircraft,source:name,height,note,fixme,name:etymology:wikidata,name:wikipedia,lit,club,leaf_type,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,community_centre:for,email,fax,phone,fence,ways,drones,slackline,type,name:1937-1945
node,1595735151,POINT (9.1239832 48.812856),,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,3678611,"POLYGON ((9.1498312 48.7716827, 9.1500239 48.7715262, 9.1499771 48.7714918, 9.1505763 48.7710106, 9.1505871 48.77094, 9.1506303 48.7708809, 9.1506799 48.7708409, 9.1507673 48.7708377, 9.1508428 48.7708708, 9.1508767 48.7709219, 9.1508794 48.7710171, 9.1518183 48.7705225, 9.1518483 48.770497, 9.1518797 48.7704506, 9.1519022 48.7704043, 9.1518695 48.7703819, 9.1516516 48.7703932, 9.1514263 48.7703719, 9.1512465 48.7703118, 9.1510285 48.7702193, 9.1506989 48.7701342, 9.1504724 48.770114, 9.150253 48.7701234, 9.1500027 48.7701719, 9.1498067 48.7702436, 9.1495859 48.7703564, 9.1494565 48.7704669, 9.1493449 48.7706035, 9.1492854 48.7707618, 9.1492648 48.7709224, 9.1492868 48.7710778, 9.1493447 48.7712239, 9.1494808 48.7714072, 9.1495749 48.7714961, 9.149625 48.771602, 9.1498312 48.7716827))",,,,Leipziger Platz,,,,park,,"[18241096, 296480018, 18241097, 18241099, 803741474, 18241101, 803752115, 20925361, 296457662, 296457670, 18241102, 2585004096, 18241104, 18241084, 803752145, 18241085, 5576863373, 5576863374, 5576863375, 18241087, 803741443, 18241088, 18241089, 803741513, 18241090, 18241091, 1529460707, 5576863376, 18241092, 296457840, 18241093, 296457849, 18241094, 296457857, 18241095, 18241096]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,3934008,"POLYGON ((9.1835028 48.778883, 9.1836155 48.7790592, 9.1836404 48.7790566, 9.1838531 48.779364, 9.1838525 48.7793716, 9.1838436 48.7793794, 9.1838014 48.779391, 9.1838105 48.7794037, 9.1838897 48.7795263, 9.1838674 48.7796097, 9.1838869 48.7797048, 9.1839201 48.7797577, 9.1839428 48.7797937, 9.1840475 48.7798677, 9.1841759 48.7799283, 9.1842166 48.7799917, 9.1843011 48.7801196, 9.1842504 48.7801342, 9.1844326 48.7804035, 9.1844884 48.7803855, 9.1845267 48.780447, 9.1845264 48.7804932, 9.1845094 48.7805273, 9.1845449 48.7805752, 9.1846111 48.7806661, 9.1845998 48.7806707, 9.184516 48.780671, 9.184507 48.7806578, 9.1842946 48.7806601, 9.1841255 48.7807791, 9.1841324 48.7808789, 9.1841355 48.7809415, 9.1842269 48.7809983, 9.1843153 48.781052, 9.1845634 48.7810452, 9.1843945 48.7811173, 9.1843022 48.7811463, 9.1842747 48.7811688, 9.1843041 48.7812214, 9.1843102 48.7812323, 9.1844137 48.7812561, 9.1844559 48.7813116, 9.1848427 48.7818197, 9.1846671 48.7818706, 9.1834357 48.7822358, 9.1832612 48.7819375, 9.1829434 48.7819584, 9.1828925 48.781919, 9.1812203 48.780227, 9.1811181 48.780082, 9.1810677 48.7800967, 9.1809841 48.7799973, 9.1809362 48.7799025, 9.1811694 48.7798428, 9.1813887 48.7801446, 9.1818608 48.7799968, 9.1816438 48.7796895, 9.1815759 48.7797067, 9.1811754 48.7791137, 9.1813034 48.7790741, 9.1812481 48.7789857, 9.1826482 48.7785786, 9.1829687 48.7784827, 9.1830684 48.7786278, 9.1829149 48.7786735, 9.183028 48.7788426, 9.183185 48.7787959, 9.1832887 48.7789467, 9.1835028 48.778883))",,,,Oberer Schlossgarten,,,,park,,"[4246755307, 4246755316, 4246755315, 4246755324, 7004673094, 7004673093, 20278887, 3719247797, 2143170083, 3008574624, 2143170087, 3719248049, 3008574606, 2143170085, 2143170072, 2143170077, 3008574598, 3008574592, 3008574600, 3008574614, 3008574607, 3008574625, 2512656275, 76666452, 2138519787, 8893526384, 2138519786, 76666454, 76666455, 76666456, 4405886587, 76666457, 4405886588, 76666458, 76666459, 3777398657, 3719248155, 76664367, 3725510752, 3719248159, 20278888, 2516447745, 20278890, 3738264924, 20278891, 71696717, 3738267327, 20276021, 20278896, 10554944583, 10554944584, 10554944585, 10554944586, 10554944587, 10554944588, 20278898, 10554944589, 10554944590, 10554944591, 10554944592, 20278901, 418863388, 4246755294, 4246755295, 4246755296, 4246755306, 4246755302, 4246755308, 4246755307]",1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,3996884,"POLYGON ((9.1646285 48.7697257, 9.1651041 48.7691547, 9.1659666 48.7694425, 9.1658362 48.769817, 9.1662715 48.7696455, 9.1666254 48.7696887, 9.1669882 48.7695954, 9.1675513 48.769639, 9.1683772 48.7699006, 9.1683915 48.7700116, 9.1684841 48.7701155, 9.1685925 48.7701693, 9.1690826 48.7703182, 9.1691334 48.7701485, 9.1692301 48.7699256, 9.1693022 48.7697534, 9.1693265 48.7694723, 9.1689573 48.7687889, 9.1680911 48.7690647, 9.1672135 48.7693461, 9.1669533 48.7688568, 9.1666384 48.7682037, 9.1669294 48.7681339, 9.1673859 48.7680558, 9.1674006 48.7678635, 9.1670225 48.7679515, 9.1667846 48.7675593, 9.1668101 48.767543, 9.1668358 48.7675244, 9.166745 48.7674254, 9.1665465 48.7674435, 9.1652313 48.7677483, 9.1652092 48.7677014, 9.1650903 48.7675137, 9.1652852 48.7673834, 9.1650599 48.7672358, 9.1649821 48.7672924, 9.1649 48.7671196, 9.1648293 48.7670219, 9.1647059 48.7669406, 9.1645369 48.7668822, 9.1642687 48.7668681, 9.1640721 48.7669179, 9.1635914 48.7671094, 9.163469 48.7673053, 9.163457 48.7675253, 9.1632803 48.7675903, 9.1628176 48.7680075, 9.1631057 48.7681873, 9.1639983 48.7685098, 9.1641918 48.7686612, 9.1642192 48.7687247, 9.1639111 48.7692303, 9.1641185 48.7693055, 9.1639834 48.7695347, 9.1646285 48.7697257))",,,,Karlshöhe,,,,park,,"[20957149, 1400363958, 5535695496, 5535655464, 5535655465, 5535655466, 5535655468, 5535655469, 5535655470, 7626875184, 7626907385, 5535655471, 5535655472, 360193690, 5971189447, 266816144, 76814291, 76814292, 253228139, 20957153, 253228051, 5969582200, 5969582198, 5969582197, 425945218, 412961708, 425945213, 444544577, 425945211, 412961709, 5969582196, 5969582199, 5969582195, 76816104, 5969582193, 5969582192, 5969582191, 76816106, 5969582190, 5969582189, 5969582188, 5969582187, 76816108, 5969582186, 5969582185, 5969581884, 5969581883, 5969581882, 20957148, 266816145, 7688275459, 1381890844, 306468845, 1381890845, 266816146, 20957149]",,Verschönerungsverein Stuttgart e.V.,http://www.vsv-stuttgart.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4017164,"POLYGON ((9.1418903 48.7733647, 9.1417895 48.7733449, 9.1417198 48.773301, 9.1416809 48.7732406, 9.1416852 48.7731798, 9.1417178 48.7731265, 9.1418931 48.7729887, 9.1419424 48.772945, 9.1419726 48.7728844, 9.1419912 48.7728219, 9.1419868 48.7727689, 9.1419703 48.7727071, 9.1419319 48.7726658, 9.14189 48.7726313, 9.1418314 48.7725878, 9.1417356 48.7725321, 9.1418778 48.7724609, 9.142021 48.7725918, 9.1421687 48.7726965, 9.1426014 48.7729946, 9.1425024 48.7730568, 9.1429125 48.7733304, 9.1428059 48.773292, 9.1427311 48.7732735, 9.1426156 48.7732496, 9.1424733 48.7732465, 9.142323 48.7732632, 9.1421316 48.7733146, 9.1419953 48.77336, 9.1418903 48.7733647))",,,,Herderplatz,,,,park,,"[1382005516, 1382005515, 1382005514, 8850724094, 1382005513, 1382005511, 8850724095, 1382005510, 8850724096, 1382005509, 1382005508, 8850724076, 1382005507, 3703689507, 8850724075, 1382005505, 300395665, 76982768, 300113548, 300113549, 1353683358, 769415510, 8850724105, 769415473, 8850724108, 8850724104, 300395666, 21288840, 21288841, 1382005516]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4838537,"POLYGON ((9.1556003 48.7734826, 9.15573 48.7738104, 9.155817 48.7740301, 9.1558551 48.7741264, 9.155938 48.7741156, 9.1559382 48.7740841, 9.1559414 48.7736394, 9.1556003 48.7734826))",,,,,,,,park,,"[2831274207, 8118926513, 8118926511, 31126093, 31126094, 8118926512, 31126095, 2831274207]",,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,10872364,"POLYGON ((9.172541 48.7702223, 9.1724866 48.7702411, 9.1721013 48.7703738, 9.1720142 48.7704041, 9.1720688 48.770472, 9.1720807 48.7704771, 9.172051 48.7704885, 9.1727582 48.7707371, 9.1729017 48.7706671, 9.172541 48.7702223))",,,,Rupert-Mayer-Platz,,,,park,,"[96611765, 3594538645, 3594538654, 1287752899, 3594538656, 96611766, 439578144, 96611767, 96611768, 96611765]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,10872923,"POLYGON ((9.1751975 48.7711531, 9.1754373 48.7713035, 9.1755452 48.7712288, 9.1753054 48.7710784, 9.1751975 48.7711531))",,,,Gerberplätzle,,,,park,,"[96618065, 96618066, 96618067, 96618068, 96618065]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,22870764,"POLYGON ((9.2018684 48.8603263, 9.2018058 48.8604169, 9.2022055 48.8604974, 9.2022681 48.8604182, 9.2040938 48.860907, 9.2041523 48.8608288, 9.2047171 48.8609932, 9.2046836 48.8610407, 9.2048309 48.8610842, 9.2048169 48.8611145, 9.2051576 48.8612073, 9.2057125 48.8613701, 9.2060149 48.861484, 9.2059964 48.8615432, 9.206334 48.8617044, 9.2065448 48.8617513, 9.2066853 48.861405, 9.2063363 48.861259, 9.2059299 48.861126, 9.2059591 48.8610093, 9.2059167 48.8609638, 9.205742 48.8608794, 9.205588 48.8608358, 9.2054395 48.8608128, 9.2048622 48.8607765, 9.2044283 48.860742, 9.2041854 48.8607091, 9.2039608 48.8606442, 9.203714 48.8604974, 9.203481 48.860435, 9.2028388 48.8604136, 9.2027583 48.8597186, 9.202604 48.8597619, 9.2024155 48.8598337, 9.2022043 48.8599214, 9.2020608 48.8600429, 9.2019669 48.8601625, 9.2018684 48.8603263))",,,,,,,,park,,"[6022264888, 6022264887, 245975977, 245804978, 245804980, 245804982, 245804983, 245804984, 2378137517, 2378137521, 2378137525, 245804985, 2378137531, 2378137533, 2378137537, 245978375, 245978376, 2378137529, 2378137523, 2378137515, 2378137513, 2378137509, 2378137506, 245800221, 245800220, 2840254703, 245800219, 2378137498, 2378137496, 2378137495, 245975680, 6022264891, 6022264890, 6022264893, 6022264892, 6022264894, 6022264889, 6022264888]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23458372,"POLYGON ((9.1169551 48.7314542, 9.1172442 48.7315629, 9.1174124 48.7315935, 9.1176841 48.7316009, 9.1192455 48.7314673, 9.1195067 48.7323977, 9.1195214 48.7326598, 9.1195404 48.7328587, 9.1194943 48.7331013, 9.1193176 48.7331057, 9.1171723 48.7320633, 9.1168184 48.7318914, 9.1167664 48.7318661, 9.1161934 48.731561, 9.1164154 48.7314426, 9.1165937 48.7313869, 9.1167171 48.7313877, 9.1169551 48.7314542))",,,,Fanny-Leicht-Park,,,,park,,"[254050096, 8955201075, 526147772, 8955201074, 254050097, 254050098, 8955201079, 3955150887, 3955150888, 254050099, 10765194230, 10765194229, 301105614, 271387891, 8955201078, 8955201077, 8955201076, 254050096]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
