element_type,osmid,amenity,maxheight,parking,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,fee,layer,name,created_by,entrance,access,capacity,check_date:opening_hours,opening_hours:signed,wheelchair,bicycle,description,motorcar:liquid_gas,motorcycle,opening_hours,operator,operator:type,payment:cash,payment:maestro,payment:mastercard,payment:visa,surface,trailer,was:name,website,barrier,motor_vehicle,maxspeed,motorcar,source,maxweight,ref:IFOPT,location,park_ride,toilets:wheelchair,capacity:women,maxstay,wheelchair:description,capacity:disabled,note,indoor,level,vehicle,noexit,ref,supervised,capacity:parent,name:de,name:en,lit,tourist_bus,was:amenity,was:wheelchair,check_date,nohousenumber,phone,access:conditional,survey:date,disabled,capacity:charging,brand,operator:wikidata,fixme,parking_space,covered,payment:girocard,outdoor_seating,nodes,motorhome,alt_name,building,building:levels,ref:IFOPT:description,roof:levels,roof:shape,building:roof_shape,height,TMC:cid_58:tabcd_1:Class,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:LocationCode,old_name,traffic_sign,capacity:note,start_date,hiking,hgv,caravan_site,name_1,motorcycle:parking,parking:orientation,was:access,was:fee,was:network,was:operator,was:website,building:part,motor_vehicle:conditional,minheight,contact:phone,contact:website,payment:coins,payment:notes,payment:others,name:source,access:disabled,smoothness,FIXME,capacity:car_sharing,vehicle:conditional,fee:conditional,charge,check_date:fee,access:description,capacity:emergency,fence_type,note:capacity,note:surface,maxstay:conditional,parking:condition,min_height,short_name,url,type,building:levels:underground,bunker,historic,military,winter_service,psv,payment:credit_cards,source:geometry,orientation,operator:abbr,ways,addr:place
node,54781788,parking,,underground,POINT (9.1677312 48.8305306),Stuttgart,DE,32,70435,Burgunderstraße,Zuffenhausen,yes,-1,Rewe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,59656349,parking,,surface,POINT (9.1584948 48.8174712),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,71719181,parking,2.30,multi-storey,POINT (9.1790211 48.7806158),,,,,,,yes,,Königshof,,,yes,40,2023-05-07,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,71719792,parking,,underground,POINT (9.1785171 48.7802551),,,,,,,yes,-1,Marquardtgarage,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,76908569,parking,,underground,POINT (9.1755037 48.7740124),Stuttgart,,1,,Breite Straße,,yes,-1,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,76926962,parking,1.8,underground,POINT (9.1761709 48.7751615),Stuttgart,,27,70173,Königstraße,,yes,-1,Neue Brücke / Königstraße,,,yes,190,,,yes,no,"Maximale Höhe: 1,8m",no,no,24/7,APCOA PARKING Deutschland GmbH,private,yes,yes,yes,yes,asphalt,no,Karstadt,https://www.apcoa.de/parken/stuttgart/neue-bruecke-koenigstrasse/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,78728559,parking,,,POINT (9.1674556 48.8316222),,,,,,,,,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,87348444,parking,,underground,POINT (9.1842852 48.8019019),,,,,,,,-1,,,,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,107560926,parking,,,POINT (9.147429 48.7994803),,,,,,,,,,JOSM,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,203912162,parking,,,POINT (9.1414276 48.8389273),,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
