element_type,osmid,amenity,capacity,capacity:disabled,geometry,fee,parking,wheelchair,parking_space,access,access:disabled,parking:disabled,description,capacity:charging,operator,start_date,motorcar,traffic_sign,nodes,addr:city,addr:postcode,addr:street,park_ride,supervised,emergency,covered,name,capacity:electric,surface,addr:housenumber,car_sharing,note,source,fixme,opening_hours,source:geometry,image,wikimedia_commons,capacity:parent,disabled,maxstay,ref,fee:conditional
node,1354260416,parking_space,1,1,POINT (9.1631211 48.7758444),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1724632949,parking_space,2,2,POINT (9.2089092 48.7973146),no,surface,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1726525482,parking_space,1,,POINT (9.2048519 48.7862852),,surface,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1726525485,parking_space,1,1,POINT (9.2051391 48.7863167),,surface,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1737518589,parking_space,,1,POINT (9.1703472 48.7649061),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2080218368,parking_space,1,1,POINT (9.1892575 48.7916534),,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2939312478,parking_space,1,,POINT (9.2191696 48.8361963),,,,disabled,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2939312479,parking_space,1,,POINT (9.2191283 48.8362529),,,,disabled,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2988670719,parking_space,,,POINT (9.1783433 48.8163426),,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3006461475,parking_space,,yes,POINT (9.2087237 48.7975925),yes,surface,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3018424284,parking_space,,,POINT (9.2254555 48.832439),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3018424287,parking_space,,,POINT (9.2266842 48.8325257),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3018424289,parking_space,,,POINT (9.2266225 48.8325588),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3018424290,parking_space,,,POINT (9.226564 48.8325835),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3018424291,parking_space,,,POINT (9.2260673 48.832629),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3018424292,parking_space,,,POINT (9.2263454 48.8326386),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3018424293,parking_space,,,POINT (9.226291 48.8326414),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3020685537,parking_space,,,POINT (9.2261194 48.839401),,,,disabled,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3020685538,parking_space,,,POINT (9.2261769 48.8394362),,,,disabled,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3349925493,parking_space,1,1,POINT (9.1722056 48.7911245),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3359527275,parking_space,1,1,POINT (9.1745561 48.7844833),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3359527276,parking_space,1,1,POINT (9.1746743 48.7845147),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3716996167,parking_space,,1,POINT (9.1176185 48.7268196),,,designated,,,,,Einzelner Behindertenparkplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3807270812,parking_space,,1,POINT (9.179849 48.7883051),,,designated,,,,,einfacher Behindertenparkplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4198486425,parking_space,,,POINT (9.2071197 48.8183538),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4215665477,parking_space,1,,POINT (9.2385019 48.7750253),,surface,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4642270287,parking_space,,,POINT (9.2315813 48.8418744),,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4968598013,parking_space,,,POINT (9.2209469 48.8346325),,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5694519737,parking_space,1,1,POINT (9.2039734 48.7738729),,surface,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5698440131,parking_space,1,1,POINT (9.2051388 48.7767002),,surface,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5707631514,parking_space,2,2,POINT (9.1625695 48.7608321),,surface,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5710560604,parking_space,1,1,POINT (9.1530155 48.7601089),,surface,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5988221872,parking_space,1,1,POINT (9.2284285 48.8423805),no,surface,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8662188969,parking_space,1,,POINT (9.1145211 48.7320366),no,,,charging,charging,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8677621075,parking_space,2,,POINT (9.1788533 48.7739133),,surface,,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8742940420,parking_space,,,POINT (9.1579385 48.7690439),,surface,,,private,,,Reserviert für Bereitschafts-Dienstfahrzeuge der SSB AG,,SSB AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8756205657,parking_space,1,,POINT (9.1463339 48.7288394),yes,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8756205659,parking_space,1,,POINT (9.1464315 48.7285806),yes,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8756205661,parking_space,1,,POINT (9.1463832 48.7287001),yes,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8831630129,parking_space,1,,POINT (9.1555594 48.7333472),,surface,,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8891936246,parking_space,2,,POINT (9.2081707 48.7190506),,,,charging,,,,,2,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8892311257,parking_space,2,,POINT (9.1280293 48.7379908),,surface,,charging,,,,,2,,,designated,"DE:314,1048-10",,,,,,,,,,,,,,,,,,,,,,,,,
node,8898007662,parking_space,1,1,POINT (9.1100733 48.7316586),,surface,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8922954882,parking_space,2,2,POINT (9.1898087 48.7495086),,surface,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8925958733,parking_space,1,1,POINT (9.1088891 48.7319663),,surface,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8936292823,parking_space,1,1,POINT (9.1140363 48.7325236),,,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9191705545,parking_space,11,,POINT (9.1087673 48.8072779),,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10614555086,parking_space,1,1,POINT (9.1822576 48.7747073),,,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10665217020,parking_space,,,POINT (9.1777572 48.7712922),,,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10680572148,parking_space,1,,POINT (9.1698429 48.7833146),,,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10681177000,parking_space,1,,POINT (9.1734616 48.7548606),,,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10967336147,parking_space,,,POINT (9.1741617 48.7764374),,,,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,242890998,parking_space,1,,"POLYGON ((9.1054633 48.7181847, 9.1054781 48.7182018, 9.1055473 48.7181741, 9.10553 48.7181586, 9.1054633 48.7181847))",yes,lane,,,,,,,,,,,,"[2503362529, 2503362530, 2503362527, 2503362525, 2503362529]",,,,,,,,,,,,,,,,,,,,,,,,
way,262123903,parking_space,1,1,"POLYGON ((9.2505948 48.7804493, 9.2506165 48.7804268, 9.250563 48.7804044, 9.2505413 48.780427, 9.2505948 48.7804493))",no,surface,yes,,yes,,,,,,,,,"[1308743285, 2677728608, 1186306642, 2677728614, 1308743285]",Stuttgart,70327,Arlbergstraße,no,no,,,,,,,,,,,,,,,,,,,
way,372485138,parking_space,,,"POLYGON ((9.1342682 48.7262817, 9.134363 48.7262835, 9.134365 48.7262367, 9.1342702 48.726235, 9.1342682 48.7262817))",,,,,,,,,,,,,,"[3760440555, 3760440556, 3760440554, 3760440550, 3760440555]",,,,,,,,,,,,,,,,,,,,,,,,
way,375153040,parking_space,,,"POLYGON ((9.1794619 48.7765501, 9.1794273 48.7764945, 9.179345 48.7765168, 9.1793801 48.776573, 9.1794619 48.7765501))",,,,,,,,,,,,,,"[3785452427, 3785452407, 3785452415, 3785452435, 3785452427]",,,,,,,,,,,,,,,,,,,,,,,,
way,375153042,parking_space,,,"POLYGON ((9.1797352 48.7764737, 9.1797012 48.7764197, 9.1796133 48.7764437, 9.1796476 48.7764982, 9.1797352 48.7764737))",,,,,,,,,,,,,,"[3785452402, 3785452390, 3785452394, 3785452408, 3785452402]",,,,,,,,,,,,,,,,,,,,,,,,
way,375153043,parking_space,,,"POLYGON ((9.1796074 48.7765094, 9.1795731 48.7764548, 9.1794665 48.7764839, 9.1795012 48.7765392, 9.1796074 48.7765094))",,,,,,,,,,,,,,"[3785452412, 3785452396, 3785452405, 3785452420, 3785452412]",,,,,,,,,,,,,,,,,,,,,,,,
way,375153044,parking_space,,,"POLYGON ((9.1792752 48.7766024, 9.1792394 48.7765461, 9.179323 48.7765232, 9.1793585 48.7765791, 9.1792752 48.7766024))",,,,,,,,,,,,,,"[3785452446, 3785452426, 3785452418, 3785452437, 3785452446]",,,,,,,,,,,,,,,,,,,,,,,,
way,375153045,parking_space,,,"POLYGON ((9.179161 48.7766343, 9.1791241 48.7765776, 9.179209 48.7765544, 9.1792457 48.7766106, 9.179161 48.7766343))",,,,,,,,,,,,,,"[3785452461, 3785452436, 3785452429, 3785452453, 3785452461]",,,,,,,,,,,,,,,,,,,,,,,,
way,375153046,parking_space,,,"POLYGON ((9.1798422 48.7764127, 9.1798256 48.7763856, 9.1797463 48.7764073, 9.1797795 48.7764613, 9.1798586 48.7764392, 9.1798422 48.7764127))",,,,,,,,,,,,,,"[3785452389, 3785452384, 3785452388, 3785452398, 3785452392, 3785452389]",,,,,,,,,,,,,,,,,,,,,,,,
way,385063182,parking_space,4,,"POLYGON ((9.1219753 48.7218924, 9.1219312 48.7218039, 9.1219899 48.7217912, 9.122034 48.7218797, 9.1219753 48.7218924))",,surface,,,customers,,,,,Gasversorgung Süddeutschland,,,,"[3884191059, 3884191042, 3884191037, 3884191053, 3884191059]",,,,,,,,,,,,,,,,,,,,,,,,
way,385063184,parking_space,2,,"POLYGON ((9.1220029 48.7217758, 9.1219864 48.721741, 9.1220527 48.7217272, 9.1220693 48.7217621, 9.1220029 48.7217758))",,,,,customers,,,,,REIFF Reifen und Autotechnik,,,,"[3884191032, 3884191024, 3884191020, 3884191030, 3884191032]",,,,,,,,,,,,,,,,,,,,,,,,
way,385063186,parking_space,2,,"POLYGON ((9.1218209 48.7218952, 9.1218134 48.72188, 9.1218711 48.7218677, 9.1218924 48.7219108, 9.1218347 48.7219232, 9.1218209 48.7218952))",,surface,,,customers,,,,,Gasversorgung Süddeutschland,,,,"[3884191062, 3884191054, 3884191050, 3884191067, 3884191071, 3884191062]",,,,,,,,,,,,,,,,,,,,,,,,
way,385375805,parking_space,,,"POLYGON ((9.1738851 48.825631, 9.1742671 48.8255995, 9.1742588 48.8255557, 9.1738769 48.8255872, 9.1738851 48.825631))",,surface,,,,,,,,,,,,"[3887252482, 3887252485, 3887252486, 3887252487, 3887252482]",,,,,,,,,,,,,,,,,,,,,,,,
way,385375807,parking_space,,,"POLYGON ((9.173894 48.8254786, 9.1739008 48.8255226, 9.1737669 48.8255317, 9.1737601 48.8254877, 9.173894 48.8254786))",,surface,,,,,,,,,,,,"[4313631352, 4313631354, 3887252488, 3887252489, 4313631352]",,,,,,,,,,,,,,,,,,,,,,,,
way,388493830,parking_space,1,,"POLYGON ((9.2079547 48.8166302, 9.2079887 48.8166514, 9.208033 48.8166202, 9.2079989 48.8165989, 9.2079547 48.8166302))",,,,disabled,,,,,,,,,,"[3916868709, 3916868710, 3916868705, 3916868702, 3916868709]",,,,,,,,,,,,,,,,,,,,,,,,
way,407594836,parking_space,1,1,"POLYGON ((9.1723886 48.76795, 9.1723282 48.7679716, 9.1723059 48.7679445, 9.1723665 48.7679229, 9.1723886 48.76795))",,,,disabled,,,,,,,,,,"[4096419397, 4096419398, 3770189353, 4096419395, 4096419397]",,,,,,,,,,,,,,,,,,,,,,,,
way,407594839,parking_space,1,1,"POLYGON ((9.1723886 48.76795, 9.1724234 48.7679932, 9.1724927 48.7679689, 9.1724577 48.7679254, 9.1724232 48.7679377, 9.1723886 48.76795))",,,,disabled,,,,,,,,,,"[4096419397, 4096419400, 4096419399, 3770189351, 3440593695, 4096419397]",,,,,,,,,,,,,,,,,,,,,,,,
way,413183131,parking_space,,,"POLYGON ((9.1892114 48.8276205, 9.1893844 48.8275529, 9.1893549 48.82752, 9.189182 48.8275876, 9.1892114 48.8276205))",,,,,,,,,,,,,,"[4145145994, 4145145989, 4145144987, 4145145992, 4145145994]",,,,,,,,,,,,,,,,,,,,,,,,
way,413183132,parking_space,,,"POLYGON ((9.1896393 48.827769, 9.1896655 48.8277125, 9.1895627 48.827595, 9.1895408 48.8276584, 9.1896393 48.827769))",,,,,,,,,,,,,,"[4145145999, 4145145997, 4145145993, 4145145996, 4145145999]",,,,,,,,,,,,,,,,,,,,,,,,
way,413183133,parking_space,,,"POLYGON ((9.1897841 48.8278453, 9.1896877 48.8277375, 9.1896615 48.8277856, 9.1897643 48.8279066, 9.1897841 48.8278453))",,,,,,,,,,,,,,"[4145146001, 4145145998, 4145146000, 4145146003, 4145146001]",,,,,,,,,,,,,,,,,,,,,,,,
way,413183134,parking_space,,,"POLYGON ((9.189517 48.8276344, 9.18954 48.8275693, 9.1894431 48.8274643, 9.1894227 48.8275235, 9.189517 48.8276344))",,,,,,,,,,,,,,"[4145145995, 4145145991, 4145144986, 4145144988, 4145145995]",,,,,,,,,,,,,,,,,,,,,,,,
way,413183135,parking_space,,,"POLYGON ((9.1899104 48.828063, 9.1899323 48.8280097, 9.1898147 48.8278731, 9.1897881 48.8279278, 9.1899104 48.828063))",,,,,,,,,,,,,,"[4145146006, 4145146005, 4145146002, 4145146004, 4145146006]",,,,,,,,,,,,,,,,,,,,,,,,
way,413469704,parking_space,2,,"POLYGON ((9.1847423 48.8146561, 9.1846894 48.8146212, 9.1846486 48.814648, 9.1847015 48.8146829, 9.1847423 48.8146561))",,,,,no,,,,,,,,,"[4147909094, 4147908988, 4147909093, 4147909102, 4147909094]",,,,,,designated,,,,,,,,,,,,,,,,,,
