element_type,osmid,amenity,denomination,name,religion,wheelchair,geometry,website,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,opening_hours,source,entrance,tourism,contact:website,level,old_name,service_times,office,operator,wikidata,wikipedia,denomination:de,short_name,toilets:wheelchair,check_date,access,addr:suburb,club,note,description,start_date,network,url,alt_name,contact:phone,name:source,official_name,official_name:source,fee,historic,nodes,building,building:material,height,roof:material,roof:orientation,roof:shape,email,fax,phone,architect,building:architecture,image,roof:colour,building:levels,ref,roof:direction,source:roof:shape,architect:1811-1944,architect:1955-,former:location,name:-1808,name:1811-,wikimedia_commons,building:start_date,roof:levels,name:signed,contact:email,denomination:wikipedia,name:en,building:colour,consecrationname,roof:height,source:addr,name:de,wheelchair:description,ele,year_of_construction,place_of_worship,architect:wikidata,name:ro,source:geometry,building:name,deanery,diocese,name:etymology:wikidata,air_conditioning,internet_access,loc_name,note:height,FIXME,inside,ways,payment:cards,payment:credit_cards,payment:debit_cards,type
node,59650873,place_of_worship,lutheran,Dreieinigkeitskirche,christian,yes,POINT (9.1069444 48.7263085),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,114309713,place_of_worship,catholic,St. Ulrich,christian,yes,POINT (9.1587548 48.7121171),http://www.stulrich.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,267960728,place_of_worship,lutheran,Schloßkirche,christian,no,POINT (9.1791576 48.7768066),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,271721672,place_of_worship,protestant,Alte Kirche,christian,,POINT (9.255513 48.7591115),,Stuttgart,DE,7,70329,Amstetter Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,280301563,place_of_worship,catholic,St. Paulus,christian,,POINT (9.2357041 48.7589128),,Stuttgart,DE,81,70329,Dürrbachstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,315518602,place_of_worship,protestant,Ev. Kirchengemeinde Schönberg,christian,,POINT (9.2019495 48.7325556),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,315605349,place_of_worship,roman_catholic,Zum Guten Hirten,christian,limited,POINT (9.1597184 48.8464756),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,478214356,place_of_worship,protestant,Evangelische Kapelle im Asemwald,christian,,POINT (9.1924132 48.7247923),https://www.evkirche-asemwald-schoenberg.de/Asemwald_kapelle.htm,,,,,,"Mo,We,Fr 08:30-11:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,662479646,place_of_worship,catholic,St. Markus,christian,,POINT (9.2563379 48.7598682),,Stuttgart,DE,18,70329,Otto-Hirsch-Brücken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,903879172,place_of_worship,jehovahs_witness,Zeugen Jehovas,christian,,POINT (9.2516891 48.7648045),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
