element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,entrance,geometry,source,access,building,name,description,note,operator,website,wheelchair,check_date,url,nodes,building:levels,roof:levels,roof:shape,building:colour,building:material,roof:colour,roof:material,roof:orientation,service,was:amenity,was:cuisine,was:name,was:website,building:levels:underground,fixme,reg_name,start_date,source:roof:shape,name:wikipedia,height,name:building,phone,source:addr,nohousenumber,owner,wikidata,ele,roof:height,building:part,operator:url,proposed:name,start_date:construction,proposed:roof:shape,construction,building:parts,architect,building:name,building:min_level,ways,type
node,1815302326,Stuttgart,DE,76,70372,Dennerstraße,,yes,POINT (9.2305994 48.8043804),,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3455799950,Stuttgart,DE,2,70374,Seubertstraße,,yes,POINT (9.2297092 48.8085021),,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,10121189,Stuttgart,,48,70565,Thingstraße,,,"POLYGON ((9.095964 48.7207827, 9.0958862 48.7208599, 9.0959241 48.7208765, 9.0956746 48.7211244, 9.0958163 48.7211865, 9.0961195 48.7208853, 9.0960421 48.7208514, 9.0960662 48.7208275, 9.095964 48.7207827))",,,residential,Paulinenpflege,,,,,,,,"[83467124, 1236528957, 1236528899, 83467125, 83467126, 83467127, 1236529030, 1236529001, 83467124]",2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25711799,Stuttgart,DE,58,70597,Korinnaweg,,,"POLYGON ((9.1589308 48.7397462, 9.158867 48.7397533, 9.1588577 48.7397166, 9.1588003 48.7397229, 9.1588097 48.7397597, 9.1587453 48.7397668, 9.1586877 48.7395408, 9.1587588 48.7395329, 9.1587679 48.7395687, 9.1588149 48.7395635, 9.1588057 48.7395273, 9.1588731 48.7395198, 9.1589308 48.7397462))",,,residential,,,,,,,,,"[280345329, 3944015083, 3944015081, 3944015082, 3944015084, 280345332, 280345334, 3944015078, 3944015080, 3944015079, 3944015077, 280345331, 280345329]",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27244573,Stuttgart,DE,58,70180,Heusteigstraße,,,"POLYGON ((9.1759096 48.7684219, 9.1757921 48.7683641, 9.175676 48.7684666, 9.1757935 48.7685244, 9.1759096 48.7684219))",,,residential,,,,,,,,,"[299007391, 299007392, 299167016, 299167017, 299007391]",4,2,gabled,yellow,plaster,#800000,roof_tiles,across,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27244577,Stuttgart,DE,62,70180,Heusteigstraße,,,"POLYGON ((9.1756018 48.768275, 9.1754217 48.7681852, 9.1753233 48.7682709, 9.1753451 48.7682817, 9.1753973 48.7683079, 9.1753903 48.7683139, 9.1754258 48.7683316, 9.1754347 48.768324, 9.1754836 48.768349, 9.175505 48.7683593, 9.1756018 48.768275))",,,residential,,,,,,,,,"[299007446, 299007447, 299167011, 8908306111, 8908306120, 8908306118, 8908306117, 8908306119, 8908306114, 299167013, 299007446]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27244580,Stuttgart,DE,64,70180,Heusteigstraße,,,"POLYGON ((9.1753914 48.7681684, 9.1752556 48.768102, 9.1752258 48.7681119, 9.1751788 48.7682413, 9.1752879 48.7682585, 9.1753914 48.7681684))",,,residential,,,,,,,,,"[299007689, 299007477, 3324820566, 299007690, 299007479, 299007689]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27244581,Stuttgart,DE,5,70180,Immenhofer Straße,,,"POLYGON ((9.1753185 48.7683439, 9.1753066 48.7683365, 9.1752512 48.7683279, 9.1752564 48.7683135, 9.1752571 48.7683115, 9.1751617 48.7682968, 9.1751075 48.768456, 9.1752727 48.7684797, 9.1753185 48.7683439))",,,residential,,,,,,,,,"[299007492, 8908306148, 8908306147, 8908306140, 8908306146, 299007685, 299007494, 299007686, 299007492]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27260729,Stuttgart,DE,11,70180,Immenhofer Straße,,,"POLYGON ((9.1757071 48.7673609, 9.1755331 48.7672749, 9.1755046 48.7672827, 9.1754548 48.7674226, 9.1755635 48.767438, 9.1755767 48.767403, 9.1755967 48.767398, 9.1756404 48.7674195, 9.1757071 48.7673609))",,,residential,,,,,,,,,"[299218903, 299219170, 3324816517, 299218905, 3324816525, 299219171, 299218907, 299219172, 299218903]",5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27260740,Stuttgart,DE,9,70180,Immenhofer Straße,,,"POLYGON ((9.1756189 48.7674906, 9.1756057 48.7674724, 9.1754457 48.767448, 9.1754047 48.7675709, 9.1755819 48.7675981, 9.1756189 48.7674906))",,,residential,,,,,,,,,"[299218960, 8908385605, 299219167, 299218962, 299219168, 299218960]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
