element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,contact:email,contact:phone,contact:website,name,operator,tourism,website,wheelchair,wheelchair:description,wikidata,geometry,cuisine,email,outdoor_seating,phone,smoking,opening_hours,addr:suburb,created_by,payment:credit_cards,blind:description:de,checkout,contact:fax,internet_access,opening_hours:breakfast,brand,brand:wikidata,diet:vegetarian,wheelchair:description:de,internet_access:fee,internet_access:operator,disused:amenity,fax,biergarten,toilets:wheelchair,description,old_name,indoor_seating,url,note,short_name,buffet,payment:coins,payment:contactless,payment:girocard,payment:notes,takeaway,diet:fish,diet:meat,website:menu,capacity,check_date,level,opening_hours:kitchen,delivery,was:name,contact:facebook,source,entrance,access:covid19,delivery:covid19,drive_through:covid19,opening_hours:covid19,takeaway:covid19,alt_name,check_date:opening_hours,diet:vegan,opening_hours:signed,organic,lunch,lunch:buffet,diet:organic,smoking:outside,award:michelin,brand:wikipedia,reservation:email,min_age,ref,start_date,lastcheck,parking,toilets:access,toilets:changing_table,toilets:fee,toilets:scheme,payment:cash,beer_garden,changing_table,changing_table:location,last_checked,delivery:partner,brewery,air_conditioning,contact:instagram,restaurant,disused:shop,payment:american_express,payment:mastercard,payment:visa,name:de,name:en,drive_in,drive_through,indoor,payment:cards,payment:cryptocurrencies,fixme,craft,bar,reservation,historic_name,payment:debit_cards,addr:state,designation,microbrewery,diet:halal,diet:kosher,contact:mobile,toilets,outdoor_seating:capacity,old_operator,old_website,yelp,access,source:capacity,check_date:diet:vegan,is_in,last_check,was:amenity,was:cuisine,was:operator,was:website,source:ref,operator:website,payment:electronic_purses,name:zh,diet:non-vegetarian,diet:nut_free,diet:pescetarian,branch,payment:maestro,name:--2022-10,internet_access:type,source:name,owner,addr:housename,drinks,diet:dairy_free,diet:gluten_free,diet:lactose_free,opening_hours:url,drink:whisky,drink:wine,internet_access:ssid,payment:visa_debit,payment:visa_electron,opening_days,name:--2016,name:2016-09-09--,stars,breakfast,drink,board_games,drink:club-mate,contact:url,addr:subdistrict,building,contact:wheelchair,payment:db_konzernausweis,operator:type,image,mobile,self_service,cocktails,layer,planned,currency:XBT,diet:chicken,diet:healthy,diet:lacto_vegetarian,diet:local,diet:mediterranean,diet:ovo_vegetarian,payment:lightning,payment:lightning_contactless,payment:onchain,survey:date,facebook,nodes,shop,building:levels,roof:levels,check_date:diet:vegetarian,note:opening_hours,roof:shape,source:roof:shape,opening_hours:restaurant,live_music,club,name:--2015-02,name:2015-06-13--2017,name:2018-01--2020-06,name:2020-07--,drink:coffee,castle_type,historic,wikipedia,stroller,roof:note,addr:place,official_name,ref:vatin,building:levels:underground,roof:material,loc_name,smoking:description:de,outdoor_seating:comfort,room,ways,type
node,29283708,Stuttgart,DE,2-4,70569,Magstadter Straße,restaurant,stuttgart@relexa-hotel.de,+49 711 6867 0,www.relexa-hotel.de,relexa Waldhotel Schatten,relexa hotel GmbH,hotel,https://www.relexa-hotel-stuttgart.de/,limited,"Eigener Rollstuhl vorhanden, behindertenfreundliches Zimmer vorhanden",Q111851688,POINT (9.0876369 48.754817),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,36947598,,,,,,restaurant,,,,Franca e Franco,,,,,,,POINT (9.1575654 48.8321549),italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,38107982,Stuttgart,,76,70435,Unterländer Straße,restaurant,,,,Ristorante MANGIA!,,,http://www.ristorantemangia.de/,,,,POINT (9.1673217 48.8324194),italian,info@ristorantemangia.de,yes,+49 711 879 160,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,38919869,Stuttgart,DE,101,70192,Thomastraße,restaurant,,,,Höhencafe Killesberg,Kris Gensrich,,https://www.hoehencafe.de/,yes,,,POINT (9.1698975 48.8054817),,,,+49 711 25 60 520,,Mo-Su 10:30-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,43769220,Stuttgart,DE,1,,Straßburger Straße,restaurant,,,,La Ferté,,hotel,,no,,,POINT (9.1743741 48.8296532),,,,,,,Zuffenhausen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,59257766,,,,,,restaurant,,,,Gaststätte Pflug,,,,no,,,POINT (9.177241 48.8330116),,,,,,,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,59257789,,,,,,restaurant,,,,Pizzeria Centrale,,,,,,,POINT (9.174849 48.8331444),pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,59427227,,,14,,Marbacher Straße,restaurant,,,,Klosterkeller,,,https://www.weinlokal-klosterkeller.de/,no,,,POINT (9.1763367 48.8310768),german,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,59427229,Stuttgart,,18,,Marbacher Straße,restaurant,,,,El Camino,,hotel,http://www.elcamino-stuttgart.de,no,,,POINT (9.176172 48.831544),steak_house,,,+497119879540,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,59427238,,,,,,restaurant,,,,Hirsch,,,,limited,,,POINT (9.1756186 48.8313119),,,,,,,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
