element_type,osmid,access,amenity,capacity,fee,name,opening_hours,phone,website,wheelchair,geometry,level,brand,brand:wikidata,brand:wikipedia,check_date:opening_hours,shop,operator,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,source,addr:suburb,building:levels,check_date,disused:name,disused:shop,contact:email,contact:phone,contact:website,opening_hours:covid19,toilets:wheelchair,office,url,craft,cuisine,diet:vegetarian,indoor_seating,outdoor_seating,email,payment:coins,payment:girocard,payment:mastercard,payment:notes,payment:visa,second_hand,opening_hours:signed,note,supervised,internet_access,name:de,name:en,branch,description,ref,clothes,alt_name,payment:american_express,wheelchair:description:de,inscription,wikidata,wikipedia,nodes,building,roof:levels,start_date,old_name,roof:colour,roof:shape,toilets,loc_name,opening_hours:lastcheck,nohousenumber,fax,fixme,phone:check_date,roof:material,architect,source:date,building:levels:underground,smoking,abandoned:amenity,drink:club-mate,payment:cash,payment:credit_cards,source:roof:shape,building:colour,religion,compressed_air,contact:facebook,delivery:covid19,takeaway:covid19,zero_waste,shop:1996-04--2015-05-13,diet:gluten_free,architect:wikidata,official_name,payment:diners_club,payment:jcb,payment:others,roof:orientation,building:reg_name,addr:housename,disused:amenity,short_name,addr:district,addr:province,addr:subdistrict,image,roof:note,payment:debit_cards,contact:fax,height,smoking:outside,ref:vatin,bicycle_parking,covered,noaddress,service:bicycle:rental,service:bicycle:repair,drive_through,takeaway,source:name,layer,last_checked,architect:website,construction:start_date,owner,building:material,organic,tenant,healthcare,healthcare:speciality,temporary,ways,type,dog
way,9414183,,,,,,,,,,"POLYGON ((9.1758938 48.7784724, 9.1759416 48.7785223, 9.1759356 48.7785252, 9.1759772 48.7785691, 9.1759817 48.7785671, 9.176044 48.7786351, 9.1760394 48.778638, 9.1760362 48.7786413, 9.1760367 48.7786452, 9.1760395 48.7786493, 9.1760439 48.7786514, 9.1760503 48.7786522, 9.1760556 48.7786509, 9.1760616 48.7786573, 9.1760375 48.7786666, 9.176174 48.7788135, 9.1761864 48.7788093, 9.1762188 48.7788457, 9.1763695 48.7787857, 9.1763574 48.7787709, 9.1765351 48.7787006, 9.1765461 48.7787137, 9.1767025 48.7786526, 9.1768169 48.7786048, 9.1768005 48.7785808, 9.1768051 48.7785787, 9.1768087 48.7785759, 9.1768099 48.7785702, 9.1768088 48.7785646, 9.1768062 48.7785609, 9.1768028 48.7785583, 9.1767943 48.7785559, 9.1767832 48.7785552, 9.1767644 48.7785261, 9.1767745 48.7785228, 9.1767175 48.7784481, 9.1767108 48.7784501, 9.1767141 48.7784556, 9.1766841 48.7784647, 9.1766731 48.7784509, 9.1766789 48.7784475, 9.1766804 48.7784431, 9.1766757 48.7784365, 9.1766682 48.7784345, 9.17666 48.7784349, 9.1766455 48.7784184, 9.1766671 48.7784123, 9.1765894 48.7783268, 9.1765686 48.7783359, 9.1765593 48.7783267, 9.1765646 48.7783245, 9.1765332 48.7782748, 9.176516 48.7782804, 9.1764991 48.778262, 9.1763336 48.7783276, 9.1763245 48.7783163, 9.1761872 48.7783718, 9.1761775 48.7783595, 9.1760959 48.778391, 9.1761046 48.7784085, 9.1760796 48.7784188, 9.1760734 48.7784121, 9.1760278 48.7784324, 9.1760196 48.7784227, 9.1758938 48.7784724))",,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q115690601,,"[71730823, 8905647307, 8905647305, 8905647304, 8905647306, 1057852670, 8905647303, 8905647300, 8905647298, 8905647299, 8905647301, 8905647302, 8905686133, 1057851901, 8905686132, 8905686131, 8905686130, 71730824, 8905686128, 8905686127, 8905686129, 8905686126, 1400985166, 71730825, 8905686122, 8905647288, 8905647292, 8905647291, 8905647289, 8905647287, 8905647290, 8905647293, 8905686123, 8905686124, 8905686121, 8905686120, 8905686119, 8905647316, 8905647315, 8905686117, 8905647297, 8905647295, 8905647294, 8905647296, 8905686118, 1057852753, 1057852000, 71730828, 8905647314, 8905647312, 8905647313, 1057852821, 1057852474, 1057852816, 1057851949, 1057852138, 1057852709, 1057852044, 1057852355, 8905647308, 8905647309, 8905647310, 8905647311, 1057852774, 71730823]",retail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,9414673,,,,,Königsbau,,,,yes,"POLYGON ((9.1781363 48.7786115, 9.17814 48.7786101, 9.1781327 48.778602, 9.1781278 48.7786039, 9.1781248 48.7786007, 9.178111 48.7786061, 9.1781129 48.7786082, 9.1780764 48.7786227, 9.1780737 48.7786197, 9.1780639 48.7786236, 9.1780664 48.7786264, 9.1779582 48.7786691, 9.1779556 48.7786663, 9.1779419 48.7786718, 9.1779448 48.778675, 9.1779345 48.7786791, 9.1779116 48.7786882, 9.1779095 48.7786859, 9.1778959 48.7786912, 9.1778993 48.7786951, 9.1778932 48.7786975, 9.1779025 48.7787077, 9.1779066 48.7787061, 9.1779418 48.7787449, 9.1779345 48.7787478, 9.1779388 48.7787525, 9.1779473 48.7787492, 9.1780798 48.7788948, 9.1780779 48.7788956, 9.1780852 48.7789037, 9.1780885 48.7789024, 9.1781378 48.7789566, 9.1781581 48.7789789, 9.1781547 48.7789802, 9.1781608 48.7789869, 9.1781643 48.7789855, 9.1784074 48.7792527, 9.1784044 48.7792539, 9.1784105 48.7792605, 9.1784143 48.7792591, 9.1784444 48.7792921, 9.1784835 48.7793351, 9.1784788 48.7793369, 9.1784844 48.7793431, 9.1784883 48.7793416, 9.1786186 48.7794847, 9.1786122 48.7794872, 9.1786194 48.7794952, 9.1786252 48.7794928, 9.1786635 48.7795349, 9.1786606 48.779536, 9.1786668 48.7795428, 9.1786716 48.779541, 9.1786738 48.7795435, 9.1786872 48.7795382, 9.1786855 48.7795363, 9.1787204 48.7795224, 9.1787299 48.7795329, 9.1787447 48.779527, 9.1787401 48.7795219, 9.1788426 48.7794815, 9.1788462 48.7794855, 9.1788627 48.779479, 9.1788549 48.7794704, 9.1788882 48.7794572, 9.1788899 48.7794591, 9.1789055 48.7794529, 9.1789019 48.779449, 9.1789051 48.7794477, 9.1788948 48.7794363, 9.1788914 48.7794377, 9.1788747 48.7794194, 9.178815 48.7793539, 9.1787983 48.7793354, 9.1787662 48.7793001, 9.1787286 48.7792588, 9.1787198 48.7792491, 9.1787245 48.7792473, 9.1787177 48.7792398, 9.1787128 48.7792417, 9.1786746 48.7791998, 9.1786441 48.7791662, 9.1786485 48.7791644, 9.1786424 48.7791577, 9.1786377 48.7791596, 9.1786256 48.7791464, 9.1785426 48.7790552, 9.1784602 48.7789646, 9.1783944 48.7788922, 9.1783973 48.7788911, 9.1783917 48.7788849, 9.178388 48.7788862, 9.1783653 48.778861, 9.1783189 48.7788098, 9.1783224 48.7788084, 9.178315 48.7788004, 9.1783117 48.7788018, 9.1782943 48.7787832, 9.1782279 48.7787108, 9.1781651 48.7786431, 9.1781363 48.7786115))",,,,,,,,Stuttgart,DE,28,70173,Königstraße,,,,,,,,,,,,,http://www.stuttgart.de/item/show/137994/1,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1270988,de:Königsbau,"[8907929450, 8907923998, 8907923994, 8907923995, 8907923996, 8907923997, 7472080018, 8907923993, 8907923990, 8907923991, 8907923992, 8907923989, 8907923986, 8907923987, 8907923988, 10692691970, 8907929437, 8907929436, 8907929432, 8907929433, 8907929434, 8907929435, 8907929438, 8907929439, 8907923985, 8907923984, 8907929440, 8907923983, 8907923981, 8907923980, 8907923982, 8907923949, 8907923979, 8907923978, 8907923977, 8907929441, 8907929431, 8907929430, 8907929429, 8907929442, 8907923950, 8907929445, 8907929427, 8907929428, 8907929447, 672471000, 8907929426, 8907929425, 8907929448, 1397163331, 8907929424, 1397163333, 8907929421, 8907929420, 8907929419, 8907929422, 8907929423, 8907929418, 8907929417, 8907924016, 1397163328, 8907924015, 8907924014, 1397163319, 8907924013, 7472080021, 8907924011, 8907924010, 8907924009, 8907924012, 71733916, 10692691966, 9826627056, 9826627057, 10692691967, 10692691968, 8907924008, 8907924005, 8907924006, 8907924007, 1400985215, 1397163281, 8907924003, 8907924002, 8907924004, 9826627058, 9826627059, 9826627063, 8907924001, 8907923999, 8907924000, 1397163254, 8907923951, 8907923974, 8907923972, 8907923973, 8907923975, 9826627060, 9826627061, 9826627062, 8907929450]",retail,,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,10871979,,,,,Tübinger Carré,,,,,"POLYGON ((9.17529 48.7724046, 9.175261 48.7724159, 9.1752182 48.772388, 9.1752445 48.7723704, 9.1752245 48.7723571, 9.1751757 48.7723246, 9.1751135 48.7722829, 9.1750044 48.7723546, 9.1750663 48.7723961, 9.1750212 48.7724208, 9.1748596 48.7724791, 9.1748222 48.7724549, 9.1748094 48.772464, 9.1748066 48.7724621, 9.1747105 48.7725276, 9.1747006 48.7725273, 9.1746882 48.7725283, 9.1746771 48.7725325, 9.1746697 48.7725384, 9.1746652 48.7725449, 9.1746651 48.7725498, 9.1746674 48.7725574, 9.1746716 48.7725622, 9.1746756 48.7725659, 9.1746823 48.7725691, 9.1746907 48.7725698, 9.1748173 48.7729105, 9.1748975 48.7728961, 9.1748835 48.7728569, 9.1750631 48.7728042, 9.1750551 48.7727814, 9.175047 48.7727643, 9.1750355 48.772745, 9.1750255 48.7727293, 9.1750115 48.7727091, 9.1749973 48.7726901, 9.174972 48.7726625, 9.1749564 48.7726469, 9.1749465 48.7726391, 9.1749336 48.7726297, 9.1749067 48.7726325, 9.1749032 48.7726192, 9.1749026 48.7726028, 9.1749067 48.7725872, 9.1749142 48.7725732, 9.1749244 48.7725609, 9.1749344 48.7725531, 9.1749449 48.7725471, 9.1749651 48.7725596, 9.1751279 48.7724497, 9.1751352 48.7724591, 9.1751309 48.7724614, 9.1752082 48.7725608, 9.1752188 48.7725574, 9.1753662 48.7725088, 9.17529 48.7724046))",,,,,,,,,,,70178,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8905339987, 4141439612, 4141439605, 1246269928, 8905337809, 8905337812, 8905339982, 1779626560, 1779626557, 1243926563, 1243926551, 3897361038, 8905339981, 96607848, 3897361037, 8905339944, 8905339943, 8905339942, 8905339945, 96607849, 8905339950, 8905339949, 8905339946, 8905339947, 8905339948, 8905339990, 96607846, 3319565474, 3319565469, 8905339991, 8905339960, 8905339976, 8905339961, 8905339975, 8905339963, 8905339974, 8905339973, 8905339972, 8905339962, 8905339977, 8905339970, 8905339969, 8905339968, 8905339967, 8905339966, 8905339965, 8905339964, 8905339971, 1246270011, 8905339978, 8905339979, 8905339980, 8905339989, 8905339955, 8905339988, 8905339987]",retail,,,Eberhard-Passagen,gray,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,13106349,,,,,Breuninger Markt,,,,,"POLYGON ((9.1793061 48.7749764, 9.1797637 48.7751646, 9.1799068 48.7752491, 9.17988 48.7752681, 9.1798418 48.7752487, 9.1798251 48.7752621, 9.1798369 48.7752674, 9.1796828 48.7753934, 9.1796576 48.7753803, 9.179602 48.775424, 9.1796192 48.7754332, 9.1794942 48.7755345, 9.1794647 48.775521, 9.1794533 48.7755327, 9.1792924 48.775466, 9.1793008 48.7754567, 9.1792173 48.7754196, 9.1792062 48.7754304, 9.1791345 48.7753993, 9.1791457 48.7753879, 9.1789465 48.7753029, 9.1792089 48.7750319, 9.1792626 48.7749792, 9.1792897 48.7749914, 9.1793061 48.7749764))",,,,,,,,Stuttgart,DE,15,70173,Marktplatz,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[120664378, 3337603240, 3337603241, 120664348, 120664346, 8905593824, 8905593823, 3337603244, 3337603243, 3337603245, 3337603246, 8905593822, 8905593821, 120664343, 8905593817, 8905593819, 8905593818, 8905593816, 8905593815, 8905593820, 120664340, 3644951450, 8905593814, 8905593813, 120664378]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,13654630,,,,,,,,,,"POLYGON ((9.1181261 48.7184094, 9.1181629 48.7185565, 9.1181364 48.7185594, 9.1181516 48.7186201, 9.1183888 48.7185942, 9.1183561 48.7184637, 9.1184522 48.7184533, 9.1185715 48.7184403, 9.1185938 48.7184378, 9.1185795 48.7183808, 9.1182578 48.7184159, 9.1182527 48.7183956, 9.1181261 48.7184094))",,,,,,,,Stuttgart,DE,1,70565,Herschelstraße,Yahoo,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[125779478, 6298919664, 6298919663, 125779479, 2091606242, 2091606244, 2182467533, 2182467531, 2091606239, 125779482, 6298919661, 6298919662, 125779478]",retail,0,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,14458159,,,,,Carré Bad Cannstatt,,,https://www.carre-bad-cannstatt.de/,yes,"POLYGON ((9.2221529 48.8023865, 9.2221708 48.8023441, 9.2221879 48.8023472, 9.2224987 48.8016135, 9.22248 48.8016101, 9.2224975 48.8015686, 9.2224127 48.801553, 9.2224134 48.8015513, 9.2216828 48.801417, 9.2216979 48.8013813, 9.2217182 48.801385, 9.2217291 48.8013593, 9.2217407 48.801332, 9.2217183 48.8013278, 9.2217345 48.8012896, 9.2225524 48.80144, 9.22257 48.8013984, 9.2225888 48.8014018, 9.2226188 48.8013312, 9.222476 48.8013049, 9.2225594 48.8011081, 9.2227018 48.8011342, 9.2228451 48.8007958, 9.222839 48.8007946, 9.2228298 48.8007738, 9.2228193 48.8007516, 9.2227883 48.8007582, 9.2227868 48.8007554, 9.2224591 48.800816, 9.2222706 48.8008503, 9.2217855 48.800938, 9.2217883 48.8009449, 9.2217348 48.8009542, 9.2216889 48.8009623, 9.2216867 48.8009567, 9.2210162 48.8010776, 9.2210072 48.8010791, 9.2210088 48.8010844, 9.2209478 48.8010963, 9.2209372 48.8010995, 9.2209295 48.8011027, 9.2209228 48.8011085, 9.2209188 48.8011143, 9.2209182 48.8011221, 9.2209213 48.8011283, 9.2209281 48.8011349, 9.2209393 48.8011394, 9.2209698 48.8011453, 9.2209683 48.8011488, 9.2211633 48.8011861, 9.2211384 48.8012426, 9.2211161 48.8012384, 9.2211061 48.801261, 9.2210929 48.8012911, 9.2211169 48.8012957, 9.2211001 48.801334, 9.221054 48.8013252, 9.2210633 48.8013042, 9.2210058 48.8012991, 9.2209625 48.8012967, 9.2209345 48.8012957, 9.2209083 48.8012956, 9.2208819 48.8012965, 9.220855 48.8012982, 9.2208262 48.801301, 9.2207972 48.8013051, 9.2207611 48.8013119, 9.2207251 48.8013203, 9.2206843 48.8013308, 9.2206454 48.8013433, 9.220613 48.8013554, 9.2205793 48.8013711, 9.2205496 48.8013857, 9.220521 48.8014014, 9.2204921 48.801421, 9.2204683 48.8014393, 9.2204477 48.8014549, 9.2204284 48.8014718, 9.2204095 48.8014921, 9.2203926 48.8015122, 9.2203761 48.8015342, 9.2203631 48.8015573, 9.2203544 48.8015755, 9.2203443 48.8015968, 9.2203383 48.8016125, 9.2203332 48.8016321, 9.2203302 48.8016489, 9.2203273 48.801674, 9.2203265 48.801696, 9.2203273 48.801714, 9.2203295 48.8017401, 9.2203339 48.8017623, 9.2204093 48.801726, 9.2204395 48.8017539, 9.220462 48.8017743, 9.220257 48.8018773, 9.2202129 48.8018992, 9.2202179 48.801905, 9.2201954 48.8019164, 9.2201819 48.8019247, 9.2201745 48.8019327, 9.2201699 48.80194, 9.2201666 48.8019456, 9.2201656 48.8019519, 9.2201661 48.8019589, 9.2201681 48.8019659, 9.2201723 48.8019727, 9.220177 48.8019788, 9.2201859 48.8019857, 9.2201963 48.8019899, 9.220205 48.8019929, 9.2202251 48.8019969, 9.2202193 48.8020105, 9.2202142 48.8020225, 9.2202049 48.8020208, 9.220202 48.8020275, 9.2203081 48.8020471, 9.220407 48.8020652, 9.2205455 48.8020907, 9.2207108 48.8021211, 9.2212005 48.8022111, 9.2212171 48.8021719, 9.2212638 48.8021805, 9.221283 48.8021353, 9.2213161 48.8021414, 9.2212968 48.8021868, 9.221346 48.8021959, 9.2213294 48.8022351, 9.2221529 48.8023865))",,,,,,mall,,Stuttgart,DE,2-4,70372,Wildunger Straße,,Bad Cannstatt,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1033481,,"[141832163, 8875451177, 8875451178, 8875451180, 8875451179, 141832166, 8875451181, 8875451182, 141832170, 8875451186, 8875451184, 151028867, 8875451183, 8875451185, 141832172, 141832175, 3056919587, 3056919588, 3056919586, 3056919585, 3056919583, 3056919584, 8875451187, 8875451188, 3056919582, 141832179, 8875451189, 8875451190, 1572715787, 2989979487, 8875451130, 8875451129, 2989979486, 8875451131, 8875451132, 2323696025, 3812063618, 8875451138, 8875451134, 8875451133, 3812063619, 8875451135, 8875451136, 141832182, 8875451137, 1285592721, 8875451139, 141832189, 1285592700, 141832194, 8875451141, 8875451140, 151028869, 8875451143, 8875451142, 141832198, 8875451146, 1285592717, 8875451144, 8875451145, 8875451126, 141832202, 8875451127, 1285592695, 8875451128, 8875451147, 1285592725, 8875451148, 141832204, 8875451149, 1285592729, 8875451150, 141832210, 8875451151, 1285592703, 8875451152, 299216437, 8875451153, 1285592690, 8875451154, 141832217, 8875451155, 1285592710, 8875451156, 1285592708, 8875451157, 8875451158, 1285592723, 8875451159, 1285592742, 8875451160, 1285592726, 141832222, 299216435, 141832226, 4344322125, 141832230, 3832631627, 8875451161, 3056919589, 8875451162, 3832631630, 8875451163, 3832631631, 8875451164, 3832631633, 8875451165, 1285592740, 1285592698, 8875451166, 1285592719, 1285592713, 4344322119, 8875451168, 8875451167, 141832234, 4344322134, 4344322135, 3812063675, 4344322136, 8875451175, 8875451174, 8875451172, 8875451170, 8875451169, 8875451171, 8875451173, 8875451176, 141832163]",retail,,,Cannstatter Carré,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,22971835,,cafe,,,Café-Konditorei Geiler,"Tu-Sa 09:00-17:00; PH,Su 12:00-17:00",,,yes,"POLYGON ((9.1132532 48.7185831, 9.1134898 48.7185833, 9.11349 48.7185031, 9.1134388 48.7185031, 9.113439 48.7184201, 9.1132535 48.7184199, 9.1132535 48.7184252, 9.1132023 48.7184252, 9.1131866 48.7185358, 9.1132533 48.7185354, 9.1132532 48.7185831))",,,,,,,,Stuttgart,DE,52,70565,Osterbronnstraße,,,2,,,,,,,,no,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,"[7506400571, 247575146, 7506400573, 7506400572, 247575147, 7506400570, 7506400568, 7506400567, 7506400566, 7506400569, 7506400571]",retail,0,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23712207,,,,,Ökumenisches Zentrum,,,,,"POLYGON ((9.1012593 48.7449688, 9.1013443 48.7449656, 9.1013466 48.7449927, 9.1014464 48.7449894, 9.1014806 48.7449883, 9.1015169 48.7449872, 9.1015138 48.7449435, 9.1015623 48.7449417, 9.1015485 48.7447785, 9.1015443 48.7447277, 9.1012373 48.744739, 9.101242 48.7447947, 9.1012831 48.7447932, 9.1012886 48.7448576, 9.1012502 48.744859, 9.1012565 48.7449323, 9.1012575 48.7449458, 9.1012593 48.7449688))",,,,,,,,Stuttgart,DE,6,70569,Allmandring,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[256765071, 686539532, 686560724, 686560945, 4948880366, 686539541, 686539543, 256765072, 4948864596, 686539542, 256765070, 686539530, 686539531, 4948864597, 4948864598, 4948880365, 686560726, 256765071]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24956115,,,,,ALDI Süd,Mo-Sa 08:00-21:00,,,limited,"POLYGON ((9.0989693 48.821075, 9.0989627 48.8211333, 9.0989042 48.8211304, 9.0988896 48.8212594, 9.0989508 48.8212625, 9.0989497 48.8212722, 9.0988878 48.8212691, 9.0988721 48.8214085, 9.0989276 48.8214112, 9.0989089 48.8215756, 9.0992665 48.8215931, 9.0992836 48.821442, 9.0994031 48.8214479, 9.0994172 48.8213228, 9.0992951 48.8213168, 9.0993205 48.8210922, 9.0990027 48.8210766, 9.0989693 48.821075))",,ALDI Süd,Q41171672,en:Aldi,,supermarket,ALDI GmbH & Co. KG,Stuttgart,DE,34,70499,Heimsheimer Straße,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[271188232, 2100715695, 2100715694, 2100715696, 2100715697, 2100715699, 2100715698, 2100715702, 2100715703, 271188233, 271188234, 271188235, 2100715704, 2100715701, 271188236, 2100715692, 7388387040, 271188232]",retail,,,,,,,Aldi,2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25216249,,,,,,,,,,"POLYGON ((9.2342814 48.7917348, 9.2344716 48.7916316, 9.2347793 48.7918778, 9.2346247 48.7919616, 9.234504 48.7918651, 9.2344684 48.7918844, 9.2342814 48.7917348))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[274962467, 274962470, 274962473, 274962475, 8672425616, 8672425617, 274962467]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
