osmid,y,x,street_count,ref,highway,geometry
243642,48.6955182,9.1931151,3,,,POINT (9.1931151 48.6955182)
243648,48.6937412,9.1998088,3,53a,motorway_junction,POINT (9.1998088 48.6937412)
433564,48.7276507,9.0677547,3,,,POINT (9.0677547 48.7276507)
433912,48.8234279,9.0943289,3,,,POINT (9.0943289 48.8234279)
433913,48.8252278,9.0941703,3,,,POINT (9.0941703 48.8252278)
433914,48.8229418,9.0929511,3,,,POINT (9.0929511 48.8229418)
433918,48.8234391,9.09295,3,,,POINT (9.09295 48.8234391)
433922,48.8232583,9.0930887,3,,,POINT (9.0930887 48.8232583)
433923,48.8233088,9.0931728,3,,,POINT (9.0931728 48.8233088)
433924,48.8234118,9.0931607,3,,,POINT (9.0931607 48.8234118)
433925,48.8234528,9.0930683,3,,,POINT (9.0930683 48.8234528)
433926,48.8233804,9.0935259,3,,,POINT (9.0935259 48.8233804)
434253,48.840406,9.1535665,3,,motorway_junction,POINT (9.1535665 48.840406)
434257,48.8398578,9.1567508,3,,,POINT (9.1567508 48.8398578)
434258,48.8392747,9.1570758,3,,,POINT (9.1570758 48.8392747)
434264,48.8426483,9.135682,3,,,POINT (9.135682 48.8426483)
434278,48.8412737,9.164406,3,,motorway_junction,POINT (9.164406 48.8412737)
434286,48.8423344,9.1767849,3,,,POINT (9.1767849 48.8423344)
434287,48.8442915,9.1789967,3,,motorway_junction,POINT (9.1789967 48.8442915)
434293,48.8480163,9.1822333,3,,,POINT (9.1822333 48.8480163)
434295,48.845736,9.1800563,3,,motorway_junction,POINT (9.1800563 48.845736)
434297,48.8427542,9.1771114,3,,motorway_junction,POINT (9.1771114 48.8427542)
483640,48.7239615,9.1668772,4,,,POINT (9.1668772 48.7239615)
483641,48.7237491,9.166827,5,,,POINT (9.166827 48.7237491)
483665,48.7151571,9.1646847,3,,,POINT (9.1646847 48.7151571)
483687,48.7210597,9.1820669,2,,,POINT (9.1820669 48.7210597)
483750,48.7169376,9.1952625,3,,traffic_signals,POINT (9.1952625 48.7169376)
483821,48.7270154,9.1501071,3,,,POINT (9.1501071 48.7270154)
483829,48.7271584,9.1501039,3,,,POINT (9.1501039 48.7271584)
483835,48.7287095,9.1503839,4,,,POINT (9.1503839 48.7287095)
483836,48.7293683,9.1503585,3,,,POINT (9.1503585 48.7293683)
483837,48.7299028,9.1504702,3,,,POINT (9.1504702 48.7299028)
483859,48.7404041,9.1528375,3,,,POINT (9.1528375 48.7404041)
488104,48.714104,9.165426,3,,,POINT (9.165426 48.714104)
488105,48.713934,9.1655758,3,,,POINT (9.1655758 48.713934)
488113,48.7125672,9.1663917,4,,,POINT (9.1663917 48.7125672)
488115,48.7125853,9.1669559,3,,,POINT (9.1669559 48.7125853)
488120,48.7137374,9.1661323,3,,,POINT (9.1661323 48.7137374)
488121,48.7139372,9.1659015,3,,,POINT (9.1659015 48.7139372)
490550,48.7487416,9.1567335,3,,,POINT (9.1567335 48.7487416)
490551,48.7492349,9.1566575,3,,,POINT (9.1566575 48.7492349)
490557,48.7495007,9.1508784,3,,,POINT (9.1508784 48.7495007)
490573,48.7532466,9.1519042,3,,,POINT (9.1519042 48.7532466)
490590,48.7569277,9.1557404,3,,,POINT (9.1557404 48.7569277)
490637,48.7569974,9.1462695,3,,,POINT (9.1462695 48.7569974)
490641,48.7586279,9.1508029,4,,,POINT (9.1508029 48.7586279)
490642,48.7590926,9.1519579,4,,,POINT (9.1519579 48.7590926)
490643,48.7597369,9.1538086,3,,crossing,POINT (9.1538086 48.7597369)
490645,48.7594636,9.1595802,3,,,POINT (9.1595802 48.7594636)
490651,48.7600635,9.1566605,3,,,POINT (9.1566605 48.7600635)
490652,48.7602625,9.1581267,3,,,POINT (9.1581267 48.7602625)
490653,48.7606567,9.159674,4,,,POINT (9.159674 48.7606567)
490655,48.7629637,9.1591549,3,,,POINT (9.1591549 48.7629637)
490667,48.7539801,9.1389667,4,,,POINT (9.1389667 48.7539801)
490691,48.7660001,9.1612592,3,,,POINT (9.1612592 48.7660001)
490694,48.7705732,9.1580411,4,,,POINT (9.1580411 48.7705732)
490704,48.7713949,9.1612556,4,,,POINT (9.1612556 48.7713949)
490705,48.7717142,9.1625278,3,,,POINT (9.1625278 48.7717142)
490707,48.7649927,9.1592639,3,,,POINT (9.1592639 48.7649927)
490709,48.7637909,9.1592076,3,,,POINT (9.1592076 48.7637909)
