element_type,osmid,created_by,geometry,amenity,name,wheelchair,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,website,barrier,wikidata,source,access,note,operator,url,level,email,phone,opening_hours,contact:email,contact:fax,contact:phone,nodes,building,building:levels,roof:levels,roof:shape,school,school:DE,fax,area,denomination,religion,wikipedia,roof:material,type,addr:suburb,old_name,alt_name,description,leisure,toilets:wheelchair,roof:colour,disused:shop,was:name,start_date,school:de,school_type,fixme,name:de,name:fr,ref:AEFE,contact:website,historic,image,building:name,isced:level,official_name,building:parts,short_name,designation,source:geometry,grades,layer,loc_name,ways
node,259606086,Potlatch 0.8b,POINT (9.2224063 48.8122501),school,Dietrich Bonhoeffer Schule,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,269571290,,POINT (9.2483539 48.7771571),school,Linden Realschule,,Stuttgart,DE,20,70327,Lindenschulstraße,https://www.linden-realschule.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,274993079,,POINT (9.2144665 48.7918192),school,Raitelsbergschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,288485503,,POINT (9.2493879 48.777567),school,Wirtemberg-Gymnasium,,Stuttgart,DE,20,70327,Lindenschulstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,313063427,,POINT (9.2112178 48.8396538),school,Eschbach Gymnasium,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,326256298,,POINT (9.2166924 48.8066936),school,Brunnen-Realschule,,Stuttgart,,32,70372,Wilhelmstraße,https://www.brunnen-realschule.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,477816018,,POINT (9.2176125 48.7835216),school,Grundschule Gaisburg,,,,,,,,,Q113160565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,571183958,,POINT (9.2113626 48.8400952),school,Bertha-von-Suttner-Realschule,no,Stuttgart,,40,70437,Adalbert-Stifter-Straße,https://www.bvs-gms.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,617017812,,POINT (9.1581227 48.8061118),school,Bachschule,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1367818510,,POINT (9.2263602 48.8432578),school,Mönchfeldschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1485659894,,POINT (9.2057468 48.817867),school,Johannes-Gutenberg-Schule,,Stuttgart,,25,70376,Rostocker Straße,https://www.jgs-stuttgart.de/,,Q1697086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1494535179,,POINT (9.2241664 48.8059449),school,Schillerschule,no,,,,,,,,,,,Grund- und Hauptschule mit Werkrealschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1608509842,,POINT (9.2122777 48.8396901),school,Kreuzsteinschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1608509996,,POINT (9.2080152 48.8382733),school,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1608510035,,POINT (9.2067116 48.837493),school,Helene-Fernau-Horn-Schule,,Stuttgart,,52a,70437,Adalbert-Stifter-Straße,http://www.hfh-schule.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2607786538,,POINT (9.1886754 48.7748405),school,Galileo Grundschule,,Stuttgart,DE,22,70184,Alexanderstraße,http://www.galileo-grundschule.de/,,,,,,Klett Schulen und Bildung gGmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5912489626,,POINT (9.1284883 48.7326015),school,Margarete-Steiff-Schule,yes,Stuttgart,,6,70567,Hengstäcker,https://www.margarete-steiff-schule.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6139290218,,POINT (9.1645852 48.8124347),school,Louis-Leitz-Schule Außenstelle Burgenlandstraße,limited,Stuttgart,,44c,70469,Burgenlandstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6440995303,,POINT (9.1903882 48.8003325),school,Rosensteinschule,,Stuttgart,,120,70191,Nordbahnhofstraße,https://rosensteinschule.de/,,,,,,,,,poststelle.rosensteinschule@stuttgart.de,+49 711 21620820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6447173238,,POINT (9.1894034 48.8017005),school,DAA Berufliche Schulen Stuttgart (Deutsche Angestellten Akademie),,Stuttgart,,147,70191,Nordbahnhofstraße,https://daa-berufliche-schulen.de/,,,,,,,,2,,+49 711 67235910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
