element_type,osmid,amenity,name,toilets:wheelchair,wheelchair,geometry,addr:housenumber,addr:street,historic,website,wikidata,wikipedia,addr:city,addr:country,addr:postcode,addr:suburb,email,fax,opening_hours:signed,phone,contact:email,contact:fax,contact:phone,contact:website,description,start_date,nodes,building,architect,building:levels,roof:levels,roof:shape,ele,office,check_date:opening_hours,opening_hours,height,ways,type
node,266369891,townhall,Bezirksrathaus Botnang,yes,yes,POINT (9.131498 48.778048),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,313064824,townhall,Palm'sches Schloss,,limited,POINT (9.2292355 48.8439296),35,Mönchfeldstraße,castle,https://www.stuttgart.de/item/show/197827,Q1681093,de:Palm’sches Schloss,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,406304692,townhall,Bezirksrathaus Weilimdorf,,yes,POINT (9.1137335 48.8139218),1,Löwen-Markt,,,,,Stuttgart,DE,70499,Weilimdorf,bezirksamt.weilimdorf@stuttgart.de,+49 711 2165323,no,+49 711 2165302,,,,,,,,,,,,,,,,,,,
node,1589836440,townhall,Bezirksrathaus Stammheim,,limited,POINT (9.1568346 48.8489969),,,,,,,,,,,,,,,buergerbueros@stuttgart.de,+497112168529,+4971121698809,http://www.stuttgart.de/item/show/305802/1/dept/101271?,,,,,,,,,,,,,,,
node,1592281584,townhall,Bezirksrathaus Obertürkheim,,,POINT (9.2687367 48.7637929),659,Augsburger Straße,,,,,,,70329,,,,,,,,,,,,,,,,,,,,,,,,
node,1772857032,townhall,Sporthalle Hofen,,,POINT (9.2256452 48.8337269),,,,,,,,DE,70378,,,,,,,,,,,,,,,,,,,,,,,,
node,2131376610,townhall,Standesamt Mitte,,,POINT (9.1789712 48.774128),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,12541430,townhall,Bezirksrathaus Zuffenhausen,,yes,"POLYGON ((9.1749196 48.8314325, 9.1749021 48.8309836, 9.1749028 48.8309674, 9.1750879 48.830962, 9.1751281 48.8314252, 9.1749196 48.8314325))",1,Emil-Schuler-Platz,,,,,Stuttgart,DE,70435,,,,,,,,,,,,"[114287076, 36688325, 114287079, 114287085, 114287090, 114287076]",yes,,,,,,,,,,,
way,15091932,townhall,Bezirksrathaus Bad Cannstatt,,yes,"POLYGON ((9.2147392 48.8051567, 9.2148363 48.8050889, 9.2147972 48.8050636, 9.2148371 48.8050347, 9.2148884 48.8049964, 9.2149792 48.8050538, 9.2150375 48.8050094, 9.2151972 48.8050758, 9.2150012 48.8052182, 9.2149614 48.805195, 9.2148884 48.8052465, 9.2147392 48.8051567))",10,Marktplatz,,,,,Stuttgart,DE,70372,,,,,,,,,,"Bezirksrathaus mit Bürgerbüro, Standesamt",1988,"[148949139, 148949140, 148949141, 3201853427, 148949143, 148949144, 148949146, 1490352441, 1490352686, 148949148, 148949149, 148949139]",civic,Werner Luz,2,3,gabled,,,,,,,
way,23737860,townhall,Bezirksrathaus Hedelfingen,,limited,"POLYGON ((9.2549449 48.7581352, 9.2551698 48.7582328, 9.2550727 48.7583293, 9.2549684 48.758279, 9.2549474 48.7582963, 9.2549182 48.7582828, 9.2548166 48.7582358, 9.2549333 48.7581443, 9.2549449 48.7581352))",1,Heumadener Straße,,,,,Stuttgart,DE,70329,,,,,,,,,,,,"[257084018, 257084019, 257084020, 1046063739, 1046063702, 7131614083, 257084021, 1339929030, 257084018]",townhall,,,,,234,government,,,,,
