element_type,osmid,amenity,community_centre,name,wheelchair,geometry,description:de,email,opening_hours,phone,website,toilets:wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,contact:phone,contact:website,level,name:ang,name:fr,smoking,source,contact:email,contact:fax,addr:country,addr:suburb,description,fee,internet_access,internet_access:fee,internet_access:ssid,leisure,outdoor_seating,source:date,community_centre:for,operator,denomination,religion,check_date,nodes,building,building:levels,roof:shape,wikidata,wikipedia,check_date:opening_hours,opening_hours:signed,seamark:small_craft_facility:category,seamark:type,sport,addr:housename
node,1694553560,community_centre,parish_hall,Pfarrhaus St. Mathias,yes,POINT (6.6312587 49.73883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1924940551,community_centre,meeting_room,Komplex - Infoladen Trier,,POINT (6.6217479 49.7521071),Adresse für linke Politik und Kultur in der Stadt,trier@infoladen.de,"We 18:30-20:00, Su[1] 20:00+",+49 651 46863719,http://komplex-trier.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2134676839,community_centre,village_hall,Bürgerhaus Trier Nord,yes,POINT (6.6592617 49.7650945),,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2728484248,community_centre,club_home,Internationales Zentrum an der Universität Trier e.V.,,POINT (6.6871074 49.7438824),,,,,http://www.iz-trier.de,,Trier,17,54296,Im Treff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4022568921,community_centre,,selbstverwaltetes Multikulturelles Zentrum Trier e.V.,yes,POINT (6.6490677 49.7571631),,,,,,,,,,,+49 651 48497,http://www.multikulturelles-zentrum-trier.de/,2,Multicultural Center Trier,centre multiculturelle trèves,outside,multikulturelles-zentrum-trier.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5227864775,community_centre,parish_hall,,,POINT (6.6982135 49.7240232),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5238039664,community_centre,parish_hall,Katholische Gehörlosengemeinde Trier,,POINT (6.6305991 49.7493429),,,,,,,,,,,+49 651 436 8078,http://kgg-trier.de,,,,,,ralf.schmitz@kgg-trier.de,+49 651 436 6376,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5428533554,community_centre,club_home,Maschinendeck Trier e.V.,limited,POINT (6.6338265 49.7529551),,kontakt@maschinendeck.org,We 20:00-24:00,,https://maschinendeck.org,no,Trier,18,54290,Karl-Marx-Straße,,,,,,,https://maschinendeck.org,,,DE,Mitte-Gartenfeld,Hacker- & Makerspace - offenes Treffen Mittwoch 20:00 Uhr,no,yes,no,Freifunk Trier,hackerspace,terrace,2016-05-10,,,,,,,,,,,,,,,,,
node,6147145562,community_centre,,Gemeindezentrum der evangelischen Kirchengemeinde Trier,,POINT (6.6423619 49.7611331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6311558434,community_centre,,Jugendtreff Blue,,POINT (6.6855372 49.8100867),,,"Tu,Th 17:00-20:00",,,,,,,,,,,,,,,,,,,,,,,,,,,youth,Exzellenzhaus e. V.,,,,,,,,,,,,,,,
