element_type,osmid,amenity,charging_station:capacity,fee,name,operator,voltage,geometry,capacity,motorcar,socket:type2,access,contact:website,socket:type2:output,authentication:membership_card,ref,check_date,bicycle,brand,amperage,authentication:nfc,opening_hours,ref:evseid,website,socket:type2_combo:output,operator:wikidata
node,1418049131,charging_station,1,no,City Parkhaus,SWT,400;230,POINT (6.6368636 49.7568873),,,,,,,,,,,,,,,,,,
node,3250017161,charging_station,,,,Stadtwerke Trier,,POINT (6.6334254 49.7519951),2,,,,,,,,,,,,,,,,,
node,5410619138,charging_station,,,,Stadtwerke Trier,,POINT (6.6720405 49.7559562),2,yes,2,,,,,,,,,,,,,,,
node,6731887822,charging_station,,yes,,Stadtwerke Trier,,POINT (6.6432564 49.7540739),2,yes,,,,,,,,,,,,,,,,
node,7200317648,charging_station,,yes,,A.T.U.,,POINT (6.6578847 49.7632927),4,,,yes,https://www.goingelectric.de/stromtankstellen/Deutschland/Trier/ATU-Trier-Nord-Wasserweg-15/29749/,50kW,,,,,,,,,,,,
node,7899595339,charging_station,,,,Stadtwerke Trier,,POINT (6.6475734 49.767133),2,yes,,,,,,,,,,,,,,,,
node,8166718012,charging_station,,,,SWR,,POINT (6.6351437 49.7515992),2,,,,https://ladepay.ladenetz.de/deswt/deswts0027.html,,yes,DESWTS0027,,,,,,,,,,
node,8166718014,charging_station,,,,SWR,,POINT (6.635074 49.7516266),2,,,,https://ladepay.ladenetz.de/deswt/deswts0027.html,,yes,DESWTS0027,,,,,,,,,,
node,8494237476,charging_station,,,,Stadtwerke Trier,,POINT (6.6306125 49.738396),2,yes,,yes,,,,,2023-04-30,,,,,,,,,
node,9331814245,charging_station,,no,,REWE Pojanow OHG,,POINT (6.6839764 49.808294),4,no,,,,,,,,yes,BCS PURE,,,,,,,
node,10290327942,charging_station,,yes,,Stadtwerke Trier,400,POINT (6.6882619 49.7426792),1,yes,1,,,,yes,,,,,32,yes,24/7,DESWTE010001,https://www.swt.de/p/Treverer_Cleverer_Elektromobilit%C3%A4t_mit_Heimvorteil-5-8123.html#LADEN_IN_TRIER,,
node,10573040371,charging_station,,yes,,kaufland.de,,POINT (6.6242193 49.7549925),2,,,customers,https://www.goingelectric.de/stromtankstellen/Deutschland/Trier/Kaufland-Aachener-Strasse-Aachener-Strasse-58/70481/,,,,,,,,,,,,60kW,
node,10728416689,charging_station,,yes,,Aldi Süd,,POINT (6.6957308 49.7395417),2,yes,,,,,,,,no,,,,,,,,
node,10744998483,charging_station,,,,SWT,,POINT (6.6356367 49.7608185),,yes,,,,,,,2023-03-18,,,,,,,,,
node,10799633963,charging_station,,,,Stadtwerke Trier,,POINT (6.6368024 49.749992),2,yes,,,,,,,2023-04-10,,,,,,,,,
node,10842095649,charging_station,,,,,,POINT (6.6523362 49.7635272),2,yes,,private,,,,,2023-04-26,,,,,,,,,
node,10842095650,charging_station,,,,RWE,,POINT (6.6527373 49.7640753),,,,private,,,,,2023-04-26,yes,,,,,,,,
node,10883760111,charging_station,,,,Stadtwerke Trier,,POINT (6.6442608 49.7576061),2,yes,,yes,,,,,2023-05-06,,,,,,,,,
node,10923886307,charging_station,,,,,,POINT (6.6468708 49.7538666),2,yes,,private,,,,,2023-05-24,,Mennekes,,,,,,,Q1262665
