element_type,osmid,amenity,brand,operator,geometry,ref,roof:shape,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,craft,name,opening_hours,website,nodes,building,shop,toilets,toilets:wheelchair,wheelchair,building:levels,roof:levels,layer,phone,source,addr:suburb,contact:phone,brand:wikidata,brand:wikipedia,fax,start_date,loc_name,emergency,disused:amenity,disused:name,nohousenumber,contact:email,contact:website,service,leisure,email,roof:orientation,building:use,roof:height,fixme,contact:fax,area,note,ways,type
way,27596575,,,,"POLYGON ((6.6492336 49.7563435, 6.6493381 49.7564598, 6.6493758 49.7564438, 6.6493874 49.7564678, 6.6493552 49.7564811, 6.6495529 49.7566912, 6.6495249 49.7567074, 6.6497926 49.756965, 6.6498165 49.7569604, 6.6499353 49.7570835, 6.6507897 49.7567428, 6.6511719 49.7565945, 6.6512771 49.7565521, 6.6513141 49.7565372, 6.6508998 49.7560949, 6.6508701 49.7560632, 6.6507607 49.7560555, 6.650661 49.7560491, 6.6505814 49.756041, 6.6502764 49.7560141, 6.6502093 49.7560062, 6.6501861 49.7560035, 6.6501302 49.7560273, 6.6500812 49.7560453, 6.6500095 49.7560767, 6.6499221 49.7560982, 6.6498282 49.7561087, 6.6497327 49.7561091, 6.6496664 49.7561128, 6.6496164 49.756121, 6.6495763 49.7561279, 6.6495385 49.7561409, 6.6494705 49.7561665, 6.6493992 49.7561955, 6.6493033 49.7562329, 6.6493109 49.7562416, 6.6493581 49.7562964, 6.6492973 49.7563193, 6.6492336 49.7563435))",,,Trier,DE,3,54290,Ostallee,,Alleencenter,Mo-Sa 07:00-22:00,,"[303036777, 638967824, 1403855999, 5058811149, 5058811150, 5058811151, 5058811156, 5058811157, 5058811152, 303036778, 638973290, 638973291, 6022872550, 4682652969, 6321572909, 303036780, 1403855944, 1403855940, 1403855938, 1403855935, 3352366581, 303036781, 638967806, 1403855945, 1403855951, 638967807, 638967808, 638967809, 1403855957, 1403855962, 638967810, 638967811, 1403855970, 638967814, 638967821, 3352366573, 638967822, 638967823, 303036777]",commercial,mall,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,50281384,,,,"POLYGON ((6.6232017 49.7546587, 6.6232655 49.7557422, 6.6236907 49.7557318, 6.6236364 49.7546482, 6.6232017 49.7546587))",,,Trier,DE,22,54294,Hornstraße,,,,,"[10931471131, 10931471130, 10931471129, 10931471133, 10931471131]",commercial,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,50287273,,,,"POLYGON ((6.6513347 49.7567765, 6.6513348 49.7567751, 6.6511719 49.7565945, 6.6507897 49.7567428, 6.6508693 49.7568277, 6.6511319 49.7567232, 6.6511684 49.7567704, 6.6513347 49.7567765))",,flat,,,,,,,,,,"[638973000, 638973293, 638973291, 638973290, 638973292, 638973294, 638973001, 638973000]",commercial,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,59610422,,,,"POLYGON ((6.6526084 49.7578043, 6.6527032 49.7577659, 6.6526836 49.7577482, 6.6527057 49.7577394, 6.6527227 49.7577326, 6.6527968 49.7577023, 6.6528861 49.7576654, 6.6527879 49.7575664, 6.6526986 49.7576033, 6.6524296 49.757332, 6.6523887 49.7573503, 6.6523722 49.757333, 6.6522128 49.7574024, 6.6526084 49.7578043))",,flat,,,,,,,,,,"[739442374, 441779828, 6022801855, 7503979062, 2409876168, 739442375, 7503979065, 7503979064, 7503979066, 739442376, 6022801853, 6022801854, 739442377, 739442374]",commercial,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,73032641,,,,"POLYGON ((6.6242183 49.7568372, 6.6244661 49.7567986, 6.6243137 49.7563902, 6.6242924 49.7563331, 6.6240445 49.7563717, 6.6242183 49.7568372))",,,Trier,,64,54294,Aachener Straße,,Möbelum,Mo-Sa 09:00-19:00,http://www.moebelum.de/,"[866762947, 866762931, 866762929, 866762950, 866762953, 866762947]",commercial,furniture,,,,,,,+49 651 9937799,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96258944,,,,"POLYGON ((6.6114084 49.7284421, 6.6116101 49.7285721, 6.611793 49.7284611, 6.6119905 49.7285879, 6.6122416 49.7284245, 6.6118314 49.7281612, 6.6114084 49.7284421))",,flat,,,,,,,,,,"[5347000670, 1115783393, 1115782291, 1115782768, 1115783284, 1115783593, 5347000670]",commercial,,,,,2,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,
way,96258948,,,,"POLYGON ((6.601572 49.726305, 6.6017461 49.7261951, 6.6014893 49.7260251, 6.6013251 49.7261288, 6.6013289 49.7261313, 6.6014891 49.7262373, 6.6015154 49.7262547, 6.6015096 49.7262585, 6.601536 49.726276, 6.601532 49.7262785, 6.601572 49.726305))",,flat,Trier,DE,20,54294,Niederkircher Straße,,,,,"[6925549936, 1115783484, 1115782399, 6925549935, 6925549934, 1115782533, 1115783110, 6925549939, 6925549938, 6925549937, 6925549936]",commercial,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96258953,,,,"POLYGON ((6.6121593 49.728686, 6.6125403 49.728931, 6.6127905 49.7287711, 6.6124176 49.7285235, 6.6121593 49.728686))",,flat,,,,,,,,,,"[1115782888, 1115783308, 1115782208, 1115782633, 1115782888]",commercial,,,,,2,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,
way,96258992,,,,"POLYGON ((6.6004082 49.7247064, 6.6015039 49.7254441, 6.6021498 49.7250409, 6.6028914 49.7245779, 6.6029247 49.7246003, 6.6037577 49.7240802, 6.6037126 49.7240498, 6.6039502 49.7239015, 6.603815 49.7238105, 6.6038693 49.7237765, 6.6035855 49.7235855, 6.603985 49.7233361, 6.6038215 49.723067, 6.6037526 49.7231095, 6.6036145 49.7231946, 6.6031624 49.7234678, 6.6028227 49.723696, 6.6027293 49.7237459, 6.6028542 49.72383, 6.6030181 49.7239403, 6.602461 49.7242881, 6.6023045 49.7241828, 6.6019129 49.7239191, 6.6011629 49.7243873, 6.6010457 49.7243085, 6.6004082 49.7247064))",,flat,Trier,DE,27,54294,Niederkircher Straße,winery,Schloss Wachenheim,,,"[1115783599, 1115782370, 1639495341, 1639461854, 1639461874, 1639461660, 1639461652, 1115782919, 1639461550, 1639461523, 1115783468, 1115782389, 1115782950, 10829445509, 1115783402, 1115782306, 1115782790, 1639461512, 1639461557, 1115783305, 1115782204, 1639461716, 1115782821, 1639461808, 1639461781, 1115783599]",commercial,,,,,2,,,,,Euren,+49 651 99880,,,,,,,,,,,,,,,,,,,,,,,
way,111609812,,,,"POLYGON ((6.6703996 49.768455, 6.6709811 49.7686858, 6.6710081 49.7686611, 6.6711956 49.7687349, 6.6713343 49.7685892, 6.6710778 49.7684822, 6.6711024 49.7684577, 6.6706607 49.7682809, 6.6706365 49.7683064, 6.6703968 49.7682126, 6.6702532 49.7683604, 6.6704232 49.7684292, 6.6703996 49.768455))",,,Trier,DE,33,54292,Metternichstraße,,,,,"[1271154010, 1271154012, 4701618861, 4701618860, 1271154013, 4701618863, 4701618862, 1271154020, 1271154021, 1271154023, 1271154025, 1271154027, 1271154010]",commercial,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,
way,113971135,,,,"POLYGON ((6.6110005 49.7329875, 6.6112411 49.7332272, 6.6113309 49.7331896, 6.6114358 49.7331456, 6.6117275 49.7334387, 6.612018 49.7333179, 6.6119184 49.7332111, 6.6114216 49.7327186, 6.611131 49.7328394, 6.6111966 49.7329053, 6.6110005 49.7329875))",,flat,,,,,,,,,,"[1291637140, 1291636869, 5953529311, 1291636749, 1291637206, 1291636852, 5913217556, 1291636864, 1291636910, 1291637045, 1291637140]",commercial,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
