element_type,osmid,geometry,nodes,leisure,name,alt_name,wikidata,wikipedia,old_name,landuse,source,ways,type
way,19601846,"POLYGON ((6.6337031 49.7432046, 6.6332828 49.7432474, 6.6329256 49.7432838, 6.6327582 49.7433043, 6.6326724 49.7433149, 6.632748 49.7434667, 6.6327683 49.7435102, 6.63278 49.7435327, 6.6321001 49.7436045, 6.6319432 49.7435772, 6.6319735 49.7432251, 6.6319641 49.7430685, 6.6321609 49.7430415, 6.6322579 49.7430513, 6.6323017 49.7430692, 6.6323473 49.7430788, 6.6323835 49.7430779, 6.6326906 49.7429774, 6.6327353 49.7429498, 6.6327682 49.7429404, 6.6329392 49.7429077, 6.6330731 49.7428795, 6.6330764 49.7428846, 6.6331282 49.7428731, 6.6331444 49.7429027, 6.6334748 49.7428348, 6.6334789 49.7428495, 6.6336441 49.7428158, 6.6338234 49.7431833, 6.6337031 49.7432046))","[203556908, 10555383828, 1726802908, 1726802934, 1726802938, 1726803054, 1726803109, 1726803119, 1725309607, 203556914, 203556919, 1725309168, 4827769978, 1726802891, 4827769977, 4827769976, 4827769975, 4827769974, 1726802835, 1726802829, 1696296523, 4839994018, 4839994017, 1696296513, 1696296529, 203572360, 1696296508, 203556924, 1726802895, 203556908]",park,Neuerburgpark,,,,,,,,
way,19795872,"POLYGON ((6.6302434 49.7510315, 6.6312838 49.7508719, 6.6312035 49.7506757, 6.6311706 49.7506241, 6.6301557 49.7507616, 6.6302434 49.7510315))","[206256467, 206256468, 1696384480, 206256469, 206256470, 206256467]",park,,,,,,,,,
way,23328331,"POLYGON ((6.6693603 49.7710078, 6.6695112 49.770793, 6.6694066 49.7708086, 6.6693553 49.7708164, 6.6692708 49.7707908, 6.669249 49.770706, 6.6693181 49.7706215, 6.669304 49.7705743, 6.6693449 49.7704912, 6.6694958 49.7704193, 6.6697955 49.7701884, 6.6698083 49.7701824, 6.6700785 49.7701971, 6.6700749 49.7702161, 6.6701006 49.7702142, 6.6701018 49.7701863, 6.6701925 49.7701811, 6.670279 49.7702114, 6.6703232 49.7701876, 6.6705164 49.7702396, 6.6705827 49.7702616, 6.670635 49.7702064, 6.6709764 49.769766, 6.6712428 49.7694507, 6.671281 49.7693784, 6.6712849 49.7693404, 6.6712775 49.769305, 6.6712448 49.7692627, 6.6711781 49.769228, 6.6710318 49.7691977, 6.6706608 49.7691297, 6.6700114 49.7690052, 6.6697911 49.7689644, 6.6694236 49.7688907, 6.6691035 49.7688, 6.6685316 49.7686252, 6.6680831 49.7683208, 6.6678205 49.7681459, 6.6676185 49.7680233, 6.6675402 49.7680043, 6.6674499 49.7679971, 6.6673492 49.7680064, 6.6672251 49.7680539, 6.6671921 49.7680638, 6.6671684 49.7680883, 6.6671688 49.7681166, 6.6671871 49.768135, 6.6672728 49.7681529, 6.6672517 49.7681963, 6.6672382 49.7682419, 6.6666961 49.7681481, 6.6666724 49.7681973, 6.6666511 49.7682553, 6.6666214 49.7682508, 6.6665908 49.7683146, 6.6664861 49.7683401, 6.6662347 49.7684811, 6.66584 49.7687184, 6.6654422 49.7688383, 6.6654626 49.7688691, 6.6654755 49.7688926, 6.6654923 49.7689158, 6.6655098 49.7689399, 6.6655535 49.7689955, 6.6656465 49.7689742, 6.6657463 49.769001, 6.6657996 49.7690859, 6.6659028 49.769254, 6.6659969 49.7694066, 6.6661866 49.7697142, 6.6663946 49.7700515, 6.6665768 49.7703707, 6.6667938 49.770857, 6.6667997 49.770885, 6.6667921 49.7711349, 6.6667746 49.7711836, 6.6667317 49.7712264, 6.6668108 49.7712598, 6.6667667 49.7713302, 6.6669057 49.7713107, 6.6669446 49.771292, 6.6670991 49.7713671, 6.6670862 49.7714129, 6.6670952 49.7714539, 6.6672087 49.7715434, 6.6672498 49.7715782, 6.6672635 49.7716183, 6.6672474 49.7717136, 6.6672839 49.7717631, 6.6673358 49.7718144, 6.6674028 49.7718745, 6.6675659 49.7719661, 6.6678844 49.7721065, 6.668164 49.7722023, 6.6683272 49.7722588, 6.6684661 49.7720768, 6.6685229 49.7720482, 6.6685843 49.7720333, 6.6686399 49.7720281, 6.66868 49.7719753, 6.6685726 49.77194, 6.6693603 49.7710078))","[7890563748, 7890563749, 7890563750, 7890511575, 7890511576, 7890511577, 7890511578, 7890511579, 7890563753, 7890563754, 7890563729, 7890563728, 7890563727, 7890563708, 7890563709, 3272401455, 7890563710, 7890563711, 7890563706, 7890563707, 7890511582, 2031731162, 2031731106, 2031731092, 2031731091, 2031731090, 252610533, 2031731088, 2031731087, 2031731086, 2031731082, 252610535, 293425989, 2031731072, 2031731068, 252610536, 2031731057, 2031731053, 252610537, 2031731045, 2031731044, 2031731046, 2031731047, 2031731048, 2031731049, 2031731051, 2031731052, 2031731054, 293425950, 2031893255, 2031893253, 5247327891, 5247327865, 5247327866, 2031731056, 5247327867, 293425952, 5247373605, 2031731069, 5249270997, 293426058, 5249270998, 2031731074, 3803577396, 5249270996, 2031731075, 5249271001, 5249271006, 5249271007, 5249271009, 252610540, 2031731180, 2031731235, 2031731261, 252610541, 5249092156, 293426088, 2031731340, 2031731351, 2031731345, 2031731341, 2031731354, 2031731371, 252610542, 2031731393, 2031731406, 295151847, 295151848, 2031731476, 2031731490, 2031731504, 252610545, 2031731572, 2031731600, 2031731614, 2031731562, 2031731553, 2031731549, 2031731548, 3801820744, 7890572787, 7890563748]",park,Nells Park,Nells Ländchen,Q1975497,de:Nells Park,,,,,
way,23372569,"POLYGON ((6.6415758 49.7505697, 6.6417844 49.7510379, 6.6420988 49.7517446, 6.6422361 49.7517186, 6.6422958 49.7518497, 6.6424207 49.7521237, 6.6426137 49.7525422, 6.6425941 49.7525502, 6.6426044 49.7525795, 6.6426126 49.7526018, 6.6427436 49.752879, 6.6428464 49.7530666, 6.6433311 49.7529646, 6.6433271 49.7529414, 6.6433252 49.7529307, 6.643337 49.7529312, 6.6433525 49.7529224, 6.6433598 49.7529115, 6.643361 49.7528828, 6.6433708 49.7528575, 6.6433889 49.7528414, 6.6434243 49.7528267, 6.6434723 49.7528259, 6.6435067 49.7528342, 6.6435394 49.7528542, 6.6435516 49.7528707, 6.6435811 49.7528844, 6.6435961 49.7528858, 6.6436099 49.752883, 6.6436216 49.7529063, 6.6443354 49.752761, 6.6444838 49.7530773, 6.6444138 49.7530943, 6.6445267 49.7532827, 6.6445582 49.7533304, 6.6446286 49.753352, 6.644699 49.7534496, 6.6449175 49.7533915, 6.6450599 49.7536136, 6.6458356 49.753406, 6.6459182 49.7533853, 6.6458121 49.7531641, 6.6457619 49.7530713, 6.6455977 49.7528162, 6.6454487 49.7526269, 6.6453043 49.7525595, 6.6452235 49.7525217, 6.6450671 49.7524533, 6.6450543 49.7524465, 6.6444294 49.7521622, 6.6443312 49.7521276, 6.643893 49.7519987, 6.643872 49.7520361, 6.6438009 49.7520177, 6.6437442 49.7520236, 6.6437275 49.7519965, 6.6437407 49.7519556, 6.6436574 49.7519313, 6.6436482 49.7519403, 6.643524 49.7519366, 6.643509 49.7519253, 6.6431892 49.7519086, 6.6431537 49.7513867, 6.6431488 49.7513146, 6.6431403 49.7511879, 6.6431426 49.7508527, 6.643139 49.7507755, 6.6431361 49.7507343, 6.6431146 49.7502772, 6.6415758 49.7505697))","[253070512, 4571860129, 3920554222, 3920554223, 4571882267, 4571882262, 4571882261, 4571882263, 864659879, 4571882264, 1429031743, 253070532, 4622729261, 4428089662, 4622729256, 4622729248, 4622729253, 4622729247, 4622729259, 4622729255, 4622729249, 4622729260, 4622729250, 4622729254, 4622729258, 4622729251, 4622729252, 4622729246, 4622729257, 4622729262, 253070531, 4582124734, 2587251343, 4582124736, 4582124735, 4582124738, 1278064006, 253070530, 1278064019, 1278064015, 253070529, 9558346676, 9558346681, 253070528, 1404922965, 1404922935, 1404922916, 253070520, 1269920119, 363887315, 363887309, 4448764473, 4448764477, 4448764476, 4448764475, 4448764474, 4448764472, 1404922722, 4439537120, 4439537119, 4439537118, 1405791567, 1404922651, 1404922644, 363887294, 1404922627, 1404922610, 1404922608, 253070513, 253070512]",park,Palastgarten,,,,,,,,
way,23573064,"POLYGON ((6.6284286 49.7447115, 6.6284582 49.7447132, 6.6285245 49.7447058, 6.628809 49.7446741, 6.6287674 49.744652, 6.6287365 49.7446196, 6.6287334 49.7446044, 6.6287392 49.7445557, 6.6284304 49.7446011, 6.6284223 49.7446537, 6.6284286 49.7447115))","[255286233, 1725310469, 10799472267, 255286235, 10799548442, 10799548431, 10799548441, 255286236, 255286238, 10799548432, 255286233]",park,,,,,,,,,
way,26839502,"POLYGON ((6.628945 49.7446519, 6.6299604 49.7445246, 6.6300656 49.744518, 6.6305628 49.7444869, 6.6305601 49.7444312, 6.6305569 49.7443664, 6.6303961 49.744376, 6.6299923 49.7444001, 6.6288978 49.7445331, 6.6288551 49.7445608, 6.6288424 49.7445872, 6.6288437 49.744604, 6.6288455 49.7446117, 6.6288548 49.7446303, 6.6288969 49.7446486, 6.628945 49.7446519))","[294761454, 294761458, 10808869512, 602700111, 10799548421, 294761485, 10808869508, 1725310250, 602700110, 1725310322, 1725310343, 10799548429, 5030500046, 1725310379, 5030500045, 294761454]",park,,,,,,,,,
way,27060686,"POLYGON ((6.6315729 49.7508404, 6.6314475 49.7505715, 6.6342195 49.7502152, 6.6341737 49.7503626, 6.6343243 49.750476, 6.6315729 49.7508404))","[296911780, 296911835, 296911782, 1436203561, 296911836, 296911780]",park,,,,,,,,,
way,27678014,"POLYGON ((6.648584 49.7563031, 6.6480406 49.7557907, 6.6475778 49.7553205, 6.6474394 49.7551668, 6.6473112 49.7550242, 6.6476295 49.7549022, 6.6479287 49.7552197, 6.6481213 49.7554302, 6.6482933 49.7556633, 6.6486922 49.7560914, 6.6488 49.7562077, 6.6486153 49.7562893, 6.648584 49.7563031))","[303968821, 1404923454, 303968822, 1404923378, 303968823, 303968824, 303968825, 1403855822, 1403855857, 303968826, 303968827, 10781565540, 303968821]",park,,,,,,,,,
way,45665963,"POLYGON ((6.6427373 49.760278, 6.6427783 49.760314, 6.6428373 49.7603348, 6.6428869 49.7603322, 6.6429474 49.760319, 6.6435547 49.7601334, 6.6437386 49.7600749, 6.6440072 49.7599939, 6.6441697 49.7599454, 6.6443862 49.7598616, 6.6443763 49.7598432, 6.644362 49.7598309, 6.644333 49.7598208, 6.6442821 49.759828, 6.6441308 49.7598755, 6.6440679 49.7598208, 6.6439692 49.7598541, 6.6439552 49.7598416, 6.6439456 49.7598225, 6.6439349 49.7598266, 6.6439282 49.7598285, 6.6439182 49.7598302, 6.643909 49.7598307, 6.6438992 49.7598303, 6.6438896 49.7598295, 6.6438795 49.7598272, 6.6438696 49.7598245, 6.643861 49.7598205, 6.6438503 49.7598127, 6.6438399 49.7598046, 6.64383 49.7597959, 6.6437145 49.7598351, 6.6437331 49.7598579, 6.6436799 49.7598761, 6.6436613 49.7598532, 6.64323 49.7599992, 6.6432263 49.7599946, 6.6426574 49.7601821, 6.6427373 49.760278))","[581957734, 4428105218, 4428105220, 4428105219, 581957735, 581957739, 581957741, 581957743, 581957746, 1423078482, 4487413336, 3324177707, 4428105217, 3324177708, 1423078486, 581935347, 581935344, 581953001, 581930245, 4487304288, 4487304286, 4487304287, 581930242, 581930240, 4487304285, 4487304284, 4487304289, 581930237, 4487304283, 4487304282, 1423078474, 1423078478, 1423078480, 1423078485, 1423078479, 1423078488, 581957761, 638963618, 581957734]",park,,,,,,,,,
way,45666030,"POLYGON ((6.6423546 49.7604512, 6.6423653 49.7604269, 6.6423766 49.7603511, 6.642364 49.7603286, 6.6423372 49.7603066, 6.6422728 49.760323, 6.6412241 49.76066, 6.6405042 49.760898, 6.6399216 49.7610879, 6.6399348 49.7611041, 6.6399402 49.7611228, 6.6399376 49.7611327, 6.6399265 49.7611448, 6.6399092 49.7611539, 6.6398873 49.7611571, 6.6398699 49.7611554, 6.6398553 49.7611524, 6.6398424 49.7611449, 6.6398326 49.7611353, 6.6398216 49.7611199, 6.6394905 49.7612125, 6.6389934 49.7613135, 6.6387578 49.7613366, 6.6385701 49.7613522, 6.6383903 49.7613626, 6.6382831 49.7613609, 6.6382589 49.7613713, 6.6382347 49.7614042, 6.6382328 49.7615502, 6.6382991 49.7615532, 6.6384172 49.7615375, 6.6385955 49.7615368, 6.638802 49.7615237, 6.6391091 49.76149, 6.6393519 49.7614397, 6.6395396 49.7613911, 6.6398024 49.7613002, 6.6400721 49.761224, 6.6403617 49.7611391, 6.6406729 49.761036, 6.6409183 49.7609615, 6.6411289 49.7608991, 6.6413394 49.7608454, 6.6414976 49.760796, 6.641629 49.760757, 6.6418289 49.7606999, 6.6420045 49.7606426, 6.6421528 49.760581, 6.6422808 49.7605153, 6.6423546 49.7604512))","[581958270, 581958271, 581958272, 581958273, 581958274, 581958275, 581958280, 581958282, 4490206251, 4490206250, 4490206249, 4490206248, 4490206247, 4490206246, 4490206245, 4490206244, 4490206243, 4490206242, 4490206241, 4490206240, 4490206253, 581958287, 581958288, 581958289, 581958290, 581958291, 581958292, 581958293, 581958294, 581958295, 581958296, 581958297, 581958298, 581958299, 581958300, 581958301, 581958302, 581958303, 581958304, 581958305, 581958306, 581958307, 581958308, 581958309, 581958310, 581958311, 581958312, 4490239788, 581958313, 581958270]",park,,,,,,,,,
