element_type,osmid,amenity,capacity,check_date,geometry,parking_space,nodes,parking
node,8926812569,parking_space,1,,POINT (6.6460706 49.7596989),disabled,,
node,8926812570,parking_space,1,,POINT (6.6426274 49.7594579),disabled,,
node,8926889836,parking_space,1,,POINT (6.6951741 49.7398563),disabled,,
node,8926889837,parking_space,1,,POINT (6.6951978 49.7398773),disabled,,
node,8926889838,parking_space,1,,POINT (6.6952235 49.7399017),disabled,,
node,8930810586,parking_space,2,,POINT (6.6355692 49.7574444),disabled,,
way,306937825,parking_space,,,"POLYGON ((6.7091494 49.8230021, 6.7091114 49.8231573, 6.7088373 49.8231303, 6.7088801 49.8229731, 6.7091494 49.8230021))",,"[1550214766, 3119592172, 3119592171, 3119591930, 1550214766]",
way,328412884,parking_space,,,"POLYGON ((6.6478541 49.7534559, 6.6478672 49.7534824, 6.6479342 49.7534659, 6.6479197 49.7534427, 6.6478541 49.7534559))",disabled,"[3352368717, 3352368718, 3352368714, 3352368713, 3352368717]",lane
way,500892262,parking_space,4,,"POLYGON ((6.633489 49.7237945, 6.6335744 49.723724, 6.6335208 49.7236968, 6.6334353 49.7237673, 6.633489 49.7237945))",,"[4918387373, 4918387372, 4918387371, 4918387370, 4918387373]",carports
way,500892263,parking_space,4,,"POLYGON ((6.6336082 49.7238578, 6.6336937 49.7237874, 6.63364 49.7237602, 6.6335546 49.7238307, 6.6336082 49.7238578))",,"[4918387377, 4918387376, 4918387375, 4918387374, 4918387377]",carports
way,500892264,parking_space,4,,"POLYGON ((6.6335023 49.723944, 6.6335878 49.7238736, 6.6335342 49.7238464, 6.6334487 49.7239169, 6.6335023 49.723944))",,"[4918387381, 4918387380, 4918387379, 4918387378, 4918387381]",street_side
way,500892265,parking_space,4,,"POLYGON ((6.6333825 49.7238825, 6.633468 49.723812, 6.6334144 49.7237849, 6.6333289 49.7238553, 6.6333825 49.7238825))",,"[4918387385, 4918387384, 4918387383, 4918387382, 4918387385]",street_side
way,725168337,parking_space,5,,"POLYGON ((6.7024548 49.7394331, 6.703016 49.7394075, 6.7028873 49.7394348, 6.7027257 49.7394491, 6.7026173 49.7394525, 6.7024548 49.7394331))",,"[6800195275, 6800195274, 6800195273, 6800195272, 6796589497, 6800195275]",surface
way,725168338,parking_space,3,,"POLYGON ((6.7018147 49.7389972, 6.7018949 49.7390307, 6.7019285 49.7389967, 6.7018461 49.7389626, 6.7018147 49.7389972))",,"[6796589496, 1653210591, 6800195277, 6800195276, 6796589496]",surface
way,725168339,parking_space,2,,"POLYGON ((6.7021437 49.7391139, 6.7021577 49.7392372, 6.7021939 49.739261, 6.7021812 49.7391107, 6.7021437 49.7391139))",,"[6796589495, 6800195281, 6800195280, 6800195279, 6796589495]",surface
way,974356865,parking_space,,,"POLYGON ((6.6748479 49.7479912, 6.6748187 49.7479796, 6.6747827 49.7480177, 6.6748119 49.7480293, 6.6748479 49.7479912))",,"[9017293065, 9017293073, 9017293072, 9017293064, 9017293065]",
way,974356866,parking_space,,,"POLYGON ((6.6748772 49.7480027, 6.6748479 49.7479912, 6.6748119 49.7480293, 6.6748412 49.7480408, 6.6748772 49.7480027))",,"[9017293067, 9017293065, 9017293064, 9017293066, 9017293067]",
