element_type,osmid,building,geometry,building:levels,roof:levels,roof:orientation,roof:shape,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,source,amenity,check_date,nodes,contact:phone,historic:name,historic:railway,name,social_facility,social_facility:for,website,addr:housename,addr:suburb,champagne,craft,email,fax,opening_hours,phone,shop,source:date,wheelchair,wikidata,wikipedia,contact:email,contact:website,operator,healthcare,healthcare:speciality,old_name,start_date,roof:height,heritage,heritage:operator,beds,rooms,smoking,tourism,architect,castle_type,historic,contact:fax,leisure,gdke:criteria,alt_name,building:colour,office,image,note,fixme,building:material,height,roof:material,roof:colour,building:min_level,noaddress,description,disused:tower:type,man_made,ways,type
way,48459313,residential,"POLYGON ((6.6239437 49.7518644, 6.6237711 49.7518673, 6.6237735 49.751928, 6.6237635 49.7519281, 6.6237706 49.7521016, 6.6237818 49.7521014, 6.6237871 49.7522324, 6.6239705 49.7522293, 6.623965 49.7520943, 6.6239745 49.7520942, 6.6239679 49.7519302, 6.6239464 49.7519305, 6.6239437 49.7518644))",,,,,Trier,,2,54294,Luxemburger Straße,,social_facility,,"[615686151, 615686153, 1507265398, 1507265401, 1507265418, 1507265413, 615686145, 615686149, 1507265409, 1507265407, 1507265402, 1507265404, 615686151]",+49 651 88130,Westbahnhof,station,Benedikt-Labre-Haus,shelter,homeless,http://www.rcvtrier.caritas.de/73563.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87602474,residential,"POLYGON ((6.6488155 49.7521239, 6.6487542 49.7520899, 6.6486615 49.7521596, 6.6487228 49.7521936, 6.6488155 49.7521239))",2,1,across,gabled,Trier,DE,15,54295,Helenenstraße,HiRes aerial imagery,,,"[1018990270, 1018990254, 1018990180, 1018990208, 1018990270]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87602485,residential,"POLYGON ((6.6487542 49.7520899, 6.6487037 49.7520618, 6.6487216 49.7520484, 6.6486734 49.7520216, 6.6485628 49.7521048, 6.6486615 49.7521596, 6.6487542 49.7520899))",2,1,across,gabled,Trier,DE,17,54295,Helenenstraße,HiRes aerial imagery,,,"[1018990254, 1595371332, 1595371323, 1018990166, 1018990083, 1018990180, 1018990254]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87602496,residential,"POLYGON ((6.649258 49.7523916, 6.6491888 49.7524434, 6.6490715 49.7523792, 6.649133 49.7523309, 6.649258 49.7523916))",2,2,across,mansard,Trier,DE,7,54295,Helenenstraße,HiRes aerial imagery,,,"[1018990250, 1018990052, 1018989984, 1018990175, 1018990250]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87602497,residential,"POLYGON ((6.6484084 49.752009, 6.6485178 49.7519429, 6.6484898 49.7519236, 6.6484309 49.7518828, 6.6483215 49.7519489, 6.6484084 49.752009))",2,1,across,gabled,Trier,DE,23,54295,Helenenstraße,HiRes aerial imagery,,,"[1018989991, 1018990121, 5072254251, 1018989976, 1018990252, 1018989991]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87602512,residential,"POLYGON ((6.6481649 49.7517102, 6.6481336 49.7516886, 6.6480854 49.751656, 6.6479853 49.7517169, 6.6480642 49.751771, 6.6481649 49.7517102))",2,1,across,gabled,Trier,DE,31,54295,Helenenstraße,HiRes aerial imagery,,,"[1018990003, 5072254239, 1018990038, 1018990303, 1018990263, 1018990003]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87602514,residential,"POLYGON ((6.648786 49.7522287, 6.6488787 49.7521589, 6.6488155 49.7521239, 6.6487228 49.7521936, 6.648786 49.7522287))",2,1,across,gabled,Trier,DE,13,54295,Helenenstraße,HiRes aerial imagery,,,"[1018990277, 1018990069, 1018990270, 1018990208, 1018990277]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87602515,residential,"POLYGON ((6.6483366 49.7518176, 6.6482782 49.7517773, 6.6481977 49.7517216, 6.6481735 49.751705, 6.6481649 49.7517102, 6.6480642 49.751771, 6.6482272 49.7518837, 6.6483366 49.7518176))",2,1,,gabled,Trier,DE,27;29,54295,Helenenstraße,HiRes aerial imagery,,,"[1018990296, 5072254263, 5072254253, 5072254240, 1018990003, 1018990263, 1018990162, 1018990296]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87602518,residential,"POLYGON ((6.6484309 49.7518828, 6.6483366 49.7518176, 6.6482272 49.7518837, 6.6483215 49.7519489, 6.6484309 49.7518828))",3,1,across,gabled,Trier,DE,25,54295,Helenenstraße,HiRes aerial imagery,,,"[1018989976, 1018990296, 1018990162, 1018990252, 1018989976]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,90151809,residential,"POLYGON ((6.6507964 49.7546038, 6.6508846 49.7546623, 6.6509962 49.7545921, 6.650908 49.7545336, 6.6507964 49.7546038))",2,1,across,gabled,Trier,DE,25,54295,Güterstraße,,,,"[3115604687, 1045145247, 1045145299, 1045145478, 3115604687]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
