element_type,osmid,amenity,contact:email,contact:phone,contact:website,cuisine,name,outdoor_seating,geometry,contact:fax,internet_access,internet_access:fee,opening_hours,operator,payment:american_express,payment:cash,payment:cryptocurrencies,payment:diners_club,payment:discover_card,payment:girocard,payment:jcb,payment:maestro,payment:mastercard,payment:visa,smoking,source,takeaway,wheelchair,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,phone,toilets:wheelchair,website,website:menu,source:date,addr:housename,note,brewery,check_date,drink:viez,email,level,old_name,start_date,wheelchair:description:de,award:GaultMillau,award:michelin,stars,tourism,fax,microbrewery,rooms,wikidata,product,delivery,capacity,alt_name,check_date:opening_hours,opening_hours:kitchen,payment:electronic_purses,highchair,toilets,diet:vegetarian,opening_hours:signed,diet:halal,diet:kosher,diet:vegan,indoor_seating,image,lunch,biergarten,wheelchair:description,pay_tv:sky,source:start_date,beds,contact:mail,building:levels,roof:levels,roof:shape,air_conditioning,payment:credit_cards,payment:debit_cards,smoking:outside,description:de,contact:facebook,contact:mobile,craft,reservation,drive_in,brand,brand:wikidata,brand:wikipedia,owner,drive_through,drink:wine,access,description,fixme,payment:coins,payment:notes,diet:raw,payment:contactless,delivery:partner,internet_access:operator,internet_access:ssid,seating,self_service,organic,nodes,building,url
node,202918576,restaurant,mail@schoene-aussicht-trier.de,+49 651 99888884,https://www.schoene-aussicht-trier.de/,german,Zur schönen Aussicht,balkon,POINT (6.6151834 49.7570643),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,207507514,restaurant,info@hotelschuetz.de,+49 651 88838,http://www.hotelschuetz.de/,german;regional,Restaurant Schütz,no,POINT (6.6061744 49.7413398),+49 651 8107977,wlan,no,"Tu-Fr 11:30-23:00, Sa 15:00-23:00, Su 11:30-23:00; Mo off",Hotel-Restaurant Schütz - Detlef Zeimet e.K.,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,outside,http://www.hotelschuetz.de/,no,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,245431223,restaurant,,,,,Monte Petris,,POINT (6.6715735 49.7564751),,,,Mo-Fr 09:00-23:00; Sa 11:00-23:00; Su 09:00-23:00,,,,,,,,,,,,,http://www.monte-petris.de/,,limited,Trier,DE,6,54296,Max-Planck-Straße,Kürenz,+49 651 1708998,yes,http://www.monte-petris.de/,https://www.montepetris.de/speisekarten/abendkarte-ab-08-2022-innen.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,246830357,restaurant,info@ratskeller-trier.de,+49 651 75052,http://www.ratskeller-trier.de/,regional,Ratskeller,yes,POINT (6.6409081 49.756798),+49 651 40839,,,,Christine Belostennyj,,,,,,,,,,,,http://www.ratskeller-trier.de/,,no,Trier,,14,54290,Hauptmarkt,Mitte-Gartenfeld,,,,,2016-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,246830358,restaurant,info@zur-steipe.de,+49 651 1455456,http://www.zur-steipe.de/,regional,Zur Steipe,yes,POINT (6.6408099 49.7568099),+49 651 1455458,,,"Mo-Sa 08:00-22:00; Su,PH off",,,,,,,,,,,,,http://www.zur-steipe.de/,,yes,Trier,DE,54,54290,Dietrichstraße,Mitte-Gartenfeld,,no,,,2016-05-04,Restaurant - Café „Zur Steipe“,Eingang „ROTES HAUS“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,246830366,restaurant,ps@schlemmereule.de,+49 651 73616,http://www.schlemmereule.de/,international,Schlemmereule,terrace,POINT (6.6421645 49.7569474),+49 651 9945001,,,,Peter Schmalen,,,,,,,,,,,,http://www.schlemmereule.de/,,yes,Trier,,1b,54290,Domfreihof,Mitte-Gartenfeld,,no,,,2016-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,246830367,restaurant,resa@domstein-trier.de,+49 651 74490,http://www.domstein-trier.de/,regional,Zum Domstein,yes,POINT (6.6415263 49.7564765),+49 651 74499,,,,Luigi Colangiuoli,,,,,,,,,,,,http://www.domstein-trier.de/,,limited,Trier,,5,54290,Hauptmarkt,Mitte-Gartenfeld,,,,,2016-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,246830370,restaurant,,,,german,Brasserie zur Sim,yes,POINT (6.643386 49.7592428),,,,,,,,,,,,,,,,,,,limited,Trier,DE,59,54290,Simeonstraße,,+49 651 4369343,,,,,,,Bitburger,2022-08-08,served,info@sim-trier.de,0,Theo,2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,246830372,restaurant,,,,,18Zwo,,POINT (6.6430963 49.7598774),,,,,,,,,,,,,,,,,,,yes,Trier,,6,54290,Simeonstiftplatz,Mitte-Gartenfeld,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,258353143,restaurant,,,,german,Altes Brauhaus,,POINT (6.6404581 49.7424311),,,,Mo-Th 17:00-24:00; Fr 17:00-01:00; Sa 12:00-01:00; Su 12:00-23:45,,,,,,,,,,yes,yes,,,,limited,Trier,DE,60,54295,Bernhardstraße,,+49 651 99144466,no,https://m.facebook.com/altesbrauhaustrier/,,,,,,2022-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
