element_type,osmid,operator,geometry,amenity,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,wheelchair,nodes,building,building:levels,brand,brand:wikidata,brand:wikipedia,check_date:opening_hours,name,opening_hours,roof:levels,roof:shape,shop,toilets:wheelchair,wheelchair:description,survey:date,check_date,disused:shop,old_name,internet_access,toilets,roof:height,source,building:colour,roof:colour,contact:email,contact:phone,contact:website,addr:suburb,cuisine,indoor_seating,internet_access:fee,outdoor_seating,payment:american_express,payment:cash,payment:contactless,payment:cryptocurrencies,payment:electronic_purses,payment:girocard,payment:maestro,payment:mastercard,payment:v_pay,payment:visa,smoking,source:date,takeaway,nohousenumber,wikidata,wikipedia,roof:orientation,building:roof,diet:vegan,diet:vegetarian,layer,contact:fax,height,automated,self_service,start_date,website,location,fixme
way,23381714,,"POLYGON ((6.6228647 49.7533513, 6.6232096 49.7533478, 6.6232062 49.7532102, 6.6232713 49.7532096, 6.6232655 49.7529712, 6.6231918 49.752972, 6.6231898 49.7528922, 6.6228535 49.7528957, 6.6228647 49.7533513))",,Trier,,20,54294,Hornstraße,,"[253164950, 253164946, 1590765049, 1590765047, 1590764969, 1590764972, 253164952, 253164948, 253164950]",retail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31979997,,"POLYGON ((6.6439218 49.7426334, 6.643415 49.7425001, 6.6433968 49.7425292, 6.6431421 49.7424621, 6.6431612 49.7424316, 6.6431493 49.7424285, 6.6431599 49.7424115, 6.6432872 49.7422085, 6.6441687 49.7424406, 6.6441058 49.7425409, 6.6439976 49.7425124, 6.6439218 49.7426334))",,Trier,DE,8,54295,Wisportstraße,yes,"[358384459, 1721654747, 1721654749, 1721654746, 1721654745, 358384462, 1721654743, 358384465, 358384467, 1721654750, 1721654748, 358384459]",retail,1,Aldi,Q125054,en:Aldi,2023-01-02,Aldi,Mo-Sa 08:00-21:00; PH off,0,gabled,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31979999,,"POLYGON ((6.6433527 49.7433091, 6.6435526 49.7431629, 6.6439044 49.7433521, 6.6437494 49.7435268, 6.6433527 49.7433091))",,Trier,DE,14,54295,Wisportstraße,yes,"[358384495, 358384497, 358384500, 358384503, 358384495]",retail,1,KiK,Q883965,en:KiK,2023-01-08,KiK,Mo-Fr 09:00-19:00; Sa 09:00-18:00; PH off,0,flat,clothes,no,teilweise sind die Gänge zwischen den Waren sehr eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31980000,,"POLYGON ((6.6435526 49.7431629, 6.6437873 49.7429913, 6.6440861 49.7431472, 6.6439044 49.7433521, 6.6435526 49.7431629))",,Trier,DE,12,54295,Wisportstraße,yes,"[358384497, 358384510, 358384512, 358384500, 358384497]",retail,1,dm,Q266572,en:Dm-drogerie markt,2022-02-21,dm,Mo-Sa 08:00-20:00; PH off,0,flat,chemist,,,2022-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,41593328,,"POLYGON ((6.6218728 49.7508314, 6.6224864 49.7508165, 6.6224055 49.7494272, 6.6220368 49.7494375, 6.6220488 49.7496278, 6.6218198 49.7496338, 6.6218728 49.7508314))",,Trier,,4,54294,Über Brücken,,"[510623406, 510623407, 510623408, 4061314889, 4058516008, 4058516007, 510623406]",retail,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48464180,,"POLYGON ((6.6216873 49.7513584, 6.621925 49.7514624, 6.6220428 49.7513491, 6.621853 49.7512677, 6.6218389 49.7510972, 6.6215137 49.7511045, 6.6213878 49.7512282, 6.6212903 49.7513196, 6.6215854 49.7514521, 6.6216873 49.7513584))",,Trier,,1,54294,Eurener Straße,yes,"[615786763, 1596546063, 1596546078, 6321922681, 1596545715, 1596545716, 615786768, 615786769, 615786771, 615786763]",retail,,,,,,,,,,,,,,2021-06-29,furniture,Fesser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,50058425,,"POLYGON ((6.6424485 49.7581366, 6.6423137 49.7581967, 6.6423336 49.7582399, 6.6419507 49.7584632, 6.6417221 49.7586037, 6.6420772 49.7590242, 6.6421226 49.7590089, 6.6423363 49.7589282, 6.6425653 49.7588344, 6.6425585 49.7588272, 6.6424717 49.7587358, 6.6428321 49.7586109, 6.6427026 49.7584677, 6.6424485 49.7581366))",,Trier,,53,54290,Simeonstraße,yes,"[635744742, 1420429301, 1420429304, 3328532994, 635744743, 635744745, 1421203980, 1421203951, 1421203916, 4582810630, 4582810625, 4582810626, 4582810629, 635744742]",retail,4,Galeria Kaufhof,Q322598,en:Galeria Kaufhof,,Galeria Kaufhof,Mo-Sa 09:30-19:00; PH off,,flat,department_store,no,,,,,,wlan,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,90348311,,"POLYGON ((6.6415139 49.7585365, 6.6416666 49.7584796, 6.641868 49.7583588, 6.6423837 49.7580482, 6.642134 49.7577738, 6.6419589 49.7578419, 6.6417722 49.7579001, 6.6416799 49.7579365, 6.6416064 49.757963, 6.6411665 49.7581369, 6.6411872 49.7581588, 6.6411146 49.7581901, 6.6412839 49.7583812, 6.641331 49.7583954, 6.6413844 49.7584476, 6.6414362 49.7584576, 6.6415139 49.7585365))",,Trier,,46,54290,Simeonstraße,,"[1048297401, 4582810631, 1500503856, 1048297402, 4582810688, 1420429223, 1420429252, 1420429260, 1063998208, 1063998315, 1048297399, 4582810636, 4582810635, 4582810634, 4582810633, 4582810632, 1048297401]",retail,4,,,,,,,,flat,,,,,2022-07-05,department_store,Karstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,91582339,,"POLYGON ((6.6409346 49.7579408, 6.6408958 49.7579527, 6.6409405 49.7579969, 6.6409766 49.7579835, 6.6410638 49.7580705, 6.641082 49.7580626, 6.6410903 49.7580697, 6.6412857 49.7579871, 6.6412545 49.757954, 6.6412384 49.7579387, 6.6412059 49.7579403, 6.6411856 49.7579253, 6.6411492 49.757925, 6.6411192 49.7579018, 6.6411022 49.7579071, 6.6410914 49.7578959, 6.6410718 49.7578993, 6.6409346 49.7579408))",,,,,,,,"[4582811208, 4582811207, 4582811209, 4582811210, 4582811203, 4582811205, 4582811204, 1420429278, 1420429264, 1420429263, 1063998218, 1420429253, 1420429256, 4582811200, 4582811199, 4582811198, 4519571183, 4582811208]",retail,2,,,,,,,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,91841080,,"POLYGON ((6.6144741 49.7387791, 6.6151497 49.7384042, 6.6151251 49.7383332, 6.614558 49.7379038, 6.6144352 49.7378975, 6.6137085 49.7382944, 6.6139477 49.7384886, 6.6144741 49.7387791))",,Trier,DE,156-158,54294,Luxemburger Straße,,"[1067268674, 1627295796, 1627295794, 1627295792, 1627295789, 1067268648, 1627295798, 1067268674]",retail,2,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
