u,v,key,osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,ref,width,access,service,bridge,junction,tunnel
10602396,1428974146,0,"[620480498, 6073765]",True,1,"['Germanstraße', 'Neustraße']","['residential', 'living_street']",False,198.312,50,"LINESTRING (6.637228 49.7500944, 6.6372412 49.7501465, 6.6372513 49.7501731, 6.637395 49.7504293, 6.6375542 49.7507613, 6.6376091 49.7510077, 6.6376129 49.7510248, 6.6376813 49.7513635, 6.63777 49.7513474, 6.638395 49.7512479)",,,,,,,
10602396,729615737,0,44503497,True,,Kaiserstraße,secondary,False,31.503999999999998,50,"LINESTRING (6.637228 49.7500944, 6.6371073 49.750117, 6.6369169 49.7501499, 6.6368043 49.7501672)",L 143,,,,,,
10602396,20909583,0,113363975,True,1,,secondary_link,False,36.47,50,"LINESTRING (6.637228 49.7500944, 6.6371691 49.7500582, 6.6371316 49.750024, 6.6370976 49.7499817, 6.6370621 49.749933, 6.6370571 49.7498914, 6.6370585 49.7498546, 6.6370719 49.7498018)",,,,,,,
10602410,3212415597,0,6073363,False,,,residential,False,28.04,,"LINESTRING (6.6401482 49.7495184, 6.6400825 49.7493814, 6.6400603 49.7492736)",,,,,,,
10602410,4587038936,0,"[348744826, 44181036]",True,3,Kaiserstraße,secondary,False,142.28199999999998,50,"LINESTRING (6.6401482 49.7495184, 6.6400462 49.749549, 6.6399623 49.7495759, 6.6396246 49.7496592, 6.6387377 49.7498238, 6.6382644 49.7499058)",L 143,,,,,,
10602410,322854921,0,329619113,False,4,Weberbach,residential,True,47.081999999999994,50,"LINESTRING (6.6401482 49.7495184, 6.6401994 49.7496365, 6.6402217 49.7496878, 6.6403251 49.7499261)",,,,,,,
10602412,5801980485,0,"[453390163, 5583924]",False,2,Weberbach,residential,False,25.861,50,"LINESTRING (6.6425003 49.7538613, 6.6423439 49.75376, 6.6422526 49.7536927)",,,,,,,
10602412,774055179,0,"[76357832, 5583937]",False,,Konstantinstraße,residential,False,79.614,"['50', '30']","LINESTRING (6.6425003 49.7538613, 6.6424238 49.7539009, 6.6423862 49.7539204, 6.6423057 49.7539463, 6.6421287 49.7540035, 6.6420074 49.7540408, 6.6415182 49.7541882)",,,,,,,
10602412,1404923171,0,6073353,False,2,Konstantinplatz,residential,False,70.1,20,"LINESTRING (6.6425003 49.7538613, 6.6426551 49.7538962, 6.6427848 49.7539209, 6.6428624 49.7539507, 6.6429526 49.7540112, 6.6429841 49.7540405, 6.643079 49.7541328, 6.6431945 49.754261)",,,,,,,
10602431,344138116,0,"[13882763, 894069991]",False,2,Mustorstraße,residential,False,54.135000000000005,50,"LINESTRING (6.64423 49.7543476, 6.644502 49.7542142, 6.6445912 49.7541757, 6.6448445 49.7540662)",,,,,,,
10602431,3365374157,0,13882763,False,2,Mustorstraße,residential,True,66.451,50,"LINESTRING (6.64423 49.7543476, 6.6441616 49.7543841, 6.6440795 49.7544192, 6.6439712 49.7544543, 6.6438515 49.754479, 6.6437253 49.7544886, 6.6435792 49.7544729, 6.6434612 49.7544452, 6.6433847 49.7544142)",,,,,,,
10602432,20909551,0,6073677,False,1,Große Eulenpfütz,residential,False,98.13199999999999,50,"LINESTRING (6.6458094 49.7538325, 6.6458064 49.7538737, 6.6458503 49.7540833, 6.6458716 49.7543345, 6.6458625 49.7544105, 6.6458546 49.7544231, 6.6457566 49.7545026, 6.6456607 49.7545793, 6.6455674 49.7546436)",,3,,,,,
10602432,130330841,0,"[894069993, 44180418]",True,,Mustorstraße,residential,False,53.224000000000004,50,"LINESTRING (6.6458094 49.7538325, 6.6457039 49.7538599, 6.6454753 49.7539191, 6.6451218 49.7540107)",,,,,,,
10602433,10732634940,0,562741705,True,4,An der Schellenmauer,secondary,False,51.913,50,"LINESTRING (6.6466503 49.7543863, 6.6464027 49.7539477)",L 145,,,,,,
10602433,303968312,0,27677988,True,,,service,False,40.807,,"LINESTRING (6.6466503 49.7543863, 6.6466905 49.754333, 6.6467499 49.7542766, 6.6468039 49.7542547, 6.6468356 49.7542448, 6.6469016 49.7542382, 6.6469726 49.7542406, 6.647103 49.75426)",,,,,,,
10602434,4241031627,0,6073668,False,,Windstraße,residential,True,62.300999999999995,30,"LINESTRING (6.6475922 49.7554104, 6.6475118 49.7554537, 6.6469261 49.7557692)",,,,,,,
10602434,1404923318,0,58417850,True,2,An der Schellenmauer,secondary,False,61.158,50,"LINESTRING (6.6475922 49.7554104, 6.6474958 49.7553069, 6.6471531 49.7549392)",L 145,,,,,,
10602435,10602434,0,"[6073356, 1159380061]",True,2,Balduinstraße,secondary,False,122.79599999999999,50,"LINESTRING (6.6485197 49.7563375, 6.6481213 49.7559106, 6.647646 49.7554601, 6.6475922 49.7554104)",L 145,,,,,,
10602435,20909582,0,6073649,False,,Sichelstraße,residential,True,34.839,30,"LINESTRING (6.6485197 49.7563375, 6.6484466 49.7563608, 6.648374 49.7563812, 6.6480841 49.7564751)",,6.9,,,,,
10602435,20909541,0,24926929,True,1,,secondary_link,False,28.732999999999997,,"LINESTRING (6.6485197 49.7563375, 6.6486398 49.7563117, 6.6488681 49.7562145)",,,,,,,
10602437,3355366977,0,10475020,True,,Deutschherrenstraße,residential,False,16.98,,"LINESTRING (6.6352616 49.7611996, 6.635406 49.7610787)",,,,,,,
10602437,247367974,0,385579534,True,2,Friedrich-Ebert-Allee,secondary,False,19.596,50,"LINESTRING (6.6352616 49.7611996, 6.6353725 49.7611806, 6.6355263 49.7612042)",,,,,,,
10602446,41457279,0,148822340,False,,Maarstraße,residential,False,157.06900000000002,30,"LINESTRING (6.6468722 49.7614875, 6.6468119 49.7615101, 6.6467411 49.7615367, 6.6462577 49.7618446, 6.6456487 49.762228, 6.6452939 49.7624609)",,,,,,,
10602446,6106361545,0,148822342,False,,Maximinstraße,residential,True,50.053,30,"LINESTRING (6.6468722 49.7614875, 6.6469676 49.7614811, 6.64704 49.7614617, 6.6475262 49.761338)",,,,,,,
10602446,4512510968,0,343376110,False,2,Paulinstraße,residential,True,89.373,30,"LINESTRING (6.6468722 49.7614875, 6.6467802 49.7614381, 6.6460238 49.7609005)",,,,,,,
10602446,4565616955,0,426327752,False,2,Paulinstraße,residential,False,76.965,30,"LINESTRING (6.6468722 49.7614875, 6.6473121 49.7617557, 6.6475758 49.7619101, 6.647658 49.761958)",,,,,,,
10602539,2153297318,0,"[210831361, 504763890, 550497085, 550497086]",False,"['2', '4', '3']",Paulinstraße,residential,False,274.68899999999996,30,"LINESTRING (6.6506984 49.7637603, 6.6508124 49.7638088, 6.6508386 49.7638205, 6.6511235 49.7639478, 6.6513003 49.7640302, 6.6521214 49.7644053, 6.6533543 49.7649901, 6.6536279 49.7651246, 6.6537109 49.7651693, 6.6537915 49.7652122)",,,,,,,
10602539,272238182,0,264869063,False,,Balthasar-Neumann-Straße,residential,True,57.074,30,"LINESTRING (6.6506984 49.7637603, 6.6507871 49.7636631, 6.6508126 49.7636449, 6.6512026 49.7633659)",,,,,,,
10602539,298123502,0,366234174,False,,Zeughausstraße,residential,True,67.085,30,"LINESTRING (6.6506984 49.7637603, 6.6506496 49.7638175, 6.6506309 49.7638358, 6.6502458 49.7642121, 6.6501903 49.7642663)",,4.5,,,,,
10602539,641253074,0,426327752,False,2,Paulinstraße,residential,True,60.861,30,"LINESTRING (6.6506984 49.7637603, 6.6505242 49.7636787, 6.65049 49.7636633, 6.6504363 49.763639, 6.6500572 49.7634683, 6.6500057 49.7634451)",,,,,,,
