osmid,y,x,street_count,highway,ref,geometry
10602396,49.7500944,6.637228,4,,,POINT (6.637228 49.7500944)
10602410,49.7495184,6.6401482,4,,,POINT (6.6401482 49.7495184)
10602412,49.7538613,6.6425003,3,,,POINT (6.6425003 49.7538613)
10602431,49.7543476,6.64423,3,,,POINT (6.64423 49.7543476)
10602432,49.7538325,6.6458094,3,,,POINT (6.6458094 49.7538325)
10602433,49.7543863,6.6466503,3,,,POINT (6.6466503 49.7543863)
10602434,49.7554104,6.6475922,3,,,POINT (6.6475922 49.7554104)
10602435,49.7563375,6.6485197,4,,,POINT (6.6485197 49.7563375)
10602437,49.7611996,6.6352616,3,,,POINT (6.6352616 49.7611996)
10602446,49.7614875,6.6468722,4,,,POINT (6.6468722 49.7614875)
10602539,49.7637603,6.6506984,4,,,POINT (6.6506984 49.7637603)
10602540,49.7655142,6.6542287,3,,,POINT (6.6542287 49.7655142)
10602544,49.7635988,6.6570691,4,,,POINT (6.6570691 49.7635988)
10602555,49.7604886,6.6530669,3,,,POINT (6.6530669 49.7604886)
10602558,49.7598043,6.6527584,3,,,POINT (6.6527584 49.7598043)
10602644,49.7580805,6.6492473,4,,,POINT (6.6492473 49.7580805)
10602703,49.7598846,6.6447311,4,,,POINT (6.6447311 49.7598846)
10602723,49.7597837,6.6447074,3,,,POINT (6.6447074 49.7597837)
20833713,49.748487,6.651352,3,,,POINT (6.651352 49.748487)
20833718,49.7496964,6.653562,3,,,POINT (6.653562 49.7496964)
20833724,49.7483657,6.6533114,3,,,POINT (6.6533114 49.7483657)
20833755,49.7501084,6.6603084,3,,,POINT (6.6603084 49.7501084)
20833769,49.7562266,6.6683148,3,,,POINT (6.6683148 49.7562266)
20833771,49.7565,6.6691698,3,,,POINT (6.6691698 49.7565)
20833778,49.7482482,6.6445065,3,,,POINT (6.6445065 49.7482482)
20833779,49.7483572,6.6439324,3,,,POINT (6.6439324 49.7483572)
20833780,49.748562,6.643521,4,,,POINT (6.643521 49.748562)
20833781,49.7487022,6.6433758,3,,,POINT (6.6433758 49.7487022)
20833782,49.7489838,6.6428744,4,,,POINT (6.6428744 49.7489838)
20833784,49.7485536,6.6424817,3,,,POINT (6.6424817 49.7485536)
20833785,49.7483604,6.6425563,3,,,POINT (6.6425563 49.7483604)
20833787,49.74828,6.6432562,5,,,POINT (6.6432562 49.74828)
20833790,49.7504129,6.6439913,3,,,POINT (6.6439913 49.7504129)
20833799,49.7499935,6.6435261,3,,,POINT (6.6435261 49.7499935)
20833802,49.7536988,6.6462625,4,,,POINT (6.6462625 49.7536988)
20833853,49.7635988,6.6677013,5,,,POINT (6.6677013 49.7635988)
20833878,49.7521293,6.6835031,3,,,POINT (6.6835031 49.7521293)
20833879,49.7521304,6.6833343,3,,,POINT (6.6833343 49.7521304)
20833880,49.7518482,6.6832637,3,,,POINT (6.6832637 49.7518482)
20833883,49.7516616,6.6841104,3,,,POINT (6.6841104 49.7516616)
20833888,49.7444947,6.6916461,3,,,POINT (6.6916461 49.7444947)
20833909,49.7415514,6.6702051,3,,,POINT (6.6702051 49.7415514)
20833910,49.7417182,6.6699726,3,,,POINT (6.6699726 49.7417182)
20833912,49.7606792,6.642082,3,,,POINT (6.642082 49.7606792)
20833915,49.7616149,6.6379458,4,,,POINT (6.6379458 49.7616149)
20833916,49.7626325,6.6368609,3,,,POINT (6.6368609 49.7626325)
20833918,49.7638269,6.6350366,3,,,POINT (6.6350366 49.7638269)
20833928,49.7721814,6.6591772,3,,,POINT (6.6591772 49.7721814)
20833929,49.772686,6.6628426,3,,,POINT (6.6628426 49.772686)
20833954,49.7497601,6.6777795,2,,,POINT (6.6777795 49.7497601)
20833956,49.75042,6.6771,3,,,POINT (6.6771 49.75042)
20833958,49.7504295,6.6766673,3,,,POINT (6.6766673 49.7504295)
20833971,49.7478732,6.6743437,3,,,POINT (6.6743437 49.7478732)
20834066,49.7408459,6.6284621,3,,,POINT (6.6284621 49.7408459)
20834068,49.7391275,6.6313329,4,,,POINT (6.6313329 49.7391275)
20834070,49.7518103,6.628103,4,,,POINT (6.628103 49.7518103)
20834107,49.763701,6.6344802,3,,,POINT (6.6344802 49.763701)
20834108,49.7620434,6.6330624,4,,,POINT (6.6330624 49.7620434)
20834112,49.7579807,6.6337838,3,,,POINT (6.6337838 49.7579807)
20834113,49.7577494,6.6347606,4,,,POINT (6.6347606 49.7577494)
20834122,49.7594362,6.6422994,3,,,POINT (6.6422994 49.7594362)
20834540,49.7470851,6.6433555,3,,,POINT (6.6433555 49.7470851)
20834572,49.7265163,6.6553454,3,,,POINT (6.6553454 49.7265163)
20834582,49.7239776,6.6652502,3,,,POINT (6.6652502 49.7239776)
20834587,49.740297,6.6213451,3,,,POINT (6.6213451 49.740297)
20834590,49.7410641,6.6190253,3,,,POINT (6.6190253 49.7410641)
20834591,49.7396357,6.6174015,4,,,POINT (6.6174015 49.7396357)
20834594,49.7352129,6.6114691,4,,,POINT (6.6114691 49.7352129)
20834598,49.7192224,6.5815172,3,,,POINT (6.5815172 49.7192224)
20835220,49.7435969,6.6674933,4,,,POINT (6.6674933 49.7435969)
20909318,49.7432971,6.6855911,4,,,POINT (6.6855911 49.7432971)
20909331,49.7381994,6.691412,3,,,POINT (6.691412 49.7381994)
20909334,49.7369951,6.689718,3,,,POINT (6.689718 49.7369951)
20909342,49.7371779,6.6847452,4,,,POINT (6.6847452 49.7371779)
20909348,49.7416292,6.6871743,4,,,POINT (6.6871743 49.7416292)
20909349,49.7422697,6.6868711,3,,,POINT (6.6868711 49.7422697)
20909351,49.7429851,6.686028,3,,,POINT (6.686028 49.7429851)
20909353,49.7435388,6.6843331,3,,,POINT (6.6843331 49.7435388)
20909356,49.7430412,6.6838797,3,,,POINT (6.6838797 49.7430412)
20909360,49.7437177,6.6834379,3,,,POINT (6.6834379 49.7437177)
20909366,49.7426455,6.6835433,3,,,POINT (6.6835433 49.7426455)
20909370,49.7425861,6.6819538,3,,,POINT (6.6819538 49.7425861)
20909376,49.7442746,6.6826727,1,turning_circle,,POINT (6.6826727 49.7442746)
20909399,49.7378239,6.6963633,3,,,POINT (6.6963633 49.7378239)
20909400,49.7379269,6.6960875,3,,,POINT (6.6960875 49.7379269)
20909401,49.7378797,6.6959974,3,,,POINT (6.6959974 49.7378797)
20909404,49.7377164,6.6963091,3,,,POINT (6.6963091 49.7377164)
20909416,49.7346419,6.705014,3,,,POINT (6.705014 49.7346419)
20909420,49.7330085,6.7045116,3,,,POINT (6.7045116 49.7330085)
20909449,49.7399512,6.6735044,3,,,POINT (6.6735044 49.7399512)
20909458,49.7440954,6.6610026,4,,,POINT (6.6610026 49.7440954)
20909472,49.7632289,6.6594065,3,,,POINT (6.6594065 49.7632289)
20909476,49.7637484,6.6609775,3,,,POINT (6.6609775 49.7637484)
20909485,49.7692247,6.6714655,3,,,POINT (6.6714655 49.7692247)
20909500,49.7725038,6.6687146,3,,,POINT (6.6687146 49.7725038)
20909522,49.7679641,6.6576884,4,,,POINT (6.6576884 49.7679641)
20909526,49.7730137,6.6661045,4,,,POINT (6.6661045 49.7730137)
20909530,49.7515908,6.6449759,3,,,POINT (6.6449759 49.7515908)
20909531,49.7520606,6.6453205,3,,,POINT (6.6453205 49.7520606)
20909533,49.7536455,6.646522,4,,,POINT (6.646522 49.7536455)
20909535,49.7517467,6.646428,3,,,POINT (6.646428 49.7517467)
20909541,49.7562145,6.6488681,4,,,POINT (6.6488681 49.7562145)
20909546,49.7552414,6.6449257,2,,,POINT (6.6449257 49.7552414)
20909549,49.7551861,6.6455082,4,,,POINT (6.6455082 49.7551861)
20909551,49.7546436,6.6455674,3,,,POINT (6.6455674 49.7546436)
20909559,49.7569641,6.6467998,4,,,POINT (6.6467998 49.7569641)
20909560,49.7579853,6.6483997,4,,,POINT (6.6483997 49.7579853)
20909561,49.7584422,6.6471883,3,,,POINT (6.6471883 49.7584422)
20909562,49.7577679,6.6458626,3,,,POINT (6.6458626 49.7577679)
20909564,49.7578643,6.6465409,3,,,POINT (6.6465409 49.7578643)
20909565,49.7593893,6.6452935,3,,,POINT (6.6452935 49.7593893)
20909566,49.7589594,6.6459059,3,,,POINT (6.6459059 49.7589594)
20909567,49.7592738,6.6450647,3,,,POINT (6.6450647 49.7592738)
20909570,49.7577204,6.6445922,3,,,POINT (6.6445922 49.7577204)
20909571,49.7567567,6.645693,3,,,POINT (6.645693 49.7567567)
20909576,49.7577003,6.6439302,3,,,POINT (6.6439302 49.7577003)
20909582,49.7564751,6.6480841,3,,,POINT (6.6480841 49.7564751)
20909583,49.7498018,6.6370719,4,,,POINT (6.6370719 49.7498018)
