element_type,osmid,geometry,amenity,name,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,wheelchair,addr:suburb,contact:email,contact:fax,contact:phone,website,addr:housename,alt_name,int_name,toilets:wheelchair,operator,contact:website,email,phone,nodes,note,old_name,fax,building,opening_hours,sport,building:levels,roof:shape,roof:levels,start_date,isced:level,short_name,wikidata,wikipedia,leisure,ref,source,grades,building:roof,operator_type
node,132454899,POINT (6.6444137 49.7557366),school,Dommusikschule Domchor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,380401618,POINT (6.7111121 49.7852032),school,Grundschule Ruwer,Trier,DE,1,54292,Franz-Altenhofen-Straße,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1254090892,POINT (6.6932896 49.7394353),school,Grundschule Tarforst,Trier,,206,54296,Am Trimmelter Hof,,Tarforst,gstriertarforst@web.de,+49 651 9679185,+49 651 10326,http://www.grundschule-tarforst.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1421259571,POINT (6.6422902 49.7570952),school,VHS Trier,Trier,DE,1b,54290,Domfreihof,yes,,,,,,Palais Walderdorff,Volkshochschule,adult education centre,yes,,,,,,,,,,,,,,,,,,,,,,,,,
node,4576835141,POINT (6.6488828 49.7569778),school,Kaufmännische Privatschule Eberhard,,,,,,,,info@privatschule-eberhard.de,,+49 651 73485,,,,,,Privatschule Eberhard GmbH,http://www.eberhard-plus.de/,,,,,,,,,,,,,,,,,,,,,,,
node,4679983189,POINT (6.6354235 49.7593244),school,Berufsbildende Schule für Gestaltung und Technik,,DE,15,54290,Langstraße,yes,,,,,http://www.bbsgut-trier.de,,,,yes,,,info@bbsgut-trier.de,+49 651 7181719,,,,,,,,,,,,,,,,,,,,,
node,6934610287,POINT (6.6829966 49.7747215),school,Dekra Akademie,Trier,,5-7,54292,Ohmstraße,,,,,,https://www.dekra-akademie.de/de/trier/,,,,,,,gerolstein.akademie@dekra.com,+49 651 1467810,,,,,,,,,,,,,,,,,,,,,
node,6934614786,POINT (6.6829106 49.7748213),school,Kosmetik & Massageschule Meuser,Trier,,5-7,54292,Ohmstraße,,,,,,https://www.wellness-schule-meuser.de/,,,,,,,info@wellness-schule-meuser.de,+49 6506 910755,,,,,,,,,,,,,,,,,,,,,
way,23026466,"POLYGON ((6.6615909 49.7586645, 6.6616029 49.758696, 6.661657 49.7587786, 6.6617204 49.7589128, 6.6617204 49.7590341, 6.6618277 49.759041, 6.6624017 49.758892, 6.6621496 49.7584935, 6.6616883 49.7585212, 6.6616185 49.7585697, 6.6615909 49.7586645))",school,Egbert-Grundschule,Trier,DE,3,54295,Soterstraße,,,,,,,,,,,Stadt Trier,http://www.egbert-grundschule.de/,,,"[248397483, 248397498, 248397487, 2806334380, 2806334379, 248397491, 2806334378, 248397494, 2806334377, 2806334376, 248397483]",Bis zur Sanierung der alten Gebäude in der Olwiger Straße befindet sich hier die Egbert-Grundschule.,Grundschule Kürenz,,,,,,,,,,,,,,,,,,
way,92712804,"POLYGON ((6.6383546 49.7512093, 6.6384043 49.7511998, 6.6387077 49.751126, 6.6390171 49.7510438, 6.6389136 49.7508072, 6.638837 49.750649, 6.6388149 49.7506122, 6.6388253 49.7506009, 6.6388083 49.7505662, 6.6387997 49.7505499, 6.6387781 49.7505079, 6.6381793 49.750629, 6.6380316 49.7506498, 6.63808 49.7508104, 6.637817 49.7508451, 6.6377759 49.7507019, 6.6377693 49.7507036, 6.63774 49.7506416, 6.6375798 49.7506756, 6.6376073 49.7507433, 6.6376317 49.7507384, 6.6377165 49.7510154, 6.6377651 49.7511727, 6.6381774 49.7511186, 6.6382119 49.7512287, 6.6383546 49.7512093))",school,Bischöfliches Angela-Merici-Gymnasium,Trier,,35,54290,Neustraße,yes,,,,,http://amg-trier.de,Bischöfliches Angela-Merici-Gymnasium,,,yes,kath. Bistum Trier,,verwaltung@amg-trier.de,+49 651 14598-0,"[729536472, 4571755540, 4571755546, 729536485, 1428974112, 1428974091, 1428974081, 1428974079, 1428974075, 1428974071, 729536477, 1075247745, 1075247765, 1075247762, 1075247752, 1428974101, 1428974102, 1075247768, 1075247750, 1428905149, 1428905148, 3331645225, 1428974144, 1428974147, 6835760578, 729536472]",,,+49 651 14598-29,,,,,,,,,,,,,,,,,
