element_type,osmid,amenity,name,website,wheelchair,geometry,denomination,religion,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,opening_hours,check_date:opening_hours,disused:shop,old_name,opening_hours:signed,operator,operator:type,start_date,brewery,community_centre,contact:website,disused:amenity,phone,club,wheelchair:description,source,community_centre:for,email,url,amenity:note,level,short_name,toilets:wheelchair,addr:suburb,contact:phone,note,education,contact:email,contact:fax,sport,addr:housename,alt_name,ref,access,check_date,drinking_water:refill,drinking_water:refill:network,drinking_water:refill:network:wikidata,fixme,callsign,official_name,lgbtq,currency:BCH,nodes,building,source:addr,building:levels,roof:shape,source:geometry,description,max_age,min_age,historic,name:etymology:wikidata,owner,roof:levels,leisure,old_operator,addr:subdistrict,roof:material,building:material,roof:colour,polling_station,office,architect,ways,type
node,25508395,community_centre,s'Dorfkind,https://www.sdorfkind.de/,no,POINT (8.5108622 48.9540897),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,27560527,community_centre,Katholisches Gemeindezentrum Sankt Matthias,,,POINT (8.3717429 49.0343495),roman_catholic,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,261012765,community_centre,Christkönighaus - Sankt Peter und Paul,,yes,POINT (8.4678579 48.9979796),,,Karlsruhe,DE,5,76227,Kanzlerstraße,Th 14:30-17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,454972657,community_centre,ßpace,,limited,POINT (8.4104458 49.0083567),,,Karlsruhe,,7,76133,Fritz-Erler-Straße,,2023-05-07,yes,Refill24 Druckertankstelle,no,die Anstoß e.V.,community,2015-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,739503354,community_centre,evangelisches Gemeindezentrum,,no,POINT (8.4544716 48.9770795),,,Karlsruhe,,,76228,Heubergstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1477871909,community_centre,Jugendzentrum Knielingen,,,POINT (8.3334605 49.0335212),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1503368724,community_centre,Kleingartenverein Kohlplattenschlag,,,POINT (8.4352543 49.0246769),,,Karlsruhe,,22,76131,Büchiger Allee,,,,"Wirtshaus Kohlplattenschlag ""Zum Griechen""",,Kleingartenverein Kohlplattenschlag e.V.,,,Hoepfner,events_venue,http://s641847626.website-start.de/vermietung-gastst%C3%A4tte/,restaurant,+49 721 613170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1741615279,community_centre,Umweltzentrum,http://umweltzentrum-karlsruhe.de/,limited,POINT (8.4079501 49.0100545),,,,,,,,Mo-Th 09:00-13:00,,,,,,,,,,,,,environment_protection,"Toilette ebenerdig aber nicht speziell für Rollifahrer, eng, Eingang 1 Stufe, Rampe zum Auslegen vorhanden, eigentlich für ein Lastenrad ...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2843809074,community_centre,Katholisches Jugendhaus,http://jugendhaus-ka.de/wordpress/,,POINT (8.40642 49.0070559),,,,,31,,Steinstraße,Mo-We 10:00-17:00; Th 14:00-20:00; Fr 10:00-14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3073259642,community_centre,Jugendcafé Westside Paradise,https://stja.de/kjh-westsideparadise/,no,POINT (8.3795006 49.0093947),,,,,,,,,,,,no,,,,,youth_centre,,,+49 721 8302216,,,,child;juvenile,westside@stja.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3337770391,community_centre,DMK,https://www.dmk-karlsruhe.de/,,POINT (8.3693204 49.0106406),,,Karlsruhe,,111a,76185,Kaiserallee,,,,,,Rüstü Aslandur,,,,,,,+49 721 22307,,,,,,http://ka.stadtwiki.net/DMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3735254828,community_centre,Evangelische Studierendengemeinde Karlsruhe,https://esg-karlsruhe.de/,yes,POINT (8.3923368 49.0046186),protestant,christian,Karlsruhe,,29a,76133,Gartenstraße,,,,,,ESG Karlsruhe,,,,,http://www.esg-karlsruhe.de,,+49 721 816255,,,,,,,Laut Webseite finden hier keine Gottesdienste statt. Die Gottesdienste sind meistens in der kleinen Kirche. Daher haben die Räume wohl eher die Funktion eines Pfarrheims/Gemeindezentrums.,0,ESG,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3830666875,community_centre,Kinder- und Jugendhaus Rintheim,,,POINT (8.4405778 49.014859),,,Karlsruhe,DE,24,76131,Heilbronner Straße,,,,,,Stadtjugendausschuss e.V.,association,2020-09-30,,youth_centre,https://stja.de/kjh-rintheim/,,,,,,juvenile,,,,0,KJH Rintheim,,Rintheim,+49 721 615327,vorübergehender Standort bis Fertigstellung Neubau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4004213514,community_centre,Haus der Familie,,yes,POINT (8.4083719 49.0098526),,,Karlsruhe,DE,15,76133,Kronenstraße,,,,,,AWO Karlsruhe gGmbH,,,,,,,,,,,,,,,,,yes,,,,association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4261495156,community_centre,SSC Karlsruhe e.V.,http://www.ssc-karlsruhe.de/,limited,POINT (8.4412133 49.0261983),,,Karlsruhe,DE,5,76131,Am Sportpark,"Mo, We-Fr 10:00-12:00, 15:00-17:00; Tu 10:00-12:00, 15:00-19:00",,,,,SSC Karlsruhe e.V.,,,,club_home,http://www.ssc-karlsruhe.de/,,,sport,,,,,,,,,,Hagsfeld,+49 721 967220,,,team@ssc-karlsruhe.de,+49 721 9672288,multi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4405601466,community_centre,Rollen- & Brettspielverein Thoule 1987,,,POINT (8.4192057 49.0082093),,,,,,,,"Mo,Th,Fr 19:30+; Su 17:00+",,,,,,,,,,https://neuehp.thoule.de/,,,,,,,,,,,,,,,,,info@thoule.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4450190383,community_centre,Naturfreundehaus Obermühle,,,POINT (8.4783631 49.003248),,,Karlsruhe,DE,37,76227,Alte Weingartener Straße,,,,,,"NaturFreunde Deutschlands, Ortsgruppe Durlach",,,,club_home,https://www.naturfreunde-durlach.de/unsere-haeuser/nfh-obermuehle,,,nature,,,,,,,,NFH Obermühle,,Durlach,,,,,,,Obermühle,Naturfreunde Durlach,L 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5121530121,community_centre,Gemeindezentrum St. Michael,,,POINT (8.3890861 48.9946527),roman_catholic,christian,,,,,,,,,,,,,,,parish_hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5168018882,community_centre,Internationales Begegnungszentrum,http://ibz-karlsruhe.de/,,POINT (8.3766608 49.0112896),,,Karlsruhe,DE,12d,76133,Kaiserallee,,,,,,,,,,,,,,,,,,,,,,IBZ,,,,,,,,,,internationales begegnungs zentrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5223604116,community_centre,Pfarrsaal Herz Jesu,,,POINT (8.3822559 49.0161502),roman_catholic,christian,,,,,,,,,,,Seelsorgeeinheit Allerheiligen Karlsruhe,,,,parish_hall,https://www.allerheiligen-ka.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5907119352,community_centre,Gemeindezentrum Sankt Konrad,,,POINT (8.3664308 49.0230305),roman_catholic,christian,,,,,,,,,,,,,,,parish_hall,,,,,,,multigeneration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5962903185,community_centre,Mitmach-Laden Waldstadt,,,POINT (8.4396344 49.0319793),,,Karlsruhe,DE,37,76139,Königsberger Straße,Tu 14:00-17:00; Fr 10:00-13:00,,,,,Badischer Landesverein für Innere Mission,,,,meeting_room,,,,,,,,,,,0,,,Waldstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6053265639,community_centre,Zukunftsraum für Nachhaltigkeit und Wissenschaft,,yes,POINT (8.4298879 49.0110859),,,Karlsruhe,DE,46,76131,Rintheimer Straße,Tu-Th 14:00-18:00,,,,,Karlsruher Institut für Technologie,,,,,https://www.quartierzukunft.de/,,,,,,,,,,0,,,,,,,,,,,,,,2023-02-19,yes,Refill Deutschland,Q50302201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6072577991,community_centre,Zehntkeller,,,POINT (8.4700473 48.9996637),,,,,,,,,2022-07-10,,,no,,,,,events_venue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6314467663,community_centre,Melanchthonhaus,,,POINT (8.3923115 48.9973593),lutheran,christian,Karlsruhe,DE,2a,76137,Graf-Rhena-Straße,"Tu,Fr 15:30-17:30",,,,,Ev. Matthäusgemeinde Karlsruhe,,,,parish_hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6967237984,community_centre,Cafe Zartbitter,,,POINT (8.3468482 49.0328175),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7231371161,community_centre,Bürger-Gesellschaft der Südstadt,,,POINT (8.4078777 48.996695),,,Karlsruhe,,22,76137,Nebeniusstraße,Mo 17:00-19:00,,,,,,,,,,https://www.bg-suedstadt.de/,,,,,,,,,,,,,,+49 179 7265585,,,info@bg-suedstadt.de,,,,,,,,,,,Check exact location,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7944677671,community_centre,DARC Karlsruhe,,,POINT (8.3411705 49.0049377),,,Karlsruhe,DE,29,76185,Kornweg,,,,,,,,,,club_home,https://www.darc.de/der-club/distrikte/a/ortsverbaende/07,,,amateur_radio,,,,,,,,,,Daxlanden,,,,dh2es@darc.de,,,,,A07,,,,,,,DL0KHZ,"Deutscher Amateur-Radio-Club, Ortsverband Karlsruhe",,,,,,,,,,,,,,,,,,,,,,,,,,
node,8047364148,community_centre,Kinder- und Jugendhaus Lohn-Lissen,https://stja.de/kjh-lohnlissen/,,POINT (8.4560949 48.9920043),,,Karlsruhe,DE,1,76227,Ellmendinger Straße,,2023-04-29,,,no,,,,,,,,,,,,juvenile,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8492528241,community_centre,LA ViE,,,POINT (8.4034 49.0020574),,,,,,,,"Mo,Tu 16:00-19:00; We 13:30-15:30,16:00-19:00",,,,,Stadtjugendausschuss e.V. Karlsruhe,,,,youth_centre,https://stja.de/lavie/,,,,,,lgbtq,,,,,,,,+49 721 357 469,,,lavie@stja.de,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,,,,,,,
node,8840252124,community_centre,Winter-Team Veranstaltungstechnik,https://www.winter-team.de,,POINT (8.3856445 49.0513299),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,
node,9248250150,community_centre,Kinder- und Familienzentrum,,,POINT (8.3904849 49.045474),,,Karlsruhe,DE,133a,76149,Linkenheimer Landstraße,,,,,,Hardtstiftung,,,,family_centre,,,,,,,,,,,,,,Neureut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
