element_type,osmid,amenity,amperage,authentication:membership_card,bicycle,capacity,fee,motorcar,note,old_ref,opening_hours,operator,payment:enbw_elektronautenkarte,ref,scooter,socket:type2,voltage,geometry,access,authentication:intercharge,operator:wikidata,operator:wikipedia,payment:intercharge,socket:type2:output,description,truck,charging_station:plug,network,socket:schuko,level,socket,lastcheck,authentication:nfc,brand,check_date,payment:app,payment:contactless,short_ref,emergency,fixme,highway,man_made,monitoring:air_quality,monitoring:humidity,monitoring:noise,monitoring:temperature,name,start_date,wifi,layer,capacity:private,not:operator:wikidata,authentication:none,maxstay,parking:fee,manufacturer,model,socket:type2_combo,socket:type2_combo:output,internet_access,internet_access:fee,authentication:website,contact:website,maxheight,maxlength,maxwidth,payment:website,bicycle_parking,covered,motor_vehicle,customers,socket:chademo,email,contact:phone,socket:type2:current,car,socket:chademo:output,motorcycle,payment:cash,reservation,authentication:app,capacity:charging,socket:type2:voltage,socket:type2_combo:current,socket:type2_combo:voltage,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity:wikipedia,brand:wikidata,brand:wikipedia,not:brand:wikidata,short_name,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,website,manufacturer:wikidata,authentication:contactless,charge,payment:chargepoint_card,payment:credit_cards,nodes,orientation,parking:condition,parking:condition:both:maxstay
node,25397898,charging_station,32,yes,no,2,yes,yes,"maximale Leistung laut Aufschrift 22 kW, das müsste Drehstrom mit 400 V und 32 A entsprechen",1059,24/7,EnBW AG,yes,2039,no,2,400,POINT (8.4310523 49.0211913),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1395867922,charging_station,32,,,2,yes,yes,maximal 4 Stunden mit Parkscheibe,,24/7,EnBW Energie Baden-Württemberg AG,,2043,,2,400,POINT (8.4235006 49.0072526),yes,yes,Q644304,de:EnBW Energie Baden-Württemberg,yes,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1507190213,charging_station,32,yes,no,2,yes,yes,"maximale Leistung laut Aufschrift 22 kW, das müsste Drehstrom mit 400 V und 32 A entsprechen",1062,24/7,EnBW Energie Baden-Württemberg AG,yes,2045,no,2,400,POINT (8.4109854 49.0106467),,,Q644304,,,22 kW,Elektroladestation,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1633986517,charging_station,,,,2,,,,,,EnBW Energie Baden-Württemberg AG,,,,,,POINT (8.3784992 48.997163),,,Q644304,de:EnBW Energie Baden-Württemberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1711052995,charging_station,,,,1,yes,,,1055,24/7,Stadtwerke Karlsruhe GmbH; EnBW Energie Baden-Württemberg AG,,2036,,,,POINT (8.4651681 48.9992345),,,,,,,,,mennekes;schuco,MeRegioMobil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1770312851,charging_station,,,,2,,,,,24/7,Stadtwerke Karlsruhe,,1034,,,,POINT (8.3784021 48.997207),,,,,,,,,mennekes;schuco,MeRegioMobil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1845028969,charging_station,,,,2,,,,,24/7,EnBW Energie Baden-Württemberg AG,,,,2,,POINT (8.4745051 49.0010243),,,Q644304,,,22 kW,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2575806447,charging_station,,,,2,yes,yes,,,24/7,EnBW Energie Baden-Württemberg AG,,,,2,,POINT (8.3999176 48.9952055),,,Q644304,de:EnBW Energie Baden-Württemberg,,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2879526139,charging_station,,,,2,,,,,,BGV / Badische Versicherungen,,,,,,POINT (8.4265223 49.0068739),private,,,,,,parkpod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3146575218,charging_station,,yes,,2,,,Standort auf Parkdeck 1 bei der Ausfahrt der Schloßgarage,,,EnBW Energie Baden-Württemberg AG,,1117,,,230,POINT (8.4039081 49.0109766),,,Q644304,,,,,,,,,-1,type2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3194635651,charging_station,,yes,,2,,,,,,Stadtwerke Karlsruhe,,2035,,2,,POINT (8.3897238 49.0107601),,,,,,,,,,MeRegioMobil,,,,2016-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
