element_type,osmid,geometry,historic,name,wheelchair,source,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,check_date,description,image,tourism,website,access,indoor,start_date,amenity,nodes,architect,building,building:levels,check_date:opening_hours,construction:start_date,contact:email,contact:phone,contact:website,heritage,name:sk,opening_hours,ref:isil,roof:shape,short_name,wikidata,wikipedia,source:addr,building:colour,nohousenumber,roof:colour,source:geometry,building:architecture,elevator,last_renovation,height,phone,toilets:wheelchair,leisure,sport,source:outline,addr:suburb,operator,roof:levels,building:material,community_centre,operator:type,name:etymology:wikidata,opening_hours:signed,owner,heritage:description,heritage:operator,roof:material,building:part,alt_name,community_centre:for,denomination,religion,old_name,ref,height:note,roof:height,roof:orientation,contact:facebook,contact:instagram,3dr:height1,3dr:length2,3dr:type,building:facade:material,drinking_water,fee,female,male,toilets:disposal,unisex,capacity,opening_hours:covid19,payment:cards,payment:cash,shower,toilets,email,polling_station,disused:building,loc_name,source:height,addr:housename,museum,architect:wikidata,retreat,retreat:for,retreat:operator,note,noaddress,social_facility,social_facility:for,temporary,ways,type,disused:amenity,club,contact:fax,official_name
way,4234637,"POLYGON ((8.3990882 49.0073282, 8.3983997 49.0075428, 8.3983809 49.0075487, 8.3985148 49.0077336, 8.3986078 49.007862, 8.3985376 49.0078839, 8.3985845 49.0079486, 8.3986316 49.0080136, 8.3987044 49.0079909, 8.3989343 49.0083083, 8.398953 49.0083025, 8.3996634 49.0080811, 8.3996085 49.0080052, 8.3994005 49.00807, 8.3989972 49.0075132, 8.3991807 49.007456, 8.3990882 49.0073282))",,Badische Landesbibliothek,yes,http://www.blb-karlsruhe.de/blb/blbhtml/org/impressum.html,Karlsruhe,DE,15,76133,Erbprinzenstraße,,,,,,,,1992-01,library,"[2460204057, 5122128194, 25278249, 5122128191, 25278250, 25278251, 2908995106, 25278252, 25278253, 2395644976, 5122128199, 25278255, 1250230828, 1250231019, 1250231241, 2460204067, 2460204057]",Oswald Mathias Ungers,civic,3,2023-04-11,1984,service@blb-karlsruhe.de,+49 721 1752222,http://www.blb-karlsruhe.de/,yes,Bádenská krajinská knižnica - BLB,Mo-Fr 09:00-19:00; Sa 10:00-18:00,DE-31,saltbox,BLB,Q799084,de:Badische Landesbibliothek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,7652212,"POLYGON ((8.3835502 49.0444647, 8.3833811 49.0443647, 8.3832638 49.044388, 8.3832711 49.0444035, 8.3831085 49.0444377, 8.3829724 49.0444664, 8.3828952 49.0444216, 8.3827762 49.0444459, 8.3827574 49.0445107, 8.3826433 49.0445342, 8.3826124 49.0445552, 8.3825766 49.0446803, 8.3825869 49.044713, 8.3826784 49.0447677, 8.3826673 49.0447974, 8.3827786 49.0448633, 8.3829936 49.0448151, 8.3831414 49.0449031, 8.3832568 49.0448784, 8.3832963 49.0449074, 8.383331 49.0449009, 8.3833911 49.0447259, 8.3834726 49.0447071, 8.3835502 49.0444647))",,Badnerlandhalle,,,Karlsruhe,DE,21,76149,Rubensstraße,,,,,,,,1977,community_centre,"[55438841, 1447502746, 55438878, 1447502749, 2479173366, 1447502761, 1447502751, 1447502752, 1447502781, 25346775, 941777779, 1447502823, 55438654, 1447502839, 1447502842, 55438788, 55438810, 55438817, 1447502854, 1447502860, 1447502858, 1447502830, 1447502826, 55438841]",,civic,,,,,,,,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,15526553,"POLYGON ((8.4040201 49.0126912, 8.4040072 49.0125675, 8.4040063 49.0125589, 8.404102 49.0125546, 8.404106 49.0125939, 8.4041145 49.0125935, 8.4041202 49.0126485, 8.4041117 49.0126488, 8.4041157 49.0126869, 8.4040201 49.0126912))",,,,,,,,,,,,,,,,,1770,,"[256076414, 3686942859, 26574821, 256078692, 154917641, 154915318, 154916467, 154915285, 26574822, 256076414]",,civic,1,,,,,,,,,,hipped,,,,,#ffe070,yes,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,15526557,"POLYGON ((8.399725 49.0028761, 8.3997224 49.0028498, 8.3997135 49.0027576, 8.3997007 49.0027581, 8.3996824 49.0027416, 8.3996703 49.0027229, 8.3996648 49.0027028, 8.3996663 49.0026824, 8.3996747 49.0026628, 8.3996896 49.0026449, 8.3997024 49.0026444, 8.3996752 49.0023643, 8.3996647 49.0023647, 8.399653 49.0022438, 8.3996516 49.0022301, 8.3996501 49.0022142, 8.3996605 49.0022137, 8.3996538 49.0021444, 8.3996493 49.0020983, 8.3997635 49.0020935, 8.399768 49.0021396, 8.4000584 49.0021274, 8.4001325 49.0021243, 8.4001393 49.0021937, 8.4001492 49.0021933, 8.4001638 49.0023438, 8.4001539 49.0023442, 8.4001812 49.0026243, 8.4001963 49.0026237, 8.4002165 49.0026397, 8.4002299 49.0026585, 8.4002359 49.0026789, 8.4002339 49.0026996, 8.4002242 49.0027193, 8.4002073 49.0027369, 8.4001922 49.0027375, 8.4002038 49.0028561, 8.4001836 49.0028569, 8.4001884 49.0029065, 8.3999783 49.0029153, 8.3997732 49.0029239, 8.3997684 49.0028743, 8.399725 49.0028761))",,Konzerthaus,,,Karlsruhe,DE,9,76137,Festplatz,,,,,,,,1915,concert_hall,"[154915873, 3746053871, 154917104, 154916085, 7682347600, 7682347599, 154917466, 7682347598, 7682347597, 154916096, 154917434, 7682347612, 7682347611, 3746053842, 3746053839, 7682347610, 7682347609, 2487776627, 154916149, 2487776625, 2487776626, 7682347567, 154915568, 7682347607, 7682347606, 7682347605, 7682347608, 154917442, 154916030, 7682347601, 7682347602, 154917389, 7682347603, 7682347604, 154915898, 154917115, 154915951, 154917338, 154916262, 2487776630, 154917616, 154916144, 154915873]",Robert Curjel;Karl Moser,civic,2,,,,,,yes,,,,,,Q45844926,,"Maps4BW, LGL, www.lgl-bw.de",,,,,neoclassicism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,15526562,"POLYGON ((8.4044379 49.0126725, 8.4044339 49.0126345, 8.4044261 49.0126348, 8.4044203 49.0125799, 8.4044282 49.0125795, 8.4044241 49.0125402, 8.4044268 49.0125401, 8.4045184 49.012536, 8.4045194 49.0125462, 8.4045321 49.0126683, 8.4044379 49.0126725))",,,,,,,,,,,,,,,,,1770,,"[154915614, 154916636, 154915522, 154916934, 154915692, 154917450, 256078691, 154916015, 5161619970, 256076408, 154915614]",,civic,1,,,,,,,,,,hipped,,,,,#ffe070,yes,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,15526579,"POLYGON ((8.4023692 49.0008518, 8.4023714 49.0008581, 8.4023608 49.0008597, 8.4023586 49.0008534, 8.4023056 49.0008614, 8.4023078 49.0008676, 8.4022986 49.000869, 8.4022965 49.0008627, 8.4022563 49.0007479, 8.4021269 49.0007674, 8.4021061 49.0007705, 8.4020441 49.0007798, 8.4020175 49.0007838, 8.4019982 49.0007867, 8.4019876 49.0007883, 8.4019358 49.00064, 8.4019333 49.0006327, 8.4019273 49.0006156, 8.4019198 49.000594, 8.4019122 49.0005724, 8.4019066 49.0005562, 8.4019014 49.0005415, 8.4018867 49.0004992, 8.401867 49.0004429, 8.4020096 49.0004214, 8.4020489 49.0004155, 8.4021978 49.0003931, 8.4021879 49.0003649, 8.4021824 49.0003492, 8.4021954 49.0003472, 8.4022911 49.0003329, 8.4023277 49.0003274, 8.4023578 49.0003228, 8.4024211 49.0003133, 8.4024363 49.0003568, 8.4024523 49.0004027, 8.4025511 49.0006855, 8.4025557 49.0006986, 8.4027033 49.0007003, 8.4027025 49.0007239, 8.4026987 49.0007336, 8.4026804 49.0007455, 8.4026569 49.0007509, 8.4026554 49.0008211, 8.4025837 49.0008263, 8.4025114 49.0008332, 8.4024395 49.0008417, 8.4023692 49.0008518))",,,yes,,Karlsruhe,DE,4b,76137,Ettlinger Straße,,,,,,,,1955,,"[154915903, 154917395, 7669856511, 7669856510, 7669856512, 7669856513, 7669842579, 154916244, 154916866, 7680914348, 10820365476, 10820365473, 7680914357, 10820365471, 154916009, 8095096202, 7680921537, 3686793029, 7680914365, 7680921539, 7680921534, 7680921532, 10820365405, 154917380, 10820365407, 3827497984, 154916069, 3827497983, 154917508, 7680921519, 10031081972, 7680921552, 7680914375, 154915938, 7681246872, 10820365419, 7681246871, 154917296, 3491830772, 7669856509, 3491830773, 3491830774, 154915845, 154917255, 154917265, 154915803, 154917304, 154915903]",,civic,,,,,,,yes,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,"Maps4BW, LGL, www.lgl-bw.de",,yes,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23041235,"POLYGON ((8.4813764 49.0056682, 8.4815482 49.0057317, 8.4817345 49.0055145, 8.4815627 49.0054511, 8.4813764 49.0056682))",,,,,,,,,,,,,,,,,,,"[248579156, 248579157, 248579158, 248579159, 248579156]",,civic,,,,,,,,,,,,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de;Bing 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23855655,"POLYGON ((8.3840186 49.0016119, 8.3840191 49.001617, 8.3840228 49.0016537, 8.3840344 49.0017667, 8.3840591 49.0017656, 8.384071 49.0018824, 8.3840463 49.0018835, 8.3840844 49.0022555, 8.384087 49.0022817, 8.3840894 49.0023048, 8.3841141 49.0023037, 8.3841261 49.0024213, 8.3841014 49.0024224, 8.3838935 49.0024315, 8.3833109 49.0024572, 8.3832995 49.0023458, 8.3832495 49.0018569, 8.383228 49.0016467, 8.3833589 49.0016409, 8.3840186 49.0016119))",,Staatliche Hochschule für Gestaltung,yes,,Karlsruhe,DE,15,76135,Lorenzstraße,,,,,https://www.hfg-karlsruhe.de/,,,1915,university,"[2329237947, 1615805585, 1615805597, 1269046078, 1615805630, 1615805653, 8015986785, 1269046121, 1615805721, 8015986784, 8015986783, 1269046066, 1615805734, 2329237965, 2329237968, 2329237957, 8224048592, 2329237949, 2329246210, 2329237947]",Philipp Jakob Manz,civic,4.5,,,,,,yes,,,,,HfG,Q896116,,,,,,"Maps4BW, LGL, www.lgl-bw.de;Bing 2013",,,,26.0,+49 721 82030,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24870436,"POLYGON ((8.4695333 49.0090146, 8.4696495 49.0092381, 8.4696988 49.0093299, 8.4691146 49.0094647, 8.4690872 49.0094135, 8.4689457 49.0091491, 8.4692944 49.0090693, 8.4695333 49.0090146))",,Werner-Stegmaier-Halle,limited,,Karlsruhe,DE,1,76227,Untere Hub,,,,,,,,,,"[270257337, 270257323, 270257328, 270257334, 270257335, 270257338, 9312433713, 270257337]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,sports_centre,multi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27443639,"POLYGON ((8.3778979 49.0153147, 8.3779088 49.0153227, 8.3779272 49.0153219, 8.3779316 49.0153686, 8.3779994 49.0153659, 8.3779981 49.0153517, 8.3780657 49.0153489, 8.3780488 49.0151699, 8.3780279 49.0151707, 8.377919 49.0151751, 8.3779204 49.0151905, 8.3773481 49.0152138, 8.3773472 49.015205, 8.3772193 49.0152102, 8.3772357 49.0153832, 8.3772982 49.0153806, 8.3772995 49.0153942, 8.3773669 49.0153914, 8.3773627 49.0153469, 8.3773795 49.0153462, 8.3773885 49.0153354, 8.3773878 49.015328, 8.3775526 49.0153213, 8.3775585 49.015383, 8.3777413 49.0153756, 8.3777355 49.0153142, 8.3778972 49.0153076, 8.3778979 49.0153147))",,Landesmedienzentrum Baden-Württemberg,,,Karlsruhe,DE,64,76133,Moltkestraße,,,,,,,,,public_building,"[301317100, 1256956240, 1256956504, 1256956199, 1256956627, 1256956344, 1256956117, 301317101, 9898225781, 9898225775, 9898225776, 9898225771, 9898225772, 301317102, 301317103, 9898225773, 9898225774, 1256956479, 1256956632, 1256956223, 1256956565, 1256956529, 1256956291, 1256956214, 1256956475, 1256956169, 1256956408, 301317100]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maps4BW (LGL-BW, www.lgl.bw.de); bing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
