element_type,osmid,geometry,name,wheelchair,amenity,check_date,operator,ref,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,note,wheelchair:description,fixme,man_made,surveillance,description,brand,opening_hours,parking,nodes,building,building:levels,owner,roof:levels,source:geometry,start_date,building:use,disused:leisure,old_name,roof:shape,brand:wikidata,brand:wikipedia,building:facade:material,check_date:opening_hours,height,shop,source:outline,addr:housename,architect,heritage,office,seamark:building:function,seamark:name,seamark:type,nohousenumber,disused:amenity,indoor_seating,outdoor_seating,takeaway,source,fast_food,roof:material,roof:orientation,building:material,roof:height,last_renovation,building:colour,contact:email,contact:fax,contact:phone,contact:website,payment:cash,payment:girocard,payment:maestro,repair,second_hand,roof:colour,phone,website,lastcheck,addr:source,smoking,email,fax,source:addr,loc_name,heritage:operator,ref:lda,layer,location,historic,access:parking,alt_name,short_name,start_date:description,wikidata,craft,noaddress,healthcare,construction:start_date,disused:building,addr:subdistrict,cuisine,toilets:wheelchair,automated,self_service,diet:vegan,diet:vegetarian,drive_through,internet_access,internet_access:fee,old_operator,ref:note,source:height,operator:type,generator:output:electricity,generator:source,building:min_level,disused:name,contact:mobile,min_height,source:min_height,disused:shop,brewery,min_age,opening_hours:signed,payment:credit_cards,payment:debit_cards,roof:direction,construction,opening_date,ways,type
way,23640542,"POLYGON ((8.4445584 49.0043406, 8.4443713 49.0043799, 8.4442487 49.0044057, 8.4442898 49.00449, 8.4436756 49.004619, 8.4438144 49.0049031, 8.4438201 49.004915, 8.4439239 49.0051273, 8.4439852 49.0052529, 8.4441244 49.0052236, 8.4450415 49.0050309, 8.4450608 49.0050269, 8.4450993 49.0050188, 8.4451378 49.0050107, 8.4451764 49.0050026, 8.4452149 49.0049945, 8.4452342 49.0049904, 8.4453817 49.0049594, 8.4455216 49.00493, 8.4455153 49.0049212, 8.4450868 49.0043225, 8.4445995 49.0044249, 8.4445584 49.0043406))",,,,,,,Karlsruhe,DE,109,76137,Durlacher Allee,Rintheim,,,,,,,,,,"[671429895, 7418900810, 671429877, 671429875, 256111322, 7575005778, 4361866508, 7575005779, 671429890, 3277019938, 256111324, 4361866516, 4361866515, 4361866514, 4361866513, 4361866512, 4361866511, 4361866503, 1149097593, 4361866509, 256111325, 671429893, 671429895]",commercial,8,MANN Management GmbH,0,"Maps4BW, LGL, www.lgl-bw.de",1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23981622,"POLYGON ((8.3707418 49.0292307, 8.3707419 49.0292483, 8.3707545 49.0293639, 8.3707162 49.0293657, 8.3707208 49.0294087, 8.3707256 49.0294782, 8.3708477 49.0294741, 8.3708459 49.0294387, 8.3708402 49.0293613, 8.3708248 49.0293618, 8.3708107 49.0292283, 8.3707418 49.0292307))",,,,,,,Karlsruhe,DE,16,76187,Wilhelm-Hausenstein-Allee,,,,,,,,,,,"[260017129, 1464598399, 260017127, 260017125, 1464598406, 260017124, 260017122, 9125007644, 260017121, 260017126, 260017130, 260017129]",commercial,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24041489,"POLYGON ((8.3740429 49.0275472, 8.3740544 49.027653, 8.3744018 49.0276354, 8.3743869 49.0275284, 8.3743342 49.0275302, 8.3743261 49.0274465, 8.37411 49.0274537, 8.374119 49.0275431, 8.3740429 49.0275472))",,limited,,,,,Karlsruhe,DE,9,76187,Stresemannstraße,,,,,,,,,,,"[260727435, 260727439, 260727436, 260727437, 6245517325, 6905732976, 6905732977, 6905732978, 260727435]",commercial,2,,,,,retail,fitness_centre,Vitalis Fitnessclub,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24408007,"POLYGON ((8.3799332 49.006216, 8.379731 49.0062817, 8.3797478 49.0063035, 8.3797632 49.0063233, 8.3796833 49.0063496, 8.3792412 49.0057702, 8.3793303 49.0057673, 8.3794512 49.0057635, 8.3794544 49.0057991, 8.379559 49.005795, 8.3795578 49.0057744, 8.3796518 49.0057708, 8.379684 49.0057685, 8.3796873 49.0057956, 8.3796152 49.005799, 8.3796273 49.0058152, 8.3796355 49.0058255, 8.3797326 49.0058258, 8.379991 49.0061644, 8.3799114 49.0061874, 8.3799332 49.006216))",Lidl,yes,,,,,Karlsruhe,DE,240,76135,Kriegsstraße,Weststadt,,,,,,,Lidl,Mo-Sa 07:00-21:00,,"[264972028, 264972029, 264972019, 264972031, 264972033, 264972034, 1330668553, 1330668546, 264975243, 264975242, 1330668527, 4157749146, 264972035, 1226055782, 4157749145, 1330668549, 4157749144, 4157749143, 4157749142, 4157749141, 264972028]",commercial,1,,,,,,,,,Q151954,en:Lidl,plaster,2022-02-05,4.7,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29014793,"POLYGON ((8.3571471 49.0027615, 8.3570891 49.0026028, 8.3571125 49.0025991, 8.357093 49.0025458, 8.3570696 49.0025494, 8.3570574 49.0025162, 8.3571066 49.0025084, 8.3570192 49.0022693, 8.35697 49.0022771, 8.3569466 49.0022131, 8.3568522 49.002228, 8.3567815 49.0022391, 8.3564731 49.0022876, 8.3563624 49.002305, 8.3563281 49.0023104, 8.3563139 49.0022715, 8.3562298 49.0022848, 8.3562442 49.0023244, 8.3559302 49.0023738, 8.3560022 49.0025707, 8.3560539 49.002712, 8.3561316 49.0029247, 8.3561712 49.0029185, 8.3563418 49.0028916, 8.3563492 49.0029119, 8.3564268 49.0028997, 8.3564182 49.0028762, 8.3564528 49.0028707, 8.3567295 49.0028272, 8.3571471 49.0027615))",,,,,,,Karlsruhe,DE,15,76185,Zeppelinstraße,,,,,,,,,,,"[319091561, 8307411963, 8307411962, 8307411961, 8307411960, 8307411959, 8307411956, 8307411958, 8307411957, 319091562, 1730348779, 1730348786, 8307411935, 8307411938, 1366741199, 1366741196, 1366741198, 1366741200, 319091563, 4376211820, 8307411939, 319091564, 8307411943, 1366741202, 1366741204, 1366741203, 1366741201, 8307411944, 8307411955, 319091561]",commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30164840,"POLYGON ((8.3830023 48.9994009, 8.3829589 48.998974, 8.3837777 48.9989382, 8.383821 48.9993651, 8.3830867 48.9993972, 8.3830023 48.9994009))",,,,,,,Karlsruhe,DE,46,76135,Südendstraße,,,,,,,,,,,"[332402254, 332402255, 332402256, 332402257, 1714699047, 332402254]",commercial,,,,"Maps4BW, LGL, www.lgl-bw.de;Bing 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30164904,"POLYGON ((8.3830633 49.0000194, 8.3830576 48.9999628, 8.3830642 48.9999625, 8.3830497 48.999819, 8.3830825 48.9998176, 8.3830802 48.9997948, 8.3831495 48.9997917, 8.3831519 48.9998146, 8.3832355 48.9998109, 8.3832454 48.9999083, 8.3833717 48.9999028, 8.3833618 48.9998054, 8.3834014 48.9998037, 8.3833991 48.9997809, 8.3834627 48.9997781, 8.383465 48.9998009, 8.3835475 48.9997974, 8.3835573 48.9998947, 8.3836857 48.9998891, 8.3836758 48.9997918, 8.3837077 48.9997904, 8.3837054 48.9997675, 8.3837731 48.9997646, 8.3837754 48.9997874, 8.3838597 48.9997838, 8.3838742 48.9999272, 8.3838812 48.9999269, 8.383887 48.9999835, 8.3830633 49.0000194))",,,,,,,Karlsruhe,,29,76135,Lorenzstraße,,,,,,,,,,,"[332402899, 8015986766, 8015986765, 332402901, 1343766303, 1343766353, 1343766232, 1343766417, 1050148575, 1050148613, 1050148608, 1050148587, 1343766128, 1343766360, 1343766097, 1343766383, 1050148677, 1050148619, 1050148645, 1050148632, 1343766137, 1343766196, 1343766449, 1343766238, 332402902, 1343766222, 1343766327, 332402903, 332402899]",commercial,,,,"Maps4BW, LGL, www.lgl-bw.de;Bing 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,38049282,"POLYGON ((8.4655738 49.0196989, 8.4660844 49.0195805, 8.4660536 49.0195234, 8.4660866 49.0195157, 8.4660755 49.0194952, 8.4660425 49.0195028, 8.4659795 49.0193861, 8.4659401 49.019313, 8.4654502 49.0184044, 8.4650521 49.0184967, 8.4650332 49.0185011, 8.4649397 49.0185228, 8.4655738 49.0196989))",,,,,,,Karlsruhe,DE,3,76139,Am Storrenacker,Hagsfeld,,,,,,,,,,"[447320068, 447320071, 5962690650, 5962690648, 5962690647, 5962690649, 5962690643, 5962690642, 447320073, 6268697510, 6268697511, 447320076, 447320068]",commercial,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,38049284,"POLYGON ((8.4674686 49.0190038, 8.4680866 49.0188588, 8.4680406 49.0187745, 8.4679946 49.0186903, 8.4679486 49.018606, 8.4679027 49.0185217, 8.4672847 49.0186667, 8.4673306 49.018751, 8.4673766 49.0188353, 8.4674226 49.0189195, 8.4674686 49.0190038))",,,,,WKT Dämmstoffe GmbH & Co. Holding oHG,,Karlsruhe,DE,10,76139,Am Storrenacker,Hagsfeld,,,,,,,,,,"[447320090, 447320093, 5962690949, 5962690951, 5962690947, 447320096, 447320099, 5962690948, 5962690952, 5962690950, 447320090]",commercial,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40978315,"POLYGON ((8.4142579 48.9809929, 8.4142887 48.9809528, 8.4142956 48.9809439, 8.4143051 48.9809315, 8.4143105 48.9809245, 8.4142894 48.9809192, 8.4143624 48.9807735, 8.4144662 48.9807968, 8.4144587 48.9808093, 8.4145192 48.9808276, 8.4145252 48.9808204, 8.4146559 48.9808514, 8.4145749 48.981021, 8.4144881 48.9810018, 8.4144602 48.981038, 8.4144448 48.981058, 8.414333 48.981021, 8.4143178 48.9810407, 8.4142755 48.9810267, 8.4142926 48.9810044, 8.4142579 48.9809929))",Pavillion,,,,,,,,,,,,,,,,,,,,,"[499377197, 1417432288, 3567408866, 1417432270, 9752152755, 3567408862, 499377194, 3567408850, 3567408852, 9752152754, 9752152753, 499377195, 3567408883, 1417393627, 3567408885, 1417393650, 1417393614, 1417393632, 1417393626, 1417393607, 499377197]",commercial,2,,,,,,,,,,,,,,,"Maps4BW (LGL-BW, www.lgl-bw.de)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
