element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,name,opening_hours,website,wheelchair,geometry,internet_access,level,check_date:opening_hours,addr:housename,addr:suburb,note,ref:isil,short_name,check_date,access,wikidata,library,operator,ref,university,description,toilets:wheelchair,opening_hours:signed,contact:email,contact:fax,contact:phone,contact:website,name:de,name:en,email,wikipedia,phone,air_conditioning,nodes,architect,building,building:levels,construction:start_date,heritage,name:sk,roof:shape,source,start_date,max_level,min_level,surveillance,wheelchair:description,indoor,room,alt_name
node,32535727,Karlsruhe,DE,21,76149,Rubensstraße,library,Stadtteilbibliothek Neureut,"Mo-We 14:00-18:00; Fr 09:30-12:30, 14:00-17:00",https://stadtbibliothek.karlsruhe.de/stadtteilbibliothek-neureut,no,POINT (8.382813 49.0447079),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,348003957,Karlsruhe,,79a,76185,Weinbrennerstraße,library,Stadtteilbibliothek Mühlburg,Mo 13:00-18:00; Tu 14:00-18:00; We 10:00-15:00; Fr 14:00-18:00,,limited,POINT (8.3603485 49.010018),terminal,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,375688614,Karlsruhe,,13,76229,Kirchstraße,library,Stadtteilbibliothek Grötzingen,"Mo 14:00-18:00; Tu 13:00-17:00; We off; Th 13:00-18:00; Fr 10:00-12:00,14:00-17:00",,,POINT (8.4980644 49.0039507),,,2023-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,375689534,Karlsruhe,DE,12,76139,Neisser Straße,library,Stadtteilbibliothek Waldstadt,"Mo, Tu, Fr 14:00-18:00; We 10:00-12:00, 14:00-18:00; Th 13:00-17:00",https://stadtbibliothek.karlsruhe.de/stadtteilbibliothek-waldstadt,,POINT (8.4441307 49.0353847),,,,Waldstadtzentrum,Waldstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,375691054,Karlsruhe,DE,10,76133,Karlstraße,library,Kinder- und Jugendbibliothek im Prinz-Max-Palais,Tu-Fr 10:00-18:30; Sa 10:00-14:00,,yes,POINT (8.3948222 49.0112378),,,,Prinz-Max-Palais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,643462941,,,,,,library,Fachbibliothek Hochschule Karlsruhe,Mo-Fr 08:00-22:00,https://www.bibliothek.kit.edu/cms/fbh.php,yes,POINT (8.3917099 49.0157255),terminal,1,,,,Außenstelle der KIT-Bibliothek,DE-90-4,FBH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,957196439,,,,,,library,köb Bruder Klaus,,,,POINT (8.4525767 49.0285795),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1489951609,Karlsruhe,DE,9,76227,Pfinztalstraße,library,Stadtteilbibliothek Durlach,Mo-Th 14:00-18:00; We 10:00-14:00; Fr 13:00-18:00,,yes,POINT (8.473871 48.9986073),,,,,,,,,2023-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2569971521,,,,,,library,Öffentlicher Bücherschrank,24/7,,yes,POINT (8.341016 49.0304021),,,,,,"Frei zugänglicher Schrank mit Bücher. Mitnehmen, eigene hinbringen, ausleihen, behalten ...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3077116049,,,,,,library,Hochschulbibliothek (PH),"Mo,Tu,Th,Fr 09:00-15:30; We 09:00-19:00",,yes,POINT (8.3930709 49.0139838),,,,,,,DE-751,,,,Q28734887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
