element_type,osmid,foot,opening_hours,wheelchair,geometry,source,access,name,opening_hours:covid19,description,note,check_date:opening_hours,fee,old_name,start_date,nodes,leisure,layer,addr:city,addr:postcode,wikidata,alt_name,dog,heritage,name:de,name:en,name:fr,name:ru,official_name,operator,operator:type,toilets:wheelchair,tourism,website,wikipedia,old_name:1882-1916,wikimedia_commons,disused:amenity,disused:landuse,name:etymology:wikidata,planned:landuse,planned:name,landuse,amenity,natural,club,source:name,loc_name,area,fuel:charcoal,fuel:electric,fuel:gas,fuel:wood,place,name:sk,notes,addr:housenumber,addr:street,ways,type
way,4050961,,,,"POLYGON ((8.4136887 49.0031863, 8.4136401 49.0030703, 8.4136229 49.0029624, 8.4131803 49.0029506, 8.4131876 49.0028766, 8.4133132 49.0028793, 8.4135909 49.0028249, 8.4136703 49.0018019, 8.413725 49.0010143, 8.4139118 49.001025, 8.4139245 49.0011977, 8.4138841 49.0018091, 8.4141596 49.0018137, 8.4141605 49.0018575, 8.4138799 49.0018536, 8.4138386 49.0025062, 8.4138834 49.0025351, 8.4139547 49.0025487, 8.4141478 49.0025142, 8.4141691 49.0025474, 8.4140455 49.002583, 8.4136629 49.0026533, 8.413833 49.0030521, 8.4138875 49.0031668, 8.4136887 49.0031863))",,,,,,,,,,,"[1727443054, 1727443053, 1727443047, 21479909, 21479910, 1154966760, 21479911, 1727443022, 21479896, 21479897, 9367300677, 21479898, 21479899, 21479900, 21479901, 21479902, 4301480943, 1132370625, 21479903, 21479904, 21480079, 21479905, 21480077, 21479906, 1727443054]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4051008,,,,"POLYGON ((8.4077484 49.0001647, 8.4062364 49.0001194, 8.4062345 49.0001504, 8.4058464 49.0001373, 8.405866 48.9998203, 8.4063025 48.9998217, 8.4062999 48.9998409, 8.4065747 48.9998485, 8.4065856 48.9996888, 8.4065254 48.999653, 8.4065664 48.999208, 8.4067493 48.9992021, 8.4067561 48.9998016, 8.4069275 48.999768, 8.4069403 48.9996977, 8.4076207 48.9996925, 8.4076068 48.9998106, 8.4079911 48.9998184, 8.4079999 48.9996779, 8.4081621 48.9996802, 8.4081462 48.9999499, 8.4077576 48.9999443, 8.4077484 49.0001647))",LA-KA,,,,,,,,,,"[1739317410, 1739317386, 1739317394, 1739317390, 21480370, 1739283471, 10699154912, 21480371, 10699154908, 10699154909, 21480372, 21480373, 21480374, 1061027968, 21480666, 21480668, 10699154194, 21480530, 21480531, 21480375, 1739317369, 1739317352, 1739317410]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4051011,,,,"POLYGON ((8.4101092 48.9999447, 8.4100987 49.0001545, 8.4091924 49.000129, 8.4091985 48.9999646, 8.4082878 48.9999407, 8.4083111 48.9996373, 8.4089404 48.9996443, 8.4089379 48.999682, 8.4094696 48.9997044, 8.4100318 48.9997254, 8.4100297 48.9998145, 8.4104718 48.9998164, 8.4104646 48.9999564, 8.4101092 48.9999447))",,,,,,,,,,,"[1739317372, 1739317413, 1739317396, 1739317377, 1739317371, 1739283456, 1154966979, 4244283091, 10700267605, 1726886903, 1140788802, 21480416, 1739317375, 1739317372]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4051241,,,,"POLYGON ((8.4120301 49.0015368, 8.4117634 49.001526, 8.4117779 49.0012099, 8.4119054 49.0012129, 8.4119219 49.0009727, 8.4121209 49.00098, 8.4121056 49.0013851, 8.4120369 49.0013858, 8.4120301 49.0015368))",LA-KA,,,,,,,,,,"[1739334831, 21480542, 1154965898, 1154966246, 21480543, 21480544, 1154966819, 1154965782, 1739334831]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4051926,,,,"POLYGON ((8.411983 49.0003849, 8.4119611 49.0008756, 8.4126062 49.0008873, 8.4126763 48.9997997, 8.4120671 48.9997673, 8.4108699 48.9997035, 8.4108349 49.0000281, 8.4118095 49.0000488, 8.411983 49.0003849))",LA-KA,,,,,,,,,,"[21480565, 21480566, 21480556, 21480561, 9367300662, 21480562, 3625848418, 21480564, 21480565]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4051938,,,,"POLYGON ((8.4050854 48.9995606, 8.4048678 48.9995673, 8.4048609 48.9996288, 8.4045796 48.9996252, 8.404572 48.9997025, 8.4044355 48.9996977, 8.4044346 48.9997197, 8.4041578 48.999709, 8.404182 48.9993514, 8.4036276 48.9993445, 8.4033581 48.9999578, 8.4042586 48.9999919, 8.4042617 49.0000412, 8.4045358 49.000049, 8.4045351 49.0000661, 8.4047462 49.0000717, 8.4047457 49.0000799, 8.4048123 49.0000823, 8.4052751 49.0000994, 8.4056855 49.0001068, 8.4057157 48.9998565, 8.4056856 48.9998565, 8.4053763 48.9998472, 8.4050854 48.9995606))",,,,,,,,,,,"[1739283454, 1739283453, 1739283452, 1739283450, 1739283461, 10700303769, 10700303770, 1739283459, 1739283447, 21480683, 21480682, 10699154178, 10699154179, 21480671, 21480673, 7229913456, 10699154180, 10699154185, 1739317378, 1739317382, 5531912144, 1739283477, 1739283475, 1739283454]",park,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4054700,,,,"POLYGON ((8.389241 49.010687, 8.3893389 49.0106962, 8.3893537 49.010669, 8.3897969 49.0107556, 8.3897614 49.0103615, 8.3896436 49.0104256, 8.3895649 49.0104684, 8.3894556 49.0105207, 8.3892947 49.0105929, 8.3891243 49.0106285, 8.389117 49.0106377, 8.389127 49.0106518, 8.3891599 49.010665, 8.389241 49.010687))",,,,,,,,,,,"[21486610, 10204344140, 10204344139, 21486611, 21486612, 10204344135, 10204344141, 25504724, 10204344142, 10204344143, 10204344144, 10204344145, 10204344146, 21486610]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4054701,,,,"POLYGON ((8.3891468 49.0099348, 8.3892938 49.0099754, 8.3894433 49.0100243, 8.3897406 49.0101343, 8.3896936 49.0097197, 8.3896146 49.0097404, 8.3891921 49.0098714, 8.3891858 49.0098327, 8.3891573 49.0098491, 8.389136 49.0098807, 8.3891332 49.0099164, 8.3891468 49.0099348))",,,,,,,,,,,"[21486617, 25504726, 2673354571, 21486613, 21486614, 2673354566, 21486615, 2673354567, 2673354568, 21486616, 2673354569, 21486617]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4058906,,,,"POLYGON ((8.4115817 49.0024058, 8.4115896 49.0021385, 8.4113172 49.002129, 8.4113382 49.0018494, 8.411712 49.0018569, 8.4117348 49.0016273, 8.4120233 49.0016293, 8.4120022 49.002061, 8.4119224 49.0020615, 8.4119095 49.0024119, 8.4115817 49.0024058))",LA-KA,,,,,,,,,,"[1739334855, 1739334850, 1739334847, 1739334837, 21492420, 21492421, 21492414, 1154965838, 1154966170, 21492415, 1739334855]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4058956,,,,"POLYGON ((8.4001352 49.0080942, 8.4004656 49.0085357, 8.4012271 49.0082943, 8.4012874 49.0083808, 8.4017829 49.0082239, 8.4017621 49.0081957, 8.4015009 49.0082784, 8.4014739 49.0082418, 8.4017447 49.0081561, 8.4012914 49.0075403, 8.4010866 49.007262, 8.4010393 49.007277, 8.4010169 49.0072841, 8.4008036 49.0073516, 8.400739 49.0073721, 8.4006605 49.007397, 8.4003189 49.0075052, 8.3999199 49.0076316, 8.3998927 49.0076402, 8.3998433 49.0076558, 8.3998112 49.007666, 8.4001352 49.0080942))",,,Friedrichsplatz,,,,,,,,"[1415395342, 4567238020, 21492888, 6425338417, 1955032628, 1955032627, 1955032630, 1955032629, 21492889, 9458824828, 3897435142, 9458824827, 9458824855, 9458824856, 9458824859, 9458824860, 9458824878, 9458824864, 9458824895, 9458824894, 21492883, 1415395342]",park,,Karlsruhe,76133,Q15818317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4058961,,,,"POLYGON ((8.4001191 49.0064871, 8.4001995 49.0065925, 8.4006403 49.0064425, 8.4005399 49.0063654, 8.4000944 49.0057444, 8.4000421 49.0057101, 8.3999934 49.0056877, 8.3999376 49.0056705, 8.3998717 49.0056587, 8.3985756 49.0056484, 8.3984679 49.0056876, 8.3984019 49.0057399, 8.3983703 49.0057994, 8.3983689 49.0058445, 8.398408 49.0058877, 8.399215 49.0069737, 8.3995996 49.0068515, 8.3997249 49.0068444, 8.3995891 49.0066542, 8.4001191 49.0064871))",,,Nymphengarten,,,,,,,,"[21492940, 21492941, 21492942, 8033012151, 1676830504, 1676830478, 21492943, 1676830444, 1676830443, 21492944, 1676830448, 1676830499, 1676830538, 1676830554, 21493612, 21492937, 21492938, 8033012150, 21492939, 21492940]",park,,,,Q15837159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4059020,,,,"POLYGON ((8.3939185 48.9973095, 8.3942336 48.9972987, 8.3942684 48.9976292, 8.3939496 48.9976412, 8.3939185 48.9973095))",,,,,,,,,,,"[21493464, 1607072551, 21493466, 21493463, 21493464]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4059021,,,,"POLYGON ((8.3935496 48.9973257, 8.3935757 48.9976622, 8.3932748 48.9976732, 8.3932459 48.9973488, 8.3935496 48.9973257))",,,,,,,,,,,"[21493461, 21493462, 21493459, 21493460, 21493461]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4059022,,,,"POLYGON ((8.3971008 48.9996497, 8.3971774 48.9996571, 8.3973911 48.9995803, 8.3974395 48.9995135, 8.3974518 48.9991111, 8.3974018 48.9982822, 8.3973213 48.9982848, 8.3973076 48.9981054, 8.3973615 48.9981037, 8.3973442 48.9978279, 8.3972809 48.9978296, 8.3972707 48.9976591, 8.3972457 48.9974635, 8.3972264 48.9973171, 8.3971843 48.9970984, 8.3971511 48.9969563, 8.3972137 48.99695, 8.3971608 48.9966434, 8.3970948 48.9966495, 8.3969766 48.9960951, 8.3970426 48.9960891, 8.3969343 48.9955872, 8.3968751 48.9955923, 8.3967053 48.994744, 8.3967645 48.9947389, 8.3967571 48.9947126, 8.3965825 48.9947346, 8.3965026 48.9948449, 8.3964302 48.994979, 8.3963664 48.9950999, 8.396325 48.9952503, 8.3963044 48.9953587, 8.3962866 48.9954792, 8.3962889 48.9955805, 8.3963304 48.9958204, 8.3963353 48.9959459, 8.3963541 48.9960716, 8.3964036 48.9964114, 8.396453 48.9967689, 8.3965434 48.9974579, 8.3966356 48.9980864, 8.3966494 48.99823, 8.3967277 48.9987972, 8.3967926 48.9991476, 8.3968782 48.9994907, 8.3969779 48.9995814, 8.3971008 48.9996497))",,,Beiertheimer Wäldchen,,,,,,,,"[1932959612, 1607068610, 3800127280, 21493476, 1834958510, 21493475, 1607068575, 3800127267, 3800127266, 1607068550, 1607068552, 1607068549, 3800127259, 3800126954, 3800126951, 1607068530, 1607068528, 1607068522, 1607068524, 3800126945, 21493473, 3800126938, 3800126939, 3800126926, 3800126925, 21493467, 1932959543, 21493468, 3800126929, 1600680435, 1600680443, 3800126933, 21493469, 1600680462, 3800126943, 3800126944, 21493470, 3800126946, 3800126948, 3800127257, 21493474, 3800127268, 3800127273, 3800127276, 21504989, 1932959616, 1932959612]",park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
