element_type,osmid,amenity,capacity:disabled,description,parking_space,wheelchair,geometry,surface,traffic_sign,access,capacity:charging,access:disabled,capacity:short,maxlength,capacity:parent,capacity:women,layer,level,capacity,level:ref,ref,emergency,source,capacity:car_sharing,name,nodes,parking,parking:disabled,building,ref:permit,lit,fee,opening_hours,smoothness,supervised,capacity:disabled:conditional,parking:orientation,fire_service,maxstay:conditional,doctor,start_date,note,hgv,access:description,capacity:trailer,covered,customers,operator,fee:conditional,maxstay,capacity:private,access:conditional,capacity:taxi,taxi,vehicle,disabled,fixme,noref,tourist_bus,capacity:hgv,parking:fee,surface:colour,parking_space:conditional
node,1336889191,parking_space,yes,Behindertenparkplätze,disabled,yes,POINT (8.3777639 48.9972382),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2955824793,parking_space,1,,,yes,POINT (8.4114579 49.0114305),paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3306159458,parking_space,1,,disabled,,POINT (8.4154653 49.0098068),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3708647435,parking_space,1,,disabled,,POINT (8.4072849 49.0040479),,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3755136514,parking_space,yes,,disabled,,POINT (8.4855651 48.9973284),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3755136520,parking_space,,,charging,,POINT (8.4856781 48.9973892),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3755136521,parking_space,,,charging,,POINT (8.4856481 48.9974523),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3755136572,parking_space,yes,,disabled,,POINT (8.4011556 49.0044651),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3899708829,parking_space,1,,disabled,,POINT (8.3946762 49.0075002),,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4098007780,parking_space,,,charging,,POINT (8.4028732 48.9930127),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
