element_type,osmid,geometry,amenity,denomination,name,religion,addr:city,addr:housenumber,addr:postcode,addr:street,contact:email,contact:phone,official_name,website,addr:country,wheelchair,level,source,toilets:wheelchair,addr:suburb,description:covid19,opening_hours:covid19,operator,phone,service_times,short_name,contact:website,start_date,check_date,description:de,historic,image,building,wheelchair:description,description,email,operator:type,place_of_worship,access,nodes,architect,heritage,heritage:operator,ref:lda,wikidata,alt_name,building:levels,construction:start_date,roof:shape,source:geometry,wikipedia,fax,opening_hours,patron_saint,wheelchair:description:de,wikimedia_commons,building:architecture,contact:fax,heritage:description,tomb,building:material,roof:levels,roof:material,fixme,source:addr,architect:wikidata,architect:wikipedia,old_name,building:colour,roof:colour,source_ref:url,url,denomination:de,addr:source,height,disused:amenity,source:outline,old_operator,old_owner,owner,building:part,loc_name,indoor,name:de,ref,room,ways,type
node,26942362,POINT (8.4562168 48.9920766),place_of_worship,catholic,Sankt Johannes Baptista,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,28416662,POINT (8.3638417 48.9857432),place_of_worship,protestant,Ev. Versöhnungsgemeinde,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,60253256,POINT (8.3991389 48.9966923),place_of_worship,,Menlha-Zentrum,buddhist,Karlsruhe,36,76137,Bahnhofstraße,info@meditation-karlsruhe.de,+49 721 49910630,Menlha-Zentrum für Buddhismus e.V.,https://meditation-karlsruhe.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,247266738,POINT (8.4819162 48.9458458),place_of_worship,,Waldenserkirche,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,249173362,POINT (8.354401 49.0147606),place_of_worship,,St. Antoniusheim,christian,Karlsruhe,113,76185,Rheinstraße,,,,,DE,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,261930823,POINT (8.4907294 48.9871211),place_of_worship,,Schönstatt Kapelle,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,539626424,POINT (8.3738087 48.9923796),place_of_worship,,Gemeinde Karlsruhe,christian,,,,,,,,https://www.gemeinde-karlsruhe.de/,,no,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,885540766,POINT (8.410814 48.9722025),place_of_worship,,Kapelle der evangelischen Diakonissenanstalt,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1113953251,POINT (8.4994209 49.0045618),place_of_worship,evangelical,Liebenzeller Gemeinschaft / EC,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1152425065,POINT (8.3641471 48.9856048),place_of_worship,catholic,St. Thomas Morus,christian,Karlsruhe,44,76189,Bernhard-Lichtenberg-Straße,,,,http://se-ka-sw.de,,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1271542383,POINT (8.4157105 49.0012799),place_of_worship,protestant,Evangelische Ladenkirche SENFKoRN,christian,,,,,,,,http://www.ladenkirche-senfkorn.de/,,yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1601390905,POINT (8.4706803 48.9997694),place_of_worship,,"per.DU, evangelische Gemeinde",christian,Karlsruhe,4,76227,Zehntstraße,,,,https://per-du.church/,DE,yes,,,,Durlach,Livestream for Sunday Services,restricted,Evangelischer Gemeinschaftsverband AB e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2252989615,POINT (8.3585014 49.0077399),place_of_worship,pentecostal,Christliches Zentrum Karlsruhe,christian,Karlsruhe,22,76185,Liststraße,,,,https://www.czk.de/,,,,,,,,,,+49 721 9714170,Sonntag 10:30,CZK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2252995091,POINT (8.3444331 49.0075622),place_of_worship,pentecostal,City Gemeinde,christian,,,,,office@city-gemeinde.de,+49 721 9575353,,,,no,,,,,,,,,Su 10:30,,https://www.city-gemeinde.de/,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2463241846,POINT (8.4063538 49.0057693),place_of_worship,seventh_day_adventist,Iglesia Adventista del Séptimo Día hispana de Karlsruhe,christian,Karlsruhe,96,,Kriegsstraße,,,,,,,,,,,,,,,,,http://adventistakarlsruhe.com/,,2023-01-12,Spanische Adventsgemeinde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3113263488,POINT (8.445431 48.9962891),place_of_worship,sunni,Fatih Camii,muslim,Karlsruhe,10,76227,Dieselstraße,,,,,DE,,,,,Durlach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3247786236,POINT (8.40525 49.0070346),place_of_worship,,Scientology,scientologist,,,,,,,,http://www.scientology-karlsruhe.de/,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3257183918,POINT (8.4097191 49.0020549),place_of_worship,pentecostal,Pottershaus,christian,,,,,,,,https://ka.stadtwiki.net/Das_Pottershaus,,limited,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3336779599,POINT (8.4077739 48.9983521),place_of_worship,,Mosaik,christian,,,,,,,,https://www.nehemia-initiative.de/de/Die-Nehemia-Initiativen/Mosaik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3458136195,POINT (8.3606534 48.9971596),place_of_worship,evangelical,Treffpunkt Leben,christian,,,,,,,,https://treffpunkt-leben.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3470222951,POINT (8.3916679 49.008181),place_of_worship,,Dreiraum,christian,Karlsruhe,19,76133,Hirschstraße,,,,http://www.dreiraumKa.de,DE,,,,,,,,Dreiraum e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3491921887,POINT (8.4075402 49.0059245),place_of_worship,seventh_day_adventist,Adventgemeinde,christian,Karlsruhe,84,76133,Kriegsstraße,,,,,DE,,,,,,,,,,,,http://www.adventgemeinde-karlsruhe.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4570352520,POINT (8.3574312 49.0043782),place_of_worship,pentecostal,Gospelhouse Karlsruhe,christian,Karlsruhe,5a,76185,Winkelriedstraße,,,,https://www.gospelhouse-karlsruhe.de/,,,,,,,,,,+49 721 826171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4728572193,POINT (8.3993929 48.9986905),place_of_worship,,Shintō-Schrein,shinto,,,,,,,,,,yes,,,,,,,,,,,,1927,,,,,shrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5174416621,POINT (8.4078201 48.9721393),place_of_worship,,Evangelisches Gemeindehaus Rüppurr,christian,Karlsruhe,26,76199,Diakonissenstraße,,,,,,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5594520929,POINT (8.3919126 49.0090271),place_of_worship,,Bahá'í-Zentrum Karlsruhe,bahai,Karlsruhe,30,76133,Amalienstraße,,,,http://www.karlsruhe-bahai.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5600609042,POINT (8.3856806 49.0300831),place_of_worship,evangelical,"Fabrik 88, Christliche Freikirche",christian,Karlsruhe,3,76149,New-York-Straße,,,,https://www.fabrik88.de/,,no,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5704518750,POINT (8.388979 49.0092481),place_of_worship,,Gebetszentrum Karlsruhe,christian,Karlsruhe,77,76133,Amalienstraße,,,,https://www.gebetszentrum.org,,,,,,,,,,,,,,,,,,,,,Das Gebetshaus und Schulungszentrum für Karlsruhe und Umgebung,info@gebetszentrum.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6180540067,POINT (8.4453403 48.9955742),place_of_worship,,Al-Kawthar e.V.,muslim,Karlsruhe,8,76227,Dieselstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6180568673,POINT (8.3416617 49.0265392),place_of_worship,,Bosniakisch Deutsche Gemeinde Karlsruhe,muslim,Karlsruhe,4,76187,Pfalzbahnstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
