element_type,osmid,geometry,addr:housenumber,addr:street,addr:city,addr:country,addr:postcode,source,operator,description,note,amenity,historic,addr:suburb,operator:type,wheelchair,nodes,building,building:levels,roof:shape,source:geometry,start_date,roof:levels,source:outline,addr:subdistrict,building:colour,building:use,roof:colour,building:material,roof:material,contact:website,last_renovation,smoking,source_1,website,heritage,heritage:operator,ref:lda,roof:orientation,name,short_name,architect,nohousenumber,wikimedia_commons,heritage:description,source:addr,social_facility,social_facility:for,fixme,building:levels:underground,height,addr:old_housenumber,layer,contact:email,sport,addr:official_housenumber,loc_name,opening_hours,payment:credit_cards,payment:debit_cards,shop,denomination,religion,addr2:housenumber,addr2:street,source:addr:housenumber,roof:height,construction:start_date,construction,construction:building,opening_date,ways,type
way,32646734,"POLYGON ((8.3865983 49.0200798, 8.3866699 49.0200563, 8.3866512 49.0200318, 8.3867564 49.0199974, 8.3867905 49.0200423, 8.3868209 49.0200357, 8.3868133 49.0200207, 8.3868921 49.0200036, 8.3868997 49.0200186, 8.3869355 49.0200109, 8.3869279 49.0199958, 8.3870097 49.0199781, 8.3870172 49.0199932, 8.3870521 49.0199856, 8.3870445 49.0199706, 8.3871256 49.019953, 8.3871332 49.0199681, 8.3872254 49.0199481, 8.3872335 49.019964, 8.3873222 49.0199448, 8.3873595 49.020019, 8.3872113 49.0200511, 8.3871994 49.0200275, 8.3868556 49.0201019, 8.3868547 49.0201, 8.3868373 49.0201038, 8.3869992 49.0203167, 8.3870283 49.0203105, 8.3870204 49.0202947, 8.3871024 49.020277, 8.3871103 49.0202928, 8.3871442 49.0202854, 8.3871364 49.0202697, 8.3872203 49.0202516, 8.3872282 49.0202673, 8.387262 49.02026, 8.3872541 49.0202443, 8.3873364 49.0202266, 8.3873442 49.0202423, 8.3874377 49.0202221, 8.3874455 49.0202376, 8.3875319 49.020219, 8.3875682 49.0202912, 8.3874233 49.0203224, 8.3874127 49.0203014, 8.3870627 49.0203769, 8.3870607 49.020373, 8.3870447 49.0203765, 8.3872078 49.0205909, 8.3872392 49.0205841, 8.3872315 49.0205688, 8.3873114 49.0205515, 8.3873191 49.0205668, 8.3873537 49.0205593, 8.387346 49.0205439, 8.3874315 49.0205254, 8.3874393 49.0205407, 8.3874723 49.0205335, 8.3874645 49.0205182, 8.3875466 49.0205004, 8.3875544 49.0205157, 8.3876463 49.0204957, 8.3876543 49.0205116, 8.3876975 49.0205023, 8.3876895 49.0204864, 8.3877337 49.0204768, 8.3877788 49.0205662, 8.3876318 49.0205981, 8.3876199 49.0205745, 8.3872715 49.0206501, 8.3872701 49.0206472, 8.3872534 49.0206508, 8.3874163 49.0208651, 8.3875079 49.0208453, 8.3875001 49.0208298, 8.3875789 49.0208128, 8.3875867 49.0208283, 8.3876236 49.0208203, 8.3876159 49.0208049, 8.3877001 49.0207867, 8.3877079 49.0208021, 8.3877404 49.0207951, 8.3877326 49.0207797, 8.3877795 49.0207696, 8.3877404 49.0206917, 8.3878133 49.020676, 8.3878063 49.0206619, 8.3879272 49.0206359, 8.3879343 49.0206499, 8.3880054 49.0206346, 8.3881111 49.0208454, 8.3873061 49.0210192, 8.3870747 49.0207149, 8.3870247 49.0207313, 8.3870575 49.0207809, 8.3869176 49.0208206, 8.3867937 49.020633, 8.3868004 49.0206311, 8.3868038 49.0206362, 8.3868189 49.0206319, 8.3868138 49.0206243, 8.3868037 49.020609, 8.3867936 49.0205937, 8.3867886 49.0205861, 8.3867735 49.0205904, 8.3867769 49.0205955, 8.3867701 49.0205974, 8.386748 49.0205638, 8.3864334 49.0200877, 8.3864553 49.0200815, 8.3864402 49.0200587, 8.3865393 49.0200305, 8.3865616 49.0200242, 8.3865983 49.0200798))",4,Rhode-Island-Allee,Karlsruhe,DE,76149,,,,,,,Nordstadt,,,"[3484720859, 3484720858, 3484720854, 3484720848, 3484720856, 3484720855, 3484720852, 367024491, 3484720851, 3484720850, 3484720846, 3484720844, 3484720847, 3484720845, 3484720842, 367024501, 3484720839, 3484720837, 3484720838, 3484720836, 367024646, 367024652, 3484720853, 6283510265, 6283510266, 3484720861, 3484720880, 3484720878, 3484720875, 3484720871, 3484720874, 3484720872, 3484720869, 3484720868, 3484720870, 367024655, 3484720867, 3484720864, 3484720866, 3484720863, 3484720865, 3484720862, 3484720873, 367024659, 3484720876, 6283510267, 6283510268, 3484720883, 3484721704, 367024720, 3484721699, 3484721696, 3484721698, 3484721697, 3484721694, 3484720892, 3484721695, 3484721693, 3484720890, 3484720887, 3484720891, 3484720886, 3484720889, 3484720888, 3484720885, 3484720884, 3484721700, 3484721705, 3484721701, 6283510269, 6283510270, 367024725, 367024731, 3484721728, 3484721727, 3484721724, 3484721726, 3484721725, 3484721723, 3484721720, 3484721722, 3484721721, 3484721718, 367024736, 367024741, 3484721715, 3484721713, 3484721708, 3484721710, 367024748, 367024275, 367025225, 367025217, 3484721717, 3484721719, 367024257, 3484721707, 6283510192, 6283510273, 3484721706, 6283510196, 6283510255, 6283510195, 3484721702, 6283510272, 6283510271, 3484721703, 6283510191, 3484720860, 367024264, 3484720857, 367025730, 367024268, 3484720859]",residential,5,skillion,"Maps4BW, LGL, www.lgl-bw.de",~2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32646746,"POLYGON ((8.3875625 49.0199912, 8.3874923 49.0200064, 8.387512 49.0200456, 8.3875033 49.0200475, 8.38754 49.0201206, 8.3877399 49.0200775, 8.3877032 49.0200044, 8.387698 49.0200055, 8.3876783 49.0199663, 8.3876102 49.019981, 8.3876039 49.0199683, 8.3875562 49.0199786, 8.3875625 49.0199912))",4a,Rhode-Island-Allee,Karlsruhe,DE,76149,,,,,,,Nordstadt,,,"[367024611, 3484720849, 6283510257, 6283510256, 367024587, 367024623, 6283510258, 1798048099, 3484720841, 367024635, 3484720840, 3484720843, 367024611]",residential,4,flat,"Maps4BW, LGL, www.lgl-bw.de",~2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32646753,"POLYGON ((8.3879055 49.0203342, 8.3879004 49.0203242, 8.3879501 49.0203135, 8.3879551 49.0203235, 8.3880221 49.020309, 8.3880427 49.0203499, 8.388047 49.020349, 8.388084 49.0204227, 8.3878858 49.0204654, 8.3878488 49.0203917, 8.3878562 49.0203901, 8.3878357 49.0203492, 8.3879055 49.0203342))",4b,Rhode-Island-Allee,Karlsruhe,DE,76149,,,,,,,Nordstadt,,,"[367024603, 3484720881, 3484720879, 367024696, 3484720877, 1798048100, 6283510261, 367024689, 367024684, 6283510260, 6283510259, 3484720882, 367024603]",residential,4,skillion,"Maps4BW, LGL, www.lgl-bw.de",~2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32646754,"POLYGON ((8.3882489 49.0206774, 8.3881784 49.0206926, 8.388199 49.0207337, 8.3881943 49.0207347, 8.3882308 49.0208076, 8.3884282 49.020765, 8.3883917 49.0206921, 8.3883848 49.0206936, 8.3883642 49.0206525, 8.3882953 49.0206674, 8.3882893 49.0206554, 8.3882429 49.0206654, 8.3882489 49.0206774))",4c,Rhode-Island-Allee,Karlsruhe,DE,76149,,,,,,,Nordstadt,,,"[367024755, 3484721716, 6283510264, 6283510263, 367024761, 367024769, 6283510262, 1798048101, 3484721711, 367024774, 3484721712, 3484721714, 367024755]",residential,4,skillion,"Maps4BW, LGL, www.lgl-bw.de",~2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,33905583,"POLYGON ((8.4453254 49.0355001, 8.4450616 49.0352383, 8.445043 49.0352463, 8.4448454 49.0353319, 8.4448327 49.0353374, 8.4449484 49.0354522, 8.4448766 49.0354833, 8.4446366 49.0355873, 8.4446451 49.0355957, 8.4446736 49.035624, 8.4447847 49.0357343, 8.4450059 49.0356385, 8.4450248 49.0356303, 8.4453254 49.0355001))",,,,,,,,,,,,,,,"[388457186, 3090992888, 5235972607, 5235972559, 3090992894, 388457191, 1433091414, 5235972599, 5235972555, 6491335267, 1300493098, 5235972574, 1433091157, 388457186]",residential,3,,,1988,1,"Maps4BW (LGL-BW, www.lgl-bw.de)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35538135,"POLYGON ((8.4030851 49.0543551, 8.4031214 49.0543574, 8.4032529 49.0543659, 8.4032635 49.0542954, 8.4030958 49.0542845, 8.4030875 49.0543392, 8.4030851 49.0543551))",30,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[416361881, 6498479640, 416361882, 416361883, 416361884, 6498479646, 416361881]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35538417,"POLYGON ((8.4007009 49.0545676, 8.4007735 49.0545723, 8.4007849 49.054497, 8.4007123 49.0544923, 8.4007009 49.0545676))",1,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[416364736, 416364737, 416364738, 416364739, 416364736]",residential,3,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35665886,"POLYGON ((8.4026872 49.0543103, 8.4028252 49.0543192, 8.4028358 49.0542492, 8.4026978 49.0542402, 8.4026933 49.0542699, 8.402689 49.0542983, 8.4026872 49.0543103))",26,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[417635150, 417635154, 417635157, 417635159, 6498479647, 6498479650, 417635150]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35665887,"POLYGON ((8.4023806 49.0539958, 8.4022851 49.0539896, 8.4022434 49.0539869, 8.4022547 49.0539118, 8.402392 49.0539207, 8.4023806 49.0539958))",57,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[417635164, 6498479592, 417635168, 417635170, 417635172, 417635164]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35665892,"POLYGON ((8.4024735 49.0545861, 8.4026103 49.0545949, 8.4026208 49.0545249, 8.4024841 49.0545161, 8.4024827 49.0545252, 8.4024795 49.054546, 8.4024735 49.0545861))",33,Lothar-Kreyssig-Straße,Karlsruhe,DE,76149,,,,,,,Neureut,,,"[417635178, 418753038, 417635182, 417635184, 6498479761, 6498479762, 417635178]",residential,2,flat,"Maps4BW, LGL, www.lgl-bw.de",2007..2008,0,,Kirchfeldsiedlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
