element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,cuisine,name,opening_hours,opening_hours:covid19,outdoor_seating,phone,website,geometry,opening_hours:signed,wheelchair,addr:country,addr:suburb,alt_name,email,beer_garden,toilets:wheelchair,contact:email,contact:phone,contact:website,access:covid19,brewery,cuisine:description,operator,takeaway:covid19,check_date,kitchen_hours,start_date,note,source:addr,source,addr:subdistrict,takeaway,kitchen,check_date:opening_hours,diet:vegan,diet:vegetarian,indoor_seating,smoking,toilets,fixme,delivery,description,contact:fax,microbrewery,note:en,reg_name,fax,toilets:access,internet_access,internet_access:fee,internet_access:ssid,level,created_by,drive_in,lunch,lunch:warm,old_name,alt_name:note,old_operator,bar,branch,brand,opening_hours:kitchen,website:menu,diet:halal,halal,shop,short_name,lastcheck,payment:contactless,payment:girocard,payment:mastercard,payment:visa,payment:cash,toilets:female,toilets:male,toilets:unisex,capacity,diet:gluten_free,payment:maestro,payment:mastercard:min_payment,payment:others,payment:visa:min_payment,air_conditioning,wifi,delivery:partner,drink:afri-cola,front_cooking,wheelchair:description,contact:facebook,FIXME,changing_table,changing_table:location,ref,table_service,toilets:disposal,operation,tourism,mapillary,survey:date,image,surveillance,reservation,wheelchair:description:de,todo,note:covid19,diet:kosher,drive_through,payment:credit_cards,payment:debit_cards,seating,payment:cryptocurrencies,payment:electronic_purses,ref:vatin,access,description:payment,payment:account_cards,official_name,changing_table:count,description:de,payment:cards,addr:housename,dog,max_level,min_level,wikidata,contact:mobile,name:zh,brand:wikidata,brand:wikipedia,kids_area,kids_area:fee,kids_area:outdoor,kids_area:supervised,loc_name,organic,smoking:outside,source:url,payment:american_express,running_sushi,name:note,name:de,buffet,self_service,designation,old_name_1,old_name_2,service_times,theme,brewery:wikidata,craft,delivery:covid19,description:covid19,payment:diners_club,old_name:1,addr:floor,contact:whatsapp,indoor,craft_beer,contact:instagram,payment:apple_pay,seats,opening_date,seats:indoor,seats:outdoor,drinking_water:refill,drinking_water:refill:network,drinking_water:refill:network:wikidata,sport,currency:EUR,currency:others,access:description,cocktails,happy_hours,lunch:menu,addr:place,breakfast,nodes,building,roof:colour,roof:levels,roof:shape,building:levels,source:outline,internet_access:operator,layer,indoor_slide,source:geometry,disused:amenity,roof:material,height,source:height,ele,building:part,room,capacity:indoor,capacity:outdoor,all_you_can_eat,all_you_can_eat:type,outdoor_seating:capacity,payment:credit_card,wood_oven,delivery:brand,level:ref
node,25185956,Karlsruhe,9,76199,Am Rüppurrer Schloss,restaurant,regional,Reinhards,Tu-Sa 17:00-22:00+; Su 12:00-22:00+,open,yes,+49 721 4700 2363,https://reinhards-restaurant.jimdosite.com/,POINT (8.4062831 48.9812714),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25186140,,,,,restaurant,,TC Rüppurr,,,,,https://www.tcr.de/Restaurant,POINT (8.4118915 48.9679044),no,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25242049,Karlsruhe,33,76185,Kornweg,restaurant,,Appenmühle,th-sa 17:00+; su 16:00+,,yes,+49 721 47048457,https://www.appenmuehle.de/,POINT (8.3412621 49.0046245),,,DE,Grünwinkel,Restaurant an der Appenmühle,hello@appenmuehle.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25242198,Karlsruhe,6,76185,Durmersheimer Straße,restaurant,german,Beim Schupi,"Mo-Sa 17:00+; May-Sep Mo-Sa 16:00+; Su,PH 12:00+",,,+49 721 551220,https://www.schupi.de/,POINT (8.3560676 49.0077605),,yes,DE,,,info@schupi.de,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25242287,Karlsruhe,14,76135,Sankt-Florian-Straße,restaurant,german,s'Häusle,Tu-Su 17:00-22:00,,yes,,,POINT (8.386191 48.9901327),,limited,DE,Beiertheim-Bulach,,,,,info@s-haeusle.de,+49 721 861450,http://www.s-haeusle.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25311867,Karlsruhe,24,76131,Hagsfelder Allee,restaurant,regional,Zum Spatenstich,"Sa-Su 11:00-21:00; Th-Fr 11:00-14:00, 17:00-21:00",open,yes,+497196143131,https://zum-spatenstich.metro.bar/?lang=de,POINT (8.4279596 49.0190277),,,DE,,,Safapour@web.de,,,,,,no,Alpirsbacher Klosterbräu,gut bürgerliche Küche,Kleingartenverein Hagsfelder Allee e.V.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25312115,Karlsruhe,4,76139,Kleingärtnerweg,restaurant,regional,Deurer's Kloistoibacher im Rosenstüble,"Mo,Tu off; We-Sa 12:00-14:00,17:00-22:00; Su 12:00-14:00,17:00-21:00; Mar 01-Sep 30 We-Sa 12:00-22:00; Mar 01-Sep 30 Su 12:00-21:00",,yes,,,POINT (8.4504571 49.0125481),,,DE,,Rosenstüble,,,,,,http://kloistoibacher.de/,,Moninger,,,,2018-11,"Mo,Tu off; We-Sa 12:00-14:00,17:00-22:00; Su 12:00-14:00,17:00-21:00",2019-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25312120,Karlsruhe,5,76139,Kleingärtnerweg,restaurant,,Zum Gockler,Mo off; Tu-Su 11:00-22:00,,,,,POINT (8.4507993 49.0136976),,,DE,Rintheim,,,,,,+49 721 6268491,,,Riegeler Bier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25313988,Karlsruhe,16a,76139,Insterburger Straße,restaurant,italian,Al Bosco,"Mo-Fr 11:00-14:00,17:30-22:30;Sa 17:30-22:30;Su 17:30-22:30",,,,,POINT (8.4381576 49.0378556),,no,DE,Waldstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25397906,Karlsruhe,7-9,76131,Am Sportpark,restaurant,,KSV-Clubhaus,,,yes,,http://karlsruher-sv.de/,POINT (8.4383286 49.0258565),,no,DE,Hagsfeld,Karlsruher Sportverein,,,,,,,,Hoepfner,,Karlsruher Sportverein Rintheim-Waldstadt e.V.,,,,,Adresse steht so am Gebäude,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25508380,,3,76228,Zum Sportzentrum,restaurant,,Griechisches Restaurant Akropolis,,"Mo-Tu 17:00-21:00; Th-Sa 17:00-21:00; Su 12:00-14:00,17:00-21:00",,,http://www.akropolis-karlsruhe.de/,POINT (8.5179914 48.9524734),,yes,,,,,,,,,,,,,,only,,,,,,LA-KA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25581225,,,,,restaurant,,hubraum,,,,,,POINT (8.4691057 49.0089396),,limited,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25642572,Karlsruhe,100,76189,Hohlohstraße,restaurant,greek,Siedlerheim,"Mo off; Tu-Su, PH 11:00-23:00",,yes,,,POINT (8.351368 48.9897253),,yes,DE,Grünwinkel,,,,no,info@siedlerheimrestaurant.de,+49 721 571892,https://siedlerheimrestaurant.de/,,,,Familie Varsamis/Papageorgopoulou Vaia,,,,,,,,Heidestückersiedlung,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25642588,Karlsruhe,8,76189,Im Jagdgrund,restaurant,,Napule é,,,,,,POINT (8.3260694 49.0018831),,,,,Gaststätte Gehörlosenzentrum,,,,,,,,,,,,,,,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25642606,Karlsruhe,9,76189,Joachim-Kurzaj-Weg,restaurant,german,Rosenstüble 2.0,Mi-Sa 11:00-21:00; So 11:00-20:00,,yes,+49 721 56888061,https://www.rosenstueble-20.de,POINT (8.3626681 48.9935494),,,,,,,,,,,,,Fürstenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25642631,Karlsruhe,22,76189,Bernsteinstraße,restaurant,german;balkan,Restaurant Bernstein,Tu-Su 11:30-14:00; 17:00-23:30; Sa 17:00-23:30,,,+49 721 573210,http://www.restaurantbernstein.com,POINT (8.3518779 48.9953078),,yes,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25642801,Karlsruhe,5,76189,Joachim-Kurzaj-Weg,restaurant,greek,Saloniki,"Mo off; Tu-Fr 10:00-14:00,17:00-22:00; Sa,Su,PH 11:00-21:00",,,,,POINT (8.3629915 48.9941012),,yes,DE,,,,,no,,+49 721 573898,https://www.saloniki-ka.com,,Fürstenberg,,,,2020-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25931458,Karlsruhe,1,76131,An der Fasanengartenmauer,restaurant,,Germania,,,,,,POINT (8.4089705 49.0181569),,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25932431,Karlsruhe,2,76131,Rintheimer Straße,restaurant,italian_pizza,Ristorante Pizzahaus Oststadt,"Mo-Su,PH 11:30-14:30, Mo-Su 18:00-23:00",,no,,,POINT (8.4234496 49.0107489),,limited,DE,,,,,yes,,,,,,,,,,,,,,,,,,2022-07-01,no,yes,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
