element_type,osmid,geometry,wheelchair,amenity,name,cuisine,diet:vegetarian,opening_hours,brand,height,operator,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,phone,shop,website,source,level,description,check_date:opening_hours,note,source:addr,check_date,surveillance,ref,nodes,brand:wikidata,brand:wikipedia,building,building:levels,drink:club-mate,toilets:wheelchair,alt_name,max_level,min_level,roof:material,smoking,source:geometry,start_date,toilets,wikidata,wikipedia,addr:suburb,roof:levels,roof:shape,old_name:1974-1978,old_name:1978-1997,old_name:1998-2007,start_date:note,trolley,building:use,indoor_seating,outdoor_seating,unisex,building:part,disused:brand,disused:name,disused:shop,roof:colour,branch,building:colour,building:material,building:levels:underground,heritage,owner,wikimedia_commons,contact:phone,contact:website,information,information:kvv,opening_hours:url,payment:cash,payment:credit_cards,payment:debit_cards,payment:visa,public_transport,tourism,internet_access,internet_access:fee,old_brand,dispensing,addr:housename,capacity,delivery,diet:vegan,email,internet_access:operator,layer,old_name,organic,seating,takeaway,nohousenumber,source:outline,addr:source,lastcheck,heritage:description,heritage:operator,architect,sport,laundry_service,payment:membership_card,self_service,fuel:diesel,fuel:e10,fuel:octane_95,fuel:octane_98,building:architecture,landuse,noaddress,contact:email,contact:fax,opening_hours:kitchen,payment:girocard,female,male,supermarket,dog,payment:contactless,payment:mastercard,roof:direction,roof:height,service:bicycle:pump,building:min_level,ways,type
way,4546108,"POLYGON ((8.3789005 49.0101765, 8.3789155 49.0101763, 8.3789169 49.0101916, 8.379113 49.0101844, 8.3792393 49.0101798, 8.3792125 49.0100007, 8.3792073 49.0099674, 8.3790647 49.0099722, 8.3789746 49.009975, 8.3788773 49.0099785, 8.3788791 49.00999, 8.3789005 49.0101765))",yes,,CAP-Markt,,,Mo-Sa 08:00-20:00; PH off,CAP,,BZKA Beschäftigungszentrum Karlsruhe gGmbH,Karlsruhe,DE,37-39,76133,Kaiserallee,+49 721 9850350,supermarket,http://www.cap-markt.de/cap-maerkte/cap-marktsuche.html?tx_hgcapmarkt_pi1%5Buser%5D=16&tx_hgcapmarkt_pi1%5Baction%5D=show&tx_hgcapmarkt_pi1%5Bcontroller%5D=User,,,,2023-04-24,,,,,,"[28342027, 1258833622, 1258833605, 3308011121, 28342028, 1258833469, 28342029, 1258833565, 3308011117, 28342030, 1258833674, 28342027]",Q1022827,de:CAP (Markt),retail,1,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,22890616,"POLYGON ((8.4013369 49.0062898, 8.4013199 49.0063185, 8.4013141 49.0063364, 8.4013116 49.0063606, 8.4013131 49.0063757, 8.4013186 49.0063956, 8.4013323 49.0064212, 8.4014199 49.0065462, 8.401609 49.0068159, 8.4016904 49.0069319, 8.4016993 49.0069446, 8.4017162 49.0069687, 8.4016977 49.0069937, 8.4016887 49.0070055, 8.4016427 49.0070664, 8.4016535 49.0070824, 8.4016655 49.0070992, 8.401672 49.0071083, 8.4016747 49.0071127, 8.401697 49.007145, 8.4017156 49.0071721, 8.401731 49.0071945, 8.4016205 49.0072286, 8.4015921 49.0072375, 8.4015234 49.0072587, 8.4015662 49.0073184, 8.4015472 49.0073242, 8.4014327 49.0073595, 8.4014295 49.0073599, 8.4015294 49.0074993, 8.4015586 49.0074903, 8.4018756 49.0073941, 8.4018601 49.0073721, 8.4019633 49.0073402, 8.4020429 49.0073156, 8.4020768 49.0073051, 8.4020889 49.0073014, 8.4021476 49.0072832, 8.4022239 49.0072596, 8.4022926 49.0072384, 8.4023066 49.0072341, 8.4023626 49.0072167, 8.4023875 49.0072095, 8.4027926 49.0070839, 8.4029109 49.0070472, 8.4029226 49.0070436, 8.4029368 49.0070392, 8.4029515 49.0070346, 8.4029695 49.00706, 8.4033182 49.006954, 8.4033085 49.0069337, 8.4033032 49.0069163, 8.4033 49.0068987, 8.4032989 49.006881, 8.4033004 49.0068627, 8.4033082 49.006865, 8.4033166 49.0068413, 8.4033489 49.0068083, 8.4033784 49.0067759, 8.4034058 49.006729, 8.4033947 49.0067257, 8.4034157 49.0067124, 8.403438 49.0067007, 8.4034617 49.0066902, 8.4034866 49.0066811, 8.4035126 49.0066734, 8.403509 49.0066386, 8.4034962 49.0065209, 8.403465 49.0062188, 8.4033265 49.0062242, 8.403324 49.0062062, 8.4033154 49.0061228, 8.4033068 49.0060494, 8.4033029 49.0060149, 8.4033009 49.0059968, 8.4032958 49.0059637, 8.4033118 49.0059636, 8.4033281 49.0059634, 8.4033351 49.0059634, 8.403335 49.0059584, 8.4033341 49.0059118, 8.403334 49.0059073, 8.4033332 49.0058614, 8.4033331 49.0058571, 8.4033323 49.0058129, 8.4033322 49.0058085, 8.4033314 49.0057652, 8.4033313 49.0057606, 8.4033307 49.0057283, 8.4033306 49.0057233, 8.403321 49.0057233, 8.4033073 49.0057235, 8.4032913 49.0057236, 8.4032366 49.005724, 8.4031526 49.0057247, 8.4030869 49.0057252, 8.4030558 49.0057255, 8.4028432 49.0057231, 8.4026816 49.0057227, 8.4025639 49.0057224, 8.4025257 49.0057223, 8.4021512 49.0057213, 8.4018394 49.0057204, 8.4018233 49.0057204, 8.4017506 49.0057154, 8.4017491 49.0059736, 8.401748 49.0059963, 8.4017489 49.0061374, 8.4016011 49.0061342, 8.4015998 49.0061511, 8.4009924 49.0061463, 8.4008422 49.0061459, 8.4007856 49.006163, 8.4008836 49.0063023, 8.4009548 49.0062808, 8.4013369 49.0062898))",yes,,Ettlinger Tor,,,"Mo-Sa 08:00-20:00; Su,PH off",,,ECE Projektmanagement GmbH & Co. KG,,,,,,+49 721 464630,mall,https://www.ettlinger-tor.de/,,,,,,,,,,"[1248740476, 1050139345, 1248739945, 1248739758, 246253918, 1248740353, 1248739902, 8450740663, 8450775642, 8450775648, 8452262598, 246253920, 8450775653, 2962644680, 246253922, 8450775652, 8451146375, 8450775655, 8452262591, 8452262590, 8451146374, 246253923, 8450775663, 1248739975, 246253925, 246253927, 8450775662, 246253929, 3491870011, 246253892, 5042436467, 1248739890, 1248740058, 8450775615, 5042436468, 8450775611, 2962644697, 2962644696, 8450775608, 8452262570, 8451146325, 8452262563, 8450775605, 4622655448, 8458609804, 4622655690, 4622655451, 1248740412, 1248739942, 246253893, 1248740319, 1248739677, 1248740012, 1248740131, 1248739755, 1050139278, 8450775551, 1700715789, 8450775552, 1248739830, 1050139327, 1248740190, 1248740259, 246253895, 1248740392, 246253897, 4622655484, 8452262551, 246253901, 246253903, 8450740629, 8450740707, 8450740706, 2962644655, 8450740701, 1725344998, 2577244224, 2577244220, 246253907, 2577244217, 2577244215, 2577244213, 2577244211, 2577244209, 2577244207, 2577244205, 2577244203, 2577244201, 2577244199, 246253911, 2577244195, 1725344975, 2577244196, 2577244197, 2577244198, 8452262518, 1248740367, 8450740678, 5042436508, 8450740679, 8450740683, 8450740684, 9105055047, 1156828257, 246253912, 3491881504, 1248740502, 246253914, 246253916, 1248739817, 6896822828, 1248740500, 1248740184, 1248740301, 1248739993, 1248740476]",,,retail,,,,Ettlingertor,2,-1,concrete,no,"Maps4BW, LGL, www.lgl-bw.de",2005-09-07,yes,Q1371839,de:Ettlinger Tor Karlsruhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23274176,"POLYGON ((8.4730017 48.9980509, 8.4730037 48.998044, 8.4730422 48.9980489, 8.4730482 48.9980288, 8.4730541 48.9980089, 8.4730218 48.9980048, 8.4731047 48.9977256, 8.4731494 48.9975963, 8.4731135 48.9975903, 8.4731296 48.9975493, 8.4731637 48.9975551, 8.473204 48.9974366, 8.4725179 48.9973449, 8.4724582 48.9973434, 8.4723833 48.9973509, 8.4723331 48.9973621, 8.4722855 48.9973781, 8.4722658 48.9974232, 8.4722261 48.9974197, 8.4721696 48.9975898, 8.4721515 48.9975882, 8.4721176 48.9975959, 8.4720981 48.9976075, 8.4720835 48.997628, 8.4720861 48.9976553, 8.4721027 48.9976732, 8.4721212 48.9976828, 8.4721401 48.9976853, 8.4720945 48.9978171, 8.472268 48.9978442, 8.4722842 48.9978089, 8.472335 48.9978126, 8.4723003 48.9979251, 8.4722614 48.9979198, 8.472248 48.997959, 8.4722866 48.9979653, 8.4722642 48.9980285, 8.4727378 48.9980553, 8.472743 48.9980384, 8.4730017 48.9980509))",,,,,,,,,,Karlsruhe,DE,18,76227,Marstallstraße,,,,,,,,,,,,,"[307732339, 6109331683, 6109331682, 6109331678, 6109331681, 6109331680, 307732336, 6109331675, 6109331673, 6109331672, 6109331674, 251870431, 251870432, 251870434, 6109331670, 6109331671, 251870435, 251870436, 251870437, 6109331669, 6109331664, 6109331665, 6109331661, 6109331667, 6109331662, 6109331666, 6109331663, 6109331668, 251870438, 251870439, 251870440, 251870441, 6109331660, 6109331657, 6109331658, 6109331659, 251870427, 251870428, 251870429, 307732339]",,,retail,4,,,,,,,,,,,,,Durlach,0,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23528417,"POLYGON ((8.3761853 48.9909509, 8.3761542 48.9909182, 8.3762415 48.9908825, 8.3762699 48.9909125, 8.3763519 48.990879, 8.3764194 48.9908518, 8.3768512 48.9913104, 8.3767073 48.9913687, 8.3767217 48.991384, 8.3766302 48.9914211, 8.3766104 48.9914002, 8.376292 48.9915292, 8.3763156 48.9915543, 8.3762274 48.9915901, 8.3762069 48.9915683, 8.3760008 48.9916519, 8.3760228 48.9916752, 8.3759398 48.9917088, 8.3759196 48.9916874, 8.3755748 48.9918271, 8.3752018 48.991431, 8.3751499 48.9913759, 8.3751833 48.9913624, 8.3754848 48.9912401, 8.3754552 48.9912121, 8.3755399 48.9911777, 8.3755669 48.9912062, 8.3757817 48.9911183, 8.3757528 48.9910879, 8.3758353 48.9910541, 8.3758626 48.9910829, 8.3761853 48.9909509))",yes,,,,,,,,,Karlsruhe,DE,8,76135,Ortenbergstraße,,,,,,,,,,,,,"[1348276461, 1348276505, 1348276588, 1348276603, 4322897923, 254786625, 254786628, 1348276446, 1348276407, 1348276478, 1348276536, 1348276575, 1348276438, 1348276569, 1348276440, 1348276509, 1348276542, 1348276465, 1348276609, 254786630, 1250824090, 254786631, 1516246033, 1348276444, 1348276533, 1348276631, 1348276582, 1348276571, 1348276617, 1348276530, 1348276475, 1348276461]",,,retail,,,,,,,,,,1974-02-16,,,,Beiertheim-Bulach,,,Kaufpark,Kolossa,Walmart,Tag des Richtfests,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24011620,"POLYGON ((8.3741683 49.0227027, 8.3741067 49.0227323, 8.3740198 49.0226551, 8.3739483 49.0225888, 8.374011 49.0225592, 8.3741683 49.0227027))",,,,,,,,,,Karlsruhe,DE,2,76187,Eugen-Richter-Straße,,,,,,,,,,,,,"[260384594, 260384605, 260384610, 1460381448, 1460381439, 260384594]",,,retail,1,,,,,,,,,,,,,,,flat,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24011621,"POLYGON ((8.3736344 49.023429, 8.3737661 49.0234254, 8.3737809 49.023425, 8.3737726 49.0232943, 8.3736262 49.0232982, 8.3736344 49.023429))",,,,,,,,,,Karlsruhe,DE,8,76187,Heinrich-Köhler-Straße,,,,,,,,,,,,,"[260384615, 1460381733, 260384590, 260384599, 260384600, 260384615]",,,retail,1,,,,,,,,,,,,,,,flat,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24011622,"POLYGON ((8.3736199 49.0232002, 8.3737664 49.0231962, 8.3737561 49.0230347, 8.3735872 49.0230393, 8.3735974 49.0232008, 8.3736199 49.0232002))",,,,,,,,,,Karlsruhe,DE,4,76187,Heinrich-Köhler-Straße,,,,,,,,,,,,,"[260384609, 260384593, 260384611, 260384583, 1460381637, 260384609]",,,retail,1,,,,,,,,,,,,,,,flat,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24011624,"POLYGON ((8.3737499 49.0229223, 8.3735447 49.0229287, 8.3735367 49.0228158, 8.3735714 49.0227991, 8.3735487 49.0227788, 8.3737047 49.022704, 8.3737541 49.0227483, 8.3737204 49.0227645, 8.3736968 49.0227432, 8.3736337 49.0227735, 8.3736666 49.0228031, 8.3737621 49.0227573, 8.3737772 49.0227708, 8.3738648 49.0228494, 8.3737999 49.0228809, 8.3737491 49.0229049, 8.3737499 49.0229223))",,,,,,,,,,Karlsruhe,DE,8,76187,Eugen-Richter-Straße,,,,,,,,,,,,,"[260384613, 260384588, 260384597, 1460381518, 1460381511, 260384607, 1460381490, 1460381503, 1460381488, 1460381508, 260384591, 1460381498, 260384592, 260384603, 248953635, 260384612, 260384613]",,,retail,1,,,,,,,,,,,,,,,flat,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24011626,"POLYGON ((8.373473 49.0229801, 8.373477 49.0230423, 8.3735872 49.0230393, 8.3737561 49.0230347, 8.3737522 49.0229725, 8.373473 49.0229801))",,,,,,,,,,Karlsruhe,DE,2,76187,Heinrich-Köhler-Straße,,,,,,,,,,,,,"[260384587, 260384596, 260384583, 260384611, 260384602, 260384587]",,,retail,1,,,,,,,,,,,,,,,flat,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24011627,"POLYGON ((8.3740354 49.0227685, 8.3739475 49.0226894, 8.3740198 49.0226551, 8.3741067 49.0227323, 8.3740354 49.0227685))",,,,,,,,,,Karlsruhe,DE,4,76187,Eugen-Richter-Straße,,,,,,,,,,,,,"[260384585, 260384601, 260384610, 260384605, 260384585]",,,retail,1,,,,,,,,,,,,,,,flat,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
