osmid,y,x,ref,highway,street_count,geometry
342906,48.9937379,8.3760686,5,motorway_junction,3,POINT (8.3760686 48.9937379)
342908,48.9928415,8.3779782,,,3,POINT (8.3779782 48.9928415)
342909,48.9921428,8.3802303,4,motorway_junction,3,POINT (8.3802303 48.9921428)
412299,49.0376621,8.3149167,,,3,POINT (8.3149167 49.0376621)
412306,49.0368045,8.3247783,,,3,POINT (8.3247783 49.0368045)
412344,49.0097394,8.3579165,,,3,POINT (8.3579165 49.0097394)
412346,49.0102679,8.3590633,,,5,POINT (8.3590633 49.0102679)
412347,49.0105292,8.35951,,,3,POINT (8.35951 49.0105292)
412348,49.0109139,8.360095,,traffic_signals,3,POINT (8.360095 49.0109139)
412352,49.0113148,8.3652711,,,4,POINT (8.3652711 49.0113148)
412353,49.0112445,8.3668737,,,3,POINT (8.3668737 49.0112445)
412354,49.0111556,8.3687334,,,4,POINT (8.3687334 49.0111556)
412356,49.0108815,8.3746043,,,4,POINT (8.3746043 49.0108815)
412364,48.9893827,8.4036851,,,3,POINT (8.4036851 48.9893827)
412400,49.0053134,8.394759,,,4,POINT (8.394759 49.0053134)
412410,49.0103083,8.387505,,,4,POINT (8.387505 49.0103083)
412433,49.0006748,8.4266712,,,4,POINT (8.4266712 49.0006748)
412435,49.0003032,8.4267831,,,3,POINT (8.4267831 49.0003032)
412447,48.996114,8.4283282,,,3,POINT (8.4283282 48.996114)
412477,48.9928373,8.4369341,,,3,POINT (8.4369341 48.9928373)
412532,49.0002097,8.4647622,,,4,POINT (8.4647622 49.0002097)
412533,48.9997709,8.4657719,,,4,POINT (8.4657719 48.9997709)
412537,48.9980951,8.4676061,,,3,POINT (8.4676061 48.9980951)
412540,48.9967638,8.4689738,,,3,POINT (8.4689738 48.9967638)
412542,49.0050959,8.4374477,,,4,POINT (8.4374477 49.0050959)
412551,48.9962368,8.4727003,,,3,POINT (8.4727003 48.9962368)
412553,48.9963144,8.4736842,,,3,POINT (8.4736842 48.9963144)
412556,48.9951578,8.4745,,,3,POINT (8.4745 48.9951578)
412557,48.9947509,8.4748402,,,3,POINT (8.4748402 48.9947509)
412560,48.9968879,8.4764948,,,3,POINT (8.4764948 48.9968879)
412562,48.9982644,8.4775209,,,3,POINT (8.4775209 48.9982644)
412566,49.000205,8.4798389,,,3,POINT (8.4798389 49.000205)
412569,49.0011012,8.4812243,,,3,POINT (8.4812243 49.0011012)
412575,49.0049256,8.486303,,,4,POINT (8.486303 49.0049256)
412603,49.0065396,8.4880615,,,3,POINT (8.4880615 49.0065396)
412604,49.0062968,8.4901812,,,3,POINT (8.4901812 49.0062968)
412617,49.0049745,8.4956924,,,3,POINT (8.4956924 49.0049745)
440990,48.9777405,8.4372829,,,3,POINT (8.4372829 48.9777405)
441023,48.9720897,8.4455072,41,motorway_junction,3,POINT (8.4455072 48.9720897)
441043,48.9698045,8.4319953,46,motorway_junction,3,POINT (8.4319953 48.9698045)
441050,48.9873656,8.4364799,45,motorway_junction,3,POINT (8.4364799 48.9873656)
441054,48.9889549,8.437537,,,3,POINT (8.437537 48.9889549)
441057,48.9907134,8.4368183,,,3,POINT (8.4368183 48.9907134)
441109,48.9888121,8.43611,,,3,POINT (8.43611 48.9888121)
441274,48.9581819,8.4794993,,,3,POINT (8.4794993 48.9581819)
441317,48.9471853,8.4917706,42,motorway_junction,3,POINT (8.4917706 48.9471853)
441340,48.9440594,8.4998161,42,motorway_junction,3,POINT (8.4998161 48.9440594)
451374,48.9680066,8.4273422,,,3,POINT (8.4273422 48.9680066)
451389,48.9614819,8.4100213,47,motorway_junction,3,POINT (8.4100213 48.9614819)
451390,48.9612776,8.4099102,,,3,POINT (8.4099102 48.9612776)
452534,48.9935575,8.437112,45,motorway_junction,3,POINT (8.437112 48.9935575)
452536,48.9920127,8.4363284,,,3,POINT (8.4363284 48.9920127)
456938,49.0382474,8.4862771,,,3,POINT (8.4862771 49.0382474)
480395,49.040274,8.4876289,,,3,POINT (8.4876289 49.040274)
482674,48.9928163,8.4315251,,,3,POINT (8.4315251 48.9928163)
524431,48.9935125,8.430236,,,3,POINT (8.430236 48.9935125)
526065,48.9921816,8.4037588,,,4,POINT (8.4037588 48.9921816)
526069,48.9922077,8.4038548,,,4,POINT (8.4038548 48.9922077)
526073,48.9928113,8.4057724,,,4,POINT (8.4057724 48.9928113)
526081,49.0031941,8.4033081,,,3,POINT (8.4033081 49.0031941)
526100,49.0002998,8.4029507,,,3,POINT (8.4029507 49.0002998)
526105,48.9975705,8.4040035,,,3,POINT (8.4040035 48.9975705)
526106,48.9967213,8.4043048,,,3,POINT (8.4043048 48.9967213)
526116,48.9897761,8.403256,,,3,POINT (8.403256 48.9897761)
526121,48.9934494,8.4143274,,,3,POINT (8.4143274 48.9934494)
526126,48.9921829,8.4322937,,,3,POINT (8.4322937 48.9921829)
526127,48.9910779,8.435075,,,3,POINT (8.435075 48.9910779)
526128,48.9902901,8.4379038,,,3,POINT (8.4379038 48.9902901)
