element_type,osmid,amenity,name,wheelchair,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,alt_name,contact:email,contact:fax,contact:phone,contact:website,fixme,isced:level,website,grades,phone,addr:country,description,addr:suburb,note,operator,operator:type,school,school:de,email,fee,start_date,old_name,nodes,source,wikidata,wikipedia,polling_station,building,fax,building:levels,check_date,toilets:wheelchair,area,education,roof:levels,roof:shape,network,school:DE,name:etymology:wikidata,addr:subdistrict,name:en,name:fr,capacity,official_name,landuse,short_name,source:geometry,opening_hours,ways,type
node,25929965,school,Tullaschule,no,POINT (8.4323338 49.009291),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,26940026,school,Oberwaldschule Aue,,POINT (8.4543068 48.9919707),Karlsruhe,25,76227,Grazer Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,29847215,school,Friedrich-Ebert-Schule,,POINT (8.3635599 49.0085568),,,,,Friedrich-Ebert-Grundschule,poststelle@friedrich-ebert-schule-ka.schule.bwl.de,+49 721 1334642,+49 721 1334661,http://www.fegs-karlsruhe.de/,(genauen) Flächenumriss bestimmen; Gebäudeübergang in die Halle,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,29847217,school,Elisabeth-Selbert-Schule,,POINT (8.3833386 48.9971735),,,,,,,,,,,,http://ess.karlsruhe.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,60247322,school,Südschule,,POINT (8.3714648 49.0459005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,151348236,school,Adam-Remmele-Schule,,POINT (8.3404279 48.9991873),,28,76189,August-Dosenbach-Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,339071155,school,Evangelische Fachschule für Sozialpädagogik Bethlehem,,POINT (8.3734636 49.0324027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,525166780,school,Lidellschule,no,POINT (8.4323062 49.0101148),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,564766794,school,Weinbrennerschule,no,POINT (8.3775364 49.0045174),Karlsruhe,141,76135,Kriegsstraße,,,,,,,1,http://www.weinbrennerschule-ka.de/,1 - 4,+49 721 1334764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,603624207,school,Rennbuckel Realschule,,POINT (8.3613744 49.0248733),Karlsruhe,22,76185,Bonner Straße,,,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
