element_type,osmid,geometry,amenity,name,addr:city,addr:housenumber,addr:postcode,addr:street,email,opening_hours,operator,phone,townhall:type,wheelchair,nodes,addr:country,building,source:addr,check_date:opening_hours,wheelchair:description,wikimedia_commons,addr:suburb,website,source,heritage,historic,wikidata,wikipedia,ways,architect,building:colour,building:levels,last_renovation,name:de,name:sk,roof:colour,roof:levels,roof:shape,start_date,type
node,3296373434,POINT (8.4826162 48.9470782),townhall,Rathaus Palmbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10814836788,POINT (8.4959645 49.0071117),townhall,Rathaus 2 (Service- und Bürgerbüro),Karlsruhe,2,76229,Rathausplatz,buergerbuero@groetzingen.karlsruhe.de,"Mo-We,Fr 08:00-12:00; Th 13:30-18:00","Stadt Karlsruhe, Ortsverwaltun gGrötzingen",+49 721 133 7628,municipality,limited,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10814841781,POINT (8.4966619 49.0075058),townhall,"Rathaus 3 (Bauamt, Friedhofsverwaltung, Bauhof)",Karlsruhe,2,76229,Rathausgasse,,,"Stadt Karlsruhe, Ortsverwaltung Grötzingen",,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,8084888,"POLYGON ((8.379758 49.0524055, 8.3797425 49.0524148, 8.3797896 49.0524487, 8.3795842 49.0525713, 8.3795406 49.05254, 8.3794018 49.0526228, 8.3793493 49.0525836, 8.3794251 49.0525406, 8.3793806 49.052507, 8.3794379 49.0524728, 8.3794232 49.0524622, 8.3796493 49.0523273, 8.379758 49.0524055))",townhall,Rathaus Neureut,Karlsruhe,145,76149,Kirchfeldstraße,,,,,,,"[60573720, 1453011101, 1453011102, 60573717, 1453011119, 1453011146, 1453011132, 1453011120, 1453011115, 1453011107, 60573718, 60573719, 60573720]",DE,yes,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,
way,25000999,"POLYGON ((8.4712317 48.9989943, 8.4712361 48.9991572, 8.4707011 48.9991634, 8.4706967 48.9990005, 8.4711144 48.9989957, 8.4712317 48.9989943))",townhall,Rathaus Durlach,Karlsruhe,33,76227,Pfinztalstraße,,"Mo 08:00-15:00; Tu,We,Fr 08:00-12:00; Th 14:00-18:00,14:00-17:00",,,,yes,"[271787515, 271787516, 271787517, 271787518, 26372490, 271787515]",,government,,2022-08-02,Automatische Türen und Rampe am Hintereingang und Fahrstuhl innen.,Category:Rathaus Durlach,,,,,,,,,,,,,,,,,,,
way,37908139,"POLYGON ((8.466491 48.957863, 8.466446 48.957821, 8.4664276 48.9578046, 8.4664784 48.9577801, 8.4664161 48.9577244, 8.4663614 48.9576757, 8.4663842 48.9576646, 8.4664638 48.9576198, 8.4665903 48.9576803, 8.4666033 48.9576729, 8.4666956 48.9577565, 8.466491 48.957863))",townhall,Rathaus Grünwettersbach,Karlsruhe,40,76228,Am Wetterbach,,,,+49 721 945500,,,"[2631417052, 2631417048, 539034458, 539034459, 1137552354, 1137552327, 444923681, 444923683, 1137552362, 539034457, 444923685, 2631417052]",DE,civic,,,,,Grünwettersbach,https://www.karlsruhe.de/Stadtteile/Wettersbach/Ortsverwaltung.htm,,,,,,,,,,,,,,,,,
way,98775696,"POLYGON ((8.4772477 48.9654029, 8.4774265 48.9654862, 8.4775046 48.9654138, 8.4774527 48.9653897, 8.4774812 48.9653633, 8.4774086 48.9653295, 8.4773793 48.9653567, 8.477325 48.9653314, 8.4772477 48.9654029))",townhall,,Karlsruhe,4,76228,Kirchplatz,,,,,,no,"[1142757781, 1142757736, 1142757698, 1142757887, 1142757851, 1142757807, 1142757741, 1142757700, 1142757781]",DE,yes,,,,,Hohenwettersbach,,,,,,,,,,,,,,,,,,
way,119758612,"POLYGON ((8.5111356 48.9547455, 8.5113037 48.9546584, 8.5110989 48.954488, 8.5109308 48.9545751, 8.5111356 48.9547455))",townhall,Ortsverwaltung Stupferich,Karlsruhe,16,76228,Kleinsteinbacher Straße,,Mo-We 08:00-12:00; Th 13:00-17:30,,,,,"[1344512159, 1344512141, 1344512224, 1344512212, 1344512159]",DE,yes,,,,,Stupferich,,LA-KA,,,,,,,,,,,,,,,,
way,151355166,"POLYGON ((8.4958301 49.0075823, 8.4958341 49.00756, 8.4958377 49.0075397, 8.4958455 49.0074968, 8.4960793 49.0075148, 8.4960634 49.0076035, 8.4959592 49.0075954, 8.4959552 49.0076181, 8.4958862 49.0076128, 8.4958909 49.007587, 8.4958301 49.0075823))",townhall,Rathaus Grötzingen,Karlsruhe,1,76229,Rathausplatz,,"Tu-Fr 08:30-12:00, Th 13:30-16:00",,,,yes,"[2301192509, 2301192507, 2299759495, 2299759494, 2299759493, 1641759523, 1641759504, 1641759521, 1641759519, 1641759503, 2301192509]",DE,yes,,2023-04-30,,,Grötzingen,,LA-KA,yes,building,Q2132448,de:Rathaus (Grötzingen),,,,,,,,,,,,
relation,1333212,"POLYGON ((8.4027045 49.0085318, 8.4027057 49.0085424, 8.4027094 49.0085755, 8.4026968 49.0085761, 8.4027025 49.008627, 8.4027081 49.0086774, 8.4027207 49.0086768, 8.4027401 49.0088505, 8.4027517 49.008954, 8.4029687 49.0089436, 8.4030122 49.0089415, 8.403427 49.0089215, 8.4035739 49.0089144, 8.4035643 49.0088286, 8.4035556 49.008829, 8.4035383 49.0086744, 8.4035372 49.0086647, 8.4035498 49.0086642, 8.4035437 49.0086098, 8.4035407 49.0085827, 8.4035377 49.0085555, 8.4035316 49.0085012, 8.403519 49.0085018, 8.4035179 49.0084922, 8.4035019 49.0083485, 8.4035086 49.0083482, 8.4034984 49.0082564, 8.40326 49.0082678, 8.4028071 49.0083879, 8.4026917 49.0084177, 8.4027045 49.0085318), (8.4029353 49.0085299, 8.4029535 49.0086927, 8.4030155 49.0086897, 8.4030339 49.008854, 8.402853 49.0088627, 8.4028316 49.0086715, 8.4028489 49.0086706, 8.4028432 49.0086198, 8.4028376 49.0085693, 8.4028203 49.0085702, 8.4028096 49.0084748, 8.4029862 49.0084273, 8.4029973 49.0085269, 8.4029353 49.0085299), (8.4033595 49.0083869, 8.4033731 49.0085089, 8.4031588 49.0085192, 8.4031451 49.0083972, 8.4033595 49.0083869), (8.403177 49.008682, 8.4033913 49.0086717, 8.4034056 49.0087997, 8.4031913 49.00881, 8.403177 49.008682))",townhall,Rathaus,Karlsruhe,10,76133,Karl-Friedrich-Straße,,"""Nach Terminvereinbarung""",,,,yes,"[[[1053537593, 1053537595, 1053537644, 1053537581, 1053537593], [1053537631, 1053537609, 1053537615, 1053537600, 1053537643, 1053537611, 1053537622, 1053537582, 1245895320, 1245895330, 9129732619, 1245895332, 1245895322, 1053537631], [1053537580, 3193500648, 1053537598, 1053537633, 1053537580], [1053537605, 1794554533, 1053537627, 4199077989, 4199077991, 2481757057, 3197444408, 9129732621, 3197444418, 2481757059, 1245895327, 1053537591, 6599459433, 6599459434, 1749701262, 1053537579, 3197444419, 3197444420, 10594407980, 1053537592, 1053537617, 10594407974, 1552345545, 10594407975, 1053537596, 1053537629, 10594407981, 3197444400, 3197444399, 1749701253, 1053537605]]]",DE,public,,,,,,,,,,Q2132456,de:Rathaus (Karlsruhe),"[90759102, 90759100, 90759103, 90759101]",Friedrich Weinbrenner,#6e4b47,3,2013-11,Rathaus,Radnica,#445555,1,gabled,1825,multipolygon
