,geometry,population
0,"POLYGON ((7.6271007 49.4333948, 7.6276856 49.43315379999999, 7.6280415 49.4333408, 7.6289724 49.43356980000001, 7.633855513047738 49.43352419632356, 7.633894838023844 49.432108454191216, 7.627619466685033 49.4320341406014, 7.6271007 49.4333948))",0.0
1,"POLYGON ((7.633894838023844 49.432108454191216, 7.6340182382442 49.42766518531081, 7.629050114465742 49.4276063842307, 7.628371500000001 49.429400199999996, 7.627835600000001 49.43145299999999, 7.627784599999999 49.43160100000001, 7.627619466685033 49.4320341406014, 7.633894838023844 49.432108454191216))",0.0
2,"POLYGON ((7.6340182382442 49.42766518531081, 7.634089094178863 49.425113379508964, 7.630378799999999 49.424093799999994, 7.629050114465742 49.4276063842307, 7.6340182382442 49.42766518531081))",0.0
3,"POLYGON ((7.633855513047738 49.43352419632356, 7.6342183 49.433520800000004, 7.634225200000001 49.4347569, 7.6354795 49.435428800000004, 7.63489071963456 49.436564939482174, 7.640528044244588 49.43663135649857, 7.640650864990566 49.43218807885999, 7.633894838023844 49.432108454191216, 7.633855513047738 49.43352419632356))",0.0
4,"POLYGON ((7.63489071963456 49.436564939482174, 7.6347916 49.43675619999999, 7.6348996 49.43807409999999, 7.634893600000001 49.440085499999995, 7.6348460885988185 49.44100913261793, 7.640405193150837 49.441074630479456, 7.640528044244588 49.43663135649857, 7.63489071963456 49.436564939482174))",3.6663250818165425
5,"POLYGON ((7.6348460885988185 49.44100913261793, 7.6348211 49.441494899999995, 7.6348085999999995 49.441736899999995, 7.6351055 49.44415440000001, 7.635125151658058 49.44545714367658, 7.6402823116996235 49.44551790080263, 7.640405193150837 49.441074630479456, 7.6348460885988185 49.44100913261793))",3.666325081816544
6,"POLYGON ((7.635125151658058 49.44545714367658, 7.635129500000001 49.44574540000001, 7.6352212 49.4465795, 7.635856400000001 49.44673829999999, 7.6402426441340605 49.446952005123265, 7.6402823116996235 49.44551790080263, 7.635125151658058 49.44545714367658))",0.0
7,"POLYGON ((7.640650864990566 49.43218807885999, 7.640773655398456 49.42774479756367, 7.6340182382442 49.42766518531081, 7.633894838023844 49.432108454191216, 7.640650864990566 49.43218807885999))",0.0
8,"POLYGON ((7.640773655398456 49.42774479756367, 7.64079613912892 49.426931084263686, 7.639818900000001 49.4266876, 7.634089094178863 49.425113379508964, 7.6340182382442 49.42766518531081, 7.640773655398456 49.42774479756367))",0.0
9,"POLYGON ((7.6402426441340605 49.446952005123265, 7.6405567 49.446967300000004, 7.644193199999999 49.44729929999998, 7.645284 49.44744029999999, 7.6459579 49.447516199999995, 7.6465591 49.4475757, 7.6469856755566115 49.44757816698664, 7.647040198870983 49.445597167956436, 7.6402823116996235 49.44551790080263, 7.6402426441340605 49.446952005123265))",3.666325081816544
10,"POLYGON ((7.647040198870983 49.445597167956436, 7.647162470048427 49.441153885272186, 7.640405193150837 49.441074630479456, 7.6402823116996235 49.44551790080263, 7.647040198870983 49.445597167956436))",3.6663250818165434
11,"POLYGON ((7.647162470048427 49.441153885272186, 7.64728471101905 49.43671059893243, 7.640528044244588 49.43663135649857, 7.640405193150837 49.441074630479456, 7.647162470048427 49.441153885272186))",3.6663250818165434
12,"POLYGON ((7.64728471101905 49.43671059893243, 7.647406921792493 49.432267308937206, 7.640650864990566 49.43218807885999, 7.640528044244588 49.43663135649857, 7.64728471101905 49.43671059893243))",0.0
13,"POLYGON ((7.647406921792493 49.432267308937206, 7.647507683864146 49.42860301364107, 7.644225000905375 49.42778531909004, 7.640773655398456 49.42774479756367, 7.640650864990566 49.43218807885999, 7.647406921792493 49.432267308937206))",0.0
14,"POLYGON ((7.644225000905375 49.42778531909004, 7.64079613912892 49.426931084263686, 7.640773655398456 49.42774479756367, 7.644225000905375 49.42778531909004))",0.0
15,"POLYGON ((7.6469856755566115 49.44757816698664, 7.647285499999999 49.4475799, 7.6487855 49.44750129999999, 7.65376248842789 49.44697701195355, 7.653798115757943 49.44567604032994, 7.647040198870983 49.445597167956436, 7.6469856755566115 49.44757816698664))",3.666325081816544
16,"POLYGON ((7.653798115757943 49.44567604032994, 7.6539197766521285 49.44123274534612, 7.647162470048427 49.441153885272186, 7.647040198870983 49.445597167956436, 7.653798115757943 49.44567604032994))",3.666325081816544
17,"POLYGON ((7.6539197766521285 49.44123274534612, 7.654041407490139 49.43678944670902, 7.64728471101905 49.43671059893243, 7.647162470048427 49.441153885272186, 7.6539197766521285 49.44123274534612))",3.6663250818165434
18,"POLYGON ((7.654041407490139 49.43678944670902, 7.654163008281571 49.43234614441865, 7.647406921792493 49.432267308937206, 7.64728471101905 49.43671059893243, 7.654041407490139 49.43678944670902))",3.666325081816544
19,"POLYGON ((7.654163008281571 49.43234614441865, 7.6542845790360134 49.42790283847498, 7.6512720863548385 49.42786773736551, 7.6501434 49.42901929999999, 7.6499464 49.4290493, 7.647661800000001 49.42864139999999, 7.647507683864146 49.42860301364107, 7.647406921792493 49.432267308937206, 7.654163008281571 49.43234614441865))",3.591532863678684
